Субъект РФ;Год;Ввод в действие жилых домов (всего тыс. кв.м. общей площади жилых помещений)
Псковская область;2009;191.8
г. Санкт-Петербург;2009;2603.2
Южный             федеральный округ;2009;6614.4
Республика Адыгея;2009;125.7
Республика Калмыкия;2009;72.3
Республика Крым;2009;0
Краснодарский край;2009;3411.7
Астраханская область;2009;476.4
Волгоградская область;2009;723.1
Ростовская область;2009;1805.2
г. Севастополь;2009;0
Северо-Кавказский        федеральный округ;2009;2799.9
Республика Дагестан;2009;1065.9
Республика Ингушетия;2009;37.3
Кабардино-Балкарская Республика;2009;255.6
Карачаево-Черкесская Республика;2009;90.1
Республика Северная Осетия - Алания;2009;197.7
Чеченская Республика;2009;74.8
Ставропольский край;2009;1078.5
Приволжский федеральный округ;2009;12725.5
Республика Башкортостан;2009;2352.7
Республика Марий Эл;2009;299.9
Республика Мордовия;2009;276.6
Республика Татарстан;2009;2010.2
Удмуртская Республика;2009;464.8
Чувашская Республика;2009;852.2
Пермский край;2009;695.1
Кировская область;2009;335.9
Нижегородская область ;2009;1403.9
Оренбургская область;2009;740.1
Пензенская область;2009;610.2
Самарская область;2009;1023.4
Саратовская область;2009;1129.9
Ульяновская область;2009;530.6
Уральский         федеральный округ;2009;5316.3
Курганская область;2009;288.6
Свердловская область ;2009;1590.7
Тюменская область;2009;2006.1
в том числе:;2009;0
Ханты-Мансийский автономный округ - Югра;2009;827.2
Ямало-Ненецкий автономный округ;2009;135.4
Тюменская область  без автономных округов;2009;1043.5
Челябинская область;2009;1430.9
Сибирский        федеральный округ;2009;5731
Республика Алтай;2009;60.7
Республика Тыва;2009;50.3
Республика Хакасия;2009;184.8
Алтайский край;2009;654.3
Красноярский край;2009;860.6
Иркутская область;2009;602.2
Кемеровская область;2009;1063.2
Новосибирская область ;2009;1216
Омская область;2009;605.2
Томская область;2009;433.5
Дальневосточный федеральный округ;2009;2035
Республика Бурятия;2009;248.1
Республика Саха (Якутия);2009;293.4
Забайкальский край;2009;269.1
Камчатский край;2009;63.3
Приморский край;2009;399
Хабаровский край ;2009;379
Амурская область;2009;149.6
Магаданская область;2009;15.6
Сахалинская область;2009;164.7
Еврейская автономная область;2009;48.8
Чукотский автономный округ;2009;4
Центральный федеральный округ;2010;17461
Белгородская область;2010;1100
Брянская область;2010;391
Владимирская область;2010;481
Воронежская область;2010;1050
Ивановская область;2010;191
Калужская область;2010;501
Костромская область;2010;151
Курская область;2010;381
Липецкая область;2010;737
Московская область;2010;7939
Орловская область;2010;249
Рязанская область;2010;466
Смоленская область;2010;348
Тамбовская область;2010;569
Тверская область;2010;452
Тульская область;2010;395
Ярославская область;2010;292
г. Москва;2010;1768
Северо-Западный федеральный округ;2010;5555
Республика Карелия;2010;143
Республика Коми;2010;80
Архангельская область;2010;288
в том числе: ;2010;0
Ненецкий автономный округ;2010;42
Архангельская область без автономного округа;2010;246
Вологодская область;2010;410
Калининградская область;2010;525
Ленинградская область;2010;1044
Мурманская область;2010;28
Новгородская область;2010;233
Псковская область;2010;150
г. Санкт-Петербург;2010;2657
Южный             федеральный округ;2010;6803
Республика Адыгея;2010;135
Республика Калмыкия;2010;87
Республика Крым;2010;0
Краснодарский край;2010;3606
Астраханская область;2010;500
Волгоградская область;2010;667
Ростовская область;2010;1809
г. Севастополь;2010;0
Северо-Кавказский        федеральный округ;2010;3031
Республика Дагестан;2010;1124
Республика Ингушетия;2010;158
Кабардино-Балкарская Республика;2010;264
Карачаево-Черкесская Республика;2010;70
Республика Северная Осетия - Алания;2010;198
Чеченская Республика;2010;115
Ставропольский край;2010;1101
Приволжский федеральный округ;2010;12440
Республика Башкортостан;2010;2007
Республика Марий Эл;2010;304
Республика Мордовия;2010;289
Республика Татарстан;2010;2027
Удмуртская Республика;2010;482
Чувашская Республика;2010;875
Пермский край;2010;761
Кировская область;2010;378
Нижегородская область ;2010;1453
Оренбургская область;2010;587
Пензенская область;2010;625
Самарская область;2010;1041
Саратовская область;2010;1144
Ульяновская область;2010;467
Уральский         федеральный округ;2010;4819
Курганская область;2010;160
Свердловская область ;2010;1770
Тюменская область;2010;1816
в том числе:;2010;0
Ханты-Мансийский автономный округ - Югра;2010;564
Ямало-Ненецкий автономный округ;2010;140
Тюменская область  без автономных округов;2010;1112
Челябинская область;2010;1073
Сибирский        федеральный округ;2010;6061
Республика Алтай;2010;68
Республика Тыва;2010;50
Республика Хакасия;2010;141
Алтайский край;2010;660
Красноярский край;2010;988
Иркутская область;2010;628
Кемеровская область;2010;1003
Новосибирская область ;2010;1380
Омская область;2010;707
Томская область;2010;437
Дальневосточный федеральный округ;2010;2195
Республика Бурятия;2010;272
Республика Саха (Якутия);2010;303
Забайкальский край;2010;275
Камчатский край;2010;58
Приморский край;2010;535
Хабаровский край ;2010;315
Амурская область;2010;166
Магаданская область;2010;16
Сахалинская область;2010;202
Еврейская автономная область;2010;53
Чукотский автономный округ;2010;0.3
Центральный федеральный округ;2011;18064
Белгородская область;2011;1148.2
Брянская область;2011;421.4
Владимирская область;2011;437.6
Воронежская область;2011;996.2
Ивановская область;2011;216.6
Калужская область;2011;598.4
Костромская область;2011;156.4
Курская область;2011;394.4
Липецкая область;2011;761.7
Московская область;2011;8244.2
Орловская область;2011;333.5
Рязанская область;2011;478.1
Смоленская область;2011;370.7
Тамбовская область;2011;603.3
Тверская область;2011;421.9
Тульская область;2011;262.7
Ярославская область;2011;411.2
г. Москва;2011;1807.5
Северо-Западный федеральный округ;2011;5809.1
Республика Карелия;2011;177.8
Республика Коми;2011;115.6
Архангельская область;2011;283.2
в том числе: ;2011;0
Ненецкий автономный округ;2011;30.4
Архангельская область без автономного округа;2011;252.8
Вологодская область;2011;434.4
Калининградская область;2011;544.9
Ленинградская область;2011;1075.9
Мурманская область;2011;23.2
Новгородская область;2011;270.7
Псковская область;2011;177.7
г. Санкт-Петербург;2011;2705.7
Южный             федеральный округ;2011;6931.1
Республика Адыгея;2011;122.3
Республика Калмыкия;2011;103.9
Республика Крым;2011;0
Краснодарский край;2011;3691.7
Астраханская область;2011;504.3
Волгоградская область;2011;628.7
Ростовская область;2011;1880.3
г. Севастополь;2011;0
Северо-Кавказский        федеральный округ;2011;3192.5
Республика Дагестан;2011;1212.4
Республика Ингушетия;2011;81.8
Кабардино-Балкарская Республика;2011;273
Карачаево-Черкесская Республика;2011;82.4
Республика Северная Осетия - Алания;2011;200.1
Чеченская Республика;2011;76
Ставропольский край;2011;1267
Приволжский федеральный округ;2011;13602.2
Республика Башкортостан;2011;2109.3
Республика Марий Эл;2011;314.8
Республика Мордовия;2011;298.1
Республика Татарстан;2011;2396.1
Удмуртская Республика;2011;504.9
Чувашская Республика;2011;886.4
Пермский край;2011;748.8
Кировская область;2011;405.4
Нижегородская область ;2011;1469.7
Оренбургская область;2011;743.3
Пензенская область;2011;671.1
Самарская область;2011;1331
Саратовская область;2011;1169.6
Ульяновская область;2011;553.8
Уральский         федеральный округ;2011;5466.6
Курганская область;2011;182.6
Свердловская область ;2011;1822.2
Тюменская область;2011;2147.6
в том числе:;2011;0
Ханты-Мансийский автономный округ - Югра;2011;757.4
Ямало-Ненецкий автономный округ;2011;167.8
Тюменская область  без автономных округов;2011;1222.4
Челябинская область;2011;1314.3
Сибирский        федеральный округ;2011;6606
Республика Алтай;2011;76.6
Республика Тыва;2011;52.4
Республика Хакасия;2011;156.2
Алтайский край;2011;635.7
Красноярский край;2011;1047.1
Иркутская область;2011;755.2
Кемеровская область;2011;1082.6
Новосибирская область ;2011;1505.2
Омская область;2011;836.7
Томская область;2011;457.6
Дальневосточный федеральный округ;2011;2517
Республика Бурятия;2011;304.4
Республика Саха (Якутия);2011;318.9
Забайкальский край;2011;276.9
Камчатский край;2011;68.8
Приморский край;2011;591.8
Хабаровский край ;2011;402
Амурская область;2011;240.9
Магаданская область;2011;18.2
Сахалинская область;2011;239.4
Еврейская автономная область;2011;53
Чукотский автономный округ;2011;2.2
Центральный федеральный округ;2012;18179
Белгородская область;2012;1215
Брянская область;2012;453
Владимирская область;2012;508
Воронежская область;2012;1110
Ивановская область;2012;222
Калужская область;2012;613
Костромская область;2012;205
Курская область;2012;426
Липецкая область;2012;807
Московская область;2012;6620
Орловская область;2012;359
Рязанская область;2012;512
Смоленская область;2012;261
Тамбовская область;2012;636
Тверская область;2012;410
Тульская область;2012;310
Ярославская область;2012;461
г. Москва;2012;3050
Северо-Западный федеральный округ;2012;5835
Республика Карелия;2012;195
Республика Коми;2012;88
Архангельская область;2012;303
в том числе: ;2012;0
Ненецкий автономный округ;2012;34
Архангельская область без автономного округа;2012;269
Вологодская область;2012;389
Калининградская область;2012;582
Ленинградская область;2012;1149
Мурманская область;2012;24
Новгородская область;2012;313
Псковская область;2012;215
г. Санкт-Петербург;2012;2577
Южный             федеральный округ;2012;7934
Республика Адыгея;2012;98
Республика Калмыкия;2012;85
Республика Крым;2012;0
Краснодарский край;2012;4371
Астраханская область;2012;511
Волгоградская область;2012;885
Ростовская область;2012;1984
г. Севастополь;2012;0
Северо-Кавказский        федеральный округ;2012;3749
Республика Дагестан;2012;1436
Республика Ингушетия;2012;89
Кабардино-Балкарская Республика;2012;282
Карачаево-Черкесская Республика;2012;88
Республика Северная Осетия - Алания;2012;206
Чеченская Республика;2012;316
Ставропольский край;2012;1333
Приволжский федеральный округ;2012;14182
Республика Башкортостан;2012;2324
Республика Марий Эл;2012;351
Республика Мордовия;2012;266
Республика Татарстан;2012;2400
Удмуртская Республика;2012;516
Чувашская Республика;2012;819
Пермский край;2012;826
Кировская область;2012;409
Нижегородская область ;2012;1501
Оренбургская область;2012;704
Пензенская область;2012;739
Самарская область;2012;1484
Саратовская область;2012;1236
Ульяновская область;2012;607
Уральский         федеральный округ;2012;6361
Курганская область;2012;250
Свердловская область ;2012;1869
Тюменская область;2012;2565
в том числе:;2012;0
Ханты-Мансийский автономный округ - Югра;2012;1022
Ямало-Ненецкий автономный округ;2012;198
Тюменская область  без автономных округов;2012;1345
Челябинская область;2012;1677
Сибирский        федеральный округ;2012;6788
Республика Алтай;2012;81
Республика Тыва;2012;56
Республика Хакасия;2012;174
Алтайский край;2012;646
Красноярский край;2012;1077
Иркутская область;2012;871
Кемеровская область;2012;1086
Новосибирская область ;2012;1571
Омская область;2012;739
Томская область;2012;490
Дальневосточный федеральный округ;2012;2634
Республика Бурятия;2012;339
Республика Саха (Якутия);2012;356
Забайкальский край;2012;303
Камчатский край;2012;72
Приморский край;2012;611
Хабаровский край ;2012;344
Амурская область;2012;317
Магаданская область;2012;20
Сахалинская область;2012;215
Еврейская автономная область;2012;54
Чукотский автономный округ;2012;1
Центральный федеральный округ;2013;20255
Белгородская область;2013;1295
Брянская область;2013;527
Владимирская область;2013;519
Воронежская область;2013;1349
Ивановская область;2013;232
Калужская область;2013;657
Костромская область;2013;228
Курская область;2013;496
Липецкая область;2013;858
Московская область;2013;7407
Орловская область;2013;379
Рязанская область;2013;553
Смоленская область;2013;411
Тамбовская область;2013;704
Тверская область;2013;505
Тульская область;2013;503
Ярославская область;2013;487
г. Москва;2013;3146
Северо-Западный федеральный округ;2013;6380
Республика Карелия;2013;219
Республика Коми;2013;144
Архангельская область;2013;327
в том числе: ;2013;0
Ненецкий автономный округ;2013;35
Архангельская область без автономного округа;2013;292
Вологодская область;2013;576
Калининградская область;2013;639
Ленинградская область;2013;1360
Мурманская область;2013;25
Новгородская область;2013;323
Псковская область;2013;185
г. Санкт-Петербург;2013;2584
Южный             федеральный округ;2013;7706
Республика Адыгея;2013;107
Республика Калмыкия;2013;111
Республика Крым;2013;0
Краснодарский край;2013;3949
Астраханская область;2013;595
Волгоградская область;2013;810
Ростовская область;2013;2134
г. Севастополь;2013;0
Северо-Кавказский        федеральный округ;2013;4142
Республика Дагестан;2013;1536
Республика Ингушетия;2013;251
Кабардино-Балкарская Республика;2013;291
Карачаево-Черкесская Республика;2013;113
Республика Северная Осетия - Алания;2013;210
Чеченская Республика;2013;366
Ставропольский край;2013;1375
Приволжский федеральный округ;2013;15260
Республика Башкортостан;2013;2485
Республика Марий Эл;2013;370
Республика Мордовия;2013;305
Республика Татарстан;2013;2400
Удмуртская Республика;2013;533
Чувашская Республика;2013;837
Пермский край;2013;1004
Кировская область;2013;487
Нижегородская область ;2013;1530
Оренбургская область;2013;791
Пензенская область;2013;831
Самарская область;2013;1739
Саратовская область;2013;1314
Ульяновская область;2013;634
Уральский         федеральный округ;2013;6576
Курганская область;2013;280
Свердловская область ;2013;1755
Тюменская область;2013;2753
в том числе:;2013;0
Ханты-Мансийский автономный округ - Югра;2013;1044
Ямало-Ненецкий автономный округ;2013;246
Тюменская область  без автономных округов;2013;1463
Челябинская область;2013;1788
Сибирский        федеральный округ;2013;7315
Республика Алтай;2013;90
Республика Тыва;2013;79
Республика Хакасия;2013;203
Алтайский край;2013;665
Красноярский край;2013;1134
Иркутская область;2013;973
Кемеровская область;2013;1091
Новосибирская область ;2013;1723
Омская область;2013;827
Томская область;2013;531
Дальневосточный федеральный округ;2013;2849
Республика Бурятия;2013;380
Республика Саха (Якутия);2013;418
Забайкальский край;2013;295
Камчатский край;2013;83
Приморский край;2013;615
Хабаровский край ;2013;325
Амурская область;2013;364
Магаданская область;2013;15
Сахалинская область;2013;291
Еврейская автономная область;2013;63
Чукотский автономный округ;2013;0.4
Центральный федеральный округ;2014;24547
Белгородская область;2014;1469
Брянская область;2014;551
Владимирская область;2014;606
Воронежская область;2014;1573
Ивановская область;2014;253
Калужская область;2014;808
Костромская область;2014;328
Курская область;2014;561
Липецкая область;2014;1009
Московская область;2014;9945
Орловская область;2014;469
Рязанская область;2014;603
Смоленская область;2014;449
Тамбовская область;2014;771
Тверская область;2014;538
Тульская область;2014;580
Ярославская область;2014;694
г. Москва;2014;3342
Северо-Западный федеральный округ;2014;8370
Республика Карелия;2014;241
Республика Коми;2014;156
Архангельская область;2014;356
в том числе: ;2014;0
Ненецкий автономный округ;2014;35
Архангельская область без автономного округа;2014;321
Вологодская область;2014;774
Калининградская область;2014;1116
Ленинградская область;2014;1788
Мурманская область;2014;25
Новгородская область;2014;354
Псковская область;2014;298
г. Санкт-Петербург;2014;3262
Южный             федеральный округ;2014;10098
Республика Адыгея;2014;271
Республика Калмыкия;2014;125
Республика Крым;2014;634
Краснодарский край;2014;4759
Астраханская область;2014;624
Волгоградская область;2014;1115
Ростовская область;2014;2325
г. Севастополь;2014;245
Северо-Кавказский        федеральный округ;2014;5012
Республика Дагестан;2014;1648
Республика Ингушетия;2014;260
Кабардино-Балкарская Республика;2014;328
Карачаево-Черкесская Республика;2014;174
Республика Северная Осетия - Алания;2014;171
Чеченская Республика;2014;1140
Ставропольский край;2014;1292
Приволжский федеральный округ;2014;16856
Республика Башкортостан;2014;2652
Республика Марий Эл;2014;416
Республика Мордовия;2014;321
Республика Татарстан;2014;2405
Удмуртская Республика;2014;633
Чувашская Республика;2014;862
Пермский край;2014;1113
Кировская область;2014;685
Нижегородская область ;2014;1588
Оренбургская область;2014;1152
Пензенская область;2014;903
Самарская область;2014;1888
Саратовская область;2014;1521
Ульяновская область;2014;719
Уральский         федеральный округ;2014;7977
Курганская область;2014;389
Свердловская область ;2014;2424
Тюменская область;2014;3161
в том числе:;2014;0
Ханты-Мансийский автономный округ - Югра;2014;1116
Ямало-Ненецкий автономный округ;2014;271
Тюменская область  без автономных округов;2014;1775
Челябинская область;2014;2002
Сибирский        федеральный округ;2014;8113
Республика Алтай;2014;100
Республика Тыва;2014;93
Республика Хакасия;2014;262
Алтайский край;2014;755
Красноярский край;2014;1201
Иркутская область;2014;836
Кемеровская область;2014;1098
Новосибирская область ;2014;2302
Омская область;2014;848
Томская область;2014;619
Дальневосточный федеральный округ;2014;3206
Республика Бурятия;2014;409
Республика Саха (Якутия);2014;474
Забайкальский край;2014;353
Камчатский край;2014;88
Приморский край;2014;672
Хабаровский край ;2014;444
Амурская область;2014;344
Магаданская область;2014;13
Сахалинская область;2014;305
Еврейская автономная область;2014;104
Чукотский автономный округ;2014;2
Центральный федеральный округ;2015;25550
Белгородская область;2015;1555
Брянская область;2015;644
Владимирская область;2015;647
Воронежская область;2015;1627
Ивановская область;2015;260
Калужская область;2015;796
Костромская область;2015;322
Курская область;2015;567
Липецкая область;2015;1061
Московская область;2015;9623
Орловская область;2015;479
Рязанская область;2015;667
Смоленская область;2015;514
Тамбовская область;2015;826
Тверская область;2015;556
Тульская область;2015;771
Ярославская область;2015;717
г. Москва;2015;3920
Северо-Западный федеральный округ;2015;9042
Республика Карелия;2015;271
Республика Коми;2015;210
Архангельская область;2015;394
в том числе: ;2015;0
Ненецкий автономный округ;2015;36
Архангельская область без автономного округа;2015;358
Вологодская область;2015;864
Калининградская область;2015;1207
Ленинградская область;2015;2323
Мурманская область;2015;33
Новгородская область;2015;359
Псковская область;2015;351
г. Санкт-Петербург;2015;3031
Южный             федеральный округ;2015;9320
Республика Адыгея;2015;297
Республика Калмыкия;2015;126
Республика Крым;2015;253
Краснодарский край;2015;4644
Астраханская область;2015;575
Волгоградская область;2015;912
Ростовская область;2015;2409
г. Севастополь;2015;105
Северо-Кавказский        федеральный округ;2015;4997
Республика Дагестан;2015;1810
Республика Ингушетия;2015;262
Кабардино-Балкарская Республика;2015;375
Карачаево-Черкесская Республика;2015;184
Республика Северная Осетия - Алания;2015;174
Чеченская Республика;2015;943
Ставропольский край;2015;1248
Приволжский федеральный округ;2015;16889
Республика Башкортостан;2015;2691
Республика Марий Эл;2015;440
Республика Мордовия;2015;325
Республика Татарстан;2015;2406
Удмуртская Республика;2015;649
Чувашская Республика;2015;833
Пермский край;2015;1154
Кировская область;2015;727
Нижегородская область ;2015;1259
Оренбургская область;2015;1190
Пензенская область;2015;931
Самарская область;2015;2212
Саратовская область;2015;1140
Ульяновская область;2015;935
Уральский         федеральный округ;2015;7948
Курганская область;2015;293
Свердловская область ;2015;2478
Тюменская область;2015;3396
в том числе:;2015;0
Ханты-Мансийский автономный округ - Югра;2015;968
Ямало-Ненецкий автономный округ;2015;297
Тюменская область  без автономных округов;2015;2132
Челябинская область;2015;1782
Сибирский        федеральный округ;2015;8722
Республика Алтай;2015;114
Республика Тыва;2015;109
Республика Хакасия;2015;301
Алтайский край;2015;890
Красноярский край;2015;1311
Иркутская область;2015;923
Кемеровская область;2015;1002
Новосибирская область ;2015;2588
Омская область;2015;785
Томская область;2015;699
Дальневосточный федеральный округ;2015;2873
Республика Бурятия;2015;415
Республика Саха (Якутия);2015;546
Забайкальский край;2015;235
Камчатский край;2015;72
Приморский край;2015;499
Хабаровский край ;2015;450
Амурская область;2015;261
Магаданская область;2015;21
Сахалинская область;2015;312
Еврейская автономная область;2015;60
Чукотский автономный округ;2015;2
Центральный федеральный округ;2016;23982
Белгородская область;2016;1350
Брянская область;2016;665
Владимирская область;2016;656
Воронежская область;2016;1679
Ивановская область;2016;177
Калужская область;2016;737
Костромская область;2016;309
Курская область;2016;587
Липецкая область;2016;1078
Московская область;2016;8914
Орловская область;2016;360
Рязанская область;2016;708
Смоленская область;2016;630
Тамбовская область;2016;833
Тверская область;2016;496
Тульская область;2016;623
Ярославская область;2016;797
г. Москва;2016;3385
Северо-Западный федеральный округ;2016;8863
Республика Карелия;2016;293
Республика Коми;2016;240
Архангельская область;2016;366
в том числе: ;2016;0
Ненецкий автономный округ;2016;24
Архангельская область без автономного округа;2016;343
Вологодская область;2016;774
Калининградская область;2016;1209
Ленинградская область;2016;2172
Мурманская область;2016;59
Новгородская область;2016;362
Псковская область;2016;272
г. Санкт-Петербург;2016;3116
Южный             федеральный округ;2016;8962
Республика Адыгея;2016;235
Республика Калмыкия;2016;71
Республика Крым;2016;286
Краснодарский край;2016;4502
Астраханская область;2016;603
Волгоградская область;2016;754
Ростовская область;2016;2293
г. Севастополь;2016;219
Северо-Кавказский        федеральный округ;2016;5031
Республика Дагестан;2016;1862
Республика Ингушетия;2016;272
Кабардино-Балкарская Республика;2016;412
Карачаево-Черкесская Республика;2016;165
Республика Северная Осетия - Алания;2016;178
Чеченская Республика;2016;1042
Ставропольский край;2016;1101
Приволжский федеральный округ;2016;16162
Республика Башкортостан;2016;2698
Республика Марий Эл;2016;466
Республика Мордовия;2016;329
Республика Татарстан;2016;2407
Удмуртская Республика;2016;650
Чувашская Республика;2016;630
Пермский край;2016;1060
Кировская область;2016;662
Нижегородская область ;2016;1274
Оренбургская область;2016;966
Пензенская область;2016;886
Самарская область;2016;1875
Саратовская область;2016;1294
Ульяновская область;2016;967
Уральский         федеральный округ;2016;6380
Курганская область;2016;296
Свердловская область ;2016;2107
Тюменская область;2016;2662
в том числе:;2016;0
Ханты-Мансийский автономный округ - Югра;2016;747
Ямало-Ненецкий автономный округ;2016;228
Тюменская область  без автономных округов;2016;1688
Челябинская область;2016;1316
Сибирский        федеральный округ;2016;8021
Республика Алтай;2016;125
Республика Тыва;2016;108
Республика Хакасия;2016;192
Алтайский край;2016;754
Красноярский край;2016;1374
Иркутская область;2016;913
Кемеровская область;2016;1089
Новосибирская область ;2016;2216
Омская область;2016;772
Томская область;2016;478
Дальневосточный федеральный округ;2016;2820
Республика Бурятия;2016;336
Республика Саха (Якутия);2016;620
Забайкальский край;2016;292
Камчатский край;2016;75
Приморский край;2016;492
Хабаровский край ;2016;366
Амурская область;2016;221
Магаданская область;2016;5
Сахалинская область;2016;334
Еврейская автономная область;2016;76
Чукотский автономный округ;2016;3
Центральный федеральный округ;2017;24284.9
Белгородская область;2017;1300.5
Брянская область;2017;558.3
Владимирская область;2017;695.4
Воронежская область;2017;1687.3
Ивановская область;2017;339.8
Калужская область;2017;882.3
Костромская область;2017;310.2
Курская область;2017;590.5
Липецкая область;2017;1084.2
Московская область;2017;9077.7
Орловская область;2017;267.5
Рязанская область;2017;712.5
Смоленская область;2017;484.4
Тамбовская область;2017;839.4
Тверская область;2017;585.2
Тульская область;2017;696.8
Ярославская область;2017;753.8
г. Москва;2017;3419
Северо-Западный федеральный округ;2017;8979
Республика Карелия;2017;222.3
Республика Коми;2017;222.8
Архангельская область;2017;422.8
в том числе: ;2017;0
Ненецкий автономный округ;2017;27.9
Архангельская область без автономного округа;2017;394.9
Вологодская область;2017;542.3
Калининградская область;2017;902.4
Ленинградская область;2017;2625.8
Мурманская область;2017;71
Новгородская область;2017;231.6
Псковская область;2017;202.3
г. Санкт-Петербург;2017;3536.1
Южный             федеральный округ;2017;9622.1
Республика Адыгея;2017;244.3
Республика Калмыкия;2017;96.3
Республика Крым;2017;833.7
Краснодарский край;2017;4728.4
Астраханская область;2017;483.5
Волгоградская область;2017;727.6
Ростовская область;2017;2333.9
г. Севастополь;2017;174.3
Северо-Кавказский        федеральный округ;2017;5081.7
Республика Дагестан;2017;2000.1
Республика Ингушетия;2017;309.3
Кабардино-Балкарская Республика;2017;426.8
Карачаево-Черкесская Республика;2017;201.8
Республика Северная Осетия - Алания;2017;192.2
Чеченская Республика;2017;1069.3
Ставропольский край;2017;882.1
Приволжский федеральный округ;2017;15640.8
Республика Башкортостан;2017;2460.5
Республика Марий Эл;2017;470.3
Республика Мордовия;2017;330.1
Республика Татарстан;2017;2408.1
Удмуртская Республика;2017;658.6
Чувашская Республика;2017;605
Пермский край;2017;1101.1
Кировская область;2017;545.8
Нижегородская область ;2017;1308.1
Оренбургская область;2017;892
Пензенская область;2017;886.9
Самарская область;2017;1787.7
Саратовская область;2017;1210.1
Ульяновская область;2017;976.6
Уральский         федеральный округ;2017;6301.7
Курганская область;2017;271.8
Свердловская область ;2017;2144
Тюменская область;2017;2468.5
в том числе:;2017;0
Ханты-Мансийский автономный округ - Югра;2017;812.5
Ямало-Ненецкий автономный округ;2017;236.1
Тюменская область  без автономных округов;2017;1419.9
Челябинская область;2017;1417.3
Сибирский        федеральный округ;2017;6793
Республика Алтай;2017;130.9
Республика Тыва;2017;101
Республика Хакасия;2017;235.9
Алтайский край;2017;629.9
Красноярский край;2017;1056.5
Иркутская область;2017;973.8
Кемеровская область;2017;1000.3
Новосибирская область ;2017;1729.1
Омская область;2017;458.2
Томская область;2017;477.6
Дальневосточный федеральный округ;2017;2512
Республика Бурятия;2017;269.2
Республика Саха (Якутия);2017;633.8
Забайкальский край;2017;270.5
Камчатский край;2017;66.7
Приморский край;2017;412.1
Хабаровский край ;2017;269.7
Амурская область;2017;181.6
Магаданская область;2017;6.4
Сахалинская область;2017;347.7
Еврейская автономная область;2017;50.4
Чукотский автономный округ;2017;4.1
Центральный федеральный округ;2018;23434.5
Белгородская область;2018;1215.5
Брянская область;2018;403.1
Владимирская область;2018;652.8
Воронежская область;2018;1691.1
Ивановская область;2018;369.1
Калужская область;2018;787.2
Костромская область;2018;196.9
Курская область;2018;594.8
Липецкая область;2018;903
Московская область;2018;8866.6
Орловская область;2018;290.1
Рязанская область;2018;777.5
Смоленская область;2018;359.7
Тамбовская область;2018;858.9
Тверская область;2018;424.9
Тульская область;2018;734.8
Ярославская область;2018;767.5
г. Москва;2018;3541.2
Северо-Западный федеральный округ;2018;9472.7
Республика Карелия;2018;271
Республика Коми;2018;290.2
Архангельская область;2018;322.6
в том числе: ;2018;0
Ненецкий автономный округ;2018;18.5
Архангельская область без автономного округа;2018;304
Вологодская область;2018;535.5
Калининградская область;2018;916
Ленинградская область;2018;2640.6
Мурманская область;2018;46.3
Новгородская область;2018;264.4
Псковская область;2018;235.9
г. Санкт-Петербург;2018;3950.3
Южный             федеральный округ;2018;9067.3
Республика Адыгея;2018;187
Республика Калмыкия;2018;90.4
Республика Крым;2018;774.9
Краснодарский край;2018;4414.9
Астраханская область;2018;328.3
Волгоградская область;2018;610.2
Ростовская область;2018;2347.4
г. Севастополь;2018;314.3
Северо-Кавказский        федеральный округ;2018;3557.3
Республика Дагестан;2018;976
Республика Ингушетия;2018;235.7
Кабардино-Балкарская Республика;2018;435.7
Карачаево-Черкесская Республика;2018;174.8
Республика Северная Осетия - Алания;2018;209.9
Чеченская Республика;2018;600.3
Ставропольский край;2018;924.9
Приволжский федеральный округ;2018;15222.8
Республика Башкортостан;2018;2290
Республика Марий Эл;2018;336.7
Республика Мордовия;2018;333.6
Республика Татарстан;2018;2409.9
Удмуртская Республика;2018;717.1
Чувашская Республика;2018;597.5
Пермский край;2018;1081.2
Кировская область;2018;552.6
Нижегородская область ;2018;1351.1
Оренбургская область;2018;911.5
Пензенская область;2018;662.8
Самарская область;2018;1782.2
Саратовская область;2018;1215.6
Ульяновская область;2018;981.1
Уральский         федеральный округ;2018;5964.5
Курганская область;2018;231.5
Свердловская область ;2018;2088.2
Тюменская область;2018;2120.4
в том числе:;2018;0
Ханты-Мансийский автономный округ - Югра;2018;586
Ямало-Ненецкий автономный округ;2018;186
Тюменская область  без автономных округов;2018;1348.4
Челябинская область;2018;1524.4
Сибирский        федеральный округ;2018;6649
Республика Алтай;2018;108.3
Республика Тыва;2018;93.1
Республика Хакасия;2018;188.2
Алтайский край;2018;786.1
Красноярский край;2018;1148.5
Иркутская область;2018;987.5
Кемеровская область;2018;639.8
Новосибирская область ;2018;1738.4
Омская область;2018;522.3
Томская область;2018;436.9
Дальневосточный федеральный округ;2018;2269.6
Республика Бурятия;2018;247.8
Республика Саха (Якутия);2018;530.1
Забайкальский край;2018;186.5
Камчатский край;2018;35.5
Приморский край;2018;538.2
Хабаровский край ;2018;273.8
Амурская область;2018;158.9
Магаданская область;2018;4.3
Сахалинская область;2018;264.8
Еврейская автономная область;2018;27.8
Чукотский автономный округ;2018;1.8
Центральный федеральный округ;2019;25742
Белгородская область;2019;1260
Брянская область;2019;407
Владимирская область;2019;745
Воронежская область;2019;1879
Ивановская область;2019;331
Калужская область;2019;795
Костромская область;2019;212
Курская область;2019;554
Липецкая область;2019;1254
Московская область;2019;8614
Орловская область;2019;303
Рязанская область;2019;799
Смоленская область;2019;427
