Субъекты РФ;Год;Доходы консолидированных бюджетов субъектов российской федерации (млн. руб.);Расходы консолидированных бюджетов субъектов российской федерации (млн. руб.)
Тверская область;2007;32336.2;32523.3
Тульская область;2007;32770;31880.4
Ярославская область;2007;34708.7;36095
г. Москва;2007;957876;929750
Северо-Западный федеральный округ;2007;0;0
Республика Карелия;2007;18741.5;19775.9
Республика Коми;2007;34201.3;33807.2
Архангельская область;2007;39185.7;36611.2
Вологодская область;2007;39398.5;39546.1
Калининградская область;2007;27634.5;26889.9
Ленинградская область;2007;48567.2;44556.9
Мурманская область;2007;40636.1;38506.7
Новгородская область;2007;14851.4;14624
Псковская область;2007;14381.7;13563.4
г. Санкт-Петербург;2007;281266.2;262446.1
Ненецкий автономный округ;2007;10097.3;10384.5
Южный               федеральный округ;2007;0;0
Республика Адыгея;2007;8048.6;7942.2
Республика Калмыкия;2007;6526.3;6681.1
Республика Крым;2007;0;0
Краснодарский край;2007;106475.7;104550.4
Астраханская область;2007;27613.4;27848.9
Волгоградская область;2007;55421.2;53866.3
Ростовская область;2007;81566.3;81427.8
г. Севастополь;2007;0;0
Северо-Кавказский      федеральный округ;2007;0;0
Республика Дагестан;2007;38782.4;38165.7
Республика Ингушетия;2007;9245.3;8909.2
Кабардино-Балкарская Республика;2007;15001.4;14566.3
Карачаево-Черкесская Республика;2007;8508.9;8411.3
Республика Северная   Осетия – Алания ;2007;14217.6;15043.5
Чеченская Республика;2007;63565.5;60600.6
Ставропольский край;2007;47466.6;45849.6
Приволжский    федеральный округ;2007;0;0
Республика Башкортостан;2007;92579.6;91880.1
Республика Марий Эл;2007;13127.9;13720.6
Республика Мордовия;2007;20478.2;19694.9
Республика Татарстан;2007;106132.5;108517.8
Удмуртская Республика;2007;34451.6;35366.5
Чувашская Республика;2007;28244.8;29140.1
Пермский край;2007;78661.3;77587.6
Кировская область;2007;29596.8;28670
Нижегородская область;2007;79410.8;78955.6
Оренбургская область;2007;49905.3;47016.6
Пензенская область;2007;27879.6;29159.1
Самарская область;2007;82217.3;86884.1
Саратовская область;2007;42816.7;42950.2
Ульяновская область;2007;27924.5;26590.5
Уральский        федеральный округ;2007;0;0
Курганская область;2007;19031.6;18460.1
Свердловская область;2007;128353.3;130023.8
Тюменская область;2007;116758.7;133431
Челябинская область;2007;87362.4;80598.7
Ханты-Мансийский      автономный округ – Югра;2007;142483.1;152468.7
Ямало-Ненецкий автономный округ;2007;70970.6;71705.9
Сибирский     федеральный округ;2007;0;0
Республика Алтай;2007;8990.4;9059.1
Республика Тыва;2007;10022.9;9939.3
Республика Хакасия;2007;12056.3;11963.2
Алтайский край;2007;47086.7;46335
Красноярский край;2007;139598.6;120721.9
Иркутская область;2007;69490.3;72798
Кемеровская область;2007;84258.5;84642.6
Новосибирская область;2007;72435.3;68175.1
Омская область;2007;51215;54361.8
Томская область;2007;29412;31321.2
Дальневосточный федеральный округ;2007;0;0
Республика Бурятия;2007;28167;27884.1
Республика Саха (Якутия);2007;65343.8;66095.9
Забайкальский край;2007;28640.9;34197
Камчатский край;2007;30799.6;27979.9
Приморский край;2007;51171.3;49220.9
Хабаровский край;2007;53845.2;49503.1
Амурская область;2007;28129.3;27895.8
Магаданская область;2007;11837;12607.6
Сахалинская область;2007;37418.5;33525
Еврейская автономная    область;2007;6372.9;6305.7
Чукотский автономный округ;2007;14946.8;13238.5
Центральный федеральный округ;2008;0;0
Белгородская область;2008;56852.7;59063.8
Брянская область;2008;26563.3;28192.4
Владимирская область;2008;36919.2;36815.8
Воронежская область;2008;55545.5;54763.2
Ивановская область;2008;24786.7;25382.7
Калужская область;2008;32085;31981.1
Костромская область;2008;18139.5;17335.7
Курская область;2008;30600;29330.3
Липецкая область;2008;40023.9;38620.4
Московская область;2008;299475.3;316413.8
Орловская область;2008;19373.4;18903.8
Рязанская область;2008;29154.9;30674.5
Смоленская область;2008;22203.3;23589.3
Тамбовская область;2008;25125.3;26289.5
Тверская область;2008;40021;39643.5
Тульская область;2008;42102;41588.8
Ярославская область;2008;42198;44442.2
г. Москва;2008;1291479.1;1317739.7
Северо-Западный федеральный округ;2008;0;0
Республика Карелия;2008;27036.9;27402
Республика Коми;2008;43924.6;44346.5
Архангельская область;2008;51489.3;55790.5
Вологодская область;2008;50823.5;50562.5
Калининградская область;2008;37177.4;36334.8
Ленинградская область;2008;63401.1;62291.2
Мурманская область;2008;47090.6;47391.5
Новгородская область;2008;21741.8;22827.4
Псковская область;2008;18093.1;17587.6
г. Санкт-Петербург;2008;343118.5;359778.4
Ненецкий автономный округ;2008;9251.2;9810.3
Южный               федеральный округ;2008;0;0
Республика Адыгея;2008;10756.4;10008.5
Республика Калмыкия;2008;8475.8;8430.3
Республика Крым;2008;0;0
Краснодарский край;2008;140021.4;144164.5
Астраханская область;2008;34546.6;36369.4
Волгоградская область;2008;69575.1;70518.3
Ростовская область;2008;105678.8;100775.1
г. Севастополь;2008;0;0
Северо-Кавказский      федеральный округ;2008;0;0
Республика Дагестан;2008;52614.4;49651.5
Республика Ингушетия;2008;12709.1;8895.3
Кабардино-Балкарская Республика;2008;18937.8;19258.8
Карачаево-Черкесская Республика;2008;10625.4;10175.3
Республика Северная   Осетия – Алания ;2008;20202;19785.2
Чеченская Республика;2008;64684;64884.8
Ставропольский край;2008;62675.5;61068.7
Приволжский    федеральный округ;2008;0;0
Республика Башкортостан;2008;116538.2;107408.7
Республика Марий Эл;2008;16018;16714.1
Республика Мордовия;2008;24897.3;26597.8
Республика Татарстан;2008;139269;146268.5
Удмуртская Республика;2008;42758.5;43223.1
Чувашская Республика;2008;33898.3;35980.6
Пермский край;2008;110095.3;95108.6
Кировская область;2008;36077.5;35603.5
Нижегородская область;2008;106921.3;108220
Оренбургская область;2008;66098;65849.7
Пензенская область;2008;33706.1;34882.4
Самарская область;2008;109884;112476.3
Саратовская область;2008;61592;65835.6
Ульяновская область;2008;33854.7;36347.9
Уральский        федеральный округ;2008;0;0
Курганская область;2008;23848.5;23878.7
Свердловская область;2008;156924.5;157178
Тюменская область;2008;162576.4;162007.5
Челябинская область;2008;105480.3;111418
Ханты-Мансийский      автономный округ – Югра;2008;180992.4;185974.4
Ямало-Ненецкий автономный округ;2008;88967.2;81317.3
Сибирский     федеральный округ;2008;0;0
Республика Алтай;2008;9893.7;10153.5
Республика Тыва;2008;12997.1;12728.9
Республика Хакасия;2008;15065;15235.9
Алтайский край;2008;59901.3;58760.1
Красноярский край;2008;157729.1;155136.1
Иркутская область;2008;83232.6;84810.8
Кемеровская область;2008;118324.2;114237.3
Новосибирская область;2008;91531.6;90453.8
Омская область;2008;55776;59384
Томская область;2008;37543.9;39675
Дальневосточный федеральный округ;2008;0;0
Республика Бурятия;2008;34563.6;33887.1
Республика Саха (Якутия);2008;79624.6;83347.6
Забайкальский край;2008;38330.7;38185.1
Камчатский край;2008;29490.3;31566.2
Приморский край;2008;65704.2;62544.4
Хабаровский край;2008;62969.8;64431.7
Амурская область;2008;35664.4;34511.8
Магаданская область;2008;16336.3;16125.5
Сахалинская область;2008;60400.1;51699
Еврейская автономная    область;2008;7563.3;7683.3
Чукотский автономный округ;2008;15749.8;14805.8
Центральный федеральный округ;2009;0;0
Белгородская область;2009;55738.2;60848.2
Брянская область;2009;31385.3;31121.1
Владимирская область;2009;40718.2;40359.2
Воронежская область;2009;59451.3;61507.9
Ивановская область;2009;28425.3;29753
Калужская область;2009;31142;33099
Костромская область;2009;18416;21342.2
Курская область;2009;30979.8;31718.2
Липецкая область;2009;36493.8;39315.7
Московская область;2009;314274.2;327024.2
Орловская область;2009;19852.3;20464.5
Рязанская область;2009;31841.1;35250.8
Смоленская область;2009;24785.7;26408.6
Тамбовская область;2009;30799.2;30260
Тверская область;2009;45786.9;49485.7
Тульская область;2009;40517;43417.7
Ярославская область;2009;52085.9;52253.1
г. Москва;2009;1010681.5;1156394.5
Северо-Западный федеральный округ;2009;0;0
Республика Карелия;2009;25759.6;29162.1
Республика Коми;2009;45363.7;46415.1
Архангельская область;2009;49264.4;55688.7
Вологодская область;2009;40127.3;46583.9
Калининградская область;2009;42059.2;39391.4
Ленинградская область;2009;62356.7;66890.9
Мурманская область;2009;46315.2;48877.7
Новгородская область;2009;23657.9;25311.3
Псковская область;2009;19824.3;20571.1
г. Санкт-Петербург;2009;319796.5;326190.4
Ненецкий автономный округ;2009;9463.7;10092.7
Южный               федеральный округ;2009;0;0
Республика Адыгея;2009;12278.2;13346.7
Республика Калмыкия;2009;9466.5;10076.3
Республика Крым;2009;0;0
Краснодарский край;2009;152407.3;154417.8
Астраханская область;2009;28601.7;33375.6
Волгоградская область;2009;69188.1;74512.8
Ростовская область;2009;112416.2;117398.8
г. Севастополь;2009;0;0
Северо-Кавказский      федеральный округ;2009;0;0
Республика Дагестан;2009;64437;67631
Республика Ингушетия;2009;14528.5;15219.5
Кабардино-Балкарская Республика;2009;22532.4;22321.4
Карачаево-Черкесская Республика;2009;12330.7;12697.9
Республика Северная   Осетия – Алания ;2009;17103.8;19642.5
Чеченская Республика;2009;65259.4;74055.9
Ставропольский край;2009;65431.6;72222.5
Приволжский    федеральный округ;2009;0;0
Республика Башкортостан;2009;114095.7;117458.8
Республика Марий Эл;2009;17100.7;17670.9
Республика Мордовия;2009;28438.9;28240.3
Республика Татарстан;2009;140637;152731.5
Удмуртская Республика;2009;41325.6;44817.9
Чувашская Республика;2009;33717.7;34600.6
Пермский край;2009;94754.3;100149.1
Кировская область;2009;38790.9;42016.7
Нижегородская область;2009;97391;112171.2
Оренбургская область;2009;64427.6;64265.6
Пензенская область;2009;36635.6;39416.4
Самарская область;2009;100869.8;110165.7
Саратовская область;2009;66219.9;73325.3
Ульяновская область;2009;35935.3;35777.1
Уральский        федеральный округ;2009;0;0
Курганская область;2009;26610;26722.7
Свердловская область;2009;139547.4;143768.9
Тюменская область;2009;125986;134221
Челябинская область;2009;88251.6;93145.4
Ханты-Мансийский      автономный округ – Югра;2009;152434.2;150672.3
Ямало-Ненецкий автономный округ;2009;88833.4;76694
Сибирский     федеральный округ;2009;0;0
Республика Алтай;2009;13455.2;12736.3
Республика Тыва;2009;15311.9;15335.6
Республика Хакасия;2009;17330.3;18044.7
Алтайский край;2009;65513.4;66180.5
Красноярский край;2009;155429.7;171910.1
Иркутская область;2009;88586.6;82514.3
Кемеровская область;2009;100371.8;106281
Новосибирская область;2009;87021.4;91079.5
Омская область;2009;53936.1;57749.3
Томская область;2009;39356;39496.2
Дальневосточный федеральный округ;2009;0;0
Республика Бурятия;2009;40589.6;39913.8
Республика Саха (Якутия);2009;92687.7;90679
Забайкальский край;2009;40806.9;40509.1
Камчатский край;2009;38529;37816.7
Приморский край;2009;95290.2;83213
Хабаровский край;2009;62794.7;65600
Амурская область;2009;40216.4;41194.7
Магаданская область;2009;19234.7;18389.2
Сахалинская область;2009;61255;58823.8
Еврейская автономная    область;2009;8655;8396
Чукотский автономный округ;2009;21916.6;16892.8
Центральный федеральный округ;2010;0;0
Белгородская область;2010;63512.8;65105.7
Брянская область;2010;32749.9;33803.9
Владимирская область;2010;43195.6;45006.1
Воронежская область;2010;71235.3;72948.6
Ивановская область;2010;29173.4;30752.9
Калужская область;2010;38596.5;40793.7
Костромская область;2010;20767.3;23075.7
Курская область;2010;36842.5;35297.7
Липецкая область;2010;38557.6;39948.4
Московская область;2010;333556.5;312927.5
Орловская область;2010;22689.9;22976.4
Рязанская область;2010;37191.6;39300.2
Смоленская область;2010;28446.6;31843
Тамбовская область;2010;32223.9;33273.4
Тверская область;2010;46721.8;50876
Тульская область;2010;48245;51693.8
Ярославская область;2010;51493.4;56066.7
г. Москва;2010;1127684.1;1107593.9
Северо-Западный федеральный округ;2010;0;0
Республика Карелия;2010;31850.9;32339.6
Республика Коми;2010;49551;48564.3
Архангельская область;2010;60969.3;61188.8
Вологодская область;2010;46174.5;53031.9
Калининградская область;2010;38550.9;41507.4
Ленинградская область;2010;71342.6;69146.5
Мурманская область;2010;52048.1;49608.5
Новгородская область;2010;23091.2;26630.3
Псковская область;2010;22504.6;23215.9
г. Санкт-Петербург;2010;351609.1;362863.1
Ненецкий автономный округ;2010;11340.5;11029.8
Южный               федеральный округ;2010;0;0
Республика Адыгея;2010;12525.3;13046.4
Республика Калмыкия;2010;9236.7;9382.4
Республика Крым;2010;0;0
Краснодарский край;2010;168647.3;182546
Астраханская область;2010;27377.6;31074.1
Волгоградская область;2010;75590.8;78240.5
Ростовская область;2010;123192.9;125447.1
г. Севастополь;2010;0;0
Северо-Кавказский      федеральный округ;2010;0;0
Республика Дагестан;2010;62407.3;64058.5
Республика Ингушетия;2010;15690.5;17301.8
Кабардино-Балкарская Республика;2010;22488.2;23198.8
Карачаево-Черкесская Республика;2010;13803.6;14832.1
Республика Северная   Осетия – Алания ;2010;17787.4;19789.6
Чеченская Республика;2010;64832.8;65720.2
Ставропольский край;2010;74299.3;72443.9
Приволжский    федеральный округ;2010;0;0
Республика Башкортостан;2010;119726.3;122253.4
Республика Марий Эл;2010;19156.4;20660.9
Республика Мордовия;2010;30858.8;38323.9
Республика Татарстан;2010;176158.5;193850.1
Удмуртская Республика;2010;42511;49408.2
Чувашская Республика;2010;33193.4;35126.4
Пермский край;2010;96533;104872.2
Кировская область;2010;46303.5;47446.7
Нижегородская область;2010;110336.4;119241.4
Оренбургская область;2010;68380.1;73183.8
Пензенская область;2010;41415.9;42730.9
Самарская область;2010;119428.1;121103.8
Саратовская область;2010;66395.6;75249.4
Ульяновская область;2010;36123.4;37839.4
Уральский        федеральный округ;2010;0;0
Курганская область;2010;30142.4;30344.4
Свердловская область;2010;161263.9;156203.3
Тюменская область;2010;145566.6;142234.4
Челябинская область;2010;109408.8;109824.7
Ханты-Мансийский      автономный округ – Югра;2010;167413.7;170084.9
Ямало-Ненецкий автономный округ;2010;106812.7;95610.1
Сибирский     федеральный округ;2010;0;0
Республика Алтай;2010;13316.8;14730.9
Республика Тыва;2010;15246.6;15487.4
Республика Хакасия;2010;18347.9;19084.7
Алтайский край;2010;72375.8;67322.6
Красноярский край;2010;178352.6;168519.5
Иркутская область;2010;98500.7;91796
Кемеровская область;2010;113379.2;117171.9
Новосибирская область;2010;100301.9;102540.1
Омская область;2010;58097.8;59206.5
Томская область;2010;42975.9;42717.3
Дальневосточный федеральный округ;2010;0;0
Республика Бурятия;2010;39198.1;40826.4
Республика Саха (Якутия);2010;104985.5;101223.3
Забайкальский край;2010;43739.9;43916.3
Камчатский край;2010;44641.9;42674.5
Приморский край;2010;95485.6;104983
Хабаровский край;2010;74918.5;71494.9
Амурская область;2010;45414.9;45762.3
Магаданская область;2010;20969.3;19897.6
Сахалинская область;2010;54277;63410.5
Еврейская автономная    область;2010;9499.5;9201.9
Чукотский автономный округ;2010;13570.1;17028
Центральный федеральный округ;2011;0;0
Белгородская область;2011;81394.9;83780.3
Брянская область;2011;38525.2;38633.2
Владимирская область;2011;47862.5;45900.8
Воронежская область;2011;77324.1;79522.7
Ивановская область;2011;31900;33620.5
Калужская область;2011;45348.3;47831.6
Костромская область;2011;22265.1;23567.6
Курская область;2011;41966.4;44058.1
Липецкая область;2011;42544.3;44704.2
Московская область;2011;371180.2;342532
Орловская область;2011;26217.1;25846.4
Рязанская область;2011;41130.4;44689.4
Смоленская область;2011;33941.1;38527.3
Тамбовская область;2011;38511.7;38311.4
Тверская область;2011;50978.6;54760.4
Тульская область;2011;49722.8;46961.9
Ярославская область;2011;52906.5;56196
г. Москва;2011;1481778.2;1400528.4
Северо-Западный федеральный округ;2011;0;0
Республика Карелия;2011;35935.4;36094
Республика Коми;2011;58075.9;59331.1
Архангельская область;2011;62807.3;68418.8
Вологодская область;2011;50693.3;58351.9
Калининградская область;2011;48581.5;48614.7
Ленинградская область;2011;82312.4;80124.4
Мурманская область;2011;56599.9;55817.8
Новгородская область;2011;28148.6;28101
Псковская область;2011;27844.5;28302.2
г. Санкт-Петербург;2011;405626.5;409315.5
Ненецкий автономный округ;2011;14186.7;11475.6
Южный               федеральный округ;2011;0;0
Республика Адыгея;2011;13398;13836.3
Республика Калмыкия;2011;9451.7;9741.3
Республика Крым;2011;0;0
Краснодарский край;2011;216446.8;226523.1
Астраханская область;2011;33177.7;35134.4
Волгоградская область;2011;78703.6;86319.8
Ростовская область;2011;134346.4;137693
г. Севастополь;2011;0;0
Северо-Кавказский      федеральный округ;2011;0;0
Республика Дагестан;2011;71409.1;75070.6
Республика Ингушетия;2011;17699.2;17027.5
Кабардино-Балкарская Республика;2011;24869.9;25091.4
Карачаево-Черкесская Республика;2011;15072.9;15940.4
Республика Северная   Осетия – Алания ;2011;19860.6;21228.8
Чеченская Республика;2011;78917.1;80791.8
Ставропольский край;2011;83133.1;83991.1
Приволжский    федеральный округ;2011;0;0
Республика Башкортостан;2011;135357.7;140653.7
Республика Марий Эл;2011;21560.7;22853.7
Республика Мордовия;2011;33849.3;41600.5
Республика Татарстан;2011;191505.4;206824.1
Удмуртская Республика;2011;53045.5;54231
Чувашская Республика;2011;37264.9;37065.1
Пермский край;2011;108394.5;108196
Кировская область;2011;47928.4;49787.6
Нижегородская область;2011;124995.2;132119.3
Оренбургская область;2011;77665.1;78709.2
Пензенская область;2011;47671;52127.5
Самарская область;2011;131547;142756.4
Саратовская область;2011;75708.7;84158.9
Ульяновская область;2011;39858;41716.9
Уральский        федеральный округ;2011;0;0
Курганская область;2011;32396.8;33038.3
Свердловская область;2011;184087.4;189927.2
Тюменская область;2011;184712.3;171539.8
Челябинская область;2011;119398.9;127069.8
Ханты-Мансийский      автономный округ – Югра;2011;204480.5;192483.8
Ямало-Ненецкий автономный округ;2011;136859.1;145642
Сибирский     федеральный округ;2011;0;0
Республика Алтай;2011;15114.6;15984.1
Республика Тыва;2011;16706.6;16689.3
Республика Хакасия;2011;21221.6;23803.7
Алтайский край;2011;81204;80889.6
Красноярский край;2011;188773.6;193253.2
Иркутская область;2011;113112;103870.8
Кемеровская область;2011;128335.8;131550.1
Новосибирская область;2011;112628.9;114525.3
Омская область;2011;67352.3;70807
Томская область;2011;52433.7;51712.8
Дальневосточный федеральный округ;2011;0;0
Республика Бурятия;2011;44754.3;44660.4
Республика Саха (Якутия);2011;126138.3;121584.4
Забайкальский край;2011;46358.5;48942.9
Камчатский край;2011;54836.3;53664.8
Приморский край;2011;103540.6;101591.2
Хабаровский край;2011;81523.3;80112.5
Амурская область;2011;50527.7;54375.5
Магаданская область;2011;22636.9;21854.1
Сахалинская область;2011;54674.4;63060.4
Еврейская автономная    область;2011;8396.4;9263
Чукотский автономный округ;2011;19937.3;18884.6
Центральный федеральный округ;2012;0;0
Белгородская область;2012;78056.2;82653.3
Брянская область;2012;42543.2;44095.1
Владимирская область;2012;48173.8;50480.7
Воронежская область;2012;87607.5;89176.6
Ивановская область;2012;34860.4;36408.5
Калужская область;2012;50155.4;53471.5
Костромская область;2012;24778;24751.2
Курская область;2012;45233;46043.6
Липецкая область;2012;44277.5;47298.7
Московская область;2012;453527.6;393216
Орловская область;2012;28419.4;31392.9
Рязанская область;2012;45333;49666.3
Смоленская область;2012;38924.5;41571
Тамбовская область;2012;42636.9;42451.1
Тверская область;2012;52665.3;58711.5
Тульская область;2012;56504.8;59703.4
Ярославская область;2012;59287.6;64547.7
г. Москва;2012;1494480.1;1540426
Северо-Западный федеральный округ;2012;0;0
Республика Карелия;2012;33150.9;35395.1
Республика Коми;2012;67085.4;69020.4
Архангельская область;2012;65786.8;70906.1
Вологодская область;2012;54573.9;57903.4
Калининградская область;2012;49445.9;50076.8
Ленинградская область;2012;89334.9;89926
Мурманская область;2012;53068.3;58975.4
Новгородская область;2012;34580.2;33070.4
Псковская область;2012;27062.8;30373.5
г. Санкт-Петербург;2012;379892.1;382262.5
Ненецкий автономный округ;2012;15568.4;14739.5
Южный               федеральный округ;2012;0;0
Республика Адыгея;2012;15639.3;15448.4
Республика Калмыкия;2012;11961;10106.3
Республика Крым;2012;0;0
Краснодарский край;2012;244931.3;278608.3
Астраханская область;2012;35829.3;36362.1
Волгоградская область;2012;84489.9;93281.8
Ростовская область;2012;152526.7;152423
г. Севастополь;2012;0;0
Северо-Кавказский      федеральный округ;2012;0;0
Республика Дагестан;2012;79988.5;81105.7
Республика Ингушетия;2012;20589.3;20661.5
Кабардино-Балкарская Республика;2012;24589.2;24963.2
Карачаево-Черкесская Республика;2012;20865.1;20607.3
Республика Северная   Осетия – Алания ;2012;22601;21905.5
Чеченская Республика;2012;78303.4;77531.9
Ставропольский край;2012;84901.7;91580
Приволжский    федеральный округ;2012;0;0
Республика Башкортостан;2012;145155.5;155137.5
Республика Марий Эл;2012;22704.2;24526.5
Республика Мордовия;2012;40863.4;43810.8
Республика Татарстан;2012;210724.7;214307.1
Удмуртская Республика;2012;57547.8;64959
Чувашская Республика;2012;40116;42221.8
Пермский край;2012;116644.4;118430
Кировская область;2012;47739.2;52551.3
Нижегородская область;2012;130196.7;142939.6
Оренбургская область;2012;79986.9;82859.7
Пензенская область;2012;49327.9;51913.3
Самарская область;2012;147500.8;148098.2
Саратовская область;2012;79177.7;86990.5
Ульяновская область;2012;41874.5;46411.7
Уральский        федеральный округ;2012;0;0
Курганская область;2012;33582.1;34587.1
Свердловская область;2012;203597.2;204445
Тюменская область;2012;178210.3;183486.4
Челябинская область;2012;130364.1;131107.1
Ханты-Мансийский      автономный округ – Югра;2012;208097.8;216934.6
Ямало-Ненецкий автономный округ;2012;142424.7;166807.1
Сибирский     федеральный округ;2012;0;0
Республика Алтай;2012;13956.7;13799.4
Республика Тыва;2012;21225.6;19486.9
Республика Хакасия;2012;22845.3;23458.9
Алтайский край;2012;82275;86894.5
Красноярский край;2012;176562.7;202398.9
Иркутская область;2012;124250.9;117896.5
Кемеровская область;2012;120925.7;131051.3
Новосибирская область;2012;129040.9;133580.9
Омская область;2012;75802.9;79570.1
Томская область;2012;52579.7;54641.8
Дальневосточный федеральный округ;2012;0;0
Республика Бурятия;2012;47272.4;48384.6
Республика Саха (Якутия);2012;140187.5;143783
Забайкальский край;2012;47619.1;51091.5
Камчатский край;2012;53706.5;54132.6
Приморский край;2012;98550;103023.7
Хабаровский край;2012;91249.2;97098.8
Амурская область;2012;51997.9;58567.7
Магаданская область;2012;26351.6;26661.2
Сахалинская область;2012;78058.9;76927.3
Еврейская автономная    область;2012;9760.4;9750.9
Чукотский автономный округ;2012;16816.5;21892.6
Центральный федеральный округ;2013;0;0
Белгородская область;2013;77347.2;87248.5
Брянская область;2013;44916.9;48678.5
Владимирская область;2013;51425.8;54385
Воронежская область;2013;91499.7;100209.5
Ивановская область;2013;36554;39604.1
Калужская область;2013;51162.9;55420.4
Костромская область;2013;25605.1;27486.5
Курская область;2013;47182.3;49355.2
Липецкая область;2013;46160;51252.8
Московская область;2013;454004.8;443643.6
Орловская область;2013;30932.4;33718.3
Рязанская область;2013;46285.5;53072.3
Смоленская область;2013;36876.7;44122.3
Тамбовская область;2013;44030.5;49045.8
Тверская область;2013;57514.4;61328.1
Тульская область;2013;63424.6;68223.2
Ярославская область;2013;62768.8;70481.9
г. Москва;2013;1486291.9;1534246
Северо-Западный федеральный округ;2013;0;0
Республика Карелия;2013;30576.7;36462.7
Республика Коми;2013;62190.9;74619
Архангельская область;2013;73370.9;79129.5
Вологодская область;2013;53029.3;58007.9
Калининградская область;2013;47649.7;53767.9
Ленинградская область;2013;94886.7;99638.5
Мурманская область;2013;56178;63061.2
Новгородская область;2013;27924.8;33955.7
Псковская область;2013;27763.7;32947.7
г. Санкт-Петербург;2013;415494.2;400340.4
Ненецкий автономный округ;2013;16276.5;16975.7
Южный               федеральный округ;2013;0;0
Республика Адыгея;2013;16461.1;16946.5
Республика Калмыкия;2013;10208.8;11773.6
Республика Крым;2013;0;0
Краснодарский край;2013;219373.2;269986.6
Астраханская область;2013;39749.7;42401.8
Волгоградская область;2013;81630.8;92735.4
Ростовская область;2013;155407.9;164547.7
г. Севастополь;2013;0;0
Северо-Кавказский      федеральный округ;2013;0;0
Республика Дагестан;2013;85965;89420
Республика Ингушетия;2013;20349.7;24064.2
Кабардино-Балкарская Республика;2013;26654.2;27674.3
Карачаево-Черкесская Республика;2013;20691.3;20626.6
Республика Северная   Осетия – Алания ;2013;24351;26321.9
Чеченская Республика;2013;65736;65694.7
Ставропольский край;2013;91948.5;99599.3
Приволжский    федеральный округ;2013;0;0
Республика Башкортостан;2013;154027.5;171493.5
Республика Марий Эл;2013;24952.9;26701.9
Республика Мордовия;2013;36616;40727.5
Республика Татарстан;2013;208335.2;209554.5
Удмуртская Республика;2013;60990.8;70039.9
Чувашская Республика;2013;43079.2;44457
Пермский край;2013;119770.2;129524.8
Кировская область;2013;50525.2;57149.5
Нижегородская область;2013;139318.2;150031.9
Оренбургская область;2013;78650.8;89596.1
Пензенская область;2013;49319.4;55789.3
Самарская область;2013;154319.6;166201.5
Саратовская область;2013;79631.1;87683.9
Ульяновская область;2013;41503.9;47508.9
Уральский        федеральный округ;2013;0;0
Курганская область;2013;33611.7;35723.3
Свердловская область;2013;206271.7;232626
Тюменская область;2013;127514.1;160220.8
Челябинская область;2013;132100.6;143880
Ханты-Мансийский      автономный округ – Югра;2013;193853.3;230550.5
Ямало-Ненецкий автономный округ;2013;138996.3;158865.9
Сибирский     федеральный округ;2013;0;0
Республика Алтай;2013;15757.5;14857
Республика Тыва;2013;20974.3;23472.6
Республика Хакасия;2013;22350.8;26267.1
Алтайский край;2013;87556.6;88326
Красноярский край;2013;175944.5;209122.1
Иркутская область;2013;120305.3;134399.6
Кемеровская область;2013;113720.5;130626.7
Новосибирская область;2013;130244.9;148525.1
Омская область;2013;78900.3;88164.8
Томская область;2013;53684.4;60515.1
Дальневосточный федеральный округ;2013;0;0
Республика Бурятия;2013;52001.5;52367.7
Республика Саха (Якутия);2013;153845;164087.6
Забайкальский край;2013;52399.3;57457.4
Камчатский край;2013;58543.6;58398.4
Приморский край;2013;96657.9;107295.6
Хабаровский край;2013;106710.2;110357.2
Амурская область;2013;75717.2;78530.4
Магаданская область;2013;27591.2;30206.9
Сахалинская область;2013;95182.5;97262.4
Еврейская автономная    область;2013;13986.6;14421.4
Чукотский автономный округ;2013;18327.3;27909.4
Центральный федеральный округ;2014;0;0
Белгородская область;2014;77580.6;79199.5
Брянская область;2014;46899.2;47731.6
Владимирская область;2014;53729.9;55433.2
Воронежская область;2014;93594;106685.4
Ивановская область;2014;37339.1;40818.2
Калужская область;2014;52213.8;58053.6
Костромская область;2014;25048.2;29114.5
Курская область;2014;46780.6;51888.9
Липецкая область;2014;54167.7;53994.8
Московская область;2014;494327.9;496445
Орловская область;2014;31641.8;33965.6
Рязанская область;2014;48149.6;50082.1
Смоленская область;2014;37526.4;41293.8
Тамбовская область;2014;47448.8;49947.1
Тверская область;2014;58677.2;61432.2
Тульская область;2014;75485.9;78146.6
Ярославская область;2014;66361.5;74155.9
г. Москва;2014;1552944.3;1607227.7
Северо-Западный федеральный округ;2014;0;0
Республика Карелия;2014;34117.7;37834.6
Республика Коми;2014;65768;76682.5
Архангельская область;2014;75439.9;82797.8
Вологодская область;2014;56405;60665.7
Калининградская область;2014;62733.5;61857.1
Ленинградская область;2014;122317.1;108967
Мурманская область;2014;57661.2;67452.7
Новгородская область;2014;28162.3;32692
Псковская область;2014;30090.7;32439.6
г. Санкт-Петербург;2014;433635.2;448180.5
Ненецкий автономный округ;2014;19103;19749.8
Южный               федеральный округ;2014;0;0
Республика Адыгея;2014;16091.5;16908.7
Республика Калмыкия;2014;10712.4;11339
Республика Крым;2014;131407.6;113884
Краснодарский край;2014;232883;259759.1
Астраханская область;2014;39429.2;45138.7
Волгоградская область;2014;95548.1;104195.7
Ростовская область;2014;164185.8;176458.3
г. Севастополь;2014;27705.5;23726
Северо-Кавказский      федеральный округ;2014;0;0
