Субъекты РФ;Год;Доходы консолидированных бюджетов субъектов российской федерации (млн. руб.);Расходы консолидированных бюджетов субъектов российской федерации (млн. руб.)
Республика Дагестан;2001;11587.9;11481.6
Республика Ингушетия;2001;2375.3;2425.7
Кабардино-Балкарская Республика;2001;4896;4760.9
Карачаево-Черкесская Республика;2001;1975.5;1975.2
Республика Северная   Осетия – Алания ;2001;4512.4;4548.6
Чеченская Республика;2001;3109.9;2742.1
Ставропольский край;2001;10945.5;10771.8
Приволжский    федеральный округ;2001;0;0
Республика Башкортостан;2001;35472.3;36324.5
Республика Марий Эл;2001;3208.6;3244.1
Республика Мордовия;2001;6457;6631.1
Республика Татарстан;2001;56385.2;55320.4
Удмуртская Республика;2001;11912.2;11695.2
Чувашская Республика;2001;6294.4;6227
Пермский край;2001;25716.8;25745.9
Кировская область;2001;7440.6;7613.7
Нижегородская область;2001;19150.1;18697.6
Оренбургская область;2001;12007.6;12115.9
Пензенская область;2001;5757.8;5678
Самарская область;2001;27238.7;27454.6
Саратовская область;2001;11802.1;11843.1
Ульяновская область;2001;5936.2;5985.2
Уральский        федеральный округ;2001;0;0
Курганская область;2001;4794.2;4511.6
Свердловская область;2001;28713.5;28757.4
Тюменская область;2001;18112.8;17946.7
Челябинская область;2001;19198;20136.9
Ханты-Мансийский      автономный округ – Югра;2001;84804.5;91664.5
Ямало-Ненецкий автономный округ;2001;35437.7;34036.9
Сибирский     федеральный округ;2001;0;0
Республика Алтай;2001;2490.9;2368.7
Республика Тыва;2001;3185.3;3118.9
Республика Хакасия;2001;2963.3;2934.3
Алтайский край;2001;12880.5;13503.6
Красноярский край;2001;33724.9;36098.1
Иркутская область;2001;19748.3;19856.7
Кемеровская область;2001;18519.8;18389.5
Новосибирская область;2001;16577;17973
Омская область;2001;11369.7;11476
Томская область;2001;7767.7;8825.6
Дальневосточный федеральный округ;2001;0;0
Республика Бурятия;2001;7480.2;7786.5
Республика Саха (Якутия);2001;35610.9;33348.6
Забайкальский край;2001;8288.3;8544.7
Камчатский край;2001;5930;6549.9
Приморский край;2001;15608;15902.6
Хабаровский край;2001;17992.4;18394.9
Амурская область;2001;8113;8430.4
Магаданская область;2001;5122.8;5365.7
Сахалинская область;2001;7180.4;7608.7
Еврейская автономная    область;2001;1861.3;1824.7
Чукотский автономный округ;2001;4245.8;4170.7
Центральный федеральный округ;2002;0;0
Белгородская область;2002;10173.4;10560.2
Брянская область;2002;8223.1;8419.9
Владимирская область;2002;10133.9;10078.9
Воронежская область;2002;13412;15624.7
Ивановская область;2002;7909.4;8067.2
Калужская область;2002;8550.8;8769.5
Костромская область;2002;5609;5783
Курская область;2002;7111.1;7486.6
Липецкая область;2002;11016.3;9812.6
Московская область;2002;60793.6;64188.8
Орловская область;2002;5884;6109.3
Рязанская область;2002;9314.4;9481.8
Смоленская область;2002;6908.4;7296.5
Тамбовская область;2002;6990.8;7281.7
Тверская область;2002;10111;10776.2
Тульская область;2002;12014;12723.1
Ярославская область;2002;13777.6;13751.7
г. Москва;2002;281855.4;303929.2
Северо-Западный федеральный округ;2002;0;0
Республика Карелия;2002;7767.2;8446.7
Республика Коми;2002;15146.8;17211.6
Архангельская область;2002;12541.9;12685.7
Вологодская область;2002;13040.8;12998.4
Калининградская область;2002;7782.2;7936.5
Ленинградская область;2002;16626.4;15963.1
Мурманская область;2002;11086.7;12264.5
Новгородская область;2002;4778.7;4943.1
Псковская область;2002;6439.1;6120.3
г. Санкт-Петербург;2002;66613.7;65552.4
Ненецкий автономный округ;2002;2201.1;2442.8
Южный               федеральный округ;2002;0;0
Республика Адыгея;2002;3820.1;3747.9
Республика Калмыкия;2002;2642;2778.2
Республика Крым;2002;0;0
Краснодарский край;2002;40487.3;40181.7
Астраханская область;2002;6632.8;7059
Волгоградская область;2002;16070.4;16364.5
Ростовская область;2002;26675;26567.6
г. Севастополь;2002;0;0
Северо-Кавказский      федеральный округ;2002;0;0
Республика Дагестан;2002;15754.8;15972.3
Республика Ингушетия;2002;4876.9;4741.4
Кабардино-Балкарская Республика;2002;5941.4;6570
Карачаево-Черкесская Республика;2002;3590.9;3425.2
Республика Северная   Осетия – Алания ;2002;5802.5;5854.5
Чеченская Республика;2002;7555.5;6683.3
Ставропольский край;2002;18067.3;18320.7
Приволжский    федеральный округ;2002;0;0
Республика Башкортостан;2002;37500.3;38057.1
Республика Марий Эл;2002;4614.3;4897.7
Республика Мордовия;2002;8533;9319.9
Республика Татарстан;2002;55253;54881.3
Удмуртская Республика;2002;13942.7;14757.3
Чувашская Республика;2002;9003.8;9205.6
Пермский край;2002;26996.8;27604.4
Кировская область;2002;9867.7;10498.4
Нижегородская область;2002;23991;24353.8
Оренбургская область;2002;15294.5;15819.8
Пензенская область;2002;8557.9;8447.2
Самарская область;2002;30460.3;30171.2
Саратовская область;2002;16342.3;16178.9
Ульяновская область;2002;8197.3;9192.3
Уральский        федеральный округ;2002;0;0
Курганская область;2002;6938;7050.8
Свердловская область;2002;35446.8;36091.3
Тюменская область;2002;23565.7;22943
Челябинская область;2002;24544.6;24393.4
Ханты-Мансийский      автономный округ – Югра;2002;82499.8;87931.2
Ямало-Ненецкий автономный округ;2002;43140.5;41164
Сибирский     федеральный округ;2002;0;0
Республика Алтай;2002;3685.6;3606.8
Республика Тыва;2002;4533.3;4720.2
Республика Хакасия;2002;4405.4;4768.5
Алтайский край;2002;17024.4;17054.9
Красноярский край;2002;40525.4;44325
Иркутская область;2002;24095;25526.7
Кемеровская область;2002;25554.8;26091.6
Новосибирская область;2002;21318.1;22381.2
Омская область;2002;14710.8;14779.5
Томская область;2002;10981.1;10762.9
Дальневосточный федеральный округ;2002;0;0
Республика Бурятия;2002;10988;11714.7
Республика Саха (Якутия);2002;35791.7;37042
Забайкальский край;2002;12799.3;13241
Камчатский край;2002;8585.9;9250
Приморский край;2002;20598.4;20510.5
Хабаровский край;2002;20507.5;21929.8
Амурская область;2002;10000.7;10562.7
Магаданская область;2002;6646.3;6998.6
Сахалинская область;2002;9252.3;9808.3
Еврейская автономная    область;2002;2398.9;2312.7
Чукотский автономный округ;2002;7538.1;6455.7
Центральный федеральный округ;2003;0;0
Белгородская область;2003;10910;11759.5
Брянская область;2003;9528.8;9740.7
Владимирская область;2003;11659;11966.9
Воронежская область;2003;16403.6;17800.8
Ивановская область;2003;9007.9;9079.4
Калужская область;2003;10558.8;10574.5
Костромская область;2003;6508.8;7397.5
Курская область;2003;8480.5;8600.3
Липецкая область;2003;14206;14051.2
Московская область;2003;76495.7;82804.3
Орловская область;2003;7655.7;7405.4
Рязанская область;2003;11577.6;11402.6
Смоленская область;2003;7703.5;7853.5
Тамбовская область;2003;8594.1;8516.6
Тверская область;2003;11581.9;11739.6
Тульская область;2003;13542.2;15020.1
Ярославская область;2003;15370;16449.6
г. Москва;2003;338977.5;356061.5
Северо-Западный федеральный округ;2003;0;0
Республика Карелия;2003;8489.3;9857.6
Республика Коми;2003;16340;17282.6
Архангельская область;2003;15299;15793
Вологодская область;2003;16850.4;16748.6
Калининградская область;2003;9317.5;9712.3
Ленинградская область;2003;18095.3;18970.5
Мурманская область;2003;12421.6;13679.6
Новгородская область;2003;5949.1;6357.3
Псковская область;2003;7051.9;7571.7
г. Санкт-Петербург;2003;77237.2;78329.7
Ненецкий автономный округ;2003;2977.6;2984.5
Южный               федеральный округ;2003;0;0
Республика Адыгея;2003;3979.8;4001.2
Республика Калмыкия;2003;4050.6;3869.4
Республика Крым;2003;0;0
Краснодарский край;2003;43510.7;44914.6
Астраханская область;2003;8171.8;8693.8
Волгоградская область;2003;19492.2;20215.3
Ростовская область;2003;30563.7;30218.8
г. Севастополь;2003;0;0
Северо-Кавказский      федеральный округ;2003;0;0
Республика Дагестан;2003;16878.3;17170.5
Республика Ингушетия;2003;4104.2;4097.7
Кабардино-Балкарская Республика;2003;5483.9;5743.6
Карачаево-Черкесская Республика;2003;3373.5;3584.7
Республика Северная   Осетия – Алания ;2003;6318.3;6354.1
Чеченская Республика;2003;9115.6;10187.4
Ставропольский край;2003;19283.8;18953.4
Приволжский    федеральный округ;2003;0;0
Республика Башкортостан;2003;50265.3;48106.9
Республика Марий Эл;2003;5625.3;5506.2
Республика Мордовия;2003;12217.6;12127.9
Республика Татарстан;2003;56886.8;58317.1
Удмуртская Республика;2003;15330.7;15883.2
Чувашская Республика;2003;11237.2;11482.6
Пермский край;2003;31822.6;30900.3
Кировская область;2003;12130;12796.8
Нижегородская область;2003;26320.6;28128.5
Оренбургская область;2003;17779.9;18279.6
Пензенская область;2003;10230.7;10397
Самарская область;2003;32578.7;34580.5
Саратовская область;2003;20928.8;20451.8
Ульяновская область;2003;8696.6;9728
Уральский        федеральный округ;2003;0;0
Курганская область;2003;8441.7;8408.8
Свердловская область;2003;40579.9;41885.5
Тюменская область;2003;26613.7;25241.2
Челябинская область;2003;33140.3;28727.6
Ханты-Мансийский      автономный округ – Югра;2003;96918.2;96707.9
Ямало-Ненецкий автономный округ;2003;49766.7;49738.3
Сибирский     федеральный округ;2003;0;0
Республика Алтай;2003;4448.9;4279.5
Республика Тыва;2003;5235.4;5404.6
Республика Хакасия;2003;5452.9;5440.6
Алтайский край;2003;20455.9;20953.5
Красноярский край;2003;48926.6;53786.1
Иркутская область;2003;28895.5;30304.7
Кемеровская область;2003;30364.2;29214.2
Новосибирская область;2003;26331.1;29416.3
Омская область;2003;20059.8;20240.9
Томская область;2003;13599;14170.2
Дальневосточный федеральный округ;2003;0;0
Республика Бурятия;2003;12611.2;12557.9
Республика Саха (Якутия);2003;39903.9;41557.4
Забайкальский край;2003;17193.5;17652.9
Камчатский край;2003;10823.5;10849.2
Приморский край;2003;25091;24231.8
Хабаровский край;2003;25136.5;28184.2
Амурская область;2003;12928.2;13554.7
Магаданская область;2003;7550.7;7546.3
Сахалинская область;2003;12157.4;12680.5
Еврейская автономная    область;2003;2678.7;2745.4
Чукотский автономный округ;2003;8547.1;9112.9
Центральный федеральный округ;2004;0;0
Белгородская область;2004;17269.2;15820.8
Брянская область;2004;11205.9;11670.5
Владимирская область;2004;13547.4;13327.2
Воронежская область;2004;19627.7;20627.8
Ивановская область;2004;10535.7;10476.7
Калужская область;2004;12113.1;12635.8
Костромская область;2004;7170.6;7583.1
Курская область;2004;11523.2;11483.1
Липецкая область;2004;22061;18642.9
Московская область;2004;97392.3;103127.2
Орловская область;2004;8642.3;8675.9
Рязанская область;2004;11816;11896.1
Смоленская область;2004;9475;9393.7
Тамбовская область;2004;9471.7;9844.3
Тверская область;2004;14629.2;14501.8
Тульская область;2004;16149.5;16379.9
Ярославская область;2004;17484.4;19320.3
г. Москва;2004;394086.4;407855.1
Северо-Западный федеральный округ;2004;0;0
Республика Карелия;2004;10478.7;10917
Республика Коми;2004;20436.6;20448.8
Архангельская область;2004;18209.6;17982.2
Вологодская область;2004;24855.7;21287.8
Калининградская область;2004;11236.6;11442.7
Ленинградская область;2004;22450.6;23462.4
Мурманская область;2004;16124.7;15976.9
Новгородская область;2004;7463.5;7476.1
Псковская область;2004;7808.1;8307.7
г. Санкт-Петербург;2004;95294;94043.5
Ненецкий автономный округ;2004;4645.9;3715.7
Южный               федеральный округ;2004;0;0
Республика Адыгея;2004;3724.9;3866.2
Республика Калмыкия;2004;5335.1;4767.6
Республика Крым;2004;0;0
Краснодарский край;2004;52298.5;53764.1
Астраханская область;2004;9027.7;9327.1
Волгоградская область;2004;22490.8;24041.4
