Субъект РФ;Год;Индексы потребительских цен (декабрь к декабрю прошлого года в %);Индексы цен производителей промышленных товаров (декабрь к декабрю прошлого года в %)
Республика Башкортостан;2007;112.6;136.6
Республика Марий Эл;2007;113.3;112.3
Республика Мордовия;2007;112.3;119.9
Республика Татарстан;2007;111.6;150.1
Удмуртская Республика;2007;113.9;130.2
Чувашская Республика;2007;113.5;114.2
Пермский край;2007;116.4;132.3
Кировская область;2007;112.8;118
Нижегородская область ;2007;116.1;121.5
Оренбургская область;2007;111.8;138.9
Пензенская область;2007;113.9;110.9
Самарская область;2007;111.9;117.9
Саратовская область;2007;111.8;129.6
Ульяновская область;2007;113.8;112.1
Уральский         федеральный округ;2007;110.9;126.2
Курганская область;2007;112.3;117
Свердловская область ;2007;112.8;110.7
Тюменская область;2007;108.9;149.4
в том числе:;2007;0;0
Ханты-Мансийский автономный округ - Югра;2007;108;158.7
Ямало-Ненецкий автономный округ;2007;109.3;129.6
Тюменская область  без автономных округов;2007;0;0
Челябинская область;2007;111;107.1
Сибирский        федеральный округ;2007;110.8;119.9
Республика Алтай;2007;111.3;110.3
Республика Тыва;2007;110.8;116.2
Республика Хакасия;2007;111.3;111.3
Алтайский край;2007;112.1;106.9
Красноярский край;2007;109.2;136.7
Иркутская область;2007;112.2;112.9
Кемеровская область;2007;109.8;104.5
Новосибирская область ;2007;111.6;107.9
Омская область;2007;111.5;122.5
Томская область;2007;111.3;114.7
Дальневосточный федеральный округ;2007;109.6;129.4
Республика Бурятия;2007;109.2;156
Республика Саха (Якутия);2007;109;106.9
Забайкальский край;2007;110.9;106.9
Камчатский край;2007;110.1;103.5
Приморский край;2007;109.7;111.7
Хабаровский край ;2007;109.8;109.9
Амурская область;2007;109.6;115.8
Магаданская область;2007;113.3;80.1
Сахалинская область;2007;111.8;104.4
Еврейская автономная область;2007;111.7;116.7
Чукотский автономный округ;2007;107.5;109.1
Центральный федеральный округ;2008;113.3;110.1
Белгородская область;2008;113.6;113.6
Брянская область;2008;115.3;118.6
Владимирская область;2008;114.1;115.1
Воронежская область;2008;114.3;112.2
Ивановская область;2008;114.6;116.9
Калужская область;2008;114.9;114.6
Костромская область;2008;113.3;108
Курская область;2008;117.5;109.6
Липецкая область;2008;116;123.1
Московская область;2008;111.8;113.4
Орловская область;2008;114.3;111.2
Рязанская область;2008;115.4;107.7
Смоленская область;2008;116.8;115.2
Тамбовская область;2008;115.2;112
Тверская область;2008;113.2;110.7
Тульская область;2008;116.4;102.2
Ярославская область;2008;114.8;104.2
г. Москва;2008;112.3;106.8
Северо-Западный федеральный округ;2008;114.1;102.2
Республика Карелия;2008;112.7;102
Республика Коми;2008;113.8;72.3
Архангельская область;2008;114.1;60.8
в том числе: ;2008;0;0
Ненецкий автономный округ;2008;118.4;19.8
Архангельская область без автономного округа;2008;0;0
Вологодская область;2008;114.3;106.7
Калининградская область;2008;115.2;98
Ленинградская область;2008;114.9;116.6
Мурманская область;2008;114.1;110.4
Новгородская область;2008;114;115.8
Псковская область;2008;113;111.2
г. Санкт-Петербург;2008;114.4;117.6
Южный             федеральный округ;2008;114;100.2
Республика Адыгея;2008;115.1;113.7
Республика Калмыкия;2008;116.1;96.9
Республика Крым;2008;0;0
Краснодарский край;2008;113.1;105.1
Астраханская область;2008;113;70.8
Волгоградская область;2008;113.1;84.3
Ростовская область;2008;114.4;112.3
г. Севастополь;2008;0;0
Северо-Кавказский        федеральный округ;2008;0;112.4
Республика Дагестан;2008;115.7;110
Республика Ингушетия;2008;116.9;85.3
Кабардино-Балкарская Республика;2008;116.1;103.9
Карачаево-Черкесская Республика;2008;114.5;114.9
Республика Северная Осетия - Алания;2008;114.3;119.1
Чеченская Республика;2008;120.5;72.8
Ставропольский край;2008;115.1;115.7
Приволжский федеральный округ;2008;113.3;82.1
Республика Башкортостан;2008;112.4;66.7
Республика Марий Эл;2008;113.9;114.8
Республика Мордовия;2008;114.4;106
Республика Татарстан;2008;111.8;73.8
Удмуртская Республика;2008;113.7;75.8
Чувашская Республика;2008;114.2;119
Пермский край;2008;115.3;74.1
Кировская область;2008;114.2;107.6
Нижегородская область ;2008;115.3;95.3
Оренбургская область;2008;112.5;67.5
Пензенская область;2008;115.2;113.1
Самарская область;2008;112.7;93.5
Саратовская область;2008;111.7;99.4
Ульяновская область;2008;114.1;111.6
Уральский         федеральный округ;2008;112.6;88.7
Курганская область;2008;114.5;116.7
Свердловская область ;2008;114.8;112.1
Тюменская область;2008;111.3;73.8
в том числе:;2008;0;0
Ханты-Мансийский автономный округ - Югра;2008;111;61.5
Ямало-Ненецкий автономный округ;2008;110.6;92.1
Тюменская область  без автономных округов;2008;0;0
Челябинская область;2008;112.8;118.6
Сибирский        федеральный округ;2008;112.9;93
Республика Алтай;2008;111.8;115.4
Республика Тыва;2008;114.8;111.4
Республика Хакасия;2008;113;119.7
Алтайский край;2008;114.5;110.1
Красноярский край;2008;111.8;105
Иркутская область;2008;114.9;119.2
Кемеровская область;2008;112.2;74.9
Новосибирская область ;2008;113.1;101.6
Омская область;2008;112.2;112.8
Томская область;2008;112.4;116.7
Дальневосточный федеральный округ;2008;113.6;74.2
Республика Бурятия;2008;112.6;61.6
Республика Саха (Якутия);2008;112.5;116.2
Забайкальский край;2008;112.6;123.2
Камчатский край;2008;114.8;101.7
Приморский край;2008;113.5;112.4
Хабаровский край ;2008;114.1;107.1
Амурская область;2008;114.1;117.8
Магаданская область;2008;119.3;118.3
Сахалинская область;2008;113.1;118.4
Еврейская автономная область;2008;115;114.3
Чукотский автономный округ;2008;109.9;140.9
Центральный федеральный округ;2009;109.4;105.7
Белгородская область;2009;108.9;92.1
Брянская область;2009;110.6;101.9
Владимирская область;2009;108.6;105
Воронежская область;2009;110.9;107.4
Ивановская область;2009;108.8;109.1
Калужская область;2009;110.2;106.7
Костромская область;2009;108.8;103
Курская область;2009;110.9;99.8
Липецкая область;2009;108.7;98.6
Московская область;2009;110.9;100.4
Орловская область;2009;108.6;106.4
Рязанская область;2009;108.3;110.8
Смоленская область;2009;110;109.2
Тамбовская область;2009;108.1;105.5
Тверская область;2009;108.3;105.6
Тульская область;2009;109.5;105.2
Ярославская область;2009;109.5;109.3
г. Москва;2009;109.8;110.1
Северо-Западный федеральный округ;2009;108.5;110.2
Республика Карелия;2009;110;97.1
Республика Коми;2009;108.6;126.4
Архангельская область;2009;108.6;161.8
в том числе: ;2009;0;0
Ненецкий автономный округ;2009;105.9;479.2
Архангельская область без автономного округа;2009;0;0
Вологодская область;2009;107.2;97.9
Калининградская область;2009;108;120.5
Ленинградская область;2009;110.1;100.7
Мурманская область;2009;110.6;115
Новгородская область;2009;108.3;106.3
Псковская область;2009;108.3;105.7
г. Санкт-Петербург;2009;108.5;107.5
Южный             федеральный округ;2009;109.5;106.7
Республика Адыгея;2009;108.5;101.8
Республика Калмыкия;2009;107.2;131.2
Республика Крым;2009;0;0
Краснодарский край;2009;109.8;105.6
Астраханская область;2009;109;142.7
Волгоградская область;2009;108.8;109.9
Ростовская область;2009;109.7;100.9
г. Севастополь;2009;0;0
Северо-Кавказский        федеральный округ;2009;0;111.5
Республика Дагестан;2009;111.9;113.8
Республика Ингушетия;2009;112;128.1
Кабардино-Балкарская Республика;2009;110.1;113.6
Карачаево-Черкесская Республика;2009;110.1;106.2
Республика Северная Осетия - Алания;2009;108.4;100.7
Чеченская Республика;2009;112.1;212.1
Ставропольский край;2009;109;104.8
Приволжский федеральный округ;2009;107.9;117.7
Республика Башкортостан;2009;108.3;137
Республика Марий Эл;2009;108.5;98.5
Республика Мордовия;2009;109.1;92.5
Республика Татарстан;2009;107.5;128.5
Удмуртская Республика;2009;109.6;124.7
Чувашская Республика;2009;106.3;106.2
Пермский край;2009;108.9;110
Кировская область;2009;108.5;101.7
Нижегородская область ;2009;108.4;112.3
Оренбургская область;2009;107.7;128.3
Пензенская область;2009;108.2;107.7
Самарская область;2009;108.1;112.9
Саратовская область;2009;108.5;107.7
Ульяновская область;2009;107.6;106.2
Уральский         федеральный округ;2009;108.8;122.1
Курганская область;2009;109.5;104.4
Свердловская область ;2009;108.9;103.8
Тюменская область;2009;108.8;144.3
в том числе:;2009;0;0
Ханты-Мансийский автономный округ - Югра;2009;110;172
Ямало-Ненецкий автономный округ;2009;107.7;124.1
Тюменская область  без автономных округов;2009;0;0
Челябинская область;2009;108.6;98.4
Сибирский        федеральный округ;2009;108.4;111
Республика Алтай;2009;111.2;118.7
Республика Тыва;2009;108;103.1
Республика Хакасия;2009;111;131.5
Алтайский край;2009;110.1;104.1
Красноярский край;2009;107.7;95.1
Иркутская область;2009;108;107.6
Кемеровская область;2009;107.7;124.1
Новосибирская область ;2009;108.2;106
Омская область;2009;107.2;99.5
Томская область;2009;108.9;102.6
Дальневосточный федеральный округ;2009;109.7;128.3
Республика Бурятия;2009;108;136.6
Республика Саха (Якутия);2009;108.2;110.9
Забайкальский край;2009;111.4;108.2
Камчатский край;2009;110.7;125.9
Приморский край;2009;109.5;109.7
Хабаровский край ;2009;109.5;116.2
Амурская область;2009;109.6;123
Магаданская область;2009;113.4;130.2
Сахалинская область;2009;110.7;104.8
Еврейская автономная область;2009;112.2;110.4
Чукотский автономный округ;2009;117.2;111.3
Центральный федеральный округ;2010;108.9;115.2
Белгородская область;2010;109;128.1
Брянская область;2010;110.6;112
Владимирская область;2010;109.8;115.6
Воронежская область;2010;107.9;121.4
Ивановская область;2010;112.2;111.9
Калужская область;2010;108.5;107.5
Костромская область;2010;110.9;115.6
Курская область;2010;109.5;131.1
Липецкая область;2010;108.1;108.9
Московская область;2010;108;113.8
Орловская область;2010;109;113
Рязанская область;2010;109.9;113.9
Смоленская область;2010;110.9;112.6
Тамбовская область;2010;108.1;111.8
Тверская область;2010;109.7;108.7
Тульская область;2010;110.1;128
Ярославская область;2010;110.5;113.4
г. Москва;2010;109.1;114.3
Северо-Западный федеральный округ;2010;109.2;116
Республика Карелия;2010;109.9;137.5
Республика Коми;2010;108.1;118.8
Архангельская область;2010;109.4;113
в том числе: ;2010;0;0
Ненецкий автономный округ;2010;106.7;109.7
Архангельская область без автономного округа;2010;0;0
Вологодская область;2010;109.2;130.3
Калининградская область;2010;108;105.6
Ленинградская область;2010;111.1;111.7
Мурманская область;2010;108.6;133.6
Новгородская область;2010;109.3;122
Псковская область;2010;108.6;113.4
г. Санкт-Петербург;2010;109.4;108.3
Южный             федеральный округ;2010;109;119
Республика Адыгея;2010;110.1;117.4
Республика Калмыкия;2010;112.6;125.7
Республика Крым;2010;0;0
Краснодарский край;2010;108.5;114
Астраханская область;2010;109.8;137.9
Волгоградская область;2010;109.5;124.6
Ростовская область;2010;109.4;111.8
г. Севастополь;2010;0;0
Северо-Кавказский        федеральный округ;2010;110.6;113.8
Республика Дагестан;2010;113.9;106.7
Республика Ингушетия;2010;106.1;122.2
Кабардино-Балкарская Республика;2010;111.4;119.1
Карачаево-Черкесская Республика;2010;111.7;112.8
Республика Северная Осетия - Алания;2010;110.7;106.2
Чеченская Республика;2010;112.1;131.5
Ставропольский край;2010;110.1;112.7
Приволжский федеральный округ;2010;109.3;116.8
Республика Башкортостан;2010;109.6;124.9
Республика Марий Эл;2010;111.5;114.6
Республика Мордовия;2010;109.5;121.5
Республика Татарстан;2010;108.2;111.9
Удмуртская Республика;2010;110.9;113.3
Чувашская Республика;2010;109.8;106.3
Пермский край;2010;110.2;123.6
Кировская область;2010;110.9;118.6
Нижегородская область ;2010;109.9;118
Оренбургская область;2010;109.2;114.8
Пензенская область;2010;109.8;111.7
Самарская область;2010;107.8;108.7
Саратовская область;2010;108.5;118.7
Ульяновская область;2010;110.6;107.8
Уральский         федеральный округ;2010;109.8;116.2
Курганская область;2010;110.1;108.1
Свердловская область ;2010;110;118.3
Тюменская область;2010;108.4;115.6
в том числе:;2010;0;0
Ханты-Мансийский автономный округ - Югра;2010;107.8;115.8
Ямало-Ненецкий автономный округ;2010;108.2;105.5
Тюменская область  без автономных округов;2010;0;0
Челябинская область;2010;109.6;117.3
Сибирский        федеральный округ;2010;107.9;123.3
Республика Алтай;2010;108.6;118.7
Республика Тыва;2010;108.3;116.2
Республика Хакасия;2010;108.4;125.9
Алтайский край;2010;108.2;137.5
Красноярский край;2010;107.9;129.7
Иркутская область;2010;109.5;115.2
Кемеровская область;2010;107.9;125.3
Новосибирская область ;2010;106.2;122
Омская область;2010;108.5;134
Томская область;2010;107.9;112.5
Дальневосточный федеральный округ;2010;107.7;116.1
Республика Бурятия;2010;109.4;114.9
Республика Саха (Якутия);2010;106;110.4
Забайкальский край;2010;109;103.9
Камчатский край;2010;110.2;119
Приморский край;2010;107;110.5
Хабаровский край ;2010;108.1;109.1
Амурская область;2010;109.4;115.4
Магаданская область;2010;108.5;176.2
Сахалинская область;2010;110;104
Еврейская автономная область;2010;109.5;112.5
Чукотский автономный округ;2010;101.4;128.3
Центральный федеральный округ;2011;106;107.8
Белгородская область;2011;105.5;107.3
Брянская область;2011;105.8;107.5
Владимирская область;2011;105.7;101.3
Воронежская область;2011;104.1;100
Ивановская область;2011;106.4;115.4
Калужская область;2011;106.8;105.3
Костромская область;2011;105.7;114.3
Курская область;2011;105.5;100.8
Липецкая область;2011;104.7;108.3
Московская область;2011;105.8;109.2
Орловская область;2011;105.8;103.6
Рязанская область;2011;105.8;107.2
Смоленская область;2011;106.4;104.3
Тамбовская область;2011;105.5;104.2
Тверская область;2011;105.3;100.9
Тульская область;2011;105.7;110.7
Ярославская область;2011;106;108.7
г. Москва;2011;106.4;108.9
Северо-Западный федеральный округ;2011;105.8;110.1
Республика Карелия;2011;105.3;108.8
Республика Коми;2011;106.3;123.8
Архангельская область;2011;105.4;116.8
в том числе: ;2011;0;0
Ненецкий автономный округ;2011;104.5;126.3
Архангельская область без автономного округа;2011;0;0
Вологодская область;2011;105.7;108.6
Калининградская область;2011;105.7;117.4
Ленинградская область;2011;106.4;106.3
Мурманская область;2011;106;105.4
Новгородская область;2011;104.9;108.1
Псковская область;2011;105.6;108.8
г. Санкт-Петербург;2011;105.9;106.8
Южный             федеральный округ;2011;106.1;109.9
Республика Адыгея;2011;106.2;102.9
Республика Калмыкия;2011;107.2;119.9
Республика Крым;2011;0;0
Краснодарский край;2011;106.6;108
Астраханская область;2011;105.2;119.6
Волгоградская область;2011;105.3;112.7
Ростовская область;2011;106.1;106.7
г. Севастополь;2011;0;0
Северо-Кавказский        федеральный округ;2011;105.2;108.7
Республика Дагестан;2011;106.5;98.2
Республика Ингушетия;2011;103.8;125.1
Кабардино-Балкарская Республика;2011;106.7;112
Карачаево-Черкесская Республика;2011;105.1;112.3
Республика Северная Осетия - Алания;2011;105.6;98.5
Чеченская Республика;2011;107.6;114.2
Ставропольский край;2011;104;110.6
Приволжский федеральный округ;2011;106.2;112.9
Республика Башкортостан;2011;106.4;110.3
Республика Марий Эл;2011;106;111.4
Республика Мордовия;2011;105.1;106.5
Республика Татарстан;2011;105.9;116.5
Удмуртская Республика;2011;106.7;113
Чувашская Республика;2011;106.2;107.1
Пермский край;2011;106.7;116.6
Кировская область;2011;106.7;113
Нижегородская область ;2011;106.7;109.2
Оренбургская область;2011;105.7;122.3
Пензенская область;2011;105.6;104.6
Самарская область;2011;105.7;111.8
Саратовская область;2011;105.3;103
Ульяновская область;2011;106.7;110.2
Уральский         федеральный округ;2011;106.4;116.7
Курганская область;2011;107;106.1
Свердловская область ;2011;106.4;107.8
Тюменская область;2011;104.9;121.4
в том числе:;2011;0;0
Ханты-Мансийский автономный округ - Югра;2011;105.3;125.2
Ямало-Ненецкий автономный округ;2011;103.1;116.7
Тюменская область  без автономных округов;2011;0;0
Челябинская область;2011;108.3;107.4
Сибирский        федеральный округ;2011;106.3;109.2
Республика Алтай;2011;106.4;107.6
Республика Тыва;2011;107.3;106.8
Республика Хакасия;2011;107.6;105.2
Алтайский край;2011;104.8;93.8
Красноярский край;2011;106.1;100.1
Иркутская область;2011;107.4;117.9
Кемеровская область;2011;106.5;102.1
Новосибирская область ;2011;106.2;106.9
Омская область;2011;105;117.2
Томская область;2011;106.1;109.6
Дальневосточный федеральный округ;2011;106.8;112.7
Республика Бурятия;2011;107.5;116.7
Республика Саха (Якутия);2011;107;117.7
Забайкальский край;2011;107.8;107.9
Камчатский край;2011;105.8;106.5
Приморский край;2011;105.6;107.1
Хабаровский край ;2011;107.9;110.9
Амурская область;2011;107.6;114.1
Магаданская область;2011;109.2;114.6
Сахалинская область;2011;106.4;132.8
Еврейская автономная область;2011;108.9;111.1
Чукотский автономный округ;2011;105.4;124.9
Центральный федеральный округ;2012;106.9;102.5
Белгородская область;2012;106.2;101.9
Брянская область;2012;107.5;102.4
Владимирская область;2012;106.7;108.9
Воронежская область;2012;107.3;105.2
Ивановская область;2012;107.1;105.6
Калужская область;2012;107.6;103.1
Костромская область;2012;107.5;103.4
Курская область;2012;105.8;101.9
Липецкая область;2012;106.6;95.2
Московская область;2012;105.6;96
Орловская область;2012;106.8;106.4
Рязанская область;2012;107;127.4
Смоленская область;2012;106.5;105.5
Тамбовская область;2012;107;106.1
Тверская область;2012;106.7;106.3
Тульская область;2012;107.3;105.1
Ярославская область;2012;107.8;105.2
г. Москва;2012;107.3;103.5
Северо-Западный федеральный округ;2012;106.1;103.1
Республика Карелия;2012;106.1;95
Республика Коми;2012;106;103.5
Архангельская область;2012;105.9;105.7
в том числе: ;2012;0;0
Ненецкий автономный округ;2012;105.7;101.9
Архангельская область без автономного округа;2012;0;0
Вологодская область;2012;106;93.7
Калининградская область;2012;105.6;96.6
Ленинградская область;2012;106.5;105.1
Мурманская область;2012;105.6;102.3
Новгородская область;2012;106.7;105.7
Псковская область;2012;107.3;103.9
г. Санкт-Петербург;2012;106.1;105.9
Южный             федеральный округ;2012;106.6;102.9
Республика Адыгея;2012;106.6;111.2
Республика Калмыкия;2012;107.6;99.5
Республика Крым;2012;0;0
Краснодарский край;2012;106.7;105
Астраханская область;2012;106.1;96.7
Волгоградская область;2012;106.6;100.9
Ростовская область;2012;106.7;103.7
г. Севастополь;2012;0;0
Северо-Кавказский        федеральный округ;2012;106.6;107.3
Республика Дагестан;2012;107.4;103.1
Республика Ингушетия;2012;105.2;99.7
Кабардино-Балкарская Республика;2012;108.8;102.6
Карачаево-Черкесская Республика;2012;106.2;104.7
Республика Северная Осетия - Алания;2012;106.4;107.2
Чеченская Республика;2012;106.1;108.1
Ставропольский край;2012;106;109.2
Приволжский федеральный округ;2012;106.4;103.6
Республика Башкортостан;2012;106.2;103.6
Республика Марий Эл;2012;106.3;101.7
Республика Мордовия;2012;106;100.6
Республика Татарстан;2012;106.4;102.6
Удмуртская Республика;2012;107.2;105.8
Чувашская Республика;2012;105.8;104.9
Пермский край;2012;107.3;103.9
Кировская область;2012;106.9;98.8
Нижегородская область ;2012;106.9;104
Оренбургская область;2012;106.3;101.2
Пензенская область;2012;105.8;104.5
Самарская область;2012;105.8;104.8
Саратовская область;2012;106;103.4
Ульяновская область;2012;106.5;106
Уральский         федеральный округ;2012;106.4;110.3
Курганская область;2012;107.3;107.2
Свердловская область ;2012;107.3;100
Тюменская область;2012;105.5;115
в том числе:;2012;0;0
Ханты-Мансийский автономный округ - Югра;2012;104.8;109.9
Ямало-Ненецкий автономный округ;2012;104;149
Тюменская область  без автономных округов;2012;0;0
Челябинская область;2012;106.3;100.8
Сибирский        федеральный округ;2012;106.7;101.7
Республика Алтай;2012;107;106.9
Республика Тыва;2012;107.5;105.5
Республика Хакасия;2012;106;109.6
Алтайский край;2012;107.2;106.3
Красноярский край;2012;106.8;102
Иркутская область;2012;106.9;98.3
Кемеровская область;2012;107.5;105.5
Новосибирская область ;2012;105.4;108.1
Омская область;2012;106.9;88.6
Томская область;2012;107.4;106.3
Дальневосточный федеральный округ;2012;105.9;106.4
Республика Бурятия;2012;106.8;101
Республика Саха (Якутия);2012;105.4;108.8
Забайкальский край;2012;105.6;109.4
Камчатский край;2012;105.6;104.1
Приморский край;2012;106;107.3
Хабаровский край ;2012;105.4;103.5
Амурская область;2012;107.2;102.2
Магаданская область;2012;108.7;104.1
Сахалинская область;2012;106;112.7
Еврейская автономная область;2012;106.5;111.9
Чукотский автономный округ;2012;106;102.6
Центральный федеральный округ;2013;106.7;103.6
Белгородская область;2013;106.2;99.2
Брянская область;2013;107.2;106.7
Владимирская область;2013;107.5;102.1
Воронежская область;2013;107.1;104.5
Ивановская область;2013;107.4;104.9
Калужская область;2013;107.6;103.4
Костромская область;2013;107.4;102.5
Курская область;2013;105.9;108.7
Липецкая область;2013;106.3;101.8
Московская область;2013;107.4;104.1
Орловская область;2013;107.4;102.6
Рязанская область;2013;108.1;104.5
Смоленская область;2013;106.2;104.4
Тамбовская область;2013;107.2;101.4
Тверская область;2013;107.2;102.5
Тульская область;2013;107.2;103.2
Ярославская область;2013;107;102.7
г. Москва;2013;106.2;104.1
Северо-Западный федеральный округ;2013;106.6;104.2
Республика Карелия;2013;106.5;112.6
Республика Коми;2013;106.6;104.6
Архангельская область;2013;106.7;104.3
в том числе: ;2013;0;0
Ненецкий автономный округ;2013;105.6;112.9
Архангельская область без автономного округа;2013;106.8;102.1
Вологодская область;2013;107.2;102.1
Калининградская область;2013;107;101.4
Ленинградская область;2013;106;102.9
Мурманская область;2013;106.5;110.7
Новгородская область;2013;106.7;103.7
Псковская область;2013;107.2;101
г. Санкт-Петербург;2013;106.7;104.4
Южный             федеральный округ;2013;106.6;105.1
Республика Адыгея;2013;106.9;99.8
Республика Калмыкия;2013;107.8;113.3
Республика Крым;2013;0;0
Краснодарский край;2013;107.2;103.7
Астраханская область;2013;106.4;121.2
Волгоградская область;2013;105.4;104.7
Ростовская область;2013;106.6;104
г. Севастополь;2013;0;0
Северо-Кавказский        федеральный округ;2013;106.1;102.6
Республика Дагестан;2013;104.4;105.7
Республика Ингушетия;2013;104.5;100.9
Кабардино-Балкарская Республика;2013;107.5;101.5
Карачаево-Черкесская Республика;2013;107.4;102.8
Республика Северная Осетия - Алания;2013;106.1;100.4
Чеченская Республика;2013;106.2;101.5
Ставропольский край;2013;106.7;102.5
Приволжский федеральный округ;2013;106.3;104.7
Республика Башкортостан;2013;106;107.3
Республика Марий Эл;2013;106.5;103.2
Республика Мордовия;2013;106.3;102.5
Республика Татарстан;2013;106.3;104
Удмуртская Республика;2013;106.5;108.5
Чувашская Республика;2013;106.3;101.8
Пермский край;2013;106.5;101.3
Кировская область;2013;107.3;105.8
Нижегородская область ;2013;106.9;105.6
Оренбургская область;2013;106;107.3
Пензенская область;2013;106.2;102.8
Самарская область;2013;105.6;105
Саратовская область;2013;106.2;103.2
Ульяновская область;2013;106.4;103.6
Уральский         федеральный округ;2013;106.2;101.9
Курганская область;2013;105.9;104.2
Свердловская область ;2013;107;96.4
Тюменская область;2013;105.9;103.8
в том числе:;2013;0;0
Ханты-Мансийский автономный округ - Югра;2013;106.2;106.5
Ямало-Ненецкий автономный округ;2013;106.8;105.3
Тюменская область  без автономных округов;2013;105.4;89.9
Челябинская область;2013;105.4;99.1
Сибирский        федеральный округ;2013;106.1;101.4
Республика Алтай;2013;106.4;104.9
Республика Тыва;2013;105.4;107.1
Республика Хакасия;2013;105.4;107.9
Алтайский край;2013;107;97.2
Красноярский край;2013;104.8;98.2
Иркутская область;2013;105.1;92.8
Кемеровская область;2013;106.7;99.3
Новосибирская область ;2013;105.8;101.6
Омская область;2013;106.1;98
Томская область;2013;106.6;102.8
Дальневосточный федеральный округ;2013;106.6;102.6
Республика Бурятия;2013;107.5;118.8
Республика Саха (Якутия);2013;106;101.5
Забайкальский край;2013;108.3;102.9
Камчатский край;2013;106.3;97.6
Приморский край;2013;106.3;105.8
Хабаровский край ;2013;106.3;104.5
Амурская область;2013;107.7;93.2
Магаданская область;2013;109;94.3
Сахалинская область;2013;106.5;112
Еврейская автономная область;2013;108.5;106.6
Чукотский автономный округ;2013;105.2;82.3
Центральный федеральный округ;2014;112;106.6
Белгородская область;2014;110.5;111.7
Брянская область;2014;113.3;102.9
Владимирская область;2014;113.3;110
Воронежская область;2014;112;111
Ивановская область;2014;112.2;104.4
Калужская область;2014;113.2;109
Костромская область;2014;111;101.3
Курская область;2014;110.9;98.4
Липецкая область;2014;111.9;114.8
Московская область;2014;112.2;109.1
Орловская область;2014;112.7;109.3
Рязанская область;2014;113.5;105.8
Смоленская область;2014;114.2;104.7
Тамбовская область;2014;112.2;114.5
Тверская область;2014;113.6;105.8
Тульская область;2014;112.4;107.8
Ярославская область;2014;113.5;104
г. Москва;2014;111.7;104.3
Северо-Западный федеральный округ;2014;112.5;110
Республика Карелия;2014;110.9;96.5
Республика Коми;2014;110.9;99.4
Архангельская область;2014;113;103
в том числе: ;2014;0;0
Ненецкий автономный округ;2014;109.7;96.4
Архангельская область без автономного округа;2014;113;104.6
Вологодская область;2014;112;109.7
Калининградская область;2014;115.6;129.3
Ленинградская область;2014;111.5;108.1
Мурманская область;2014;110.3;110.7
Новгородская область;2014;111;111.9
Псковская область;2014;112;115.6
г. Санкт-Петербург;2014;113.3;109.9
Южный             федеральный округ;2014;111.9;106.1
Республика Адыгея;2014;111.4;109.2
Республика Калмыкия;2014;111.1;101.9
Республика Крым;2014;142.5;0
Краснодарский край;2014;112.2;106.6
Астраханская область;2014;110.7;118.6
Волгоградская область;2014;112;102.1
Ростовская область;2014;111.8;106.8
г. Севастополь;2014;136.1;0
Северо-Кавказский        федеральный округ;2014;109.6;105.3
Республика Дагестан;2014;110.5;101.3
Республика Ингушетия;2014;108.1;102.3
Кабардино-Балкарская Республика;2014;108.5;102.6
Карачаево-Черкесская Республика;2014;110.4;107.6
Республика Северная Осетия - Алания;2014;110.2;110.3
Чеченская Республика;2014;111.1;97.9
Ставропольский край;2014;108.6;106.5
Приволжский федеральный округ;2014;110.9;104.5
Республика Башкортостан;2014;111.2;104
Республика Марий Эл;2014;111.6;106.4
Республика Мордовия;2014;111.6;105.2
Республика Татарстан;2014;109.7;104
Удмуртская Республика;2014;109.6;102.5
Чувашская Республика;2014;110.9;103.5
Пермский край;2014;110.4;101.2
Кировская область;2014;111;113.1
Нижегородская область ;2014;111.4;103.5
Оренбургская область;2014;110.9;105.8
Пензенская область;2014;110.9;110.4
Самарская область;2014;111.8;105.5
Саратовская область;2014;110.9;108.9
Ульяновская область;2014;111.4;105.5
Уральский         федеральный округ;2014;109.9;105.5
Курганская область;2014;112;104.6
Свердловская область ;2014;110.6;106.6
Тюменская область;2014;108.7;103
в том числе:;2014;0;0
Ханты-Мансийский автономный округ - Югра;2014;108.2;93.6
Ямало-Ненецкий автономный округ;2014;107.5;112.7
Тюменская область  без автономных округов;2014;110;114.6
Челябинская область;2014;109.9;114.6
Сибирский        федеральный округ;2014;110.8;110.9
Республика Алтай;2014;110.1;108.9
Республика Тыва;2014;109.5;111.3
Республика Хакасия;2014;110.5;104.7
Алтайский край;2014;111.2;133.4
Красноярский край;2014;109.5;114.4
Иркутская область;2014;110.8;110.7
Кемеровская область;2014;111.9;117.1
Новосибирская область ;2014;110.2;120.2
Омская область;2014;111.4;111.3
Томская область;2014;110.7;107.2
Дальневосточный федеральный округ;2014;110.7;99
Республика Бурятия;2014;111.8;100.8
Республика Саха (Якутия);2014;110.3;110.4
Забайкальский край;2014;111.2;109.6
Камчатский край;2014;107.8;111.1
Приморский край;2014;112;108.4
Хабаровский край ;2014;111.8;107.6
Амурская область;2014;110.5;116.1
Магаданская область;2014;107.8;108.7
Сахалинская область;2014;108.6;119.1
Еврейская автономная область;2014;111.8;105.5
Чукотский автономный округ;2014;104;110.6
Центральный федеральный округ;2015;113.7;114.4
Белгородская область;2015;111.4;109.9
Брянская область;2015;113.2;112.6
Владимирская область;2015;112.5;114.1
Воронежская область;2015;113.6;109.6
Ивановская область;2015;113.8;108
