Субъекты РФ;Год;Экспорт (млн. дол. США);Импорт (млн. дол. США)
Псковская область;2007;930.1;316.1
г. Санкт-Петербург;2007;264;593.9
Южный             федеральный округ;2007;17808;20010
Республика Адыгея;2007;10296.7;8458.4
Республика Калмыкия;2007;9;18.7
Республика Крым;2007;63.1;39.5
Краснодарский край;2007;0;0
Астраханская область;2007;3376;2651.7
Волгоградская область;2007;747.1;254.9
Ростовская область;2007;3119;857.4
г. Севастополь;2007;2982.5;4636.2
Северо-Кавказский        федеральный округ;2007;0;0
Республика Дагестан;2007;1270.2;736.9
Республика Ингушетия;2007;112.7;243.7
Кабардино-Балкарская Республика;2007;41;3
Карачаево-Черкесская Республика;2007;22.8;45
Республика Северная Осетия - Алания;2007;39.4;39.9
Чеченская Республика;2007;131.6;61.5
Ставропольский край;2007;0.1;1.4
Приволжский федеральный округ;2007;922.6;342.4
Республика Башкортостан;2007;39980.3;10491.5
Республика Марий Эл;2007;6665.6;828.4
Республика Мордовия;2007;257.2;42.9
Республика Татарстан;2007;67.6;136.3
Удмуртская Республика;2007;12934.9;1532.1
Чувашская Республика;2007;337.1;712.4
Пермский край;2007;251.3;167.4
Кировская область;2007;3585.5;518.7
Нижегородская область ;2007;748.7;256.2
Оренбургская область;2007;2760.8;2474.3
Пензенская область;2007;3538.8;1325.4
Самарская область;2007;146.1;164.2
Саратовская область;2007;6909.8;1627.3
Ульяновская область;2007;1356.7;483.2
Уральский         федеральный округ;2007;420.2;222.7
Курганская область;2007;59226.8;7172.2
Свердловская область ;2007;219.7;328.3
Тюменская область;2007;9284.7;2951.5
в том числе:;2007;42745.2;1148.9
Ханты-Мансийский автономный округ - Югра;2007;0;0
Ямало-Ненецкий автономный округ;2007;17434.3;628.4
Тюменская область  без автономных округов;2007;404.7;224.3
Челябинская область;2007;24906.2;296.2
Сибирский        федеральный округ;2007;6977.2;2743.5
Республика Алтай;2007;28607.8;6614.6
Республика Тыва;2007;20.6;147.6
Республика Хакасия;2007;0.8;19.8
Алтайский край;2007;1439.8;633.4
Красноярский край;2007;942.4;337.4
Иркутская область;2007;11831.2;1258.5
Кемеровская область;2007;4579;1423.9
Новосибирская область ;2007;6961.9;667.9
Омская область;2007;1421.4;1451.9
Томская область;2007;556.5;529.8
Дальневосточный федеральный округ;2007;854.2;144.4
Республика Бурятия;2007;13171.4;8302.7
Республика Саха (Якутия);2007;330;187.5
Забайкальский край;2007;2094;64.5
Камчатский край;2007;353.4;401.8
Приморский край;2007;145.3;75.2
Хабаровский край ;2007;1111.8;4214.9
Амурская область;2007;1753.8;1052.7
Магаданская область;2007;209.4;278.2
Сахалинская область;2007;117.2;103.7
Еврейская автономная область;2007;7037.8;1791.9
Чукотский автономный округ;2007;18;16.4
Центральный федеральный округ;2008;467581;267101
Белгородская область;2008;201983.6;154116.1
Брянская область;2008;3770.1;5047.6
Владимирская область;2008;329.2;1033.2
Воронежская область;2008;467;983.7
Ивановская область;2008;975.4;908.1
Калужская область;2008;114.8;472.2
Костромская область;2008;266.3;5331.5
Курская область;2008;226.1;219.1
Липецкая область;2008;868.4;496.6
Московская область;2008;5257.1;1487.4
Орловская область;2008;4616.1;18505
Рязанская область;2008;474.1;579.3
Смоленская область;2008;278.8;728.5
Тамбовская область;2008;687.5;746.5
Тверская область;2008;74.8;191.7
Тульская область;2008;302.3;438.5
Ярославская область;2008;4093.6;1039.7
г. Москва;2008;517.4;481.6
Северо-Западный федеральный округ;2008;178664.6;115425.9
Республика Карелия;2008;49321.1;47360.2
Республика Коми;2008;1402.7;395.8
Архангельская область;2008;1193.9;378.5
в том числе: ;2008;2399.6;400.2
Ненецкий автономный округ;2008;0;0
Архангельская область без автономного округа;2008;316.8;0.2
Вологодская область;2008;2082.8;400
Калининградская область;2008;4550.3;571.8
Ленинградская область;2008;697.1;9425.8
Мурманская область;2008;11565.2;8736.9
Новгородская область;2008;2307.9;357.2
Псковская область;2008;1326.2;447.1
г. Санкт-Петербург;2008;225.4;908.3
Южный             федеральный округ;2008;23652.8;25738.5
Республика Адыгея;2008;13553.2;10830.7
Республика Калмыкия;2008;14.7;63
Республика Крым;2008;70.9;59.5
Краснодарский край;2008;0;0
Астраханская область;2008;4259;3510.9
Волгоградская область;2008;1321.3;240.2
Ростовская область;2008;4166.3;990.3
г. Севастополь;2008;3721;5966.8
Северо-Кавказский        федеральный округ;2008;0;0
Республика Дагестан;2008;1651.1;1250.4
Республика Ингушетия;2008;282.8;504.1
Кабардино-Балкарская Республика;2008;32.7;3.6
Карачаево-Черкесская Республика;2008;16.4;91.8
Республика Северная Осетия - Алания;2008;36.5;69.5
Чеченская Республика;2008;97.1;66.4
Ставропольский край;2008;1.2;13.3
Приволжский федеральный округ;2008;1184.4;501.7
Республика Башкортостан;2008;54666.9;13445
Республика Марий Эл;2008;8202.5;870.3
Республика Мордовия;2008;318.6;72.4
Республика Татарстан;2008;116.4;264.3
Удмуртская Республика;2008;17570.7;2571.5
Чувашская Республика;2008;361.6;545.5
Пермский край;2008;308.7;165
Кировская область;2008;6936.4;782.3
Нижегородская область ;2008;906.6;261.8
Оренбургская область;2008;2796.4;3050.7
Пензенская область;2008;4590;1736.5
Самарская область;2008;139.1;212.1
Саратовская область;2008;9726.3;1969.4
Ульяновская область;2008;2294.8;730.9
Уральский         федеральный округ;2008;398.8;212.3
Курганская область;2008;78027.7;10792
Свердловская область ;2008;232.5;375
Тюменская область;2008;10263.5;4541.8
в том числе:;2008;59553;1874.2
Ханты-Мансийский автономный округ - Югра;2008;0;0
Ямало-Ненецкий автономный округ;2008;24538.7;887.6
Тюменская область  без автономных округов;2008;149.9;624.6
Челябинская область;2008;34864.4;362
Сибирский        федеральный округ;2008;7978.7;4001
Республика Алтай;2008;29983.3;9113.7
Республика Тыва;2008;28.7;48.2
Республика Хакасия;2008;0.8;6.6
Алтайский край;2008;2088.4;811.9
Красноярский край;2008;1317.3;663.4
Иркутская область;2008;8754.4;2039.7
Кемеровская область;2008;5189;1785
Новосибирская область ;2008;9747.6;997.8
Омская область;2008;1563.8;1838.6
Томская область;2008;558.2;724.2
Дальневосточный федеральный округ;2008;735.1;198.3
Республика Бурятия;2008;14621.5;9517.7
Республика Саха (Якутия);2008;339.2;185.4
Забайкальский край;2008;2291.4;102.7
Камчатский край;2008;218.1;482.2
Приморский край;2008;170.7;117.7
Хабаровский край ;2008;871;5810.1
Амурская область;2008;1714.5;1093.9
Магаданская область;2008;272.2;413.6
Сахалинская область;2008;128.4;128.7
Еврейская автономная область;2008;8592.3;1006.2
Чукотский автономный округ;2008;22.5;36.9
Центральный федеральный округ;2009;301751;167457
Белгородская область;2009;126882.9;96688.9
Брянская область;2009;1761.9;2137.2
Владимирская область;2009;100.3;560.3
Воронежская область;2009;488.2;730.9
Ивановская область;2009;649.6;434.3
Калужская область;2009;87.3;500.2
Костромская область;2009;219.3;3273
Курская область;2009;161;113.5
Липецкая область;2009;381.2;363.4
Московская область;2009;2917.3;824.7
Орловская область;2009;2787.8;13960.8
Рязанская область;2009;283;337.3
Смоленская область;2009;189.9;332.5
Тамбовская область;2009;431.7;409.1
Тверская область;2009;51.8;131.1
Тульская область;2009;216.6;399
Ярославская область;2009;2102.5;830.2
г. Москва;2009;292.4;470.8
Северо-Западный федеральный округ;2009;113761.3;70880.5
Республика Карелия;2009;31816.4;29254.1
Республика Коми;2009;1006.6;224.8
Архангельская область;2009;790.8;351.1
в том числе: ;2009;4086.6;234.5
Ненецкий автономный округ;2009;0;0
Архангельская область без автономного округа;2009;73.4;3.9
Вологодская область;2009;4013.2;230.6
Калининградская область;2009;2340.8;411.3
Ленинградская область;2009;561.8;5242
Мурманская область;2009;7162;3660.4
Новгородская область;2009;1641.3;343.1
Псковская область;2009;726.5;301.3
г. Санкт-Петербург;2009;60.8;644.1
Южный             федеральный округ;2009;13439.2;17841.6
Республика Адыгея;2009;8340.7;7073.5
Республика Калмыкия;2009;9.8;45.4
Республика Крым;2009;2.2;56.5
Краснодарский край;2009;0;0
Астраханская область;2009;3208.6;2781.5
Волгоградская область;2009;457.5;428.2
Ростовская область;2009;2192.2;695.5
г. Севастополь;2009;2470.4;3066.4
Северо-Кавказский        федеральный округ;2009;0;0
Республика Дагестан;2009;1104.1;844.6
Республика Ингушетия;2009;60.5;264.4
Кабардино-Балкарская Республика;2009;5.4;4.8
Карачаево-Черкесская Республика;2009;8.5;71.6
Республика Северная Осетия - Алания;2009;32.6;41.7
Чеченская Республика;2009;87.1;38.5
Ставропольский край;2009;0.2;4
Приволжский федеральный округ;2009;909.8;419.6
Республика Башкортостан;2009;32556;8622
Республика Марий Эл;2009;4736;524.2
Республика Мордовия;2009;250.4;49.6
Республика Татарстан;2009;137.1;199
Удмуртская Республика;2009;11052.8;1576.7
Чувашская Республика;2009;182.7;190.4
Пермский край;2009;201.4;136.2
Кировская область;2009;3093.4;685.7
Нижегородская область ;2009;671.6;121.8
Оренбургская область;2009;2625.9;2251.2
Пензенская область;2009;2649.2;992.3
Самарская область;2009;137.1;101.4
Саратовская область;2009;5220.6;1191.4
Ульяновская область;2009;1360.7;454.8
Уральский         федеральный округ;2009;237.1;147.3
Курганская область;2009;46815;7472.2
Свердловская область ;2009;197.3;240.7
Тюменская область;2009;7461.4;2841.4
в том числе:;2009;34207.6;1780.3
Ханты-Мансийский автономный округ - Югра;2009;0;0
Ямало-Ненецкий автономный округ;2009;12934;1335.3
Тюменская область  без автономных округов;2009;203.2;117
Челябинская область;2009;21070.4;328
Сибирский        федеральный округ;2009;4948.7;2609.8
Республика Алтай;2009;24795;5429.6
Республика Тыва;2009;26.6;15.9
Республика Хакасия;2009;7.4;3.5
Алтайский край;2009;1470;434.9
Красноярский край;2009;752.2;343.1
Иркутская область;2009;7763.3;1310.6
Кемеровская область;2009;4108.8;1157.7
Новосибирская область ;2009;8401.3;569.6
Омская область;2009;1202.6;1043.2
Томская область;2009;414.2;389.6
Дальневосточный федеральный округ;2009;648.6;161.5
Республика Бурятия;2009;12716.7;5356.2
Республика Саха (Якутия);2009;498.1;113.1
Забайкальский край;2009;1469;88.2
Камчатский край;2009;248.3;281.4
Приморский край;2009;540.3;66.9
Хабаровский край ;2009;1067;2927.3
Амурская область;2009;974.4;537.7
Магаданская область;2009;170.4;211.6
Сахалинская область;2009;90.6;76.2
Еврейская автономная область;2009;7609.2;934.9
Чукотский автономный округ;2009;13;16.7
Центральный федеральный округ;2010;397068;228912
Белгородская область;2010;161833.7;131931.4
Брянская область;2010;2704.2;4201.1
Владимирская область;2010;181.7;867.4
Воронежская область;2010;536.3;1054.9
Ивановская область;2010;923.7;840.2
Калужская область;2010;101;528.9
Костромская область;2010;370.8;6037.3
Курская область;2010;174.2;129.7
Липецкая область;2010;671.4;535.3
Московская область;2010;3907.1;1258.5
Орловская область;2010;3192.9;20658.5
Рязанская область;2010;375.1;1151.8
Смоленская область;2010;255.1;408.1
Тамбовская область;2010;631.9;481.1
Тверская область;2010;37.3;341.9
Тульская область;2010;236.9;771
Ярославская область;2010;2493.8;885.1
г. Москва;2010;440.6;489.1
Северо-Западный федеральный округ;2010;144599.7;91291.6
Республика Карелия;2010;36890.6;39857.5
Республика Коми;2010;1425.9;238.7
Архангельская область;2010;1040.2;240.1
в том числе: ;2010;5509.6;200
Ненецкий автономный округ;2010;0;0
Архангельская область без автономного округа;2010;2343.8;0.9
Вологодская область;2010;3165.8;199.1
Калининградская область;2010;3639.6;383
Ленинградская область;2010;629.6;7966.8
Мурманская область;2010;9946;4579.5
Новгородская область;2010;1783.3;206.6
Псковская область;2010;1026.3;444.7
г. Санкт-Петербург;2010;64.4;1074
Южный             федеральный округ;2010;11825.6;24524.1
Республика Адыгея;2010;10551.1;9890.3
Республика Калмыкия;2010;9;71.6
Республика Крым;2010;31.1;70.7
Краснодарский край;2010;0;0
Астраханская область;2010;4264.5;4426
Волгоградская область;2010;380.8;310.3
Ростовская область;2010;2565.2;954.1
г. Севастополь;2010;3300.5;4057.6
Северо-Кавказский        федеральный округ;2010;0;0
Республика Дагестан;2010;986.9;1297
Республика Ингушетия;2010;81;362.2
Кабардино-Балкарская Республика;2010;0;10.7
Карачаево-Черкесская Республика;2010;16.6;63.1
Республика Северная Осетия - Алания;2010;34.9;123.7
Чеченская Республика;2010;71.7;70.8
Ставропольский край;2010;0.1;2
Приволжский федеральный округ;2010;782.6;664.5
Республика Башкортостан;2010;46620.6;10630.7
Республика Марий Эл;2010;9359.2;621.9
Республика Мордовия;2010;407.8;58
Республика Татарстан;2010;136.6;182
Удмуртская Республика;2010;15602;2299.8
Чувашская Республика;2010;230.4;248.4
Пермский край;2010;172.8;108.1
Кировская область;2010;4310.7;633.5
Нижегородская область ;2010;647.6;140.3
Оренбургская область;2010;2520.8;2532.3
Пензенская область;2010;2990.4;1114.6
Самарская область;2010;115.6;145.3
Саратовская область;2010;7934.4;1630.8
Ульяновская область;2010;1821.3;621.5
Уральский         федеральный округ;2010;371;294.2
Курганская область;2010;59663.8;8657.9
Свердловская область ;2010;221.1;173.3
Тюменская область;2010;9037.2;3419.8
в том числе:;2010;45267.4;2156.8
Ханты-Мансийский автономный округ - Югра;2010;0;0
Ямало-Ненецкий автономный округ;2010;16069.6;989.5
Тюменская область  без автономных округов;2010;435.5;178.5
Челябинская область;2010;28762.3;988.8
Сибирский        федеральный округ;2010;5138.1;2908
Республика Алтай;2010;37123.7;6821.6
Республика Тыва;2010;44.3;30
Республика Хакасия;2010;3;6.2
Алтайский край;2010;1893.1;613.6
Красноярский край;2010;514.8;427.1
Иркутская область;2010;9880.8;1237.7
Кемеровская область;2010;5111.7;1192.2
Новосибирская область ;2010;10323.4;654.9
Омская область;2010;1680.9;2071.1
Томская область;2010;6912;424.3
Дальневосточный федеральный округ;2010;759.7;164.5
Республика Бурятия;2010;19181.3;8236.9
Республика Саха (Якутия);2010;449.3;161.5
Забайкальский край;2010;3236.5;90.7
Камчатский край;2010;130.3;379.7
Приморский край;2010;632.4;67.4
Хабаровский край ;2010;1411.8;5041.1
Амурская область;2010;1225.8;939.6
Магаданская область;2010;158.8;284.5
Сахалинская область;2010;107.9;128.9
Еврейская автономная область;2010;11778.6;987.4
Чукотский автономный округ;2010;8.7;37.7
Центральный федеральный округ;2011;516718;305761
Белгородская область;2011;210872.7;173277
Брянская область;2011;3840;6656.2
Владимирская область;2011;191.6;1294.3
Воронежская область;2011;904.5;1410.6
Ивановская область;2011;1261.2;1122.3
Калужская область;2011;123;752.9
Костромская область;2011;435.6;8108.4
Курская область;2011;200.9;162.2
Липецкая область;2011;1266.4;710.4
Московская область;2011;4754.9;1693.4
Орловская область;2011;3625.8;29799.9
Рязанская область;2011;116.4;348.2
Смоленская область;2011;319.3;486.5
Тамбовская область;2011;1085.4;633.8
Тверская область;2011;65.8;468.6
Тульская область;2011;228.8;603.3
Ярославская область;2011;3940.4;1053.3
г. Москва;2011;581;874.5
Северо-Западный федеральный округ;2011;187931.6;117098.2
Республика Карелия;2011;55636.2;54655.3
Республика Коми;2011;1458.5;320.4
Архангельская область;2011;2446.8;258.1
в том числе: ;2011;4964;184.4
Ненецкий автономный округ;2011;0;0
Архангельская область без автономного округа;2011;3364.3;2.3
Вологодская область;2011;1599.7;182.1
Калининградская область;2011;4392.3;690.3
Ленинградская область;2011;1268.1;10369.2
Мурманская область;2011;15640.8;7539.6
Новгородская область;2011;2772.9;562
Псковская область;2011;1317.4;576.9
г. Санкт-Петербург;2011;67.2;1372.1
Южный             федеральный округ;2011;21308;32782.4
Республика Адыгея;2011;19127.2;11964.6
Республика Калмыкия;2011;8.6;105.8
Республика Крым;2011;5.4;66.6
Краснодарский край;2011;0;0
Астраханская область;2011;9820.4;5011.2
Волгоградская область;2011;656.4;276
Ростовская область;2011;3495.6;1291.8
г. Севастополь;2011;5140.9;5213.2
Северо-Кавказский        федеральный округ;2011;0;0
Республика Дагестан;2011;1308.3;1903
Республика Ингушетия;2011;78.6;599.3
Кабардино-Балкарская Республика;2011;0.1;23
Карачаево-Черкесская Республика;2011;20.2;144.3
Республика Северная Осетия - Алания;2011;30.4;255.7
Чеченская Республика;2011;69.6;155.5
Ставропольский край;2011;0.8;4.3
Приволжский федеральный округ;2011;1108.6;720.9
Республика Башкортостан;2011;58240.2;14340.5
Республика Марий Эл;2011;10842.7;941
Республика Мордовия;2011;350;77.4
Республика Татарстан;2011;128.6;178
Удмуртская Республика;2011;19946.9;2959.6
Чувашская Республика;2011;1124.1;448.7
Пермский край;2011;130;567.3
Кировская область;2011;6997.8;823.6
Нижегородская область ;2011;1020;243.3
Оренбургская область;2011;6074.3;3553.9
Пензенская область;2011;2368.7;895.6
Самарская область;2011;149.9;183
Саратовская область;2011;6889.8;2313.9
Ульяновская область;2011;1762.9;748.5
Уральский         федеральный округ;2011;454.5;406.7
Курганская область;2011;73928;10397.6
Свердловская область ;2011;327.8;151.8
Тюменская область;2011;8892.1;3849.2
в том числе:;2011;60053.6;3951.4
Ханты-Мансийский автономный округ - Югра;2011;0;0
Ямало-Ненецкий автономный округ;2011;21886.1;1388.4
Тюменская область  без автономных округов;2011;2758;287.8
Челябинская область;2011;35409.5;2275.2
Сибирский        федеральный округ;2011;4654.5;2445.2
Республика Алтай;2011;31764.1;8309.7
Республика Тыва;2011;31.5;102.5
Республика Хакасия;2011;2.1;4.7
Алтайский край;2011;1458.2;691.1
Красноярский край;2011;527.3;417.5
Иркутская область;2011;9329.9;1963.9
Кемеровская область;2011;6265.4;1466.1
Новосибирская область ;2011;11574.9;855.7
Омская область;2011;1349;2290.1
Томская область;2011;510.9;393.8
Дальневосточный федеральный округ;2011;714.9;124.3
Республика Бурятия;2011;25958.8;9824.9
Республика Саха (Якутия);2011;731.4;189.2
Забайкальский край;2011;4581.2;188.3
Камчатский край;2011;213.1;542.6
Приморский край;2011;607.5;107.3
Хабаровский край ;2011;1676.9;5706.5
Амурская область;2011;1649.2;1099.4
Магаданская область;2011;234.8;505.9
Сахалинская область;2011;197;143.2
Еврейская автономная область;2011;16010.9;1141.4
Чукотский автономный округ;2011;11.3;60.5
Центральный федеральный округ;2012;525384;314150
Белгородская область;2012;237657.9;193081.7
Брянская область;2012;3632.8;5241.4
Владимирская область;2012;439.2;1774.5
Воронежская область;2012;812.9;1493.3
Ивановская область;2012;1690.8;1301.9
Калужская область;2012;174.4;704.8
Костромская область;2012;739.2;8388.5
Курская область;2012;282.1;188.4
Липецкая область;2012;690.7;645
Московская область;2012;5112.7;1691.1
Орловская область;2012;5574;32674.1
Рязанская область;2012;260.9;580.1
Смоленская область;2012;357.6;566.2
Тамбовская область;2012;1311.8;1597.8
Тверская область;2012;104.3;285.7
Тульская область;2012;311.1;864.3
Ярославская область;2012;3644.9;1382.3
г. Москва;2012;1031.7;957.1
Северо-Западный федеральный округ;2012;211486.8;132745.2
Республика Карелия;2012;55570.5;57762.3
Республика Коми;2012;1228.6;298.2
Архангельская область;2012;2424.2;264.9
в том числе: ;2012;2784.5;264.7
Ненецкий автономный округ;2012;0;0
Архангельская область без автономного округа;2012;1396.3;1.8
Вологодская область;2012;1388.2;262.9
Калининградская область;2012;4433.6;618.7
Ленинградская область;2012;1844.3;12155.6
Мурманская область;2012;16166.2;5225.9
Новгородская область;2012;1801.4;647.5
Псковская область;2012;1376.4;619.9
г. Санкт-Петербург;2012;128.4;1312.9
Южный             федеральный округ;2012;23382.8;36354
Республика Адыгея;2012;20665.5;11840.7
Республика Калмыкия;2012;9.5;56.7
Республика Крым;2012;0.7;63.3
Краснодарский край;2012;0;0
Астраханская область;2012;9809.7;4940.7
Волгоградская область;2012;622.7;416.3
Ростовская область;2012;4505.9;1407.1
г. Севастополь;2012;5717.1;4956.6
Северо-Кавказский        федеральный округ;2012;0;0
Республика Дагестан;2012;1293.6;2017
Республика Ингушетия;2012;75.6;574.2
Кабардино-Балкарская Республика;2012;0.4;20.7
Карачаево-Черкесская Республика;2012;29.3;136.5
Республика Северная Осетия - Алания;2012;50.3;402.8
Чеченская Республика;2012;54.5;65.2
Ставропольский край;2012;0.1;6.8
Приволжский федеральный округ;2012;1083.4;810.8
Республика Башкортостан;2012;69205.8;16382.1
Республика Марий Эл;2012;13108.2;1379.6
Республика Мордовия;2012;661.6;112.1
Республика Татарстан;2012;211.1;276
Удмуртская Республика;2012;22157.9;3616.9
Чувашская Республика;2012;2140.5;400.6
Пермский край;2012;200.2;367
Кировская область;2012;8641.2;950.4
Нижегородская область ;2012;1080.1;315.4
Оренбургская область;2012;6008.5;3801.6
Пензенская область;2012;3722.6;1137.8
Самарская область;2012;306.4;232.9
Саратовская область;2012;6596.9;2603.7
Ульяновская область;2012;3894.7;761.5
Уральский         федеральный округ;2012;475.9;426.6
Курганская область;2012;78858;10436.1
Свердловская область ;2012;383.5;179.7
Тюменская область;2012;10728.4;4012.5
в том числе:;2012;61889;2423.5
Ханты-Мансийский автономный округ - Югра;2012;0;0
Ямало-Ненецкий автономный округ;2012;23996.3;1039.8
Тюменская область  без автономных округов;2012;3074.2;430.3
Челябинская область;2012;34818.5;953.4
Сибирский        федеральный округ;2012;5857.1;3820.4
Республика Алтай;2012;34253.4;9727.1
Республика Тыва;2012;40.7;16.1
Республика Хакасия;2012;2.3;11.1
Алтайский край;2012;1881.7;698.8
Красноярский край;2012;863;557
Иркутская область;2012;8315.9;1959.1
Кемеровская область;2012;7385.9;1577.1
Новосибирская область ;2012;12238;1870
Омская область;2012;1831.2;2286.8
Томская область;2012;814.7;517.2
Дальневосточный федеральный округ;2012;880;233.9
Республика Бурятия;2012;27217.6;11319.8
Республика Саха (Якутия);2012;949.1;253
Забайкальский край;2012;4707.8;132.7
Камчатский край;2012;310.4;518.9
Приморский край;2012;703.8;101.3
Хабаровский край ;2012;1984.2;6699
Амурская область;2012;1527.9;1086.4
Магаданская область;2012;407.5;770.5
Сахалинская область;2012;195.4;188.9
Еврейская автономная область;2012;16367.7;1362.5
Чукотский автономный округ;2012;16;45.4
Центральный федеральный округ;2013;525976;315298
Белгородская область;2013;256145.4;192955.7
Брянская область;2013;3414.7;4160.4
Владимирская область;2013;360.3;1864.2
Воронежская область;2013;950.2;1632
Ивановская область;2013;1591.4;1215.1
Калужская область;2013;178.6;821.2
Костромская область;2013;701;7447.8
Курская область;2013;349.5;214.3
Липецкая область;2013;696;664.9
Московская область;2013;4492;1573.8
Орловская область;2013;6815.5;31091.4
Рязанская область;2013;232.9;697.8
Смоленская область;2013;416.3;700.6
Тамбовская область;2013;1340.6;1925.8
Тверская область;2013;108.4;339.1
Тульская область;2013;320.6;1070.2
Ярославская область;2013;3922.3;1515.1
г. Москва;2013;2002;950.7
Северо-Западный федеральный округ;2013;228253;135071.3
Республика Карелия;2013;52294.2;57122.6
Республика Коми;2013;1070.9;240.2
Архангельская область;2013;3574.1;298.3
в том числе: ;2013;2284.1;264
Ненецкий автономный округ;2013;0;0
Архангельская область без автономного округа;2013;0;0.7
Вологодская область;2013;2284.1;263.3
Калининградская область;2013;4106.3;620.9
Ленинградская область;2013;1533.1;12233.8
Мурманская область;2013;13648.5;5066.3
Новгородская область;2013;2346;780.9
Псковская область;2013;1273.9;710.5
г. Санкт-Петербург;2013;268.4;1058.8
Южный             федеральный округ;2013;22189;35849
Республика Адыгея;2013;19216.8;12272
Республика Калмыкия;2013;8.3;67.3
Республика Крым;2013;0.9;39.8
Краснодарский край;2013;0;0
Астраханская область;2013;7892.2;5825.9
Волгоградская область;2013;885.2;509.5
Ростовская область;2013;4625.1;1233.3
г. Севастополь;2013;5805;4596.2
Северо-Кавказский        федеральный округ;2013;0;0
Республика Дагестан;2013;1279.8;2187.9
Республика Ингушетия;2013;42.2;724.7
Кабардино-Балкарская Республика;2013;1.4;16.2
Карачаево-Черкесская Республика;2013;23.6;61.8
Республика Северная Осетия - Алания;2013;49.9;489.6
Чеченская Республика;2013;45.4;65.9
Ставропольский край;2013;0.4;30.3
Приволжский федеральный округ;2013;1116.9;799.4
Республика Башкортостан;2013;68839.3;18950.3
Республика Марий Эл;2013;14625.5;1171.5
Республика Мордовия;2013;470.7;138.2
Республика Татарстан;2013;149.8;154.9
Удмуртская Республика;2013;22321.6;5089.5
Чувашская Республика;2013;1259.7;746.8
Пермский край;2013;223.2;334.5
Кировская область;2013;7405.4;1155.9
Нижегородская область ;2013;1026.2;281.4
Оренбургская область;2013;5601.3;3690
Пензенская область;2013;3466.2;894.2
Самарская область;2013;217.4;280.5
Саратовская область;2013;9018.6;3566.8
Ульяновская область;2013;2626.2;829.5
Уральский         федеральный округ;2013;427.5;616.6
Курганская область;2013;63958.9;10417.5
Свердловская область ;2013;469;149.4
Тюменская область;2013;8734.1;4177.2
в том числе:;2013;49382.3;2069
Ханты-Мансийский автономный округ - Югра;2013;0;0
Ямало-Ненецкий автономный округ;2013;24669.6;1135.5
Тюменская область  без автономных округов;2013;2326.1;369.6
Челябинская область;2013;22386.6;563.9
Сибирский        федеральный округ;2013;5373.5;4021.9
Республика Алтай;2013;34473.9;8573.5
Республика Тыва;2013;26.7;13.9
Республика Хакасия;2013;0.2;15.2
Алтайский край;2013;1742.3;574
Красноярский край;2013;833.5;508.1
Иркутская область;2013;7840.1;2103.9
Кемеровская область;2013;8156.4;1174
Новосибирская область ;2013;12642.9;1059.4
Омская область;2013;1710.1;2198
Томская область;2013;877.2;532.1
Дальневосточный федеральный округ;2013;644.5;394.9
Республика Бурятия;2013;29764.9;12805.6
Республика Саха (Якутия);2013;1299.6;164
Забайкальский край;2013;4734.3;178.4
Камчатский край;2013;277.8;536.7
Приморский край;2013;617.7;94.4
Хабаровский край ;2013;3335.1;8486.9
Амурская область;2013;1508.1;929.9
Магаданская область;2013;446.4;501.6
Сахалинская область;2013;429.3;458.1
Еврейская автономная область;2013;17009.5;1199.9
Чукотский автономный округ;2013;17.9;84.4
Центральный федеральный округ;2014;497359;287063
Белгородская область;2014;255352.6;173818.2
Брянская область;2014;3176.1;3268.3
Владимирская область;2014;362.7;1344.5
Воронежская область;2014;980.9;1603.6
Ивановская область;2014;1542.4;1079.1
Калужская область;2014;183.1;771.4
Костромская область;2014;626.8;5936.7
Курская область;2014;363.7;368.3
Липецкая область;2014;576.7;578.9
Московская область;2014;4378.8;1206.5
Орловская область;2014;5742.3;25314.3
Рязанская область;2014;188.6;656.7
Смоленская область;2014;375.4;703
Тамбовская область;2014;1203.5;1874.3
Тверская область;2014;101.2;372.1
Тульская область;2014;343.8;1002.1
Ярославская область;2014;3734.5;1211.6
г. Москва;2014;1029.2;889.6
Северо-Западный федеральный округ;2014;230443.1;125637.5
Республика Карелия;2014;55750.3;54531.1
Республика Коми;2014;999.6;219.5
Архангельская область;2014;3248.9;251.3
в том числе: ;2014;2302.6;202.5
Ненецкий автономный округ;2014;0;0
Архангельская область без автономного округа;2014;0.1;1.9
Вологодская область;2014;2302.5;200.6
Калининградская область;2014;3538.3;642.2
Ленинградская область;2014;3696.4;15895.8
Мурманская область;2014;15767.6;4366
Новгородская область;2014;2280.8;449.5
Псковская область;2014;1294.2;768.8
г. Санкт-Петербург;2014;295.4;865.6
Южный             федеральный округ;2014;22326.7;30870
Республика Адыгея;2014;20236.4;11191.9
Республика Калмыкия;2014;13.8;70.8
Республика Крым;2014;1.4;21.3
Краснодарский край;2014;97.9;57.9
Астраханская область;2014;10199.9;5288.9
Волгоградская область;2014;994.3;497.8
Ростовская область;2014;4276.1;1761.6
г. Севастополь;2014;4730;3407.2
Северо-Кавказский        федеральный округ;2014;15.9;86.4
Республика Дагестан;2014;1286.5;2077.7
Республика Ингушетия;2014;51.2;567.4
Кабардино-Балкарская Республика;2014;0;15.3
Карачаево-Черкесская Республика;2014;27;80.9
Республика Северная Осетия - Алания;2014;33.8;445.4
Чеченская Республика;2014;48.1;48.7
Ставропольский край;2014;0.2;34.9
