Субъекты РФ;Год;Экспорт (млн. дол. США);Импорт (млн. дол. США)
Республика Северная Осетия - Алания;2001;4.4;8.5
Чеченская Республика;2001;68.1;68
Ставропольский край;2001;81.7;0
Приволжский федеральный округ;2001;292.2;112.4
Республика Башкортостан;2001;14764.6;2882.8
Республика Марий Эл;2001;2226.8;262.3
Республика Мордовия;2001;33;13.9
Республика Татарстан;2001;31.7;28.8
Удмуртская Республика;2001;2826.8;346.8
Чувашская Республика;2001;658;93.1
Пермский край;2001;71.4;69.6
Кировская область;2001;1915;38
Нижегородская область ;2001;473.6;397.1
Оренбургская область;2001;909.8;459.1
Пензенская область;2001;1347.2;52.5
Самарская область;2001;156.7;255.6
Саратовская область;2001;3600.5;655.7
Ульяновская область;2001;403.1;161.9
Уральский         федеральный округ;2001;111;48.4
Курганская область;2001;19900.4;2319.9
Свердловская область ;2001;113.2;50.2
Тюменская область;2001;2912.8;747.5
в том числе:;2001;15153.1;830.2
Ханты-Мансийский автономный округ - Югра;2001;0;0
Ямало-Ненецкий автономный округ;2001;0;0
Тюменская область  без автономных округов;2001;0;0
Челябинская область;2001;0;0
Сибирский        федеральный округ;2001;1721.3;692
Республика Алтай;2001;10307.4;2241.3
Республика Тыва;2001;42;138.1
Республика Хакасия;2001;14.4;9.8
Алтайский край;2001;360.8;169.6
Красноярский край;2001;274.9;144
Иркутская область;2001;2859.5;610.5
Кемеровская область;2001;2710.1;434.4
Новосибирская область ;2001;2102.8;181
Омская область;2001;502.3;326.8
Томская область;2001;809.7;163.8
Дальневосточный федеральный округ;2001;630.9;63.3
Республика Бурятия;2001;5626.4;1236.1
Республика Саха (Якутия);2001;141.8;30.2
Забайкальский край;2001;1298.3;31.8
Камчатский край;2001;85.4;263.4
Приморский край;2001;156.5;60.4
Хабаровский край ;2001;1146.9;459.1
Амурская область;2001;2350.3;140.5
Магаданская область;2001;96.4;20.4
Сахалинская область;2001;2.8;55.4
Еврейская автономная область;2001;331.2;168.7
Чукотский автономный округ;2001;16.7;4
Центральный федеральный округ;2002;106154.3;46153
Белгородская область;2002;31768.7;22193.1
Брянская область;2002;507.8;611.6
Владимирская область;2002;164.7;212.2
Воронежская область;2002;147.5;197
Ивановская область;2002;196;224.5
Калужская область;2002;82.7;146.4
Костромская область;2002;68.3;208.1
Курская область;2002;82.8;47.4
Липецкая область;2002;95.5;113.8
Московская область;2002;1218;254.1
Орловская область;2002;1513.5;3144.2
Рязанская область;2002;216.4;190.6
Смоленская область;2002;517.4;164.9
Тамбовская область;2002;401.2;174.5
Тверская область;2002;48.4;74.3
Тульская область;2002;120.5;119.3
Ярославская область;2002;806.1;183.5
г. Москва;2002;344.3;233.1
Северо-Западный федеральный округ;2002;25237.7;15893.6
Республика Карелия;2002;8891.9;8455.8
Республика Коми;2002;521.6;132
Архангельская область;2002;1139.6;90
в том числе: ;2002;656.4;147.6
Ненецкий автономный округ;2002;0;0
Архангельская область без автономного округа;2002;0;0
Вологодская область;2002;0;0
Калининградская область;2002;1302.8;190.1
Ленинградская область;2002;394.4;1577.3
Мурманская область;2002;2193.8;981.4
Новгородская область;2002;471.9;91.2
Псковская область;2002;365.6;136.3
г. Санкт-Петербург;2002;122.5;174.9
Южный             федеральный округ;2002;1723.4;4934.9
Республика Адыгея;2002;3650.6;2096
Республика Калмыкия;2002;2.6;11.8
Республика Крым;2002;25;45.3
Краснодарский край;2002;0;0
Астраханская область;2002;1083.2;954.8
Волгоградская область;2002;234.5;116.1
Ростовская область;2002;1293.1;286.6
г. Севастополь;2002;1012.2;681.4
Северо-Кавказский        федеральный округ;2002;0;0
Республика Дагестан;2002;449;265.9
Республика Ингушетия;2002;73.8;45.3
Кабардино-Балкарская Республика;2002;18.7;0.2
Карачаево-Черкесская Республика;2002;6.7;7.6
Республика Северная Осетия - Алания;2002;4.9;6.6
Чеченская Республика;2002;90.5;63.1
Ставропольский край;2002;11.9;0
Приволжский федеральный округ;2002;242.5;143.1
Республика Башкортостан;2002;16885;3128.2
Республика Марий Эл;2002;2389.6;290
Республика Мордовия;2002;35;15.6
Республика Татарстан;2002;37.4;32.5
Удмуртская Республика;2002;3212.2;300.3
Чувашская Республика;2002;692.6;80.6
Пермский край;2002;87.4;61.5
Кировская область;2002;1958.5;36.2
Нижегородская область ;2002;569.5;500.8
Оренбургская область;2002;1586.7;418.5
Пензенская область;2002;1638.6;69.3
Самарская область;2002;249.7;287.2
Саратовская область;2002;3511.1;798.8
Ульяновская область;2002;750.9;177.8
Уральский         федеральный округ;2002;165.8;59.1
Курганская область;2002;23960.9;2177.6
Свердловская область ;2002;74;31.6
Тюменская область;2002;3076.8;771
в том числе:;2002;18699.4;740.1
Ханты-Мансийский автономный округ - Югра;2002;0;0
Ямало-Ненецкий автономный округ;2002;0;0
Тюменская область  без автономных округов;2002;0;0
Челябинская область;2002;0;0
Сибирский        федеральный округ;2002;2110.7;634.9
Республика Алтай;2002;10414.5;2068.2
Республика Тыва;2002;28.6;157.2
Республика Хакасия;2002;1.5;7.8
Алтайский край;2002;345.1;160.9
Красноярский край;2002;262.8;116
Иркутская область;2002;3285.1;476.6
Кемеровская область;2002;2668.6;435.2
Новосибирская область ;2002;1773.4;147.9
Омская область;2002;586.2;356.3
Томская область;2002;870.5;169.4
Дальневосточный федеральный округ;2002;592.7;40.9
Республика Бурятия;2002;4087.1;1604.1
Республика Саха (Якутия);2002;212.4;38.5
Забайкальский край;2002;957.4;37.5
Камчатский край;2002;87.7;206.6
Приморский край;2002;143.9;27.3
Хабаровский край ;2002;790.5;761.3
Амурская область;2002;1173.5;209.4
Магаданская область;2002;70.8;23.9
Сахалинская область;2002;6.4;47.9
Еврейская автономная область;2002;636.3;233.4
Чукотский автономный округ;2002;8.1;4.1
Центральный федеральный округ;2003;133655;57346
Белгородская область;2003;37977.9;28735.5
Брянская область;2003;713.6;927.5
Владимирская область;2003;99.7;427.7
Воронежская область;2003;205;230.5
Ивановская область;2003;309.8;337.2
Калужская область;2003;100.5;144.9
Костромская область;2003;128.3;228
Курская область;2003;93.5;55.8
Липецкая область;2003;133.9;182.3
Московская область;2003;1650.1;282.7
Орловская область;2003;1814.4;4646.5
Рязанская область;2003;387.7;355.3
Смоленская область;2003;667.1;263.3
Тамбовская область;2003;467.5;171.9
Тверская область;2003;52.9;98.7
Тульская область;2003;129;154.9
Ярославская область;2003;969.1;215.7
г. Москва;2003;410.9;276.5
Северо-Западный федеральный округ;2003;29644.9;19736.1
Республика Карелия;2003;11710;10592.1
Республика Коми;2003;639.1;180.5
Архангельская область;2003;1284.5;173.8
в том числе: ;2003;754;115.6
Ненецкий автономный округ;2003;0;0
Архангельская область без автономного округа;2003;181.2;27.5
Вологодская область;2003;572.8;88.1
Калининградская область;2003;1524.1;195.4
Ленинградская область;2003;470.7;2097.8
Мурманская область;2003;2920.5;1390.5
Новгородская область;2003;709.6;177
Псковская область;2003;428.7;227.2
г. Санкт-Петербург;2003;146.5;208.6
Южный             федеральный округ;2003;2832.2;5825.7
Республика Адыгея;2003;4899.6;2314.6
Республика Калмыкия;2003;61.6;8.6
Республика Крым;2003;49.1;44.8
Краснодарский край;2003;0;0
Астраханская область;2003;1494.2;834.1
Волгоградская область;2003;334.7;126.5
Ростовская область;2003;1639.9;374.5
г. Севастополь;2003;1320.1;926.1
Северо-Кавказский        федеральный округ;2003;0;0
Республика Дагестан;2003;475.9;375.6
Республика Ингушетия;2003;64.2;73.4
Кабардино-Балкарская Республика;2003;0;0.3
Карачаево-Черкесская Республика;2003;12.1;8.2
Республика Северная Осетия - Алания;2003;7.9;11.5
Чеченская Республика;2003;47.1;84.1
Ставропольский край;2003;0;0
Приволжский федеральный округ;2003;344.6;198.1
Республика Башкортостан;2003;20544.3;3550.6
Республика Марий Эл;2003;2755.5;266.7
Республика Мордовия;2003;83.4;18.1
Республика Татарстан;2003;32;40.8
Удмуртская Республика;2003;3676.5;384.7
Чувашская Республика;2003;660.4;79.9
Пермский край;2003;107;55.3
Кировская область;2003;2359.5;40.3
Нижегородская область ;2003;299.9;679.7
Оренбургская область;2003;1831.5;458.8
Пензенская область;2003;2266.2;70.3
Самарская область;2003;73.2;323.6
Саратовская область;2003;5070.6;865.5
Ульяновская область;2003;1139;190.8
Уральский         федеральный округ;2003;189.6;76.1
Курганская область;2003;28868.1;2552.9
Свердловская область ;2003;101;76.9
Тюменская область;2003;3305.1;900.6
в том числе:;2003;22877.2;684.6
Ханты-Мансийский автономный округ - Югра;2003;0;0
Ямало-Ненецкий автономный округ;2003;18718.8;355.7
Тюменская область  без автономных округов;2003;2885.5;235.5
Челябинская область;2003;1272.9;93.4
Сибирский        федеральный округ;2003;2584.8;890.8
Республика Алтай;2003;12851.9;2246.9
Республика Тыва;2003;20;119.6
Республика Хакасия;2003;4.5;2.9
Алтайский край;2003;465.3;195.6
Красноярский край;2003;402.5;135
Иркутская область;2003;3999;498.5
Кемеровская область;2003;2754.1;418.8
Новосибирская область ;2003;2649.6;160.8
Омская область;2003;672.3;447.7
Томская область;2003;1312.1;183.2
Дальневосточный федеральный округ;2003;572.5;84.8
Республика Бурятия;2003;4847.8;1927.5
Республика Саха (Якутия);2003;340.2;29.4
Забайкальский край;2003;1162.3;48.3
Камчатский край;2003;89.4;106.1
Приморский край;2003;155.4;42.6
Хабаровский край ;2003;761.5;937.4
Амурская область;2003;1600.6;272.3
Магаданская область;2003;76.2;36.8
Сахалинская область;2003;7.7;51.3
Еврейская автономная область;2003;646;364.2
Чукотский автономный округ;2003;8.4;3.8
Центральный федеральный округ;2004;181634;75589
Белгородская область;2004;66549.4;37436.5
Брянская область;2004;981.4;1291.6
Владимирская область;2004;444.4;566.7
Воронежская область;2004;188.1;237.7
Ивановская область;2004;417.8;347.8
Калужская область;2004;109.2;215.1
