Субъект РФ;Год;Среднегодовая численность занятых (тыс. чел);Численность безработных (тыс. чел);Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы (тыс. чел)
Новгородская область;2001;316.3;23;4.3
Псковская область;2001;327.5;37;8.7
г. Санкт-Петербург;2001;2397.2;98;46
Южный             федеральный округ;2001;5883.2;761;65.2
Республика Адыгея;2001;157;28;3.3
Республика Калмыкия;2001;118.1;27;4
Республика Крым;2001;0;0;0
Краснодарский край;2001;2052.4;257;16.5
Астраханская область;2001;428.7;53;10.8
Волгоградская область;2001;1247.2;125;12.5
Ростовская область;2001;1879.8;272;18.2
г. Севастополь;2001;0;0;0
Северо-Кавказский        федеральный округ;2001;2688.5;611;94.1
Республика Дагестан;2001;817.8;281;55.4
Республика Ингушетия;2001;68.6;51;9.9
Кабардино-Балкарская Республика;2001;320.2;63;9
Карачаево-Черкесская Республика;2001;144.3;36;2.5
Республика Северная Осетия - Алания;2001;258.3;59;5.9
Чеченская Республика;2001;…;…;…
Ставропольский край;2001;1079.3;120;11.4
Приволжский федеральный округ;2001;14293.4;1306;251.6
Республика Башкортостан;2001;1750.7;205;26.1
Республика Марий Эл;2001;330.4;34;12.4
Республика Мордовия;2001;402.1;44;9.5
Республика Татарстан;2001;1702;116;19.9
Удмуртская Республика;2001;792.9;59;23.8
Чувашская Республика;2001;609.2;63;14.7
Пермский край;2001;1372;98;18.8
Кировская область;2001;708.8;64;35.3
Нижегородская область ;2001;1638.2;149;14.9
Оренбургская область;2001;1031.1;86;6.4
Пензенская область;2001;677.1;100;14
Самарская область;2001;1485.3;104;25
Саратовская область;2001;1187.2;126;17.4
Ульяновская область;2001;606.3;57;13.3
Уральский         федеральный округ;2001;5836.4;573;108
Курганская область;2001;436.3;62;8.5
Свердловская область ;2001;2039.4;180;45.3
Тюменская область;2001;1792.6;181;29.6
в том числе:;2001;0;0;0
Ханты-Мансийский автономный округ - Югра;2001;868.7;89;16.1
Ямало-Ненецкий автономный округ;2001;319;21;8.7
Тюменская область  без автономных округов;2001;604.9;71;4.8
Челябинская область;2001;1568.1;150;24.7
Сибирский        федеральный округ;2001;7848.7;930;206.1
Республика Алтай;2001;81.2;9;2.8
Республика Тыва;2001;100.2;29;11.1
Республика Хакасия;2001;234.4;23;7.7
Алтайский край;2001;1090.9;124;34.2
