Субъект РФ;Год;Инвестиции в основной капитал (млн. руб.);Основные фонды в экономике (млн. руб.);Ввод в действие основных фондов (млн. руб.)
Республика Адыгея;2001;1509.83;50819;1841
Республика Калмыкия;2001;4781.556;28812;1543
Республика Крым;2001;0;0;0
Краснодарский край;2001;63394.639;576533;35089
Астраханская область;2001;15615.905;158920;6131
Волгоградская область;2001;16320.114;279884;16924
Ростовская область;2001;28876.4348;400418;25893
г. Севастополь;2001;0;0;0
Северо-Кавказский        федеральный округ;2001;37100.0168;624186;21171
Республика Дагестан;2001;8088.826;188752;5911
Республика Ингушетия;2001;1548.092;7313;451
Кабардино-Балкарская Республика;2001;3496.5558;54237;1623
Карачаево-Черкесская Республика;2001;1748.757;41419;1270
Республика Северная Осетия - Алания;2001;2265.597;54197;1311
Чеченская Республика;2001;3330.6;0;0
Ставропольский край;2001;16621.589;278268;10605
Приволжский федеральный округ;2001;267844.612;4254707;217389
Республика Башкортостан;2001;47038.661;511544;33648
Республика Марий Эл;2001;1944.7157;88632;1684
Республика Мордовия;2001;5299.168;105478;5296
Республика Татарстан;2001;56384.949;564012;43181
Удмуртская Республика;2001;13602.8307;220659;12818
Чувашская Республика;2001;6224.8663;162316;8330
Пермский край;2001;37976.617;518656;26538
Кировская область;2001;4875.429;174541;4080
Нижегородская область ;2001;18217.981;359901;16171
Оренбургская область;2001;18228.897;322727;15677
Пензенская область;2001;6107.306;148470;4965
Самарская область;2001;32540.726;584694;29659
Саратовская область;2001;14397.842;330279;11096
Ульяновская область;2001;5004.621;162798;4246
Уральский         федеральный округ;2001;330983.917;3844891;231875
Курганская область;2001;3210.4;103644;2954
Свердловская область ;2001;30218.91;713797;29555
Тюменская область;2001;267293.424;2575384;174764
в том числе:;2001;0;0;0
Ханты-Мансийский автономный округ - Югра;2001;153710.304;1300411;108291
Ямало-Ненецкий автономный округ;2001;99733.667;847866;50193
Тюменская область  без автономных округов;2001;0;0;0
Челябинская область;2001;30261.182;452066;24602
Сибирский        федеральный округ;2001;120603.4293;2655055;102303
Республика Алтай;2001;1129.849;17028;555
Республика Тыва;2001;581.62;16172;364
Республика Хакасия;2001;2645.746;73578;2600
Алтайский край;2001;8419.76;228746;6619
Красноярский край;2001;33757.7797;472316;27685
Иркутская область;2001;15233.836;423047;13915
Кемеровская область;2001;20427.088;363666;17107
Новосибирская область ;2001;14150.754;346811;11879
Омская область;2001;8624.566;213976;6647
Томская область;2001;15632.4306;189350;6670
Дальневосточный федеральный округ;2001;100256.0203;1338014;47496
Республика Бурятия;2001;5746.736;138679;3182
Республика Саха (Якутия);2001;21849.878;244550;11832
Забайкальский край;2001;8765.9313;171686;5080
Камчатский край;2001;3398.296;65244;1256
Приморский край;2001;9922.0718;231358;11244
Хабаровский край ;2001;14875.845;379711;10229
Амурская область;2001;14163.838;203808;5095
Магаданская область;2001;2552.4477;54817;1969
Сахалинская область;2001;16797.511;114955;4820
Еврейская автономная область;2001;440.3745;29938;427
Чукотский автономный округ;2001;1743.091;13633;624
Центральный федеральный округ;2002;435810.1234;6296105;570559
Белгородская область;2002;10829.77069;214329;19045
Брянская область;2002;4737.799822;158390;4432
Владимирская область;2002;8849.880884;183274;7320
Воронежская область;2002;15963.80908;313132;11649
Ивановская область;2002;3175.585152;106561;2047
Калужская область;2002;7450.705343;131045;4728
Костромская область;2002;6222.036969;118361;3769
Курская область;2002;10412.73326;206046;8663
Липецкая область;2002;10984.92057;208488;7197
Московская область;2002;71787.41;1007563;74212
Орловская область;2002;5132.361243;104635;5070
Рязанская область;2002;7085.669823;187267;13809
Смоленская область;2002;9720.873278;193051;10969
Тамбовская область;2002;5340.987924;162004;4262
Тверская область;2002;14352.65111;240683;5493
Тульская область;2002;9538.700061;232726;9197
Ярославская область;2002;13827.73735;272638;12966
г. Москва;2002;220396.4908;2255912;365731
Северо-Западный федеральный округ;2002;199102.0366;2629404;132258
Республика Карелия;2002;9191.346381;148241;5535
Республика Коми;2002;22059.25882;386680;15476
Архангельская область;2002;23809.37492;271575;15579
в том числе: ;2002;0;0;0
Ненецкий автономный округ;2002;14155.9902;23169;3768
Архангельская область без автономного округа;2002;0;0;0
Вологодская область;2002;13923.44499;252460;12734
Калининградская область;2002;7740.505554;102325;6632
Ленинградская область;2002;28212.34228;345419;19104
Мурманская область;2002;9976.380781;214701;6875
Новгородская область;2002;5008.48681;111122;3766
Псковская область;2002;3135.295317;111128;2800
г. Санкт-Петербург;2002;76045.60071;685753;43757
Южный             федеральный округ;2002;142905.157;1767548;105603
Республика Адыгея;2002;1916.179342;50317;1670
Республика Калмыкия;2002;4635.912247;34613;1315
Республика Крым;2002;0;0;0
Краснодарский край;2002;74654.55397;666157;41873
Астраханская область;2002;13301.46247;177818;10868
Волгоградская область;2002;19348.0255;360671;17538
Ростовская область;2002;29049.0235;477972;32339
г. Севастополь;2002;0;0;0
Северо-Кавказский        федеральный округ;2002;42816.94717;735870;30105
Республика Дагестан;2002;7957.11233;228062;6809
Республика Ингушетия;2002;699.613161;9425;603
Кабардино-Балкарская Республика;2002;4659.233221;68057;3265
Карачаево-Черкесская Республика;2002;2200.074358;42799;2441
Республика Северная Осетия - Алания;2002;2891.948848;65384;1984
Чеченская Республика;2002;4859.853;0;0
Ставропольский край;2002;19549.11225;322143;15003
Приволжский федеральный округ;2002;294507.4154;5137048;239028
Республика Башкортостан;2002;47027.94063;581436;32876
Республика Марий Эл;2002;2938.347682;88400;2300
Республика Мордовия;2002;7456.30186;127103;4935
Республика Татарстан;2002;56709.3268;681153;52253
Удмуртская Республика;2002;11476.56706;254768;12068
Чувашская Республика;2002;8203.183199;177315;6581
Пермский край;2002;38894.34753;594356;27591
Кировская область;2002;5577.095264;221679;5091
Нижегородская область ;2002;27593.0569;477952;21364
Оренбургская область;2002;18096.97238;391209;19247
Пензенская область;2002;6819.654726;180559;6727
Самарская область;2002;39968.52236;729525;27204
Саратовская область;2002;17630.7239;458337;15146
Ульяновская область;2002;6115.375085;173256;5645
Уральский         федеральный округ;2002;383377.7867;5069686;335921
Курганская область;2002;4107.868415;146404;3772
Свердловская область ;2002;40885.88391;954194;44528
Тюменская область;2002;304978.544;3416427;256363
в том числе:;2002;0;0;0
Ханты-Мансийский автономный округ - Югра;2002;157281.724;1765170;119769
Ямало-Ненецкий автономный округ;2002;130486.9517;1276960;116081
Тюменская область  без автономных округов;2002;0;0;0
Челябинская область;2002;33405.49034;552661;31258
Сибирский        федеральный округ;2002;136759.0781;3215231;138390
Республика Алтай;2002;1289.765331;17748;1120
Республика Тыва;2002;652.1978079;15984;566
Республика Хакасия;2002;2748.983925;87598;1657
Алтайский край;2002;10212.54062;256888;9036
Красноярский край;2002;31759.14639;585508;32317
Иркутская область;2002;17313.00557;517510;19007
Кемеровская область;2002;23697.48995;425676;16547
Новосибирская область ;2002;17455.47183;440046;18131
Омская область;2002;13332.72419;261674;12460
Томская область;2002;18297.75249;213667;16384
Дальневосточный федеральный округ;2002;127128.7598;1482381;63199
Республика Бурятия;2002;6444.328995;166665;5533
Республика Саха (Якутия);2002;25922.03353;280473;19250
Забайкальский край;2002;6905.127211;226267;5632
Камчатский край;2002;3924.918238;72382;1836
Приморский край;2002;13451.71284;294027;13017
Хабаровский край ;2002;20095.14548;332389;13580
Амурская область;2002;13631.89411;254061;5774
Магаданская область;2002;3508.14866;68306;2967
Сахалинская область;2002;27390.42757;130229;5209
Еврейская автономная область;2002;841.8388698;36365;876
Чукотский автономный округ;2002;5013.18431;14149;690
Центральный федеральный округ;2003;563110.5923;8304173;603542
Белгородская область;2003;15336.31892;247369;10326
Брянская область;2003;6527.522937;191104;5165
Владимирская область;2003;10326.7491;221794;8694
Воронежская область;2003;19755.80867;375790;14710
Ивановская область;2003;5120.985586;131905;3077
Калужская область;2003;9353.257687;179030;9348
Костромская область;2003;5855.453543;159813;3642
Курская область;2003;10111.67568;249278;6322
Липецкая область;2003;17199.82681;256852;13250
Московская область;2003;105176.1179;1282486;82017
Орловская область;2003;5950.063476;119397;7592
Рязанская область;2003;9514.959009;241753;9562
Смоленская область;2003;11426.92055;215980;11008
Тамбовская область;2003;8257.462752;201944;6321
Тверская область;2003;22093.75866;306629;9409
Тульская область;2003;13655.22187;266508;11966
Ярославская область;2003;17860.58569;359037;12123
г. Москва;2003;269587.9034;3297504;379010
Северо-Западный федеральный округ;2003;285158.6148;3417342;176022
Республика Карелия;2003;9983.88686;174757;10870
Республика Коми;2003;25422.21166;445128;19454
Архангельская область;2003;28628.96394;394995;14926
в том числе: ;2003;0;0;0
Ненецкий автономный округ;2003;17181.60003;29997;4674
Архангельская область без автономного округа;2003;0;0;0
Вологодская область;2003;18270.79121;332752;14674
Калининградская область;2003;13699.41025;136207;6592
Ленинградская область;2003;49703.65288;432513;26628
Мурманская область;2003;13181.9936;291420;8954
Новгородская область;2003;8976.206338;139631;5134
Псковская область;2003;5613.641125;122694;3026
г. Санкт-Петербург;2003;111677.8569;947245;65764
Южный             федеральный округ;2003;162521.3087;2138153;116229
Республика Адыгея;2003;2558.647735;50972;1829
Республика Калмыкия;2003;2405.983336;40427;1283
Республика Крым;2003;0;0;0
Краснодарский край;2003;78040.92662;780300;58568
Астраханская область;2003;17986.287;215272;7062
Волгоградская область;2003;22153.92307;450274;17461
Ростовская область;2003;39375.5409;600908;30026
г. Севастополь;2003;0;0;0
Северо-Кавказский        федеральный округ;2003;49661.96249;853445;37772
Республика Дагестан;2003;10793.85013;242053;7433
Республика Ингушетия;2003;849.1249058;13783;742
Кабардино-Балкарская Республика;2003;5497.689476;79410;5051
Карачаево-Черкесская Республика;2003;2493.50663;58170;2310
Республика Северная Осетия - Алания;2003;3600.8135;86484;2426
Чеченская Республика;2003;4252.13;0;0
Ставропольский край;2003;22174.84785;373545;19810
Приволжский федеральный округ;2003;350622.3944;6046752;272202
Республика Башкортостан;2003;54777.49766;672147;41027
Республика Марий Эл;2003;4360.344265;103379;2774
Республика Мордовия;2003;8811.271866;157478;5679
Республика Татарстан;2003;70301.56244;854943;56017
Удмуртская Республика;2003;13068.44912;278761;12430
Чувашская Республика;2003;10949.04136;225632;8071
Пермский край;2003;39679.30431;683649;29434
Кировская область;2003;7531.603877;260069;5693
Нижегородская область ;2003;37399.00112;560961;24545
Оренбургская область;2003;21017.52149;414641;17043
Пензенская область;2003;8618.597143;228396;6565
Самарская область;2003;46458.24417;886148;41377
Саратовская область;2003;20732.91568;520351;15845
Ульяновская область;2003;6917.03989;200197;5702
Уральский         федеральный округ;2003;445953.8638;5812297;348857
Курганская область;2003;5879.33555;177444;5037
Свердловская область ;2003;53700.1912;1105279;38970
Тюменская область;2003;349711.6395;3780191;269870
в том числе:;2003;0;0;0
Ханты-Мансийский автономный округ - Югра;2003;163212.0019;1969088;124735
Ямало-Ненецкий автономный округ;2003;165419.6368;1411989;121027
Тюменская область  без автономных округов;2003;0;0;0
Челябинская область;2003;36662.69759;749383;34980
Сибирский        федеральный округ;2003;172045.5071;3751440;163276
Республика Алтай;2003;1186.537343;19576;679
Республика Тыва;2003;828.0403216;18232;760
Республика Хакасия;2003;4080.219825;107799;2226
Алтайский край;2003;13365.07717;320439;10725
Красноярский край;2003;37199.27034;693145;30248
Иркутская область;2003;22122.57681;576236;22325
Кемеровская область;2003;28547.79611;486882;19689
Новосибирская область ;2003;22401.79642;511803;22265
Омская область;2003;18931.56134;310513;16415
Томская область;2003;23382.63138;267859;18776
Дальневосточный федеральный округ;2003;157290.9494;1849684;97758
Республика Бурятия;2003;10115.71573;188615;13478
Республика Саха (Якутия);2003;30448.18974;357706;33777
Забайкальский край;2003;11452.56295;250341;5690
Камчатский край;2003;6806.838641;85851;3107
Приморский край;2003;15270.85217;407011;19785
Хабаровский край ;2003;25115.95449;371876;13277
Амурская область;2003;18216.87796;325363;17365
Магаданская область;2003;3378.840869;78048;3121
Сахалинская область;2003;26338.65163;164880;5675
Еврейская автономная область;2003;1417.283739;42653;821
Чукотский автономный округ;2003;8729.181438;16296;830
Центральный федеральный округ;2004;770408.7352;9280004;600321
Белгородская область;2004;22684.50057;264218;16986
Брянская область;2004;6751.448524;203623;7252
Владимирская область;2004;12491.10478;219687;9348
Воронежская область;2004;21845.46611;395404;14178
Ивановская область;2004;8996.959186;144334;6881
Калужская область;2004;10479.10683;187474;7415
Костромская область;2004;12499.62697;176457;8981
Курская область;2004;15197.99207;246170;11198
Липецкая область;2004;26575.30345;279807;20615
Московская область;2004;154969.2188;1431287;114555
Орловская область;2004;7811.670044;124752;7272
Рязанская область;2004;18325.951;245709;10326
Смоленская область;2004;11315.47197;245734;16288
Тамбовская область;2004;11316.36143;212086;7613
Тверская область;2004;29791.45559;339189;18836
Тульская область;2004;14031.53115;274181;12420
Ярославская область;2004;26794.70978;384339;16204
г. Москва;2004;358530.8569;3905553;293953
Северо-Западный федеральный округ;2004;359562.2231;3663691;220311
Республика Карелия;2004;13741.23345;198482;10831
Республика Коми;2004;34480.83062;472593;27007
Архангельская область;2004;32656.8993;402806;13708
в том числе: ;2004;0;0;0
Ненецкий автономный округ;2004;16393.1564;34435;3203
Архангельская область без автономного округа;2004;0;0;0
Вологодская область;2004;43109.11442;344991;19740
Калининградская область;2004;19745.71545;142772;13721
Ленинградская область;2004;68561.19282;485920;31181
Мурманская область;2004;14805.24311;311729;11060
Новгородская область;2004;8794.891855;148288;11413
Псковская область;2004;5904.919502;129423;4018
г. Санкт-Петербург;2004;117762.1826;1026687;77632
Южный             федеральный округ;2004;202691;2341881;142236
Республика Адыгея;2004;2268.187307;52581;2752
Республика Калмыкия;2004;2268.242282;41465;1491
Республика Крым;2004;0;0;0
Краснодарский край;2004;96437.87208;896631;65995
Астраханская область;2004;19744.60012;230042;11069
Волгоградская область;2004;29848.27819;471854;26098
Ростовская область;2004;52124.18422;649308;34831
г. Севастополь;2004;0;0;0
Северо-Кавказский        федеральный округ;2004;61647.31491;902083;39933
Республика Дагестан;2004;16652.67587;256898;8713
Республика Ингушетия;2004;1015.17994;17310;623
Кабардино-Балкарская Республика;2004;5509.284889;80069;5721
Карачаево-Черкесская Республика;2004;3054.289504;60474;2066
Республика Северная Осетия - Алания;2004;3882.958412;91942;3488
Чеченская Республика;2004;6851.54;0;0
Ставропольский край;2004;24681.38629;395390;19322
Приволжский федеральный округ;2004;464094.4787;6438858;322410
Республика Башкортостан;2004;67420.92912;721830;44552
Республика Марий Эл;2004;5885.501766;112068;3390
Республика Мордовия;2004;10097.91758;158416;5462
Республика Татарстан;2004;99552.23354;929381;60106
Удмуртская Республика;2004;15539.99138;315521;14329
Чувашская Республика;2004;15233.47139;231338;9674
Пермский край;2004;50972.6546;724508;40106
Кировская область;2004;11111.81419;278400;7218
Нижегородская область ;2004;52205.23254;606193;32988
Оренбургская область;2004;28606.21661;405888;18771
Пензенская область;2004;11166.21976;243758;8833
Самарская область;2004;60491.44722;966882;41854
Саратовская область;2004;24336.89492;532388;28535
Ульяновская область;2004;11473.95406;212287;6592
Уральский         федеральный округ;2004;534467.2163;6267153;367284
Курганская область;2004;6059.159115;186289;4945
Свердловская область ;2004;75901.31238;1142985;42722
Тюменская область;2004;393502.5679;4125299;276232
в том числе:;2004;0;0;0
Ханты-Мансийский автономный округ - Югра;2004;192204.5748;2203663;139841
Ямало-Ненецкий автономный округ;2004;164647.1629;1561226;123492
Тюменская область  без автономных округов;2004;0;0;0
Челябинская область;2004;59004.17689;812580;43385
Сибирский        федеральный округ;2004;231336.5345;3988065;194141
Республика Алтай;2004;2148.998094;20385;1434
Республика Тыва;2004;990.6936269;18680;679
Республика Хакасия;2004;6283.623222;117068;3382
Алтайский край;2004;15306.24833;359417;12675
Красноярский край;2004;49089.18504;750452;34000
Иркутская область;2004;26013.87265;563456;22465
Кемеровская область;2004;56524.90424;530233;36052
Новосибирская область ;2004;28901.57478;545077;29392
Омская область;2004;23436.75622;326879;19202
Томская область;2004;22640.67831;295327;20246
Дальневосточный федеральный округ;2004;240806.0212;1991989;85476
Республика Бурятия;2004;8402.550277;200509;7110
Республика Саха (Якутия);2004;34387.28756;389591;26552
Забайкальский край;2004;15660.01556;260582;7504
Камчатский край;2004;5475.773263;94084;2681
Приморский край;2004;18614.00342;446027;14319
Хабаровский край ;2004;34591.88829;395949;16795
Амурская область;2004;22031.96491;339012;11019
Магаданская область;2004;4272.816685;86131;3033
Сахалинская область;2004;85557.4386;174132;9073
Еврейская автономная область;2004;3197.904047;45180;1244
Чукотский автономный округ;2004;8614.378547;21883;760
Центральный федеральный округ;2005;964158;11481926;1020811
Белгородская область;2005;35022;295272;26128
Брянская область;2005;8496;218523;7295
Владимирская область;2005;17327;219803;11357
Воронежская область;2005;28652;428766;18086
Ивановская область;2005;12068;146922;6683
Калужская область;2005;13624;202519;12067
Костромская область;2005;14083;189028;10823
Курская область;2005;17864;259718;14233
Липецкая область;2005;30312;330185;20850
Московская область;2005;181260;1762773;146396
Орловская область;2005;9610;135776;7181
Рязанская область;2005;23629;289479;13251
Смоленская область;2005;14371;276228;9924
Тамбовская область;2005;14698;243714;9069
Тверская область;2005;23845;368001;45649
Тульская область;2005;20804;287642;13377
Ярославская область;2005;42466;480593;35179
г. Москва;2005;456025;5346984;613263
Северо-Западный федеральный округ;2005;483265;4134214;299078
Республика Карелия;2005;15280;214925;11822
Республика Коми;2005;50409;578010;29142
Архангельская область;2005;47710;452384;36555
в том числе: ;2005;0;0;0
Ненецкий автономный округ;2005;22466;56407;19416
Архангельская область без автономного округа;2005;0;0;0
Вологодская область;2005;60635;400094;33117
Калининградская область;2005;29959;178685;22623
Ленинградская область;2005;82859;546302;46740
Мурманская область;2005;20017;344444;17782
Новгородская область;2005;13996;162501;8599
Псковская область;2005;5547;144880;4834
г. Санкт-Петербург;2005;156854;1111989;87864
Южный             федеральный округ;2005;245104;2752590;254268
Республика Адыгея;2005;3603;51313;3204
