Субъект РФ;Год;Инвестиции в основной капитал (млн. руб.);Основные фонды в экономике (млн. руб.);Ввод в действие основных фондов (млн. руб.)
Краснодарский край;2006;152079.6143;1114617;90210
Астраханская область;2006;29383.18039;315059;11982
Волгоградская область;2006;39612.92057;621663;41591
Ростовская область;2006;95628.57551;830392;57449
г. Севастополь;2006;0;0;0
Северо-Кавказский        федеральный округ;2006;128950.1832;1139523;87765
Республика Дагестан;2006;39584.22139;339844;34732
Республика Ингушетия;2006;3369.674726;25310;1525
Кабардино-Балкарская Республика;2006;6442.959838;90672;7222
Карачаево-Черкесская Республика;2006;7987.928302;68159;4280
Республика Северная Осетия - Алания;2006;6912.36249;98675;3833
Чеченская Республика;2006;22615.45096;0;0
Ставропольский край;2006;42037.58549;516863;36173
Приволжский федеральный округ;2006;783640.4584;8456510;547878
Республика Башкортостан;2006;107751.1029;974675;73140
Республика Марий Эл;2006;10691.74954;141867;5813
Республика Мордовия;2006;19597.01358;204886;12372
Республика Татарстан;2006;160605.8318;1236737;112465
Удмуртская Республика;2006;34311.98724;394881;21414
Чувашская Республика;2006;25860.96884;285864;17391
Пермский край;2006;75519.45186;1113976;54629
Кировская область;2006;24184.55973;354452;11343
Нижегородская область ;2006;89272.19049;834981;56132
Оренбургская область;2006;52952.69035;553402;38918
Пензенская область;2006;25459.1459;315061;12494
Самарская область;2006;88559.53749;1154449;71594
Саратовская область;2006;46992.63777;630917;48423
Ульяновская область;2006;21881.59088;260362;11750
Уральский         федеральный округ;2006;801479.2296;9209054;531006
Курганская область;2006;13916.39049;242086;8894
Свердловская область ;2006;133475.9087;1509597;68363
Тюменская область;2006;564886.6716;6462995;386685
в том числе:;2006;0;0;0
Ханты-Мансийский автономный округ - Югра;2006;306569.9882;3346899;212011
Ямало-Ненецкий автономный округ;2006;170737.7505;2491843;122506
Тюменская область  без автономных округов;2006;0;0;0
Челябинская область;2006;89200.25879;994376;67064
Сибирский        федеральный округ;2006;445372.8519;5021477;356149
Республика Алтай;2006;4080.3055;26506;2716
Республика Тыва;2006;1974.676248;22158;1129
Республика Хакасия;2006;19516.06305;141252;9381
Алтайский край;2006;29284.78657;445470;23612
Красноярский край;2006;92587.36012;927280;59712
Иркутская область;2006;70671.5288;674969;52028
Кемеровская область;2006;91032.29565;745812;69921
Новосибирская область ;2006;51176.02138;682585;40647
Омская область;2006;47039.2057;402762;38872
Томская область;2006;38010.60892;361563;29684
Дальневосточный федеральный округ;2006;369173.3012;2485870;180815
Республика Бурятия;2006;15927.82482;206590;8200
Республика Саха (Якутия);2006;56618.84537;506544;35203
Забайкальский край;2006;22420.72837;384530;20247
Камчатский край;2006;8336.918462;113962;4236
Приморский край;2006;34233.4644;476660;20735
Хабаровский край ;2006;47281.39144;489476;37243
Амурская область;2006;28650.90104;411171;26215
Магаданская область;2006;7109.287342;100547;3671
Сахалинская область;2006;137528.8414;287633;46636
Еврейская автономная область;2006;6059.350547;72817;2613
Чукотский автономный округ;2006;5005.748;27060;4263
Центральный федеральный округ;2007;1779599.361;18409503;1261776
Белгородская область;2007;83509.51141;425857;57335
Брянская область;2007;21010.24725;311385;11548
Владимирская область;2007;37775.40073;290393;25193
Воронежская область;2007;65319.28602;562523;35833
Ивановская область;2007;17415.98883;207383;12811
Калужская область;2007;35011.78476;281488;15900
Костромская область;2007;13918.58193;242020;11495
Курская область;2007;33523.14257;327734;19057
Липецкая область;2007;64706.97323;453206;35253
Московская область;2007;401143.315;2932730;266435
Орловская область;2007;24118.88294;187520;12652
Рязанская область;2007;33630.02472;402878;31302
Смоленская область;2007;25178.09958;373569;22790
Тамбовская область;2007;30860.87116;340731;21948
Тверская область;2007;36383.69349;537076;31884
Тульская область;2007;36208.13957;377757;27880
Ярославская область;2007;44203.23022;648365;34313
г. Москва;2007;775682.1877;9506888;588147
Северо-Западный федеральный округ;2007;832477.6361;6244131;531059
Республика Карелия;2007;19153.72037;296563;16088
Республика Коми;2007;63024.96919;843245;68048
Архангельская область;2007;130642.3256;684202;68681
в том числе: ;2007;0;0;0
Ненецкий автономный округ;2007;91199.92758;103611;23509
Архангельская область без автономного округа;2007;0;0;0
Вологодская область;2007;79210.89365;674525;69151
Калининградская область;2007;46191.64286;251225;24053
Ленинградская область;2007;126296.3072;803905;77469
Мурманская область;2007;26911.93478;538057;26484
Новгородская область;2007;23918.68606;223291;16179
Псковская область;2007;13678.76512;188943;8820
г. Санкт-Петербург;2007;303448.3914;1740175;156086
Южный             федеральный округ;2007;496910.7475;3813016;295289
Республика Адыгея;2007;10973.12546;74408;4657
Республика Калмыкия;2007;6151.235975;98472;2961
Республика Крым;2007;0;0;0
Краснодарский край;2007;229713.622;1385585;132603
Астраханская область;2007;49969.5698;367910;17448
Волгоградская область;2007;64953.66721;879288;42617
Ростовская область;2007;135149.527;1007353;95003
г. Севастополь;2007;0;0;0
Северо-Кавказский        федеральный округ;2007;199887.6271;1573198;129579
Республика Дагестан;2007;60712.69046;431688;46288
Республика Ингушетия;2007;7677.947539;40475;5512
Кабардино-Балкарская Республика;2007;12787.54678;105499;7707
Карачаево-Черкесская Республика;2007;9082.095475;91481;7916
Республика Северная Осетия - Алания;2007;14644.40973;113037;4788
Чеченская Республика;2007;41317.86531;185769;15919
Ставропольский край;2007;53665.07182;605249;41449
Приволжский федеральный округ;2007;1148396.937;10204265;696782
Республика Башкортостан;2007;160345.4007;1153973;97518
Республика Марий Эл;2007;17204.01041;170447;9778
Республика Мордовия;2007;27414.20636;261867;17776
Республика Татарстан;2007;214557.8766;1586177;114152
Удмуртская Республика;2007;44565.05927;484365;34744
Чувашская Республика;2007;38069.38622;372611;33580
Пермский край;2007;122480.413;1278827;70042
Кировская область;2007;37389.38942;412082;21284
Нижегородская область ;2007;133188.6988;1036892;70778
Оренбургская область;2007;80352.68297;662706;50664
Пензенская область;2007;44023.15135;377811;18403
Самарская область;2007;137126.8134;1333971;96973
Саратовская область;2007;56709.58569;764456;44844
Ульяновская область;2007;34970.26317;308080;16246
Уральский         федеральный округ;2007;1113150.692;10955498;737340
Курганская область;2007;19042.54834;325899;11727
Свердловская область ;2007;187313.9854;1746705;87165
Тюменская область;2007;775868.0214;7581168;545951
в том числе:;2007;0;0;0
Ханты-Мансийский автономный округ - Югра;2007;381341.968;4007371;328902
Ямало-Ненецкий автономный округ;2007;287954.1198;2797387;166726
Тюменская область  без автономных округов;2007;0;0;0
Челябинская область;2007;130926.1369;1301726;92497
Сибирский        федеральный округ;2007;657436.5797;6212843;451372
Республика Алтай;2007;5966.67792;36386;3899
Республика Тыва;2007;2395.893391;27975;1810
Республика Хакасия;2007;17419.65292;186212;28305
Алтайский край;2007;42643.17925;545300;31001
Красноярский край;2007;120833.2281;1099859;74153
Иркутская область;2007;121877.8215;826755;50155
Кемеровская область;2007;115680.7345;924027;77452
Новосибирская область ;2007;89473.90478;820667;65015
Омская область;2007;69505.45419;503481;38846
Томская область;2007;71640.03311;489096;41042
Дальневосточный федеральный округ;2007;488362.7747;2979000;193214
Республика Бурятия;2007;19457.22583;299067;16182
Республика Саха (Якутия);2007;119824.4719;590058;42469
Забайкальский край;2007;32056.80856;454018;23512
Камчатский край;2007;13019.20028;158848;9100
Приморский край;2007;46988.10065;581679;31944
Хабаровский край ;2007;64543.78226;596954;31864
Амурская область;2007;45683.17944;473453;28043
Магаданская область;2007;9899.603453;115027;6559
Сахалинская область;2007;122756.2292;332989;30327
Еврейская автономная область;2007;8540.665967;96110;7349
Чукотский автономный округ;2007;5593.507063;33882;5559
Центральный федеральный округ;2008;2278329;25151424;1616986
Белгородская область;2008;104218;507024;65363
Брянская область;2008;25298;327029;15298
Владимирская область;2008;45056;328569;28765
Воронежская область;2008;94168;674657;58622
Ивановская область;2008;26051;260005;15763
Калужская область;2008;66270;323872;27037
Костромская область;2008;16848;263477;11031
Курская область;2008;46752;360692;23006
Липецкая область;2008;88089;524693;43200
Московская область;2008;481617;3459831;291163
Орловская область;2008;27242;218125;16937
Рязанская область;2008;53231;477383;40861
Смоленская область;2008;37562;418597;24601
Тамбовская область;2008;42701;391686;25033
Тверская область;2008;50222;589581;32303
Тульская область;2008;55363;431106;33092
Ярославская область;2008;55174;717989;36185
г. Москва;2008;962468;14877108;828726
Северо-Западный федеральный округ;2008;1040669;7196426;704529
Республика Карелия;2008;26133;323513;17601
Республика Коми;2008;83656;994739;50444
Архангельская область;2008;145622;846044;170094
в том числе: ;2008;0;0;0
Ненецкий автономный округ;2008;87104;214738;132541
Архангельская область без автономного округа;2008;0;0;0
Вологодская область;2008;78448;723043;67507
Калининградская область;2008;70811;303919;45627
Ленинградская область;2008;166112;917978;88242
Мурманская область;2008;46844;623548;37202
Новгородская область;2008;33934;247086;19918
Псковская область;2008;16472;211020;13007
г. Санкт-Петербург;2008;372637;2005536;194887
Южный             федеральный округ;2008;704183;4526183;374472
Республика Адыгея;2008;13275;93766;12737
Республика Калмыкия;2008;7950;106663;3971
Республика Крым;2008;0;0;0
Краснодарский край;2008;332532;1645865;152486
Астраханская область;2008;68273;466376;35323
Волгоградская область;2008;88440;1047580;49340
Ростовская область;2008;193713;1165933;120615
г. Севастополь;2008;0;0;0
Северо-Кавказский        федеральный округ;2008;260241;1824682;157963
Республика Дагестан;2008;86938;525036;54964
Республика Ингушетия;2008;3951;38864;3202
Кабардино-Балкарская Республика;2008;15889;120959;11474
Карачаево-Черкесская Республика;2008;11001;101153;8267
Республика Северная Осетия - Алания;2008;17032;119133;7646
Чеченская Республика;2008;50380;189968;22472
Ставропольский край;2008;75051;729569;49938
Приволжский федеральный округ;2008;1485341;11863782;888124
Республика Башкортостан;2008;203657;1326927;140098
Республика Марий Эл;2008;21408;193250;11327
Республика Мордовия;2008;39254;335090;22649
Республика Татарстан;2008;273098;1802843;164930
Удмуртская Республика;2008;53536;553399;38655
Чувашская Республика;2008;50473;422064;29942
Пермский край;2008;152363;1502190;79622
Кировская область;2008;42672;455558;25655
Нижегородская область ;2008;207392;1229632;88334
Оренбургская область;2008;108868;808489;76217
Пензенская область;2008;52632;446113;27957
Самарская область;2008;148262;1528511;100557
Саратовская область;2008;83221;907459;59591
Ульяновская область;2008;48507;352257;22590
Уральский         федеральный округ;2008;1482552;13269958;978445
Курганская область;2008;33437;368000;17478
Свердловская область ;2008;242634;2063335;139146
Тюменская область;2008;1025474;9357677;703043
в том числе:;2008;0;0;0
Ханты-Мансийский автономный округ - Югра;2008;482584;4852290;432688
Ямало-Ненецкий автономный округ;2008;399611;3742708;207991
Тюменская область  без автономных округов;2008;0;762679;62364
Челябинская область;2008;181006;1480946;118778
Сибирский        федеральный округ;2008;874506;7183950;683102
Республика Алтай;2008;7591;40300;4502
Республика Тыва;2008;3756;31718;2158
Республика Хакасия;2008;13312;225192;11129
Алтайский край;2008;55965;615342;39408
Красноярский край;2008;204171;1261951;104038
Иркутская область;2008;129951;1056433;171044
Кемеровская область;2008;152887;1058631;115547
Новосибирская область ;2008;133410;939236;92787
Омская область;2008;87509;552613;45637
Томская область;2008;85954;545898;50303
Дальневосточный федеральный округ;2008;655795;3424690;341226
Республика Бурятия;2008;23605;343681;18106
Республика Саха (Якутия);2008;156954;657603;47332
Забайкальский край;2008;47445;512955;28443
Камчатский край;2008;16520;169981;8739
Приморский край;2008;76970;634614;42246
Хабаровский край ;2008;83675;670723;48217
Амурская область;2008;66056;493989;20759
Магаданская область;2008;13471;122805;4645
Сахалинская область;2008;152387;522887;159464
Еврейская автономная область;2008;10426;104532;2721
Чукотский автономный округ;2008;8286;47556;7103
Центральный федеральный округ;2009;1928138;26832797;1620461
Белгородская область;2009;73127;586006;74266
Брянская область;2009;26858;350832;16577
Владимирская область;2009;51546;369170;32885
Воронежская область;2009;94788;738634;63283
Ивановская область;2009;31956;300365;15864
Калужская область;2009;60349;383147;48919
Костромская область;2009;11334;279921;9590
Курская область;2009;41183;399626;32000
Липецкая область;2009;84317;579269;40354
Московская область;2009;380061;3939219;268781
Орловская область;2009;19791;237728;16346
Рязанская область;2009;38036;525645;31124
Смоленская область;2009;34633;440985;26477
Тамбовская область;2009;48795;418694;26940
Тверская область;2009;70047;663770;43273
Тульская область;2009;61518;492051;47674
Ярославская область;2009;57377;770917;35923
г. Москва;2009;742422;15356818;790185
Северо-Западный федеральный округ;2009;933693;8041564;695522
Республика Карелия;2009;18692;347961;14958
Республика Коми;2009;109469;1084970;66994
Архангельская область;2009;74284;968119;108314
в том числе: ;2009;0;0;0
Ненецкий автономный округ;2009;36364;271344;61202
Архангельская область без автономного округа;2009;0;696775;47112
Вологодская область;2009;55794;757254;63171
Калининградская область;2009;60463;346298;44369
Ленинградская область;2009;190860;1046094;113901
Мурманская область;2009;41722;684809;29646
Новгородская область;2009;35617;263359;26653
Псковская область;2009;12717;228645;11698
г. Санкт-Петербург;2009;334074;2314055;215818
Южный             федеральный округ;2009;709382;5062626;384519
Республика Адыгея;2009;15874;101212;8720
Республика Калмыкия;2009;8106;114144;3745
Республика Крым;2009;0;0;0
Краснодарский край;2009;377013;1870428;154964
Астраханская область;2009;61953;529737;35138
Волгоградская область;2009;75591;1115884;53483
Ростовская область;2009;170845;1331221;128469
г. Севастополь;2009;0;0;0
Северо-Кавказский        федеральный округ;2009;267085;2058011;179143
Республика Дагестан;2009;102189;610455;64206
Республика Ингушетия;2009;6523;40638;3620
Кабардино-Балкарская Республика;2009;17514;135976;12238
Карачаево-Черкесская Республика;2009;10145;112083;6136
Республика Северная Осетия - Алания;2009;13927;151730;20311
Чеченская Республика;2009;41508;207814;28692
Ставропольский край;2009;75279;799315;43940
Приволжский федеральный округ;2009;1279154;13202934;917383
Республика Башкортостан;2009;148142;1485177;133109
Республика Марий Эл;2009;16576;204323;10719
Республика Мордовия;2009;31968;341899;15052
Республика Татарстан;2009;277573;2132421;139318
Удмуртская Республика;2009;40450;592068;35063
Чувашская Республика;2009;35688;456144;34505
Пермский край;2009;132274;1605119;81830
Кировская область;2009;31471;487604;21590
Нижегородская область ;2009;201692;1388587;131143
Оренбургская область;2009;91268;901995;80521
Пензенская область;2009;43603;533261;22465
Самарская область;2009;111189;1652795;105033
Саратовская область;2009;67760;991128;60630
Ульяновская область;2009;49500;430413;46405
Уральский         федеральный округ;2009;1337857;14526823;1001399
Курганская область;2009;35021;416057;18666
Свердловская область ;2009;200368;2247358;141745
Тюменская область;2009;957021;10315779;728515
в том числе:;2009;0;0;0
Ханты-Мансийский автономный округ - Югра;2009;472195;5423503;438788
Ямало-Ненецкий автономный округ;2009;344336;4002082;208983
Тюменская область  без автономных округов;2009;0;890194;80744
Челябинская область;2009;145446;1547629;112473
Сибирский        федеральный округ;2009;768943;8288137;842077
Республика Алтай;2009;7169;44595;4319
Республика Тыва;2009;5188;36141;3348
Республика Хакасия;2009;12837;230085;9759
Алтайский край;2009;45026;670720;42018
Красноярский край;2009;247789;1472018;170950
Иркутская область;2009;106550;1472728;292768
Кемеровская область;2009;110074;1152849;95883
Новосибирская область ;2009;100448;1055081;74617
Омская область;2009;59184;599347;46441
Томская область;2009;74679;619506;49125
Дальневосточный федеральный округ;2009;751761;4290077;715719
Республика Бурятия;2009;23379;375160;18880
Республика Саха (Якутия);2009;192648;733665;66745
Забайкальский край;2009;42271;559907;33969
Камчатский край;2009;24385;180548;7534
Приморский край;2009;149813;799882;89745
Хабаровский край ;2009;96974;752349;56428
Амурская область;2009;65625;530204;33905
Магаданская область;2009;15178;136348;7524
Сахалинская область;2009;118446;996746;433070
Еврейская автономная область;2009;8039;97291;2962
Чукотский автономный округ;2009;15001;63044;17806
Центральный федеральный округ;2010;2099824;30674303;1887629
Белгородская область;2010;96313;671563;78382
Брянская область;2010;41989;384939;19089
Владимирская область;2010;50088;421136;41747
Воронежская область;2010;125826;788059;61549
Ивановская область;2010;29961;350925;16904
Калужская область;2010;74489;449711;65488
Костромская область;2010;15100;295091;11931
Курская область;2010;46093;435966;25555
Липецкая область;2010;101600;635096;37555
Московская область;2010;394284;4442527;324810
Орловская область;2010;21451;258382;17601
Рязанская область;2010;40622;577233;29484
Смоленская область;2010;48833;477280;24459
Тамбовская область;2010;53980;467691;23875
Тверская область;2010;82618;729864;41038
Тульская область;2010;71526;562328;47798
Ярославская область;2010;72291;821370;45349
г. Москва;2010;732761;17905142;975015
Северо-Западный федеральный округ;2010;1134405;9107642;675526
Республика Карелия;2010;22798;393841;18344
Республика Коми;2010;112313;1245540;55739
Архангельская область;2010;99686;1068113;75886
в том числе: ;2010;0;0;0
Ненецкий автономный округ;2010;42565;317535;25323
Архангельская область без автономного округа;2010;0;750578;50563
Вологодская область;2010;68569;828642;52244
Калининградская область;2010;55877;398091;40433
Ленинградская область;2010;278864;1210457;119241
Мурманская область;2010;38611;799454;23349
Новгородская область;2010;39454;284453;22562
Псковская область;2010;16695;243124;12486
г. Санкт-Петербург;2010;401537;2635927;255242
Южный             федеральный округ;2010;907962;5706003;468949
Республика Адыгея;2010;14036;109480;9833
Республика Калмыкия;2010;6970;119600;4784
Республика Крым;2010;0;0;0
Краснодарский край;2010;589623;2139060;174329
Астраханская область;2010;59863;623538;78291
Волгоградская область;2010;78431;1200283;57965
Ростовская область;2010;159038;1514042;143747
г. Севастополь;2010;0;0;0
Северо-Кавказский        федеральный округ;2010;313412;2317317;216690
Республика Дагестан;2010;120653;702603;70868
Республика Ингушетия;2010;7452;45758;6848
Кабардино-Балкарская Республика;2010;20958;158744;22291
Карачаево-Черкесская Республика;2010;9140;116719;5445
Республика Северная Осетия - Алания;2010;16204;171315;13215
Чеченская Республика;2010;50369;231128;36220
Ставропольский край;2010;88635;891050;61803
Приволжский федеральный округ;2010;1437472;14792989;865791
Республика Башкортостан;2010;153625;1604725;99361
Республика Марий Эл;2010;22304;225000;11898
Республика Мордовия;2010;40778;353809;15618
Республика Татарстан;2010;328944;2526863;164102
Удмуртская Республика;2010;51148;650857;30734
Чувашская Республика;2010;42612;493286;30052
Пермский край;2010;139652;1837184;83079
Кировская область;2010;34553;541725;18965
Нижегородская область ;2010;192072;1578659;115922
Оренбургская область;2010;103648;1047515;78837
Пензенская область;2010;45678;579673;23862
Самарская область;2010;154423;1775376;109991
Саратовская область;2010;80041;1108845;55593
Ульяновская область;2010;47993;469472;27777
Уральский         федеральный округ;2010;1490849;16840119;1199699
Курганская область;2010;25573;474482;14257
Свердловская область ;2010;264462;2561776;150476
Тюменская область;2010;1049693;12115952;912614
в том числе:;2010;0;0;0
Ханты-Мансийский автономный округ - Югра;2010;507172;6382571;495727
Ямало-Ненецкий автономный округ;2010;387696;4699979;268724
Тюменская область  без автономных округов;2010;0;1033402;148163
Челябинская область;2010;151121;1687909;122352
Сибирский        федеральный округ;2010;902079;9071296;688694
Республика Алтай;2010;9522;49786;6728
Республика Тыва;2010;7236;39154;4589
Республика Хакасия;2010;22109;246369;14587
Алтайский край;2010;54580;712242;36085
Красноярский край;2010;266910;1628414;128034
Иркутская область;2010;119395;1641443;133247
Кемеровская область;2010;156519;1259707;109449
Новосибирская область ;2010;115015;1172183;81944
Омская область;2010;73196;652835;48415
Томская область;2010;77598;673404;50786
Дальневосточный федеральный округ;2010;866093;4675943;272957
Республика Бурятия;2010;33569;402856;24317
Республика Саха (Якутия);2010;130493;776760;41380
Забайкальский край;2010;44825;592903;50513
Камчатский край;2010;32615;194506;16772
Приморский край;2010;208209;912847;51174
Хабаровский край ;2010;156439;809105;52343
Амурская область;2010;83892;562364;35137
Магаданская область;2010;16809;144914;6177
Сахалинская область;2010;135014;1091696;52553
Еврейская автономная область;2010;18811;107363;6207
Чукотский автономный округ;2010;5419;76388;11214
Центральный федеральный округ;2011;2458312;34970822;2350889
Белгородская область;2011;125994;797428;89868
Брянская область;2011;48014;431052;38237
Владимирская область;2011;59769;506112;41621
Воронежская область;2011;155245;1019463;100910
Ивановская область;2011;32373;564135;70965
Калужская область;2011;77354;513811;54847
Костромская область;2011;17648;312406;13396
Курская область;2011;58521;494722;39728
Липецкая область;2011;112531;717970;56565
Московская область;2011;449666;5012245;382763
Орловская область;2011;34072;298079;19110
Рязанская область;2011;53163;673713;45837
Смоленская область;2011;56872;543205;62358
Тамбовская область;2011;68302;521673;37163
Тверская область;2011;94276;825225;51052
Тульская область;2011;77703;635993;63344
Ярославская область;2011;80386;934472;101821
г. Москва;2011;856424;20169118;1081304
Северо-Западный федеральный округ;2011;1329968;10905713;1040328
Республика Карелия;2011;29641;408974;25375
Республика Коми;2011;202526;1365693;74793
Архангельская область;2011;134722;1161604;105414
в том числе: ;2011;0;0;0
Ненецкий автономный округ;2011;44248;347152;26723
Архангельская область без автономного округа;2011;0;814452;78689
Вологодская область;2011;114958;1018443;95979
Калининградская область;2011;63171;447257;65188
Ленинградская область;2011;305699;1506817;237086
Мурманская область;2011;55970;1163343;44936
Новгородская область;2011;38031;316982;31623
Псковская область;2011;24882;272812;23932
г. Санкт-Петербург;2011;360368;3243788;336002
Южный             федеральный округ;2011;1079284;6548818;590583
Республика Адыгея;2011;18703;118216;10659
Республика Калмыкия;2011;9779;113426;4348
Республика Крым;2011;0;0;0
Краснодарский край;2011;711720;2471453;303795
Астраханская область;2011;69024;747640;68746
Волгоградская область;2011;104080;1346669;77842
Ростовская область;2011;165978;1751414;125193
г. Севастополь;2011;0;0;0
Северо-Кавказский        федеральный округ;2011;347504;2637978;274078
Республика Дагестан;2011;137114;821966;92365
Республика Ингушетия;2011;6100;40918;4921
Кабардино-Балкарская Республика;2011;20855;185443;14564
Карачаево-Черкесская Республика;2011;13610;126319;8721
Республика Северная Осетия - Алания;2011;19927;182119;13821
Чеченская Республика;2011;51632;300776;39326
Ставропольский край;2011;98265;980437;100360
Приволжский федеральный округ;2011;1702521;17166375;1254683
Республика Башкортостан;2011;188506;1703359;123031
Республика Марий Эл;2011;26861;264186;18934
Республика Мордовия;2011;48673;390900;31483
Республика Татарстан;2011;393569;3461464;294825
Удмуртская Республика;2011;62311;753970;44531
Чувашская Республика;2011;55925;561249;30835
Пермский край;2011;144781;2078245;139202
Кировская область;2011;40185;602726;31571
Нижегородская область ;2011;224350;1731930;152860
Оренбургская область;2011;116658;1259018;120415
Пензенская область;2011;57495;613333;33035
Самарская область;2011;182575;2005380;136484
Саратовская область;2011;101406;1215058;64916
Ульяновская область;2011;59226;525557;32561
Уральский         федеральный округ;2011;1838272;19435141;1654923
Курганская область;2011;29862;521738;19347
Свердловская область ;2011;333451;3285624;261136
Тюменская область;2011;1298360;13758304;1215613
в том числе:;2011;0;0;0
Ханты-Мансийский автономный округ - Югра;2011;636976;6888515;629365
Ямало-Ненецкий автономный округ;2011;477145;5687176;457432
Тюменская область  без автономных округов;2011;0;1182613;128816
Челябинская область;2011;176598;1869475;158827
Сибирский        федеральный округ;2011;1126888;10256100;903416
Республика Алтай;2011;14590;61628;10855
Республика Тыва;2011;8119;47409;5510
Республика Хакасия;2011;35184;292915;30716
Алтайский край;2011;70308;757632;54442
Красноярский край;2011;308588;1815754;161832
Иркутская область;2011;145537;1975486;175604
Кемеровская область;2011;214780;1406912;143649
Новосибирская область ;2011;140097;1229181;102980
Омская область;2011;88788;725451;65635
Томская область;2011;100897;863117;79644
Дальневосточный федеральный округ;2011;1152904;6080300;744414
Республика Бурятия;2011;40743;430210;29981
Республика Саха (Якутия);2011;190409;921586;74213
Забайкальский край;2011;51656;650405;42568
Камчатский край;2011;33860;242183;45124
Приморский край;2011;307618;1695166;202177
Хабаровский край ;2011;180508;1041749;169312
Амурская область;2011;118297;623125;53551
Магаданская область;2011;19061;150356;9035
Сахалинская область;2011;176021;1208172;180484
Еврейская автономная область;2011;25430;116967;5565
Чукотский автономный округ;2011;9302;80996;4953
Центральный федеральный округ;2012;2961584;38981428;2626987
Белгородская область;2012;136820;921456;110979
Брянская область;2012;46551;468273;31186
Владимирская область;2012;61013;550984;53592
Воронежская область;2012;182334;1078383;118924
Ивановская область;2012;28762;468173;28025
Калужская область;2012;95970;559089;54517
Костромская область;2012;21169;323157;13748
Курская область;2012;66639;541986;40775
Липецкая область;2012;93327;770538;59700
Московская область;2012;516872;5109551;399688
Орловская область;2012;40429;319948;26472
Рязанская область;2012;66705;609793;39227
Смоленская область;2012;56435;598129;37192
Тамбовская область;2012;82921;560953;41050
Тверская область;2012;80464;960495;126999
Тульская область;2012;84059;699627;74494
Ярославская область;2012;81019;994998;59290
г. Москва;2012;1220097;23445895;1311129
Северо-Западный федеральный округ;2012;1485413;12675792;1561180
Республика Карелия;2012;33947;443696;23872
Республика Коми;2012;232222;1717183;344764
Архангельская область;2012;162514;1259415;136145
в том числе: ;2012;0;0;0
Ненецкий автономный округ;2012;59024;409702;43875
Архангельская область без автономного округа;2012;0;849713;92270
Вологодская область;2012;151023;1144210;199419
Калининградская область;2012;71757;506873;54061
Ленинградская область;2012;330721;1919269;341304
Мурманская область;2012;72449;1298653;50355
Новгородская область;2012;45000;364604;47994
Псковская область;2012;33664;294598;16879
г. Санкт-Петербург;2012;352116;3727291;346387
Южный             федеральный округ;2012;1254958;7222089;658227
Республика Адыгея;2012;16904;136241;16874
Республика Калмыкия;2012;13825;113022;5626
Республика Крым;2012;0;0;0
Краснодарский край;2012;798476;2821779;346664
Астраханская область;2012;81665;808160;71559
Волгоградская область;2012;136154;1462441;89297
Ростовская область;2012;207935;1880446;128207
г. Севастополь;2012;0;0;0
Северо-Кавказский        федеральный округ;2012;402809;2933644;317620
Республика Дагестан;2012;152733;877939;101010
Республика Ингушетия;2012;14777;49517;5651
Кабардино-Балкарская Республика;2012;25652;202099;15949
Карачаево-Черкесская Республика;2012;18076;142438;11165
Республика Северная Осетия - Алания;2012;21851;187258;8801
Чеченская Республика;2012;54400;330596;54639
Ставропольский край;2012;115318;1143797;120405
Приволжский федеральный округ;2012;2012877;17906759;1310668
Республика Башкортостан;2012;233683;1799031;145391
Республика Марий Эл;2012;31656;286499;18365
Республика Мордовия;2012;49825;406047;26648
Республика Татарстан;2012;470751;3110418;228432
Удмуртская Республика;2012;64221;817042;53498
Чувашская Республика;2012;65255;589437;42067
Пермский край;2012;162241;2199176;141531
Кировская область;2012;50545;639525;30615
Нижегородская область ;2012;257454;1947537;168960
Оренбургская область;2012;151250;1377934;110483
Пензенская область;2012;72343;669188;47794
Самарская область;2012;213022;2173528;156690
Саратовская область;2012;117646;1319466;101190
Ульяновская область;2012;72985;571931;39004
Уральский         федеральный округ;2012;2037624;22295386;1886818
Курганская область;2012;36213;574249;25040
Свердловская область ;2012;351637;3665843;229178
Тюменская область;2012;1456957;16041010;1492619
в том числе:;2012;0;0;0
Ханты-Мансийский автономный округ - Югра;2012;671089;7953296;609972
Ямало-Ненецкий автономный округ;2012;581010;6737214;673487
Тюменская область  без автономных округов;2012;0;1350500;209160
Челябинская область;2012;192816;2014284;139981
Сибирский        федеральный округ;2012;1350694;11466528;1089368
Республика Алтай;2012;10742;68340;7288
Республика Тыва;2012;11678;57136;8911
Республика Хакасия;2012;38131;315069;26303
Алтайский край;2012;83853;797922;53284
Красноярский край;2012;381657;2070838;247516
Иркутская область;2012;177641;2171210;191646
Кемеровская область;2012;267812;1635052;179666
Новосибирская область ;2012;162170;1361156;117434
Омская область;2012;108706;827996;73496
Томская область;2012;108304;980603;89817
Дальневосточный федеральный округ;2012;1080133;7787282;887608
Республика Бурятия;2012;41184;485596;37042
Республика Саха (Якутия);2012;205206;1194724;124179
Забайкальский край;2012;67596;695610;56965
Камчатский край;2012;36138;267001;27164
Приморский край;2012;203189;2676321;253751
Хабаровский край ;2012;179907;1203168;193098
Амурская область;2012;113084;759529;127381
Магаданская область;2012;27571;174595;18234
Сахалинская область;2012;164028;1263901;91546
Еврейская автономная область;2012;24946;158568;45577
Чукотский автономный округ;2012;17284;89475;6678
Центральный федеральный округ;2013;3331629;43531550;3017647
Белгородская область;2013;129405;1035534;99642
