Субъект РФ ;Год;Грузооборот автомобильного транспорта организаций всех видов деятельности (млн. т.-км.);Пассажирооборот автобусов общего пользования (млн. пассажиро-км.)
Уральский         федеральный округ;2001;11474;15535
Курганская область;2001;784;1418
Свердловская область ;2001;2118;5138
Тюменская область;2001;6306;4404
в том числе:;2001;0;0
Ханты-Мансийский автономный округ - Югра;2001;4091;2198
Ямало-Ненецкий автономный округ;2001;1128;279
Тюменская область  без автономных округов;2001;1087;1927
Челябинская область;2001;2266;4576
Сибирский        федеральный округ;2001;12643;17928
Республика Алтай;2001;130;106
Республика Тыва;2001;174;280
Республика Хакасия;2001;447;380
Алтайский край;2001;1579;1316
Красноярский край;2001;1884;3166
Иркутская область;2001;2521;1897
Кемеровская область;2001;2745;5203
Новосибирская область ;2001;1391;2296
Омская область;2001;813;1884
Томская область;2001;959;1400
Дальневосточный федеральный округ;2001;6007;5961
Республика Бурятия;2001;513;277
Республика Саха (Якутия);2001;1602;538
Забайкальский край;2001;682;388
Камчатский край;2001;88;359
Приморский край;2001;1000;1560
Хабаровский край ;2001;971;1594
Амурская область;2001;425;619
Магаданская область;2001;292;149
Сахалинская область;2001;331;348
Еврейская автономная область;2001;71;127
Чукотский автономный округ;2001;32;3
Центральный федеральный округ;2002;19495;47561
Белгородская область;2002;1508;2354
Брянская область;2002;1094;1605
Владимирская область;2002;917;1155
Воронежская область;2002;1713;5049
Ивановская область;2002;418;948
Калужская область;2002;687;745
Костромская область;2002;789;1353
Курская область;2002;761;1244
Липецкая область;2002;799;2887
Московская область;2002;3125;8439
Орловская область;2002;789;1291
Рязанская область;2002;587;1920
Смоленская область;2002;875;1201
Тамбовская область;2002;472;1807
Тверская область;2002;825;2429
Тульская область;2002;792;2271
Ярославская область;2002;947;1812
г. Москва;2002;2397;9051
Северо-Западный федеральный округ;2002;9510;20237
Республика Карелия;2002;1057;260
Республика Коми;2002;1314;1516
Архангельская область;2002;1461;917
в том числе: ;2002;0;0
Ненецкий автономный округ;2002;51;21
Архангельская область без автономного округа;2002;1410;896
Вологодская область;2002;1331;1429
Калининградская область;2002;441;651
Ленинградская область;2002;891;1799
Мурманская область;2002;379;2266
Новгородская область;2002;632;2002
Псковская область;2002;547;1586
г. Санкт-Петербург;2002;1457;7812
Южный             федеральный округ;2002;8965;13213
Республика Адыгея;2002;375;267
Республика Калмыкия;2002;273;261
Республика Крым;2002;0;0
Краснодарский край;2002;4098;3529
Астраханская область;2002;490;791
Волгоградская область;2002;885;3376
Ростовская область;2002;2844;4990
г. Севастополь;2002;0;0
Северо-Кавказский        федеральный округ;2002;2795;5425
Республика Дагестан;2002;582;1138
Республика Ингушетия;2002;12;188
Кабардино-Балкарская Республика;2002;196;826
Карачаево-Черкесская Республика;2002;161;229
Республика Северная Осетия - Алания;2002;113;1114
Чеченская Республика;2002;0;0
Ставропольский край;2002;1731;1931
Приволжский федеральный округ;2002;22487;44907
Республика Башкортостан;2002;2555;4456
Республика Марий Эл;2002;458;1655
Республика Мордовия;2002;741;685
Республика Татарстан;2002;3811;6112
Удмуртская Республика;2002;931;1893
Чувашская Республика;2002;702;3522
Пермский край;2002;3752;5889
Кировская область;2002;1657;2036
Нижегородская область ;2002;1891;6981
Оренбургская область;2002;1129;2495
Пензенская область;2002;585;1106
Самарская область;2002;2095;4949
Саратовская область;2002;1193;2134
Ульяновская область;2002;987;993
Уральский         федеральный округ;2002;11611;15353
Курганская область;2002;993;1101
Свердловская область ;2002;2174;5221
Тюменская область;2002;6450;5068
в том числе:;2002;0;0
Ханты-Мансийский автономный округ - Югра;2002;3233;2786
Ямало-Ненецкий автономный округ;2002;1395;324
Тюменская область  без автономных округов;2002;1822;1958
Челябинская область;2002;1994;3964
Сибирский        федеральный округ;2002;12510;18018
Республика Алтай;2002;145;110
Республика Тыва;2002;186;321
Республика Хакасия;2002;375;282
Алтайский край;2002;1653;1436
Красноярский край;2002;1488;3407
Иркутская область;2002;2587;1790
Кемеровская область;2002;2770;5164
Новосибирская область ;2002;1447;2197
Омская область;2002;878;1824
Томская область;2002;981;1487
Дальневосточный федеральный округ;2002;6476;5987
Республика Бурятия;2002;567;267
Республика Саха (Якутия);2002;2139;506
Забайкальский край;2002;744;491
Камчатский край;2002;85;320
Приморский край;2002;934;1375
Хабаровский край ;2002;853;1743
Амурская область;2002;535;613
Магаданская область;2002;263;149
Сахалинская область;2002;206;368
Еврейская автономная область;2002;67;148
Чукотский автономный округ;2002;83;6
Центральный федеральный округ;2003;24242.0488;47179
Белгородская область;2003;1609.7816;2215
Брянская область;2003;1113.8113;1593
Владимирская область;2003;889.3156;1126
Воронежская область;2003;3183.0081;5481
Ивановская область;2003;397.5539;937
Калужская область;2003;478.6503;679
Костромская область;2003;864.2576;1387
Курская область;2003;748;1173
Липецкая область;2003;882.3716;1820
Московская область;2003;6244.3793;8760
Орловская область;2003;921.9113;1292
Рязанская область;2003;575.7231;1956
Смоленская область;2003;629.2069;1384
Тамбовская область;2003;598.7679;1591
Тверская область;2003;1002.4833;2062
Тульская область;2003;751.6216;2280
Ярославская область;2003;934.9853;1837
г. Москва;2003;2416.2201;9606
Северо-Западный федеральный округ;2003;10728.4588;19044
Республика Карелия;2003;1102.2056;223
Республика Коми;2003;1186.0651;750
Архангельская область;2003;1676.1373;918
в том числе: ;2003;0;0
Ненецкий автономный округ;2003;46.9386;22
Архангельская область без автономного округа;2003;1629.1987;896
