Субъект РФ;Год;Численность пенсионеров (тыс. чел);Среднедушевые денежные доходы населения (в месяц, руб.);Среднемесячная номинальная заработная плата работников организаций (руб.);Средний размер назначенных пенсий
Республика Карелия;2001;216;2931;3412.8;950
Республика Коми;2001;277;4862;5177.7;955
Архангельская область;2001;403;3041;3700.5;974
в том числе: ;2001;0;0;0;0
Ненецкий автономный округ;2001;10;5888;9225.9;978
Архангельская область без автономного округа;2001;393;0;0;0
Вологодская область;2001;358;2719;3510.8;875
Калининградская область;2001;217;2340;2582.4;774
Ленинградская область;2001;463;1869;3258.4;824
Мурманская область;2001;234;4620;5387.2;1006
Новгородская область;2001;218;2408;2474.8;827
Псковская область;2001;241;1848;2069.9;811
г. Санкт-Петербург;2001;1254;3426;3695.3;880
Южный             федеральный округ;2001;3809;1908;2330.6;789
Республика Адыгея;2001;125;1642;1832.1;767
Республика Калмыкия;2001;69;1546;1759.1;750
Республика Крым;2001;0;0;0;0
Краснодарский край;2001;1368;2125;2495.3;796
Астраханская область;2001;238;2333;2660.9;767
Волгоградская область;2001;735;2163;2392.5;802
Ростовская область;2001;1274;2271;2092.2;784
г. Севастополь;2001;0;0;0;0
Северо-Кавказский        федеральный округ;2001;1859;0;1720.7;715
Республика Дагестан;2001;446;1141;1171.9;636
Республика Ингушетия;2001;57;909;1758.2;627
Кабардино-Балкарская Республика;2001;178;1466;1625.1;712
Карачаево-Черкесская Республика;2001;114;1342;1637;735
Республика Северная Осетия - Алания;2001;192;1632;1702.7;760
Чеченская Республика;2001;169;0;1589.8;613
Ставропольский край;2001;703;1767;2098.7;781
Приволжский федеральный округ;2001;8378;2319;2562.5;799
Республика Башкортостан;2001;1029;2400;2836.8;783
Республика Марий Эл;2001;189;1388;1656.9;753
Республика Мордовия;2001;264;1570;1635.8;765
Республика Татарстан;2001;959;2472;2936.1;776
Удмуртская Республика;2001;393;2025;2594.8;823
Чувашская Республика;2001;345;1553;1726.4;743
Пермский край;2001;763;3254;3421.9;821
Кировская область;2001;438;1831;2121.5;844
Нижегородская область ;2001;1044;2407;2508.2;826
