Субъект РФ;Год;Численность пенсионеров (тыс. чел);Среднедушевые денежные доходы населения (в месяц, руб.);Среднемесячная номинальная заработная плата работников организаций (руб.);Средний размер назначенных пенсий
Забайкальский край;2005;266;5908;8153;1867
Камчатский край;2005;85;11167;15477;3238
Приморский край;2005;504;7163;8926;2055
Хабаровский край ;2005;363;9654;11336;2339
Амурская область;2005;213;5988;9392;2016
Магаданская область;2005;46;11167;14673;3286
Сахалинская область;2005;155;12640;15243;2724
Еврейская автономная область;2005;44;6406;8190;1946
Чукотский автономный округ;2005;12;19669;23314;3670
Центральный федеральный округ;2006;10584;13570;12117.4;2537
Белгородская область;2006;462;7083;8336.9;2375
Брянская область;2006;418;6171;6533.5;2396
Владимирская область;2006;452;5627;7434.9;2536
Воронежская область;2006;740;6862;6750.3;2393
Ивановская область;2006;333;4457;6362.6;2496
Калужская область;2006;293;6925;8592.5;2518
Костромская область;2006;212;6398;7325.8;2454
Курская область;2006;382;6751;6924.9;2278
Липецкая область;2006;367;7611;8634.3;2391
Московская область;2006;1767;10515;12263.4;2670
Орловская область;2006;262;5972;6773.7;2468
Рязанская область;2006;393;6133;7677.1;2416
Смоленская область;2006;306;6723;7474.7;2432
Тамбовская область;2006;370;6815;6275.9;2321
Тверская область;2006;434;7267;8040.3;2506
Тульская область;2006;566;6564;7851;2496
Ярославская область;2006;402;8264;8994.5;2560
г. Москва;2006;2425;28249;17997.9;2702
Северо-Западный федеральный округ;2006;3857;10889;11851.3;2828
Республика Карелия;2006;221;9128;10697.4;3029
Республика Коми;2006;278;13782;14082.2;3183
Архангельская область;2006;412;9626;11725;3089
в том числе: ;2006;0;0;0;0
Ненецкий автономный округ;2006;11;27276;28591.6;3819
Архангельская область без автономного округа;2006;401;0;0;0
Вологодская область;2006;345;8682;10666.6;2612
Калининградская область;2006;223;8918;9720.3;2496
Ленинградская область;2006;447;8055;10214.8;2583
Мурманская область;2006;241;13020;15162;3411
Новгородская область;2006;207;7206;8907.5;2502
Псковская область;2006;221;6422;6973;2435
г. Санкт-Петербург;2006;1262;13687;13033.2;2846
Южный             федеральный округ;2006;3745;6430;7736.4;2390
Республика Адыгея;2006;121;4731;6414.4;2302
Республика Калмыкия;2006;66;3457;5562.2;2248
Республика Крым;2006;0;0;0;0
Краснодарский край;2006;1372;7193;7975.5;2378
Астраханская область;2006;233;7035;8157.9;2325
Волгоградская область;2006;715;7889;7746.6;2460
Ростовская область;2006;1238;7483;7568.9;2392
г. Севастополь;2006;0;0;0;0
Северо-Кавказский        федеральный округ;2006;1947;0;5950.2;2198
Республика Дагестан;2006;480;6112;4530;2024
Республика Ингушетия;2006;57;3569;6432;2007
Кабардино-Балкарская Республика;2006;176;5259;5851.4;2192
Карачаево-Черкесская Республика;2006;112;5196;5870.9;2242
Республика Северная Осетия - Алания;2006;200;5977;5918.4;2339
Чеченская Республика;2006;237;0;8078;1978
Ставропольский край;2006;685;6488;6732.9;2366
Приволжский федеральный округ;2006;8263;8014;8118;2414
Республика Башкортостан;2006;1016;8904;8632.3;2354
Республика Марий Эл;2006;185;4896;6343.5;2271
Республика Мордовия;2006;256;4827;6358.4;2304
Республика Татарстан;2006;978;9365;8849.9;2413
Удмуртская Республика;2006;387;6262;7798.4;2473
Чувашская Республика;2006;334;5449;6436.7;2267
Пермский край;2006;738;11122;9516.2;2490
Кировская область;2006;413;5886;6960.3;2496
Нижегородская область ;2006;1011;8049;8111.7;2506
Оренбургская область;2006;569;6326;7685.1;2341
Пензенская область;2006;423;5603;6344;2376
Самарская область;2006;875;11383;9614.2;2481
Саратовская область;2006;699;6182;7009.7;2385
Ульяновская область;2006;379;6137;6708;2367
Уральский         федеральный округ;2006;3085;12170;14306.9;2663
Курганская область;2006;279;6677;7295.6;2361
Свердловская область ;2006;1212;11168;10772.3;2575
Тюменская область;2006;656;18813;23728.7;3180
в том числе:;2006;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2006;257;22482;26826.3;3829
Ямало-Ненецкий автономный округ;2006;88;27665;32336.4;3917
Тюменская область  без автономных округов;2006;311;0;0;0
Челябинская область;2006;938;8655;9356.5;2505
Сибирский        федеральный округ;2006;5181;8434;9877.5;2540.7
Республика Алтай;2006;51;5557;7438.1;2359
Республика Тыва;2006;80;4820;8647.2;2422
Республика Хакасия;2006;138;6425;9443.1;2515.8
Алтайский край;2006;687;6369;6147;2436.3
Красноярский край;2006;758;9784;12471.7;2712
Иркутская область;2006;687;8826;11103.1;2614
Кемеровская область;2006;802;9566;10407.7;2554
Новосибирская область ;2006;695;8381;9165.6;2509
Омская область;2006;530;9084;8866.6;2448
Томская область;2006;255;9992;11317.2;2782
Дальневосточный федеральный округ;2006;1651;11267;13711.4;2986
Республика Бурятия;2006;231;6990;9190.1;2393
Республика Саха (Якутия);2006;218;13555;16167.5;3557
Забайкальский край;2006;267;7119;9942.6;2344
Камчатский край;2006;86;13812;18540.9;4014
Приморский край;2006;506;9110;10903.1;2572
Хабаровский край ;2006;366;12357;12887.6;2925
Амурская область;2006;215;7419;11110.8;2538
Магаданская область;2006;46;13858;17747.2;4096
Сахалинская область;2006;157;16412;18842.1;3415
Еврейская автономная область;2006;45;7624;9529.1;2435
Чукотский автономный округ;2006;12;23326;25703;4655
Центральный федеральный округ;2007;10567;16631;15876.7;2837
Белгородская область;2007;463;9399;10479.5;2651
Брянская область;2007;416;7626;8189.6;2656
Владимирская область;2007;448;7015;9688.1;2829
Воронежская область;2007;735;8307;8730.9;2658
Ивановская область;2007;329;5684;8171.6;2773
Калужская область;2007;291;9185;10926.8;2817
Костромская область;2007;209;7857;9058.1;2731
Курская область;2007;378;8687;8856.8;2541
Липецкая область;2007;367;9472;10907.1;2667
Московская область;2007;1774;14034;16234.5;3001
Орловская область;2007;259;7325;8610.7;2748
Рязанская область;2007;391;8049;9796.6;2682
Смоленская область;2007;302;8228;9552.1;2711
Тамбовская область;2007;364;8515;7903;2576
Тверская область;2007;428;8543;10177;2792
Тульская область;2007;559;8265;10137.1;2787
Ярославская область;2007;398;10101;11214.8;2868
г. Москва;2007;2456;33315;23623.3;3033
Северо-Западный федеральный округ;2007;3850;13163;15256.1;3206
Республика Карелия;2007;223;10548;13342.1;3393
Республика Коми;2007;279;16761;17077.3;3579
Архангельская область;2007;412;11703;14400.3;3461
в том числе: ;2007;0;0;0;0
Ненецкий автономный округ;2007;11;38039;34380.7;4344
Архангельская область без автономного округа;2007;401;0;0;0
Вологодская область;2007;345;10521;12913.9;2919
Калининградская область;2007;224;11431;12750.3;2772
Ленинградская область;2007;443;10201;13154.8;2890
Мурманская область;2007;242;15859;18581;3834
Новгородская область;2007;204;8614;11004.9;2791
Псковская область;2007;215;7923;8950.5;2717
г. Санкт-Петербург;2007;1263;16214;17552;3302
Южный             федеральный округ;2007;3736;9277;9874.8;2665
Республика Адыгея;2007;119;5802;8056.4;2567
Республика Калмыкия;2007;66;4375;7101.2;2495
Республика Крым;2007;0;0;0;0
Краснодарский край;2007;1382;9692;10260;2650
Астраханская область;2007;234;8639;9866.9;2591
Волгоградская область;2007;712;9410;9770.2;2744
Ростовская область;2007;1223;9539;9779.6;2668
г. Севастополь;2007;0;0;0;0
Северо-Кавказский        федеральный округ;2007;1977;7548;7734.9;2437
Республика Дагестан;2007;489;7724;5696.4;2243
Республика Ингушетия;2007;58;4887;7285.4;2226
Кабардино-Балкарская Республика;2007;178;6902;7213.9;2396
Карачаево-Черкесская Республика;2007;112;6402;7558.4;2489
Республика Северная Осетия - Алания;2007;202;7782;7625.8;2605
Чеченская Республика;2007;251;0;9916.7;2211
Ставропольский край;2007;687;8122;8647.7;2627
Приволжский федеральный округ;2007;8269;9959;10347.4;2696
Республика Башкортостан;2007;1018;11073;11027.1;2634
Республика Марий Эл;2007;185;6072;8404.3;2529
Республика Мордовия;2007;252;6060;8103;2562
Республика Татарстан;2007;985;11567;11468.6;2698
Удмуртская Республика;2007;390;7824;9838.6;2764
Чувашская Республика;2007;332;6849;8703.2;2530
Пермский край;2007;738;13691;11856;2792
Кировская область;2007;410;7407;8861.5;2784
Нижегородская область ;2007;1007;10172;10302;2798
Оренбургская область;2007;570;7914;9619.6;2603
Пензенская область;2007;420;7908;8566.4;2645
Самарская область;2007;882;13779;11920.7;2780
Саратовская область;2007;701;7320;9108.3;2652
Ульяновская область;2007;379;7762;8412.7;2635
Уральский         федеральный округ;2007;3100;15222;17837.6;2999
Курганская область;2007;278;8701;8883.1;2629
Свердловская область ;2007;1207;14482;13986.9;2910
Тюменская область;2007;673;22795;28565;3578
в том числе:;2007;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2007;269;27358;32227.9;4304
Ямало-Ненецкий автономный округ;2007;93;32590;37363.5;4367
Тюменская область  без автономных округов;2007;311;0;0;0
Челябинская область;2007;942;10700;11897.5;2808
Сибирский        федеральный округ;2007;5165;10414;12344.8;2839.3
Республика Алтай;2007;52;7067;9228.2;2631
Республика Тыва;2007;79;5959;10701.6;2665
Республика Хакасия;2007;138;8067;11251.2;2803.5
Алтайский край;2007;682;7597;7804.7;2705.3
Красноярский край;2007;755;12880;15510;3044
Иркутская область;2007;692;10280;13770;2922
Кемеровская область;2007;801;11876;12554.9;2860
Новосибирская область ;2007;696;10290;12017;2805
Омская область;2007;517;11451;11003.6;2729
Томская область;2007;256;11998;14429;3121
Дальневосточный федеральный округ;2007;1661;13597;16713;3344
Республика Бурятия;2007;231;8846;11528.6;2666
Республика Саха (Якутия);2007;224;15571;19409.2;3959
Забайкальский край;2007;266;8265;12161.5;2618
Камчатский край;2007;87;16787;21814.7;4516
Приморский край;2007;507;10894;13174.1;2864
Хабаровский край ;2007;367;15081;15883.5;3290
Амурская область;2007;217;9662;13534.4;2846
Магаданская область;2007;46;16634;22101.6;4608
Сахалинская область;2007;156;20513;23346.3;3839
Еврейская автономная область;2007;44;8752;11968.9;2716
Чукотский автономный округ;2007;13;26557;30859.1;5319
Центральный федеральный округ;2008;10572;18590;20665.7;3658
Белгородская область;2008;460;12749;13508.5;3471
Брянская область;2008;413;10083;10220.1;3460
Владимирская область;2008;447;9480;12126.1;3634
Воронежская область;2008;731;10587;11490.2;3445
Ивановская область;2008;327;8343;10208.8;3569
Калужская область;2008;291;11612;14085.2;3631
Костромская область;2008;207;9608;11456.9;3526
Курская область;2008;376;11524;11437.4;3321
Липецкая область;2008;367;12085;13372.4;3462
Московская область;2008;1790;19047;21502.8;3839
Орловская область;2008;260;10027;11152.2;3567
Рязанская область;2008;387;11215;12686.3;3494
Смоленская область;2008;297;11222;12050.7;3513
Тамбовская область;2008;358;11145;10295.7;3356
Тверская область;2008;426;10803;13064.7;3598
Тульская область;2008;555;11227;12994.1;3608
Ярославская область;2008;397;12816;13802.9;3684
г. Москва;2008;2483;31940;30552.1;3879
Северо-Западный федеральный округ;2008;3874;14915;19396;4211
Республика Карелия;2008;224;12834;16892.9;4520
Республика Коми;2008;283;19334;20826.9;4694
Архангельская область;2008;415;15004;18181.3;4582
в том числе: ;2008;0;0;0;0
Ненецкий автономный округ;2008;11;48930;41181.1;5581
Архангельская область без автономного округа;2008;404;0;0;0
Вологодская область;2008;345;12230;16115.3;3764
Калининградская область;2008;227;12920;15420.3;3586
Ленинградская область;2008;445;11567;17519;3749
Мурманская область;2008;244;19615;23762.8;5062
Новгородская область;2008;202;11653;13685.2;3628
Псковская область;2008;212;10336;11380.8;3523
г. Санкт-Петербург;2008;1277;16946;22473.4;4365
Южный             федеральный округ;2008;3749;11423;12514.3;3450
Республика Адыгея;2008;118;8047;10096.9;3348
Республика Калмыкия;2008;66;5531;9083.1;3247
Республика Крым;2008;0;0;0;0
Краснодарский край;2008;1396;11906;13162.5;3446
Астраханская область;2008;235;11067;12339.8;3351
Волгоградская область;2008;713;10833;12001.8;3536
Ростовская область;2008;1221;12028;12539;3444
г. Севастополь;2008;0;0;0;0
Северо-Кавказский        федеральный округ;2008;2001;9675;9861.8;3204
Республика Дагестан;2008;496;10541;7595.1;3005
Республика Ингушетия;2008;60;6909;8913.8;2977
Кабардино-Балкарская Республика;2008;177;8931;9033.9;3125
Карачаево-Черкесская Республика;2008;111;7918;9383.6;3282
Республика Северная Осетия - Алания;2008;202;9848;9150.9;3383
Чеченская Республика;2008;268;0;11762.8;2984
Ставропольский край;2008;687;9746;11109.5;3408
Приволжский федеральный округ;2008;8275;12392;13209.9;3486
Республика Башкортостан;2008;1020;14245;14084.1;3424
Республика Марий Эл;2008;184;7825;10534.6;3294
Республика Мордовия;2008;250;8270;10530.5;3333
Республика Татарстан;2008;992;14164;14904;3502
Удмуртская Республика;2008;392;9587;12153.8;3568
Чувашская Республика;2008;330;8732;11146.6;3301
Пермский край;2008;740;16398;14774.1;3600
Кировская область;2008;411;10370;10971;3582
Нижегородская область ;2008;1001;13078;13467.7;3594
Оренбургская область;2008;568;10508;12087.2;3377
Пензенская область;2008;419;10044;11723.1;3426
Самарская область;2008;889;15564;14674.9;3579
Саратовская область;2008;700;9156;12008.3;3416
Ульяновская область;2008;379;9728;10895;3409
Уральский         федеральный округ;2008;3131;18952;21826;3870
Курганская область;2008;279;11445;11318.8;3403
Свердловская область ;2008;1212;17481;17526.7;3741
Тюменская область;2008;694;27984;33876.5;4634
в том числе:;2008;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2008;284;33197;37412;5517
Ямало-Ненецкий автономный округ;2008;97;39569;44168.7;5555
Тюменская область  без автономных округов;2008;313;0;0;0
Челябинская область;2008;946;14120;14829.2;3612
Сибирский        федеральный округ;2008;5188;13045;15381.4;3680.3
Республика Алтай;2008;52;10385;11453.9;3535
Республика Тыва;2008;77;8084;13614.6;3618
Республика Хакасия;2008;138;10304;14488.4;3673.1
Алтайский край;2008;682;9974;9731.5;3504.6
Красноярский край;2008;757;15909;18934.7;3949
Иркутская область;2008;695;13169;17072.1;3793
Кемеровская область;2008;805;14670;15410;3687
Новосибирская область ;2008;701;13040;15713.6;3612
Омская область;2008;528;13801;13524.8;3526
Томская область;2008;259;13584;17675.3;4033
Дальневосточный федеральный округ;2008;1677;15916;20778.3;4335
Республика Бурятия;2008;229;11233;14417;3483
Республика Саха (Якутия);2008;229;18586;23815.9;5166
Забайкальский край;2008;265;11047;15142.5;3411
Камчатский край;2008;88;20116;27254.2;5745
Приморский край;2008;511;12927;16805.1;3695
Хабаровский край ;2008;368;16284;18984.5;4291
Амурская область;2008;221;12297;16665;3705
Магаданская область;2008;46;19937;28030.4;5900
Сахалинская область;2008;157;25007;30060.4;4951
Еврейская автономная область;2008;44;11306;15037.5;3549
Чукотский автономный округ;2008;13;30554;38317.4;6893
Центральный федеральный округ;2009;10576;21931;22404.6;4519
Белгородская область;2009;461;14147;14061;4297
Брянская область;2009;408;11484;10950.7;4244
Владимирская область;2009;447;10827;13131.2;4477
Воронежская область;2009;725;11999;12786.1;4229
Ивановская область;2009;324;9351;11487.9;4386
Калужская область;2009;291;13380;15411.1;4486
Костромская область;2009;205;10696;12447.1;4327
Курская область;2009;374;12801;12487.7;4085
Липецкая область;2009;368;14487;13871;4257
Московская область;2009;1800;20064;23341.8;4772
Орловская область;2009;259;10927;11854.3;4383
Рязанская область;2009;386;11968;13439.5;4291
Смоленская область;2009;296;12616;13031.5;4322
Тамбовская область;2009;353;11970;11605.8;4103
Тверская область;2009;422;12185;14160.7;4430
Тульская область;2009;551;13191;14338.3;4443
Ярославская область;2009;395;13425;14417.6;4556
г. Москва;2009;2511;40072;33358;4810
Северо-Западный федеральный округ;2009;3888;17390;20892.7;5198
Республика Карелия;2009;225;14293;18394;5594
Республика Коми;2009;283;20085;23685.9;5856
Архангельская область;2009;415;17523;20242.9;5690
в том числе: ;2009;0;0;0;0
Ненецкий автономный округ;2009;11;49091;43965.1;6994
Архангельская область без автономного округа;2009;404;16419;18599;0
Вологодская область;2009;345;12239;16565.5;4649
Калининградская область;2009;229;14772;16047.9;4402
Ленинградская область;2009;448;12538;18359.5;4647
Мурманская область;2009;244;22333;26591.7;6291
Новгородская область;2009;200;13389;14794.5;4466
Псковская область;2009;210;11438;12631.4;4323
г. Санкт-Петербург;2009;1289;21553;23884.4;5355
Южный             федеральный округ;2009;3760;12929;14065.7;4237
Республика Адыгея;2009;117;10556;11547.6;4097
Республика Калмыкия;2009;66;6953;10848.7;3972
Республика Крым;2009;0;0;0;0
Краснодарский край;2009;1408;13752;14953.2;4229
Астраханская область;2009;236;13012;14095.7;4107
Волгоградская область;2009;713;12531;13256.5;4349
Ростовская область;2009;1220;12800;13882.5;4234
г. Севастополь;2009;0;0;0;0
Северо-Кавказский        федеральный округ;2009;2037;11402;11431.9;3902
Республика Дагестан;2009;514;13250;9125.3;3612
Республика Ингушетия;2009;66;8000;10957.6;3570
Кабардино-Балкарская Республика;2009;178;9986;10777.4;3797
Карачаево-Черкесская Республика;2009;112;9201;10477.1;4010
Республика Северная Осетия - Алания;2009;203;9978;10831.5;4145
Чеченская Республика;2009;276;0;13254.9;3691
Ставропольский край;2009;688;11244;12647.2;4172
Приволжский федеральный округ;2009;8281;13962;13987.4;4298
Республика Башкортостан;2009;1024;16125;14951;4233
Республика Марий Эл;2009;185;9205;11374.4;4047
Республика Мордовия;2009;247;9522;10937.2;4090
Республика Татарстан;2009;997;15892;15206.9;4316
Удмуртская Республика;2009;395;11060;13099.1;4401
Чувашская Республика;2009;329;9586;11529;4058
Пермский край;2009;738;17975;15227.6;4464
Кировская область;2009;412;11245;12053.9;4402
Нижегородская область ;2009;995;14491;14746.5;4436
Оренбургская область;2009;565;12008;13520.2;4153
Пензенская область;2009;418;11416;13034.8;4195
Самарская область;2009;896;18021;14915.9;4436
Саратовская область;2009;701;10485;13110.1;4192
Ульяновская область;2009;379;10763;11731.4;4192
Уральский         федеральный округ;2009;3153;20073;22269;4828
Курганская область;2009;278;12153;11942;4185
Свердловская область ;2009;1214;19723;17336.3;4648
Тюменская область;2009;713;27719;34773;5840
в том числе:;2009;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2009;297;32197;38386.6;6956
Ямало-Ненецкий автономный округ;2009;100;40196;46480.5;7031
Тюменская область  без автономных округов;2009;316;17706;19787;0
Челябинская область;2009;948;15215;15021.2;4485
Сибирский        федеральный округ;2009;5217;13714;16606.4;4542.1
Республика Алтай;2009;51;11081;13075.4;4278
Республика Тыва;2009;77;10042;16154.6;4427
Республика Хакасия;2009;138;10706;16211.6;4523.8
Алтайский край;2009;685;9868;10871.6;4285.6
Красноярский край;2009;759;17009;20277;4896
Иркутская область;2009;698;13910;18192.9;4695
Кемеровская область;2009;809;13736;15995;4572
Новосибирская область ;2009;707;15118;16798.5;4462
Омская область;2009;530;14061;14780.5;4340
Томская область;2009;262;13918;19340;4998
Дальневосточный федеральный округ;2009;1686;18762;23157.8;5390
Республика Бурятия;2009;235;12956;15976.2;4281
Республика Саха (Якутия);2009;232;21162;26532.6;6387
Забайкальский край;2009;266;12705;16553.6;4192
Камчатский край;2009;88;24051;31569.9;7193
Приморский край;2009;512;15486;18997.4;4600
Хабаровский край ;2009;371;19928;20455;5342
Амурская область;2009;222;13196;19019;4587
Магаданская область;2009;46;24754;32656.5;7364
Сахалинская область;2009;156;28349;32625.9;6160
Еврейская автономная область;2009;45;13646;16890.3;4388
Чукотский автономный округ;2009;14;33607;42533.9;8594
Центральный федеральный округ;2010;10682;24645;25377;6147
Белгородская область;2010;466;16993;15938;5856
Брянская область;2010;406;13358;12326;5786
Владимирская область;2010;452;12956;14484;6048
Воронежская область;2010;729;13883;14337;5731
Ивановская область;2010;325;11124;13123;5913
Калужская область;2010;294;15477;17682;6077
Костромская область;2010;207;13315;13526;5853
Курская область;2010;376;14685;14007;5569
Липецкая область;2010;371;15936;15430;5776
Московская область;2010;1823;22641;25417;6496
Орловская область;2010;262;13115;13174;5938
Рязанская область;2010;387;13886;15289;5830
Смоленская область;2010;297;14546;14513;5846
Тамбовская область;2010;353;13631;12624;5567
Тверская область;2010;423;13873;16155;5989
Тульская область;2010;555;15349;15641;6026
Ярославская область;2010;399;14491;16076;6161
г. Москва;2010;2557;44051;38411;6579
Северо-Западный федеральный округ;2010;3944;19837;23532;7044
Республика Карелия;2010;227;16046;20056;7610
Республика Коми;2010;285;22260;26140;7942
Архангельская область;2010;418;19609;22192;7722
в том числе: ;2010;0;0;0;0
Ненецкий автономный округ;2010;12;52270;47349;9490
Архангельская область без автономного округа;2010;406;18452;20475;0
Вологодская область;2010;349;14115;18536;6298
Калининградская область;2010;236;16040;18455;5965
Ленинградская область;2010;454;14798;20768;6300
Мурманская область;2010;245;24047;29308;8533
Новгородская область;2010;200;15599;16751;6042
Псковская область;2010;210;12798;14498;5851
г. Санкт-Петербург;2010;1320;24824;27190;7249
Южный             федеральный округ;2010;3783;15114;15560;5757
Республика Адыгея;2010;118;12279;12787;5562
Республика Калмыкия;2010;68;7774;11601;5400
Республика Крым;2010;0;0;0;0
Краснодарский край;2010;1407;16892;16330;5788
Астраханская область;2010;238;14697;16582;5569
Волгоградская область;2010;722;13775;14856;5869
Ростовская область;2010;1230;14647;15244;5731
г. Севастополь;2010;0;0;0;0
Северо-Кавказский        федеральный округ;2010;2074;13253;12569;5333
Республика Дагестан;2010;525;15678;10244;4977
Республика Ингушетия;2010;71;9630;12855;5029
Кабардино-Балкарская Республика;2010;179;11290;11663;5160
Карачаево-Черкесская Республика;2010;112;10878;11346;5488
Республика Северная Осетия - Алания;2010;206;13193;11818;5638
Чеченская Республика;2010;289;11982;13919;5117
Ставропольский край;2010;692;13016;13949;5654
Приволжский федеральный округ;2010;8373;15840;15614;5833
Республика Башкортостан;2010;1034;17499;16378;5780
Республика Марий Эл;2010;188;10336;12651;5500
Республика Мордовия;2010;247;11294;11883;5554
Республика Татарстан;2010;1017;18424;17350;5859
Удмуртская Республика;2010;401;12984;14291;5964
Чувашская Республика;2010;332;11066;13004;5517
Пермский край;2010;747;19834;17438;6043
Кировская область;2010;414;13331;13293;5962
Нижегородская область ;2010;1003;16477;16328;6003
Оренбургская область;2010;570;13557;15200;5647
Пензенская область;2010;421;12920;14424;5707
Самарская область;2010;908;20223;16479;6014
Саратовская область;2010;707;12147;14554;5673
Ульяновская область;2010;384;13132;13339;5672
Уральский         федеральный округ;2010;3226;21832;25035;6562
Курганская область;2010;280;13499;13228;5674
Свердловская область ;2010;1234;22194;19757;6299
Тюменская область;2010;744;28757;38213;7981
в том числе:;2010;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2010;314;32385;41315;9453
Ямало-Ненецкий автономный округ;2010;106;43367;52619;9595
Тюменская область  без автономных округов;2010;324;18885;22247;0
Челябинская область;2010;968;16821;17370;6063
Сибирский        федеральный округ;2010;5295;15007;18658;6165
Республика Алтай;2010;52;13536;14236;5854
Республика Тыва;2010;76;10160;17530;6153
Республика Хакасия;2010;142;12806;18358;6142
Алтайский край;2010;697;11029;12051;5791.1
Красноярский край;2010;772;18262;23254;6640
Иркутская область;2010;706;15110;20476;6380
Кемеровская область;2010;821;15341;18028;6205
Новосибирская область ;2010;716;16276;18230;6051
Омская область;2010;536;15199;16708;5877
Томская область;2010;268;15070;21450;6767
Дальневосточный федеральный округ;2010;1713;20807;25814;7324
Республика Бурятия;2010;240;14271;18000;5828
Республика Саха (Якутия);2010;237;23088;28708;8692
Забайкальский край;2010;269;14205;18685;5738
Камчатский край;2010;90;27010;35748;9719
Приморский край;2010;518;17298;21889;6266
Хабаровский край ;2010;376;22479;22657;7240
Амурская область;2010;226;14323;21208;6243
Магаданская область;2010;46;27801;36582;9968
Сахалинская область;2010;160;30727;35848;8363
Еврейская автономная область;2010;46;15348;19718;5965
Чукотский автономный округ;2010;14;38147;46866;11663
Центральный федеральный округ;2011;10791;27089;28449;7616
Белгородская область;2011;471;18800;17668;7255
Брянская область;2011;407;15348;13912;7117
Владимирская область;2011;454;14312;16314;7515
Воронежская область;2011;727;15909;16055;7087
Ивановская область;2011;327;13006;14436;7353
Калужская область;2011;298;17557;20001;7564
Костромская область;2011;207;14574;14891;7249
Курская область;2011;378;16387;16241;6847
Липецкая область;2011;375;16811;17010;7109
Московская область;2011;1854;25605;28586;8093
Орловская область;2011;263;14824;14529;7343
Рязанская область;2011;387;14788;16718;7174
Смоленская область;2011;299;15969;16189;7220
Тамбовская область;2011;352;15151;14293;6818
Тверская область;2011;425;14943;17747;7437
Тульская область;2011;552;16975;17225;7440
Ярославская область;2011;402;15509;18111;7673
г. Москва;2011;2613;47319;44899;8140
Северо-Западный федеральный округ;2011;4001;21184;25776;8611
Республика Карелия;2011;231;17543;22174;9286
Республика Коми;2011;291;23925;28897;9613
Архангельская область;2011;422;21455;24611;9462
в том числе: ;2011;0;0;0;0
Ненецкий автономный округ;2011;12;54632;50036;11505
Архангельская область без автономного округа;2011;410;20263;22882;9402
Вологодская область;2011;355;15638;20250;7811
Калининградская область;2011;242;16880;19911;7268
Ленинградская область;2011;460;15932;23303;7784
Мурманская область;2011;247;25303;32342;10287
Новгородская область;2011;201;16981;18637;7455
Псковская область;2011;210;14185;15721;7248
г. Санкт-Петербург;2011;1342;26069;29522;8825
Южный             федеральный округ;2011;3853;16584;17237;7055
Республика Адыгея;2011;121;14272;14345;6786
Республика Калмыкия;2011;70;8829;12559;6581
Республика Крым;2011;0;0;0;0
Краснодарский край;2011;1451;18796;18416;7049
Астраханская область;2011;242;16032;17023;6825
Волгоградская область;2011;733;14519;16192;7227
Ростовская область;2011;1236;16010;16950;7057
г. Севастополь;2011;0;0;0;0
Северо-Кавказский        федеральный округ;2011;2146;15050;13898;6395
Республика Дагестан;2011;540;18278;11236;5836
Республика Ингушетия;2011;75;11562;14513;5694
Кабардино-Балкарская Республика;2011;180;12636;13012;6246
Карачаево-Черкесская Республика;2011;114;11742;12447;6643
Республика Северная Осетия - Алания;2011;208;13757;13376;6873
Чеченская Республика;2011;321;14026;14431;6046
Ставропольский край;2011;708;14440;15589;6910
Приволжский федеральный округ;2011;8492;17282;17544;7202
Республика Башкортостан;2011;1056;19030;18397;7115
Республика Марий Эл;2011;190;11328;14001;6729
Республика Мордовия;2011;248;11948;13305;6821
Республика Татарстан;2011;1030;20223;20009;7231
Удмуртская Республика;2011;411;14452;15843;7381
Чувашская Республика;2011;339;12083;14896;6800
Пермский край;2011;758;21307;18773;7459
Кировская область;2011;422;14675;14579;7419
Нижегородская область ;2011;1006;18337;18492;7468
Оренбургская область;2011;580;14892;17025;6936
Пензенская область;2011;423;14171;16362;7001
Самарская область;2011;924;21756;18600;7445
Саратовская область;2011;715;13097;16205;6988
Ульяновская область;2011;390;14312;15009;7004
Уральский         федеральный округ;2011;3307;23908;28055;8094
Курганская область;2011;282;14353;14833;7030
Свердловская область ;2011;1257;24893;22179;7803
Тюменская область;2011;778;30706;42289;9716
в том числе:;2011;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2011;333;33926;45498;11413
Ямало-Ненецкий автономный округ;2011;111;46785;59095;11513
Тюменская область  без автономных округов;2011;334;20707;24729;7421
Челябинская область;2011;990;18460;20015;7492
Сибирский        федеральный округ;2011;5379;16568;20890;7548
Республика Алтай;2011;53;13837;15632;6900
Республика Тыва;2011;78;10963;19163;7155
Республика Хакасия;2011;142;14223;20690;7487
Алтайский край;2011;708;12500;13823;7122
Красноярский край;2011;777;20145;25659;8145
Иркутская область;2011;718;16017;22648;7799
Кемеровская область;2011;832;16666;20479;7570
Новосибирская область ;2011;738;18244;20309;7475
Омская область;2011;542;17248;19088;7255
Томская область;2011;273;16516;24001;8304
Дальневосточный федеральный округ;2011;1737;22870;29320;8899
Республика Бурятия;2011;243;15715;19924;7093
Республика Саха (Якутия);2011;244;25617;34052;10377
Забайкальский край;2011;275;15969;21100;6929
Камчатский край;2011;91;28965;39326;11778
Приморский край;2011;524;19160;24423;7698
