Субъект РФ;Год;Валовый региональный продукт: всего (млн. руб.);Валовый региональный продукт: на душу населения (руб.)
Челябинская область;2006;446918;127442.5
Сибирский        федеральный округ;2006;2260554.7;130346.4
Республика Алтай;2006;11609.4;57555.4
Республика Тыва;2006;15146.8;50051.7
Республика Хакасия;2006;53689.3;100828.4
Алтайский край;2006;173810.5;69852
Красноярский край;2006;585881.9;205042.4
Иркутская область;2006;330834.3;133413.7
Кемеровская область;2006;342210.6;122394.2
Новосибирская область ;2006;296064.5;111679.3
Омская область;2006;262506.7;130614.3
Томская область;2006;188800.7;184433.6
Дальневосточный федеральный округ;2006;1181517.6;138766
Республика Бурятия;2006;91712.4;94965.1
Республика Саха (Якутия);2006;206845;216535.9
Забайкальский край;2006;90732.1;81066.2
Камчатский край;2006;56119.8;168173.2
Приморский край;2006;215934.4;108099.2
Хабаровский край ;2006;194259.6;141994.7
Амурская область;2006;95090.9;111116.2
Магаданская область;2006;31203.2;185017.6
Сахалинская область;2006;166105.4;321108.8
Еврейская автономная область;2006;17976.8;99578.4
Чукотский автономный округ;2006;15538;295107.1
Центральный федеральный округ;2007;10208917.7;267272.1
Белгородская область;2007;237013.3;156225.1
Брянская область;2007;102706.2;78518.8
Владимирская область;2007;146663;99682.5
Воронежская область;2007;222811.9;94849.5
Ивановская область;2007;74752;68865.7
Калужская область;2007;111869;109790.3
Костромская область;2007;65700.4;95687.2
Курская область;2007;128799;111348.4
Липецкая область;2007;209821.5;176534.6
Московская область;2007;1295649.9;188565.3
Орловская область;2007;77101.2;95387.1
Рязанская область;2007;121305.2;102982.5
Смоленская область;2007;95703.4;94432.4
Тамбовская область;2007;106039.6;94532.5
Тверская область;2007;156034.6;112021.5
Тульская область;2007;174110.9;109225.6
Ярославская область;2007;186577.5;143936.4
г. Москва;2007;6696259.1;601146.9
Северо-Западный федеральный округ;2007;2770190.2;202974.4
Республика Карелия;2007;104603.3;157959
Республика Коми;2007;241150.5;256586.2
Архангельская область;2007;268672.1;212908.3
в том числе: ;2007;0;0
Ненецкий автономный округ;2007;97838.3;2336326.5
Архангельская область без автономного округа;2007;0;0
Вологодская область;2007;243336.3;199003
Калининградская область;2007;143927.7;153964
Ленинградская область;2007;309028.6;182657.9
Мурманская область;2007;191584.6;233765.5
Новгородская область;2007;86664.9;132334.8
Псковская область;2007;61561.9;87456.7
г. Санкт-Петербург;2007;1119660.3;235410.3
Южный             федеральный округ;2007;1577082.9;114085.8
Республика Адыгея;2007;29085.1;66366.2
Республика Калмыкия;2007;17225.8;58925.2
Республика Крым;2007;0;0
Краснодарский край;2007;648211.3;125700.4
Астраханская область;2007;100359.2;99999.4
Волгоградская область;2007;331766.8;126313.1
Ростовская область;2007;450434.7;104603.1
г. Севастополь;2007;0;0
Северо-Кавказский        федеральный округ;2007;573220.1;62724.1
Республика Дагестан;2007;156928.8;56812.6
Республика Ингушетия;2007;16812.4;41340.7
Кабардино-Балкарская Республика;2007;48908.7;57011.8
Карачаево-Черкесская Республика;2007;27469.7;59200.9
Республика Северная Осетия - Алания;2007;52804.8;74356.6
Чеченская Республика;2007;48056.1;40572.6
Ставропольский край;2007;222239.6;80715.3
Приволжский федеральный округ;2007;4330427.6;143365.7
Республика Башкортостан;2007;590054.1;145543.9
Республика Марий Эл;2007;55069.2;77919.2
Республика Мордовия;2007;77048.8;90138.7
Республика Татарстан;2007;757401.4;201172.1
Удмуртская Республика;2007;205647.4;133904.7
Чувашская Республика;2007;123453.3;97528.7
Пермский край;2007;477794.2;178096.8
Кировская область;2007;118154.9;85144.4
Нижегородская область ;2007;473307.4;140297.9
Оренбургская область;2007;370880.9;179882.4
Пензенская область;2007;119104;84558.3
Самарская область;2007;584968.6;181529.8
Саратовская область;2007;252867.2;98569.9
Ульяновская область;2007;124676.2;94375.6
Уральский         федеральный округ;2007;4236325.3;350766.8
Курганская область;2007;81076;86224.4
Свердловская область ;2007;820792.5;189763.4
Тюменская область;2007;2758813.1;831305.3
в том числе:;2007;0;0
Ханты-Мансийский автономный округ - Югра;2007;1728340.2;1165266.9
Ямало-Ненецкий автономный округ;2007;594678.6;1137450.8
Тюменская область  без автономных округов;2007;0;0
Челябинская область;2007;575643.7;164797.5
Сибирский        федеральный округ;2007;2772400.7;160685.1
Республика Алтай;2007;15108.5;74633.6
Республика Тыва;2007;19384.2;63959.4
Республика Хакасия;2007;63722;119953.2
Алтайский край;2007;223563.4;90759.9
Красноярский край;2007;734154.8;258394.3
Иркутская область;2007;402654.7;163588
Кемеровская область;2007;437790.2;157302.2
Новосибирская область ;2007;365531.2;138199.1
Омская область;2007;296004.7;148129.3
Томская область;2007;214487;209319.9
Дальневосточный федеральный округ;2007;1495391.1;176727
Республика Бурятия;2007;107442;111354
Республика Саха (Якутия);2007;242656.5;253423.5
Забайкальский край;2007;110822.4;99544.9
Камчатский край;2007;66076.8;200610.1
Приморский край;2007;259041.4;130632
Хабаровский край ;2007;231293.2;170398
Амурская область;2007;111761.2;131887.8
Магаданская область;2007;35314.4;213449.6
Сахалинская область;2007;286273;559774.1
Еврейская автономная область;2007;23726.1;132505
Чукотский автономный округ;2007;20984.1;396907.1
Центральный федеральный округ;2008;12674395.4;331472.2
Белгородская область;2008;317656.3;208548.1
Брянская область;2008;125834.4;96885.4
Владимирская область;2008;175395.7;119941.8
Воронежская область;2008;287072.1;122591.1
Ивановская область;2008;86980.3;80708.5
Калужская область;2008;150394.4;147929.5
Костромская область;2008;81040.7;119071.5
Курская область;2008;167865.8;146276.4
Липецкая область;2008;259532.2;219135.8
Московская область;2008;1645753;237595.8
Орловская область;2008;96669.9;120531.4
Рязанская область;2008;150151.2;128211.5
Смоленская область;2008;121601.3;121012.7
Тамбовская область;2008;120836;108653.3
Тверская область;2008;192283;139216.2
Тульская область;2008;231730.8;146465.6
Ярославская область;2008;214946.3;166711.8
г. Москва;2008;8248652;734242
Северо-Западный федеральный округ;2008;3388222.1;248742.7
Республика Карелия;2008;115208.2;175465.8
Республика Коми;2008;291812.1;314251.6
Архангельская область;2008;289755.9;231492.8
в том числе: ;2008;0;0
Ненецкий автономный округ;2008;91476.4;2184301.8
Архангельская область без автономного округа;2008;0;0
Вологодская область;2008;294926.2;242347.7
Калининградская область;2008;179266.7;191533.4
Ленинградская область;2008;383255.4;226011
Мурманская область;2008;213733.5;263755.5
Новгородская область;2008;115141.3;177472.4
Псковская область;2008;73283.2;105449
г. Санкт-Петербург;2008;1431839.6;299436
Южный             федеральный округ;2008;2001111.5;144633.8
Республика Адыгея;2008;36134.4;82378.2
Республика Калмыкия;2008;20789.7;71450.7
Республика Крым;2008;0;0
Краснодарский край;2008;803834.1;155103.6
Астраханская область;2008;147549.1;146391
Волгоградская область;2008;416678.5;159001.5
Ростовская область;2008;576125.7;134137.4
г. Севастополь;2008;0;0
Северо-Кавказский        федеральный округ;2008;728230.9;78921.5
Республика Дагестан;2008;216277.2;77033.8
Республика Ингушетия;2008;19172.9;47002.3
Кабардино-Балкарская Республика;2008;58093.4;67731.3
Карачаево-Черкесская Республика;2008;35714.2;76277.2
Республика Северная Осетия - Алания;2008;57707.4;81097
Чеченская Республика;2008;66273.8;54742.1
Ставропольский край;2008;274992;99503.3
Приволжский федеральный округ;2008;5324051.1;176879.4
Республика Башкортостан;2008;743133.4;183168.7
Республика Марий Эл;2008;65765.3;93512.4
Республика Мордовия;2008;94058.3;110877.3
Республика Татарстан;2008;926056.7;245628.5
Удмуртская Республика;2008;243135.5;158850.7
Чувашская Республика;2008;155032.3;122980.3
Пермский край;2008;607362.7;227719
Кировская область;2008;151116.7;110127.9
Нижегородская область ;2008;588790.8;175587.1
Оренбургская область;2008;430023.1;209769.6
Пензенская область;2008;147853.2;105477.2
Самарская область;2008;699295.6;217089.9
Саратовская область;2008;321747.2;126085.9
Ульяновская область;2008;150680.3;114808
Уральский         федеральный округ;2008;4815668;398807.4
Курганская область;2008;106223.2;114237.4
Свердловская область ;2008;923550.8;213922.3
Тюменская область;2008;3121401.3;934229.6
в том числе:;2008;0;0
Ханты-Мансийский автономный округ - Югра;2008;1937159.1;1293353.6
Ямало-Ненецкий автономный округ;2008;719397;1374235.3
Тюменская область  без автономных округов;2008;0;0
Челябинская область;2008;664492.7;190565.5
Сибирский        федеральный округ;2008;3177169.3;184543
Республика Алтай;2008;18701;91713.1
Республика Тыва;2008;23870.5;78381
Республика Хакасия;2008;72308.8;136023.7
Алтайский край;2008;259343.1;106019.5
Красноярский край;2008;737950.5;260318.2
Иркутская область;2008;438852.4;178988.3
Кемеровская область;2008;575901.9;207286.2
Новосибирская область ;2008;453574.6;171430.3
Омская область;2008;347760.3;174709.8
Томская область;2008;248906.2;241911.3
Дальневосточный федеральный округ;2008;1799908.4;213516.9
Республика Бурятия;2008;124738.5;129145.4
Республика Саха (Якутия);2008;309518.3;322922.2
Забайкальский край;2008;140302;126362.1
Камчатский край;2008;77854.3;238404.5
Приморский край;2008;316581.9;160416.7
Хабаровский край ;2008;269178.6;198951.6
Амурская область;2008;131563.7;156329.6
Магаданская область;2008;42053.8;258848.1
Сахалинская область;2008;333581.6;657783.3
Еврейская автономная область;2008;23977;134377.5
Чукотский автономный округ;2008;30558.7;582270.4
Центральный федеральный округ;2009;11405184;297793
Белгородская область;2009;304345.3;199046.1
Брянская область;2009;126477.4;98014.5
Владимирская область;2009;185824.6;127815.1
Воронежская область;2009;301729.1;129112.5
Ивановская область;2009;87061.9;81286.7
Калужская область;2009;154946.1;152611.6
Костромская область;2009;78920.7;116856.2
Курская область;2009;161570.9;141833.5
Липецкая область;2009;226662;192165.2
Московская область;2009;1519446.3;217339.7
Орловская область;2009;90623.6;113848.8
Рязанская область;2009;153634.1;131891.2
Смоленская область;2009;125348.9;125743.1
Тамбовская область;2009;136323.9;123512
Тверская область;2009;197687;144257.9
Тульская область;2009;214925.4;136851.6
Ярославская область;2009;212684.4;165757.6
г. Москва;2009;7126972.4;628930.3
Северо-Западный федеральный округ;2009;3415870.7;251018.3
Республика Карелия;2009;105924.1;162649.3
Республика Коми;2009;302629.2;329967.4
Архангельская область;2009;323606.8;260584.7
в том числе: ;2009;0;0
Ненецкий автономный округ;2009;130177.7;3100503.1
Архангельская область без автономного округа;2009;0;0
Вологодская область;2009;213396.9;176179.2
Калининградская область;2009;169519.6;180797.2
Ленинградская область;2009;430395.5;252890.9
Мурманская область;2009;202235.5;251956.9
Новгородская область;2009;117710;183196.9
Псковская область;2009;74647.8;108797.9
г. Санкт-Петербург;2009;1475805.3;306454.8
Южный             федеральный округ;2009;1994912.5;144046
Республика Адыгея;2009;41511.5;94436.5
Республика Калмыкия;2009;23948.1;82586.8
Республика Крым;2009;0;0
Краснодарский край;2009;861603.3;165555.1
Астраханская область;2009;134418.2;133018.5
Волгоградская область;2009;377514.3;144303.4
Ростовская область;2009;555917.1;129626
г. Севастополь;2009;0;0
Северо-Кавказский        федеральный округ;2009;786670.9;84493.9
Республика Дагестан;2009;257832.7;90542.5
Республика Ингушетия;2009;18953.3;46174.4
Кабардино-Балкарская Республика;2009;65660.1;76451.1
Карачаево-Черкесская Республика;2009;38584.1;81758.5
Республика Северная Осетия - Алания;2009;64081.4;90040.7
Чеченская Республика;2009;64308.3;51981.3
Ставропольский край;2009;277251;99994.7
Приволжский федеральный округ;2009;4922531.5;163958.3
Республика Башкортостан;2009;647911.7;159428.7
Республика Марий Эл;2009;69271.5;98888.9
Республика Мордовия;2009;90862.4;107903.3
Республика Татарстан;2009;885064;234206.4
Удмуртская Республика;2009;230938.3;151268.7
Чувашская Республика;2009;139909.5;111300.3
Пермский край;2009;539831.5;203364.2
Кировская область;2009;146321.3;107680.4
Нижегородская область ;2009;547223;164071.8
Оренбургская область;2009;413395.5;202332.4
Пензенская область;2009;147185.1;105487.4
Самарская область;2009;583999.9;181298.2
Саратовская область;2009;326370.4;128473.8
Ульяновская область;2009;154247.4;118179.9
Уральский         федеральный округ;2009;4360451.2;360909.4
Курганская область;2009;107914.5;117058.7
Свердловская область ;2009;825267.4;191415
Тюменская область;2009;2870284;852920
в том числе:;2009;0;0
Ханты-Мансийский автономный округ - Югра;2009;1778637.1;1175747.8
Ямало-Ненецкий автономный округ;2009;649640;1240827.1
Тюменская область  без автономных округов;2009;0;0
Челябинская область;2009;556985.3;159901
Сибирский        федеральный округ;2009;3121312.5;181395.6
Республика Алтай;2009;19911.6;97112.1
Республика Тыва;2009;26921.9;87889.5
Республика Хакасия;2009;81019.9;152205.1
Алтайский край;2009;265613.3;109088.7
Красноярский край;2009;749194.8;264478.7
Иркутская область;2009;458774.9;187688.7
Кемеровская область;2009;512408;184674.1
Новосибирская область ;2009;425400.2;160210.4
Омская область;2009;336259.6;169327.8
Томская область;2009;245808.3;237293.3
Дальневосточный федеральный округ;2009;2000294.8;237943
Республика Бурятия;2009;121187.7;125172.5
Республика Саха (Якутия);2009;328201.7;342520.1
Забайкальский край;2009;148587.9;133973.5
Камчатский край;2009;94643.2;291953.6
Приморский край;2009;368996.7;187556.4
Хабаровский край ;2009;276895.4;205081
Амурская область;2009;151118.6;180572.3
Магаданская область;2009;47895.9;299403.8
Сахалинская область;2009;392380.1;779943.2
Еврейская автономная область;2009;25320;142388
Чукотский автономный округ;2009;45067.6;872422
Центральный федеральный округ;2010;13444440.1;350204.2
Белгородская область;2010;398361.4;260015.6
Брянская область;2010;147024;114777.6
Владимирская область;2010;224759.2;155494.2
Воронежская область;2010;346568.2;148432.6
Ивановская область;2010;109884.5;103280
Калужская область;2010;188601.3;186347.8
Костромская область;2010;98130.7;146536.9
Курская область;2010;193648.6;171322.1
Липецкая область;2010;248544.9;211610.6
Московская область;2010;1832867.3;259421.5
Орловская область;2010;106196.7;134533.8
Рязанская область;2010;179127.9;154844.8
Смоленская область;2010;154681.1;156567.3
Тамбовская область;2010;143902.4;131456.7
Тверская область;2010;219004.9;161305
Тульская область;2010;237629.2;152571.7
Ярославская область;2010;239644;187875.5
г. Москва;2010;8375863.8;730774.2
Северо-Западный федеральный округ;2010;3943053.7;289611.4
Республика Карелия;2010;120511.3;186651.2
Республика Коми;2010;353853;390740.4
Архангельская область;2010;372804.8;302801.3
в том числе: ;2010;0;0
Ненецкий автономный округ;2010;145928.3;3465406.9
Архангельская область без автономного округа;2010;0;0
Вологодская область;2010;262432.7;217826.8
Калининградская область;2010;195749.1;208193.2
Ленинградская область;2010;490303.7;286435.4
Мурманская область;2010;233438.9;292926.1
Новгородская область;2010;127407.8;200248.6
Псковская область;2010;87066;128685.1
г. Санкт-Петербург;2010;1699486.4;349253.6
Южный             федеральный округ;2010;2337936.9;168773.2
Республика Адыгея;2010;47194.5;107297.5
Республика Калмыкия;2010;24404.1;84359.4
Республика Крым;2010;0;0
Краснодарский край;2010;1028308.4;196914.3
Астраханская область;2010;144888.8;143388.8
Волгоградская область;2010;433473.7;166028.8
Ростовская область;2010;659667.4;154127.9
г. Севастополь;2010;0;0
Северо-Кавказский        федеральный округ;2010;891834.3;94915.3
Республика Дагестан;2010;274354.2;94883.6
Республика Ингушетия;2010;19929.1;48239.2
Кабардино-Балкарская Республика;2010;77086.4;89668.3
Карачаево-Черкесская Республика;2010;43651.5;91782.3
Республика Северная Осетия - Алания;2010;75327.4;105781.6
Чеченская Республика;2010;70694.9;55995.7
Ставропольский край;2010;330790.8;118920.6
Приволжский федеральный округ;2010;5709469.8;190719.5
Республика Башкортостан;2010;759203.3;186522
Республика Марий Эл;2010;82374.4;118110.4
Республика Мордовия;2010;105343.8;125975.5
Республика Татарстан;2010;1001622.8;264561.7
Удмуртская Республика;2010;274578.1;180316.9
Чувашская Республика;2010;157704.6;125843
Пермский край;2010;623116.8;235930.6
Кировская область;2010;172352;128073.7
Нижегородская область ;2010;652805.9;196792.5
Оренбургская область;2010;458145.4;224937.2
Пензенская область;2010;172166.7;124020.7
Самарская область;2010;695651.2;216167.6
Саратовская область;2010;376169.4;148839
Ульяновская область;2010;178235.4;137518.4
Уральский         федеральный округ;2010;5118918.4;423495.4
Курганская область;2010;117879.5;129013.4
Свердловская область ;2010;1046600.1;243234.2
Тюменская область;2010;3301573.3;973332.6
в том числе:;2010;0;0
Ханты-Мансийский автономный округ - Югра;2010;1971870.5;1289497
Ямало-Ненецкий автономный округ;2010;782214.9;1491259.7
Тюменская область  без автономных округов;2010;0;0
Челябинская область;2010;652865.5;187673.7
Сибирский        федеральный округ;2010;3831126.3;222853.7
Республика Алтай;2010;22393.7;108729.5
Республика Тыва;2010;30772.8;99999.9
Республика Хакасия;2010;96039.8;180352.1
Алтайский край;2010;302900.7;124955.8
Красноярский край;2010;1055525;372848.1
Иркутская область;2010;546141;224364.2
Кемеровская область;2010;625914.9;226198.1
Новосибирская область ;2010;484141.3;181732.7
Омская область;2010;382620.4;193216
Томская область;2010;284676.7;272576.5
Дальневосточный федеральный округ;2010;2410988.7;287688.4
Республика Бурятия;2010;133525.6;137564.9
Республика Саха (Якутия);2010;386825.1;403658.5
Забайкальский край;2010;166742.5;150548.9
Камчатский край;2010;103123.2;319849.2
Приморский край;2010;470679.2;240220.7
Хабаровский край ;2010;353590.3;262685.8
Амурская область;2010;178689.6;214827.2
Магаданская область;2010;59619.7;377895
Сахалинская область;2010;487659.5;977256
Еврейская автономная область;2010;31555.9;178380.6
Чукотский автономный округ;2010;38978.1;767845.6
Центральный федеральный округ;2011;16062123.8;417288.1
Белгородская область;2011;507839.8;331010
Брянская область;2011;174211.8;137187.1
Владимирская область;2011;261222.6;181842.6
Воронежская область;2011;474973.9;203575.5
Ивановская область;2011;128905.4;121945.5
Калужская область;2011;234749;232722
Костромская область;2011;116629.8;175626.6
Курская область;2011;228851.4;203676
Липецкая область;2011;287816.8;246213.8
Московская область;2011;2176795.3;304342.6
Орловская область;2011;131198.2;167464.9
Рязанская область;2011;214142.6;186187.2
Смоленская область;2011;180811.5;184184.9
Тамбовская область;2011;173283.1;159543
Тверская область;2011;255073;189484.3
Тульская область;2011;279879.3;180866.3
Ярославская область;2011;286967.5;225777.7
г. Москва;2011;9948772.8;859355.1
Северо-Западный федеральный округ;2011;4785458.7;350764.2
Республика Карелия;2011;154953.7;241688
Республика Коми;2011;435959.3;487363.5
Архангельская область;2011;439116.8;360165.9
в том числе: ;2011;0;0
Ненецкий автономный округ;2011;165431.3;3913588.7
Архангельская область без автономного округа;2011;273685.5;232540.7
Вологодская область;2011;323067.9;269252.8
Калининградская область;2011;241004.8;255217.8
Ленинградская область;2011;581712;336981.3
Мурманская область;2011;263811.7;333511.6
Новгородская область;2011;153419.7;243031.9
Псковская область;2011;100498.5;150199.9
г. Санкт-Петербург;2011;2091914.3;424643.7
Южный             федеральный округ;2011;2777791.9;200306.5
Республика Адыгея;2011;56803.3;128749.3
Республика Калмыкия;2011;29318.7;101873.2
Республика Крым;2011;0;0
Краснодарский край;2011;1244652.8;236750.6
Астраханская область;2011;172616.6;170504.7
Волгоградская область;2011;508433.3;195463.7
Ростовская область;2011;765967.2;179470.3
г. Севастополь;2011;0;0
Северо-Кавказский        федеральный округ;2011;1066319.6;112647.6
Республика Дагестан;2011;330322.8;113034.2
Республика Ингушетия;2011;26858.9;63569.7
Кабардино-Балкарская Республика;2011;90594.5;105412.7
Карачаево-Черкесская Республика;2011;49252.1;103462.3
Республика Северная Осетия - Алания;2011;85876.7;120824.3
Чеченская Республика;2011;86623;67220.5
Ставропольский край;2011;396791.6;142409.2
Приволжский федеральный округ;2011;7050735.5;236240.2
Республика Башкортостан;2011;941023.6;231314
Республика Марий Эл;2011;97323.3;140243.8
Республика Мордовия;2011;119955.2;144636
Республика Татарстан;2011;1305947;344092.5
Удмуртская Республика;2011;335984;221152.7
Чувашская Республика;2011;188785.7;151177.9
Пермский край;2011;840101.1;319149.5
Кировская область;2011;195269.5;146451.8
Нижегородская область ;2011;770774;233405.3
Оренбургская область;2011;553320.9;272897.1
Пензенская область;2011;213401.2;154608.1
Самарская область;2011;834149.3;259480.6
Саратовская область;2011;431028;171449.8
Ульяновская область;2011;223672.7;173890.3
Уральский         федеральный округ;2011;6314341.2;521192.2
Курганская область;2011;136325.1;151046.4
Свердловская область ;2011;1291019.1;300068.8
Тюменская область;2011;4112596;1198186
в том числе:;2011;0;0
Ханты-Мансийский автономный округ - Югра;2011;2440432.6;1575300
Ямало-Ненецкий автономный округ;2011;966110.4;1820301.3
Тюменская область  без автономных округов;2011;706053;522064.8
Челябинская область;2011;774401;222664.2
Сибирский        федеральный округ;2011;4445440.7;258724.1
Республика Алтай;2011;26380.8;127150.1
Республика Тыва;2011;33398.9;108178
Республика Хакасия;2011;113088.1;212487.7
Алтайский край;2011;332117.8;137677.2
Красноярский край;2011;1170827.3;413172.4
Иркутская область;2011;634561.4;261550.4
Кемеровская область;2011;751198.4;272564.2
Новосибирская область ;2011;598563.5;223623
Омская область;2011;451418.8;228486.6
Томская область;2011;333885.7;317037.4
Дальневосточный федеральный округ;2011;2890065.3;346131.2
Республика Бурятия;2011;153624.1;158136.6
Республика Саха (Якутия);2011;486830.9;508674.4
Забайкальский край;2011;203869;184869.1
Камчатский край;2011;114375.9;356413.4
Приморский край;2011;549722.8;281618.3
Хабаровский край ;2011;399594.2;297609.2
Амурская область;2011;225401.7;273175.8
Магаданская область;2011;72174.2;464112.9
Сахалинская область;2011;600247.9;1210003.9
Еврейская автономная область;2011;39467;225065.5
Чукотский автономный округ;2011;44757.6;883368.7
Центральный федеральный округ;2012;17432294.6;451517.2
Белгородская область;2012;545517.2;354570.6
Брянская область;2012;207397.5;164726.6
Владимирская область;2012;286018.6;200456.4
Воронежская область;2012;563965.4;241947.4
Ивановская область;2012;136115;129448.3
Калужская область;2012;285256.6;283299.9
Костромская область;2012;130840.4;198142.5
Курская область;2012;248213.1;221537.3
Липецкая область;2012;293301.3;251960.8
Московская область;2012;2357081.9;336650.6
Орловская область;2012;146103.2;187659.7
Рязанская область;2012;253881.6;221430.1
Смоленская область;2012;201817;206391.7
Тамбовская область;2012;203331.5;188418.7
Тверская область;2012;268063.9;200327.2
Тульская область;2012;311240.3;202302.5
Ярославская область;2012;327279.6;257426.7
г. Москва;2012;10666870.5;895017.9
Северо-Западный федеральный округ;2012;5247508.5;383339.4
Республика Карелия;2012;160841.5;251981.4
Республика Коми;2012;479051.3;541155.3
Архангельская область;2012;472470.9;391146.2
в том числе: ;2012;0;0
Ненецкий автономный округ;2012;157067.1;3685897.1
Архангельская область без автономного округа;2012;315403.8;270662.9
Вологодская область;2012;355291.3;296726.1
Калининградская область;2012;265361.2;279096.9
Ленинградская область;2012;672066.9;385686.5
Мурманская область;2012;283846.2;361968.4
Новгородская область;2012;170605.7;271750.9
Псковская область;2012;107547.5;161916.7
г. Санкт-Петербург;2012;2280426;456943.4
Южный             федеральный округ;2012;3185419.8;229214.5
Республика Адыгея;2012;65300.4;147262.9
Республика Калмыкия;2012;35897.8;125773.9
Республика Крым;2012;0;0
Краснодарский край;2012;1459490.8;274995.7
Астраханская область;2012;209654.4;206677.1
Волгоградская область;2012;571516.1;220755.1
Ростовская область;2012;843560.3;198129.2
г. Севастополь;2012;0;0
Северо-Кавказский        федеральный округ;2012;1209038.8;127042.1
Республика Дагестан;2012;374710.3;127528.7
Республика Ингушетия;2012;37413.9;85737.9
Кабардино-Балкарская Республика;2012;106711.2;124226.6
Карачаево-Черкесская Республика;2012;58712.1;124058.6
Республика Северная Осетия - Алания;2012;97448.8;137721.8
Чеченская Республика;2012;102289.1;77877.2
Ставропольский край;2012;431753.4;154811
Приволжский федеральный округ;2012;7864342.2;263976.2
Республика Башкортостан;2012;1149384.6;282918.4
Республика Марий Эл;2012;117201.1;169514.7
Республика Мордовия;2012;134315.6;163399
Республика Татарстан;2012;1437001;376907.1
Удмуртская Республика;2012;372782.7;245592.6
Чувашская Республика;2012;217821.1;174925.5
Пермский край;2012;860342.7;326782.7
Кировская область;2012;208505.4;157541.4
Нижегородская область ;2012;842195.5;255722.7
Оренбургская область;2012;628563.6;311189.3
Пензенская область;2012;239962.5;174823.6
Самарская область;2012;937434.5;291701.5
Саратовская область;2012;478275.8;190850.1
Ульяновская область;2012;240556.1;188185.7
Уральский         федеральный округ;2012;7098364.3;583243.9
Курганская область;2012;146045.5;163909.9
Свердловская область ;2012;1484879;344382.7
Тюменская область;2012;4625467.5;1327227.1
в том числе:;2012;0;0
Ханты-Мансийский автономный округ - Югра;2012;2703558.8;1719109.2
Ямало-Ненецкий автономный округ;2012;1191271.9;2209803.4
Тюменская область  без автономных округов;2012;730636.8;532020.4
Челябинская область;2012;841972.3;241758
Сибирский        федеральный округ;2012;4798101.9;278948.3
Республика Алтай;2012;30444.6;145400.1
Республика Тыва;2012;37369.1;120582.9
Республика Хакасия;2012;130638.5;245293.7
Алтайский край;2012;368995.2;153556.7
Красноярский край;2012;1183228;416272.7
Иркутская область;2012;737971.6;304545.5
Кемеровская область;2012;718320.4;261527.1
Новосибирская область ;2012;728154;269870.4
Омская область;2012;491507.6;248940
Томская область;2012;371472.9;350116.9
Дальневосточный федеральный округ;2012;3090998.6;371177.5
Республика Бурятия;2012;164737.8;169552.9
Республика Саха (Якутия);2012;541306.8;566387
Забайкальский край;2012;223968.8;204112.1
Камчатский край;2012;127412.7;397725.9
Приморский край;2012;557489.3;286057.3
Хабаровский край ;2012;437994.3;326306.5
Амурская область;2012;229407.1;280023.9
Магаданская область;2012;78417.9;511125.4
Сахалинская область;2012;641886.4;1298440
Еврейская автономная область;2012;42743.6;246301.3
Чукотский автономный округ;2012;45633.9;896822.1
Центральный федеральный округ;2013;19160905.7;494482.7
Белгородская область;2013;569006.4;368874.8
Брянская область;2013;219502.8;175865
Владимирская область;2013;306641.4;216320.8
Воронежская область;2013;611720.4;262578.3
Ивановская область;2013;158228.7;151263.6
Калужская область;2013;292841;291365.2
Костромская область;2013;139015.9;211383.4
Курская область;2013;271542.5;242646.1
Липецкая область;2013;315685.4;271896.2
Московская область;2013;2545951.5;359047.3
Орловская область;2013;164797;213218.2
Рязанская область;2013;279286.5;244399.3
Смоленская область;2013;225887.1;232503.7
Тамбовская область;2013;236335.9;220392.5
Тверская область;2013;298669.2;224621.6
Тульская область;2013;348034.8;227925.7
Ярославская область;2013;362861.8;285331.7
г. Москва;2013;11814897.4;980986.6
Северо-Западный федеральный округ;2013;5553389.2;403612.9
Республика Карелия;2013;178636.2;281021.6
Республика Коми;2013;482329.9;550386.2
Архангельская область;2013;500095.1;417776.4
в том числе: ;2013;0;0
Ненецкий автономный округ;2013;173170.2;4035943.2
Архангельская область без автономного округа;2013;326924.9;283264.5
Вологодская область;2013;346227.6;289782.8
Калининградская область;2013;275885.8;287695.4
Ленинградская область;2013;678718.3;386177.6
Мурманская область;2013;306578.7;395213.7
Новгородская область;2013;178818.1;286501.8
Псковская область;2013;114676.2;174006.5
г. Санкт-Петербург;2013;2491423.3;490440.5
Южный             федеральный округ;2013;3574075.7;256444.6
Республика Адыгея;2013;70862.3;159096.3
Республика Калмыкия;2013;41165.9;145420.8
Республика Крым;2013;0;0
Краснодарский край;2013;1662969.1;309837.7
Астраханская область;2013;273917.1;269821.7
Волгоградская область;2013;607472.2;235814.1
Ростовская область;2013;917689.1;215923.2
г. Севастополь;2013;0;0
Северо-Кавказский        федеральный округ;2013;1397672.6;146117.2
Республика Дагестан;2013;452882.2;153260.9
Республика Ингушетия;2013;45766.7;102241.5
Кабардино-Балкарская Республика;2013;110971.5;129236.2
Карачаево-Черкесская Республика;2013;66106.6;140400.9
Республика Северная Осетия - Алания;2013;118637.5;168268.3
Чеченская Республика;2013;122402.8;91646.1
Ставропольский край;2013;480905.3;172204.2
Приволжский федеральный округ;2013;8474685;284810.4
Республика Башкортостан;2013;1163219;286131.7
Республика Марий Эл;2013;125950.2;182664.2
Республика Мордовия;2013;148705.7;182380.2
