Субъект РФ;Год;Валовый региональный продукт: всего (млн. руб.);Валовый региональный продукт: на душу населения (руб.)
Краснодарский край;2001;179177.5;34912.4
Астраханская область;2001;32274.3;32037.2
Волгоградская область;2001;82919.7;30513.2
Ростовская область;2001;118762.5;26817.8
г. Севастополь;2001;0;0
Северо-Кавказский        федеральный округ;2001;142442.1;18408.8
Республика Дагестан;2001;31544;12562.3
Республика Ингушетия;2001;3604.3;8000.7
Кабардино-Балкарская Республика;2001;19443.3;21834.2
Карачаево-Черкесская Республика;2001;7324.8;16639.7
Республика Северная Осетия - Алания;2001;12665.3;17914.2
Чеченская Республика;2001;0;0
Ставропольский край;2001;67860.4;24780.1
Приволжский федеральный округ;2001;1292756.5;41139.5
Республика Башкортостан;2001;166974.8;40609.7
Республика Марий Эл;2001;15087.8;20502.6
Республика Мордовия;2001;22089.5;24473.2
Республика Татарстан;2001;213740;56479.2
Удмуртская Республика;2001;65551.4;41407
Чувашская Республика;2001;30778.5;23253.6
Пермский край;2001;166803.4;58570.7
Кировская область;2001;41699;27297.1
Нижегородская область ;2001;149322.6;41773.2
Оренбургская область;2001;85168.3;38769.3
Пензенская область;2001;33262.6;22547.8
Самарская область;2001;180049.3;55147
Саратовская область;2001;83665.7;31094.4
Ульяновская область;2001;38563.6;27453.2
Уральский         федеральный округ;2001;1120819.8;90065.5
Курганская область;2001;25379.6;24429.3
Свердловская область ;2001;199859.1;44119
Тюменская область;2001;753119.2;232236.3
в том числе:;2001;0;0
Ханты-Мансийский автономный округ - Югра;2001;497981.4;0
Ямало-Ненецкий автономный округ;2001;184315.9;0
Тюменская область  без автономных округов;2001;0;0
Челябинская область;2001;142461.9;39216.5
Сибирский        федеральный округ;2001;778927.9;43055.2
Республика Алтай;2001;4499.4;22164.4
Республика Тыва;2001;5197.2;17012.1
Республика Хакасия;2001;20041;36306.2
Алтайский край;2001;61854.4;23509
Красноярский край;2001;239420;80038.8
Иркутская область;2001;120240;46044.3
Кемеровская область;2001;113800.2;38839.7
Новосибирская область ;2001;95298.9;35177.3
Омская область;2001;61535.7;29219.2
Томская область;2001;57041.1;54221.6
Дальневосточный федеральный округ;2001;456964;51048.3
Республика Бурятия;2001;30075.1;30314.6
Республика Саха (Якутия);2001;100922.4;105733.3
Забайкальский край;2001;35139.2;29979.7
Камчатский край;2001;23031.7;63274
Приморский край;2001;72826.1;34628
Хабаровский край ;2001;79891.5;54983.9
Амурская область;2001;39052.8;42578.3
Магаданская область;2001;17151.6;89987.5
Сахалинская область;2001;47140.1;84769.1
Еврейская автономная область;2001;4788.9;24877.5
Чукотский автономный округ;2001;6944.6;123130.9
Центральный федеральный округ;2002;2878664.5;75739.2
Белгородская область;2002;62404.4;41327.4
Брянская область;2002;37374.1;27020
Владимирская область;2002;50359.9;32923.6
Воронежская область;2002;83001.1;34789.6
Ивановская область;2002;26981.3;23396.9
Калужская область;2002;37283.1;35708.4
Костромская область;2002;25952.9;35109.5
Курская область;2002;45309.4;36545.7
Липецкая область;2002;70590.5;58065.7
Московская область;2002;312950;47323.5
Орловская область;2002;35657.4;41322.8
Рязанская область;2002;45797.5;37164.2
Смоленская область;2002;42166.1;39983.1
Тамбовская область;2002;38897.8;32858.4
Тверская область;2002;55732.6;37695.3
Тульская область;2002;65416.3;38894.3
Ярославская область;2002;75313.4;54917.2
г. Москва;2002;1767476.7;171127.8
Северо-Западный федеральный округ;2002;886843.2;63297.1
Республика Карелия;2002;41362.4;57575.7
Республика Коми;2002;86019.4;84101.9
Архангельская область;2002;83158.8;61989.4
в том числе: ;2002;0;0
Ненецкий автономный округ;2002;16480.8;0
Архангельская область без автономного округа;2002;0;0
Вологодская область;2002;80731.9;63433.6
Калининградская область;2002;40120.3;42019.6
Ленинградская область;2002;94747;56738.1
Мурманская область;2002;68445.4;76236.9
Новгородская область;2002;31466.8;45178.5
Псковская область;2002;24098.9;31547.3
г. Санкт-Петербург;2002;336692.3;72059.8
Южный             федеральный округ;2002;519019.2;37122.4
Республика Адыгея;2002;7909.9;17707.5
Республика Калмыкия;2002;7272.3;24676.8
Республика Крым;2002;0;0
Краснодарский край;2002;217727.6;42477.6
Астраханская область;2002;40994.9;40786.8
Волгоградская область;2002;104341.2;38617.7
Ростовская область;2002;140773.3;31941.7
г. Севастополь;2002;0;0
Северо-Кавказский        федеральный округ;2002;174564.1;22374.6
Республика Дагестан;2002;41441;16195.5
Республика Ингушетия;2002;3582.1;7751.7
Кабардино-Балкарская Республика;2002;22774.5;25369.9
Карачаево-Черкесская Республика;2002;10234.5;23297.3
Республика Северная Осетия - Алания;2002;15997.5;22541.2
Чеченская Республика;2002;0;0
Ставропольский край;2002;80534.5;29453.4
Приволжский федеральный округ;2002;1483309.6;47526.3
Республика Башкортостан;2002;187842.2;45756
Республика Марий Эл;2002;17815.3;24411.2
Республика Мордовия;2002;27508;30848.9
Республика Татарстан;2002;250596;66298.7
Удмуртская Республика;2002;78346.3;49800.6
Чувашская Республика;2002;37180.6;28261.3
Пермский край;2002;178091;63032.2
Кировская область;2002;49974.2;33124
Нижегородская область ;2002;170826.5;48321.6
Оренбургская область;2002;94182.5;43145.6
Пензенская область;2002;41623.4;28554.2
Самарская область;2002;206320.2;63582.9
Саратовская область;2002;97326.4;36413.6
Ульяновская область;2002;45677;32922.8
Уральский         федеральный округ;2002;1335976;107831.3
Курганская область;2002;29940.8;29253.3
Свердловская область ;2002;234866.4;52241.3
Тюменская область;2002;898722.4;275622.5
в том числе:;2002;0;0
Ханты-Мансийский автономный округ - Югра;2002;552483.5;0
Ямало-Ненецкий автономный округ;2002;262447.4;0
Тюменская область  без автономных округов;2002;0;0
Челябинская область;2002;172446.4;47775.7
Сибирский        федеральный округ;2002;909296.4;50622.8
Республика Алтай;2002;5310.6;26160.6
Республика Тыва;2002;6847.4;22421
Республика Хакасия;2002;25423.3;46443.7
Алтайский край;2002;73107.4;27991.2
Красноярский край;2002;230994.9;77729
Иркутская область;2002;140195.9;54156.9
Кемеровская область;2002;136156.7;46860.1
Новосибирская область ;2002;123084.5;45659.6
Омская область;2002;92628.7;44424.1
Томская область;2002;75547;72107.4
Дальневосточный федеральный округ;2002;553546.2;62521.4
Республика Бурятия;2002;37884.5;38524
Республика Саха (Якутия);2002;115117.1;121163.1
Забайкальский край;2002;44555.8;38443.3
Камчатский край;2002;25881.9;71934.1
Приморский край;2002;96832.3;46632.5
Хабаровский край ;2002;101048.6;70162.9
Амурская область;2002;45717.5;50449.6
Магаданская область;2002;22374.8;121272.5
Сахалинская область;2002;47139.8;85927.4
Еврейская автономная область;2002;6838.5;35766
Чукотский автономный округ;2002;10155.4;187368.1
Центральный федеральный округ;2003;3577142.5;94244.6
Белгородская область;2003;76054.5;50271.4
Брянская область;2003;43700.3;31953.4
Владимирская область;2003;61818.6;40809.4
Воронежская область;2003;100143.3;42237.5
Ивановская область;2003;33214.6;29192.4
Калужская область;2003;48792.7;47136.5
Костромская область;2003;29692.1;40741.1
Курская область;2003;56383.1;46131.2
Липецкая область;2003;96241.9;79661.2
Московская область;2003;412089.3;62023.3
Орловская область;2003;42073.3;49342.3
Рязанская область;2003;59607.2;48977.6
Смоленская область;2003;49085.7;47084.3
Тамбовская область;2003;46877.7;40133.5
Тверская область;2003;68805.3;47233.8
Тульская область;2003;72258;43541.9
Ярославская область;2003;92073.4;67915.1
г. Москва;2003;2188231.5;209174.1
Северо-Западный федеральный округ;2003;1091026.5;78466.3
Республика Карелия;2003;46588.9;65708
Республика Коми;2003;107149;106304.1
Архангельская область;2003;103951.3;78507
в том числе: ;2003;0;0
Ненецкий автономный округ;2003;25040.6;599201.7
Архангельская область без автономного округа;2003;0;0
Вологодская область;2003;107544.6;85259.1
Калининградская область;2003;46757.7;49167.4
Ленинградская область;2003;121222.3;72578.7
Мурманская область;2003;80604.1;91442.1
Новгородская область;2003;38081.7;55387.3
Псковская область;2003;29488.4;39190.7
г. Санкт-Петербург;2003;409638.5;87919.3
Южный             федеральный округ;2003;616085.3;44227
Республика Адыгея;2003;9849.3;22091.7
Республика Калмыкия;2003;6539.5;22394.9
Республика Крым;2003;0;0
Краснодарский край;2003;248565.5;48572.8
