Субъекты РФ;Год;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ (тыс. чел);Естественный прирост населения (чел.);Миграционный прирост населения (чел.)
Костромская область;2001;743.9;-9670.7;-1636.58
Курская область;2001;1248.6;-17480.4;-4744.68
Липецкая область;2001;1220.5;-9764;3539.45
Московская область;2001;6609.2;6609.2;62126.48
Орловская область;2001;867.6;-9543.6;-433.8
Рязанская область;2001;1241;-17374;-2233.8
Смоленская область;2001;1063.3;-17012.8;-4891.18
Тамбовская область;2001;1193.4;-19094.4;-6921.72
Тверская область;2001;1491.4;-25353.8;-5667.32
Тульская область;2001;1694;-23716;-1355.2
Ярославская область;2001;1378.4;-13784;689.2
г. Москва;2001;10269.9;112968.9;216694.89
Северо-Западный  федеральный округ;2001;14073;-126657;-2814.6
Республика Карелия;2001;721.5;-6493.5;-1515.15
Республика Коми;2001;1029.7;-13386.1;-9576.21
Архангельская область;2001;1350.5;-17556.5;-9723.6
Ненецкий автономный округ;2001;40.9;818;-73.62
Архангельская область без автономного округа;2001;1309.6;-11786.4;-9560.08
Вологодская область;2001;1278.5;-11506.5;-1534.2
Калининградская область;2001;955.4;-955.4;5732.4
Ленинградская область;2001;1672.7;-5018.1;13548.87
Мурманская область;2001;905.7;-16302.6;-14128.92
Новгородская область;2001;700.9;-8410.8;-210.27
Псковская область;2001;769.7;-11545.5;-769.7
г. Санкт-Петербург;2001;4688.4;-32818.8;15940.56
Южный                 федеральный округ;2001;14008.6;-56034.4;35021.5
Республика Адыгея;2001;446.6;178.64;1652.42
Республика Калмыкия;2001;297.6;-5654.4;-9701.76
Республика Крым;2001;0;0;0
Краснодарский край;2001;5131.6;-10263.2;28223.8
Астраханская область;2001;1005.5;-1005.5;402.2
Волгоградская область;2001;2709.6;-16257.6;3522.48
Ростовская область;2001;4417.7;-22088.5;11044.25
г. Севастополь;2001;0;0;0
Северо-Кавказский     федеральный округ;2001;8844.4;97288.4;117630.52
Республика Дагестан;2001;2536.1;45649.8;27136.27
Республика Ингушетия ;2001;455.5;13209.5;3234.05
Кабардино-Балкарская Республика;2001;894.3;6260.1;7601.55
