Субъекты РФ;Год;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ (тыс. чел);Естественный прирост населения (чел.);Миграционный прирост населения (чел.)
Новгородская область;2005;665.6;-8652.8;-66.56
Псковская область;2005;720.8;-13695.2;-2234.48
г. Санкт-Петербург;2005;4712.9;28277.4;60325.12
Южный                 федеральный округ;2005;13837.1;-27674.2;44278.72
Республика Адыгея;2005;441;-2205;-132.3
Республика Калмыкия;2005;293.5;293.5;-88.05
Республика Крым;2005;0;0;0
Краснодарский край;2005;5127.3;10254.6;35891.1
Астраханская область;2005;1002.5;-4010;-601.5
Волгоградская область;2005;2640.4;-15842.4;792.12
Ростовская область;2005;4332.4;-21662;9098.04
г. Севастополь;2005;0;0;0
Северо-Кавказский     федеральный округ;2005;9036.8;45184;1807.36
Республика Дагестан;2005;2692.6;40389;14809.3
Республика Ингушетия ;2005;417.4;-15861.2;-20828.26
Кабардино-Балкарская Республика;2005;866.2;-11260.6;-11000.74
Карачаево-Черкесская Республика;2005;454.5;4090.5;4226.85
Республика Северная Осетия – Алания;2005;706.9;706.9;1272.42
Чеченская Республика ;2005;1152.3;19589.1;-3687.36
Ставропольский край;2005;2746.9;5493.8;17580.16
Приволжский федеральный округ;2005;30453.2;-213172.4;-24362.56
Республика Башкортостан;2005;4066.3;-16265.2;-1219.89
Республика Марий Эл;2005;713.4;-4993.8;-71.34
Республика Мордовия;2005;864.7;-6917.6;259.41
Республика Татарстан;2005;3761.6;-7523.2;8275.52
Удмуртская Республика;2005;1545.8;-7729;-1854.96
Чувашская Республика;2005;1278.9;-11510.1;-5627.16
Пермский край;2005;2718.8;-32625.6;-13322.12
Кировская область;2005;1418.7;-25536.6;-12200.82
Нижегородская область ;2005;3414.3;-34143;4438.59
Оренбургская область;2005;2093.5;-29309;-18213.45
Пензенская область;2005;1420.1;-11360.8;2982.21
Самарская область;2005;3225.6;322.56;20966.4
Саратовская область;2005;2591.2;-23320.8;-4145.92
Ульяновская область;2005;1340.3;-14743.3;-3082.69
Уральский       федеральный округ;2005;12128.7;-72772.2;-31534.62
Курганская область;2005;961.8;-19236;-11926.32
Свердловская область ;2005;4356.4;-39207.6;-10019.72
Тюменская область;2005;3293.8;6587.6;-4940.7
Ханты-Мансийский автономный округ – Югра;2005;1467.8;5871.2;-3963.06
Ямало-Ненецкий автономный округ;2005;517.4;2587;-1241.76
Тюменская область без автономных округов;2005;1308.6;-2617.2;130.86
Челябинская область;2005;3516.7;-24616.9;-4220.04
Сибирский        федеральный округ;2005;17404.8;-174048;-73100.16
Республика Алтай;2005;201.7;-605.1;-988.33
Республика Тыва;2005;302.9;-1211.6;-2816.97
Республика Хакасия;2005;533.8;-4270.4;-907.46
Алтайский край;2005;2503.5;-35049;-19527.3
Красноярский край;2005;2869.3;-31562.3;-18363.52
Иркутская область;2005;2492.2;-32398.6;-18940.72
Кемеровская область;2005;2805.9;-28059;-4770.03
Новосибирская область ;2005;2654.9;-10619.6;3185.88
Омская область;2005;2016.3;-18146.7;-7460.31
Томская область;2005;1024.3;-5121.5;-1741.31
Дальневосточный федеральный округ;2005;8550.6;-94056.6;-59854.2
Республика Бурятия;2005;966.9;-3867.6;-2513.94
Республика Саха (Якутия);2005;954.4;954.4;-2672.32
Забайкальский край;2005;1123.3;-8986.4;-5279.51
Камчатский край;2005;336.6;-7068.6;-6698.34
Приморский край;2005;2006.5;-22071.5;-10233.15
Хабаровский край ;2005;1376.3;-20644.5;-12799.59
Амурская область;2005;861;-12915;-8610
Магаданская область;2005;170.4;-3408;-3067.2
Сахалинская область;2005;521.1;-8337.6;-5419.44
Еврейская автономная область;2005;181.7;-3997.4;-2889.03
Чукотский автономный округ;2005;52.4;576.4;382.52
Центральный федеральный округ;2006;38183.4;76366.8;358923.96
Белгородская область;2006;1514.2;3028.4;11205.08
Брянская область;2006;1312.7;-14439.7;-2362.86
Владимирская область;2006;1475.9;-10331.3;3837.34
Воронежская область;2006;2353.8;-7061.4;15535.08
Ивановская область;2006;1089.8;-11987.8;-4.3592
Калужская область;2006;1020.2;-3060.6;5407.06
Костромская область;2006;689.8;-9657.2;-3655.94
Курская область;2006;1161.6;-16262.4;-4181.76
Липецкая область;2006;1190.4;-3571.2;5713.92
Московская область;2006;6846.8;61621.2;115710.92
Орловская область;2006;811.4;-10548.2;-3326.74
Рязанская область;2006;1181.5;-7089;5316.75
Смоленская область;2006;1017.9;-7125.3;4376.97
Тамбовская область;2006;1127;-11270;-225.4
Тверская область;2006;1398.9;-16786.8;839.34
Тульская область;2006;1600.1;-14400.9;5600.35
Ярославская область;2006;1300;-13000;-1170
г. Москва;2006;11091.4;166371;201863.48
Северо-Западный  федеральный округ;2006;13665.1;-54660.4;45094.83
Республика Карелия;2006;665;-10640;-6184.5
Республика Коми;2006;944.8;-17951.2;-15305.76
Архангельская область;2006;1266.7;-15200.4;-8866.9
Ненецкий автономный округ;2006;41.8;-41.8;-108.68
Архангельская область без автономного округа;2006;1224.9;-14698.8;-8696.79
Вологодская область;2006;1225.8;-8580.6;-1593.54
Калининградская область;2006;934.3;-1868.6;4484.64
Ленинградская область;2006;1691.1;5073.3;24520.95
Мурманская область;2006;824;-14832;-12854.4
Новгородская область;2006;657.6;-7891.2;-263.04
Псковская область;2006;708.2;-12039.4;-2195.42
г. Санкт-Петербург;2006;4747.6;33233.2;65042.12
Южный                 федеральный округ;2006;13820.4;-13820.4;49753.44
Республика Адыгея;2006;438.6;-2193;-307.02
Республика Калмыкия;2006;293;-586;-1113.4
Республика Крым;2006;0;0;0
Краснодарский край;2006;5142.9;15428.7;38057.46
Астраханская область;2006;1001.3;-1001.3;1101.43
Волгоградская область;2006;2630;-10520;3682
Ростовская область;2006;4314.6;-17258.4;7766.28
г. Севастополь;2006;0;0;0
Северо-Кавказский     федеральный округ;2006;9090.5;54543;11817.65
Республика Дагестан;2006;2735.8;43772.8;18603.44
Республика Ингушетия ;2006;406.7;-10574.2;-15983.31
Кабардино-Балкарская Республика;2006;858.5;-7726.5;-8241.6
Карачаево-Черкесская Республика;2006;461.6;7385.6;7108.64
Республика Северная Осетия – Алания;2006;708.8;2126.4;1701.12
Чеченская Республика ;2006;1172;19924;-2461.2
Ставропольский край;2006;2747.1;192.297;11263.11
Приволжский федеральный округ;2006;30264;-181584;-21184.8
Республика Башкортостан;2006;4053.4;-12160.2;-2432.04
Республика Марий Эл;2006;708.6;-4960.2;-1133.76
Республика Мордовия;2006;857.9;-6863.2;-171.58
Республика Татарстан;2006;3763.1;1505.24;13547.16
Удмуртская Республика;2006;1538.6;-7693;-2615.62
Чувашская Республика;2006;1268.6;-10148.8;-4693.82
Пермский край;2006;2691.6;-26916;-12381.36
Кировская область;2006;1396;-22336;-11168
Нижегородская область ;2006;3384.3;-30458.7;3722.73
Оренбургская область;2006;2067.9;-24814.8;-17163.57
Пензенская область;2006;1411.7;-8470.2;3529.25
Самарская область;2006;3224;-3224;16120
Саратовская область;2006;2572.4;-18006.8;-2057.92
Ульяновская область;2006;1325.9;-14584.9;-4242.88
Уральский       федеральный округ;2006;12080.4;-48321.6;-19328.64
Курганская область;2006;946.1;-15137.6;-9934.05
Свердловская область ;2006;4330.6;-25983.6;-6062.84
Тюменская область;2006;3306.7;13226.8;-330.67
Ханты-Мансийский автономный округ – Югра;2006;1475.2;7376;-2950.4
Ямало-Ненецкий автономный округ;2006;521.6;4172.8;208.64
Тюменская область без автономных округов;2006;1309.9;1309.9;2357.82
Челябинская область;2006;3497;-20982;-3497
Сибирский        федеральный округ;2006;17280.7;-120964.9;-57026.31
Республика Алтай;2006;201.8;60.54;-484.32
Республика Тыва;2006;302.4;-604.8;-2691.36
Республика Хакасия;2006;531.1;-2655.5;-1221.53
Алтайский край;2006;2473;-29676;-17311
Красноярский край;2006;2845.4;-22763.2;-15365.16
Иркутская область;2006;2467.4;-24674;-17518.54
Кемеровская область;2006;2786;-19502;-3064.6
Новосибирская область ;2006;2647.2;-7941.6;4764.96
Омская область;2006;2003.3;-12019.8;-4206.93
Томская область;2006;1023.1;-1023.1;1227.72
Дальневосточный федеральный округ;2006;8478.2;-67825.6;-54260.48
Республика Бурятия;2006;964.6;-1929.2;-2604.42
Республика Саха (Якутия);2006;956.1;1912.2;-2772.69
Забайкальский край;2006;1115.1;-7805.7;-6356.07
Камчатский край;2006;330.8;-5623.6;-5623.6
Приморский край;2006;1988.6;-17897.4;-8749.84
Хабаровский край ;2006;1359.9;-16318.8;-10879.2
Амурская область;2006;850.5;-10206;-7229.25
Магаданская область;2006;166.9;-3504.9;-3037.58
Сахалинская область;2006;513.4;-7701;-5647.4
Еврейская автономная область;2006;179.4;-2152.8;-1524.9
Чукотский автономный округ;2006;52.9;529;338.56
Центральный федеральный округ;2007;38210.1;38210.1;267470.7
Белгородская область;2007;1520.1;6080.4;12768.84
Брянская область;2007;1303.3;-9123.1;651.65
Владимирская область;2007;1466.8;-8800.8;3226.96
Воронежская область;2007;2344.4;-9377.6;10549.8
Ивановская область;2007;1081.1;-8648.8;972.99
Калужская область;2007;1017.7;-2035.4;4884.96
Костромская область;2007;683.4;-6150.6;-1435.14
Курская область;2007;1151.9;-9215.2;-460.76
Липецкая область;2007;1186.7;-3560.1;4272.12
Московская область;2007;6895.4;48267.8;95846.06
Орловская область;2007;805.2;-6441.6;322.08
Рязанская область;2007;1174.3;-7045.8;3992.62
Смоленская область;2007;1009;-9081;1109.9
Тамбовская область;2007;1116.4;-10047.6;-893.12
Тверская область;2007;1387;-12483;2496.6
Тульская область;2007;1588;-12704;6669.6
Ярославская область;2007;1292.5;-7755;2455.75
г. Москва;2007;11186.9;100682.1;118581.14
Северо-Западный  федеральный округ;2007;13630.8;-40892.4;39529.32
Республика Карелия;2007;659.4;-5275.2;-1912.26
Республика Коми;2007;934.9;-10283.9;-9162.02
Архангельская область;2007;1257.2;-10057.6;-5783.12
Ненецкий автономный округ;2007;41.9;41.9;-79.61
Архангельская область без автономного округа;2007;1215.3;-9722.4;-5711.91
Вологодская область;2007;1219.8;-6099;-731.88
Калининградская область;2007;935.3;935.3;5237.68
Ленинградская область;2007;1692.5;1692.5;17602
Мурманская область;2007;815.1;-8966.1;-7580.43
Новгородская область;2007;652.2;-5217.6;782.64
Псковская область;2007;699.6;-8395.2;-699.6
г. Санкт-Петербург;2007;4764.8;19059.2;41453.76
Южный                 федеральный округ;2007;13826.9;6913.45;53924.91
Республика Адыгея;2007;437.9;-875.8;525.48
Республика Калмыкия;2007;291.7;-1458.5;-2362.77
Республика Крым;2007;0;0;0
Краснодарский край;2007;5170.7;25853.5;43950.95
Астраханская область;2007;1005.9;5029.5;5230.68
Волгоградская область;2007;2623.1;-7869.3;3410.03
Ростовская область;2007;4297.6;-17190.4;3008.32
г. Севастополь;2007;0;0;0
Северо-Кавказский     федеральный округ;2007;9187;101057;32154.5
Республика Дагестан;2007;2788.6;52983.4;22866.52
Республика Ингушетия ;2007;406.6;-121.98;-6790.22
Кабардино-Балкарская Республика;2007;857.3;-857.3;-4115.04
Карачаево-Черкесская Республика;2007;466.4;4664;3311.44
Республика Северная Осетия – Алания;2007;711.5;2846;996.1
Чеченская Республика ;2007;1196.9;25134.9;-1915.04
Ставропольский край;2007;2759.7;13798.5;18214.02
Приволжский федеральный округ;2007;30146.9;-120587.6;6029.38
Республика Башкортостан;2007;4054.8;1216.44;5271.24
Республика Марий Эл;2007;704.9;-3524.5;-1127.84
Республика Мордовия;2007;851.7;-5961.9;-681.36
Республика Татарстан;2007;3766.8;3766.8;11677.08
Удмуртская Республика;2007;1533;-6132;-3525.9
Чувашская Республика;2007;1263;-5052;-1768.2
Пермский край;2007;2674;-18718;-8022
Кировская область;2007;1379.4;-16552.8;-7724.64
Нижегородская область ;2007;3362.8;-20176.8;7061.88
Оренбургская область;2007;2055.7;-12334.2;-6989.38
Пензенская область;2007;1405.4;-7027;2529.72
Самарская область;2007;3220.9;-3220.9;11595.24
Саратовская область;2007;2558.3;-12791.5;-767.49
Ульяновская область;2007;1316.2;-9213.4;-1184.58
Уральский       федеральный округ;2007;12074.3;-6037.15;4829.72
Курганская область;2007;934.5;-11214;-7289.1
Свердловская область ;2007;4320.1;-8640.2;3456.08
Тюменская область;2007;3330.6;23314.2;6328.14
Ханты-Мансийский автономный округ – Югра;2007;1491.2;16403.2;4324.48
Ямало-Ненецкий автономный округ;2007;524;2620;-2358
Тюменская область без автономных округов;2007;1315.4;5261.6;4340.82
Челябинская область;2007;3489.1;-6978.2;3140.19
Сибирский        федеральный округ;2007;17226.6;-51679.8;-17226.6
Республика Алтай;2007;203.1;1421.7;-101.55
Республика Тыва;2007;303.8;1519;-2460.78
Республика Хакасия;2007;531.3;159.39;106.26
Алтайский край;2007;2453.5;-19628;-10550.05
Красноярский край;2007;2837;-8511;-4255.5
Иркутская область;2007;2455.4;-12277;-11540.38
Кемеровская область;2007;2780.2;-5560.4;6672.48
Новосибирская область ;2007;2642.7;-5285.4;4228.32
Омская область;2007;1993.3;-9966.5;-4185.93
Томская область;2007;1026.3;3078.9;4105.2
Дальневосточный федеральный округ;2007;8444.9;-33779.6;-28712.66
Республика Бурятия;2007;965.2;965.2;-2123.44
Республика Саха (Якутия);2007;958.9;2876.7;-3260.26
Забайкальский край;2007;1111.4;-3334.2;-4112.18
Камчатский край;2007;327.9;-2951.1;-2918.31
Приморский край;2007;1977.4;-11864.4;-4548.02
Хабаровский край ;2007;1354.9;-5419.6;-1354.9
Амурская область;2007;844.3;-5910.1;-4643.65
Магаданская область;2007;164;-2788;-2509.2
Сахалинская область;2007;509.4;-4075.2;-2852.64
Еврейская автономная область;2007;178.7;-714.8;-321.66
Чукотский автономный округ;2007;52.8;-105.6;-295.68
Центральный федеральный округ;2008;38263.3;38263.3;267843.1
Белгородская область;2008;1526.3;6105.2;11752.51
Брянская область;2008;1294.3;-9060.1;-258.86
Владимирская область;2008;1457.9;-8747.4;2770.01
Воронежская область;2008;2339;-4678;12630.6
Ивановская область;2008;1074.3;-6445.8;2793.18
Калужская область;2008;1015.6;-2031.2;4773.32
Костромская область;2008;677.8;-5422.4;-948.92
Курская область;2008;1143.3;-8003.1;228.66
Липецкая область;2008;1182;-4728;2600.4
Московская область;2008;6958;62622;103674.2
Орловская область;2008;798.9;-6391.2;-559.23
Рязанская область;2008;1167.9;-5839.5;3386.91
Смоленская область;2008;1000.7;-8005.6;1100.77
Тамбовская область;2008;1107.8;-8862.4;775.46
Тверская область;2008;1375.4;-11003.2;2063.1
Тульская область;2008;1576.4;-11034.8;6147.96
Ярославская область;2008;1286.1;-6430.5;2700.81
г. Москва;2008;11281.6;90252.8;111687.84
Северо-Западный  федеральный округ;2008;13611.9;-13611.9;47641.65
Республика Карелия;2008;653.7;-5883.3;-2157.21
Республика Коми;2008;922.3;-11989.9;-11897.67
Архангельская область;2008;1246.2;-11215.8;-7601.82
Ненецкий автономный округ;2008;41.8;-41.8;-196.46
Архангельская область без автономного округа;2008;1204.4;-10839.6;-7467.28
Вологодская область;2008;1214.2;-6071;-364.26
Калининградская область;2008;936.6;936.6;5057.64
Ленинградская область;2008;1698.9;6795.6;21406.14
Мурманская область;2008;805.6;-9667.2;-8458.8
Новгородская область;2008;645.4;-6454;-129.08
Псковская область;2008;690.3;-8973.9;-1104.48
г. Санкт-Петербург;2008;4798.7;33590.9;53265.57
Южный                 федеральный округ;2008;13844.6;13844.6;53993.94
Республика Адыгея;2008;439.4;1318.2;2460.64
Республика Калмыкия;2008;290.3;-1451.5;-2757.85
Республика Крым;2008;0;0;0
Краснодарский край;2008;5194.4;25972;34283.04
Астраханская область;2008;1009.9;4039.6;3433.66
Волгоградская область;2008;2618.1;-5236.2;3403.53
Ростовская область;2008;4292.5;-4292.5;12877.5
г. Севастополь;2008;0;0;0
Северо-Кавказский     федеральный округ;2008;9267.6;83408.4;4633.8
Республика Дагестан;2008;2826.5;39571;4239.75
Республика Ингушетия ;2008;409.2;2455.2;-5074.08
Кабардино-Балкарская Республика;2008;858.1;858.1;-3089.16
Карачаево-Черкесская Республика;2008;470.1;3760.8;2068.44
Республика Северная Осетия – Алания;2008;711.7;142.34;-1850.42
Чеченская Республика ;2008;1224.4;28161.2;-3061
Ставропольский край;2008;2767.6;8302.8;11070.4
Приволжский федеральный округ;2008;30052.9;-90158.7;6010.58
Республика Башкортостан;2008;4059.4;4059.4;5683.16
Республика Марий Эл;2008;701.6;-3508;-1262.88
Республика Мордовия;2008;845;-6760;-1774.5
Республика Татарстан;2008;3773.5;7547;11320.5
Удмуртская Республика;2008;1528.2;-4584.6;-3667.68
Чувашская Республика;2008;1258.2;-5032.8;-1258.2
Пермский край;2008;2660.4;-13302;-6651
Кировская область;2008;1365;-13650;-6142.5
Нижегородская область ;2008;3343.7;-20062.2;6687.4
Оренбургская область;2008;2044.3;-12265.8;-7563.91
Пензенская область;2008;1398.1;-6990.5;1258.29
Самарская область;2008;3221.5;644.3;12886
Саратовская область;2008;2545.3;-12726.5;-1272.65
Ульяновская область;2008;1308.7;-7852.2;-1046.96
Уральский       федеральный округ;2008;12076;1207.6;2415.2
Курганская область;2008;925.2;-9252;-5643.72
Свердловская область ;2008;4314.3;-4314.3;4745.73
Тюменская область;2008;3351.7;20110.2;670.34
Ханты-Мансийский автономный округ – Югра;2008;1504.3;13538.7;150.43
Ямало-Ненецкий автономный округ;2008;523;-1046;-5962.2
Тюменская область без автономных округов;2008;1324.4;9270.8;6622
Челябинская область;2008;3484.8;-3484.8;3484.8
Сибирский        федеральный округ;2008;17206.2;-17206.2;-1720.62
Республика Алтай;2008;204.7;1637.6;-327.52
Республика Тыва;2008;305.3;1526.5;-2839.29
Республика Хакасия;2008;531.9;531.9;53.19
Алтайский край;2008;2438.9;-14633.4;-7804.48
Красноярский край;2008;2832.6;-5665.2;-2266.08
Иркутская область;2008;2448.3;-7344.9;-9303.54
Кемеровская область;2008;2776.4;-2776.4;5552.8
Новосибирская область ;2008;2648.9;5297.8;11390.27
Омская область;2008;1987.7;-5963.1;-1788.93
Томская область;2008;1031.5;5157.5;5260.65
Дальневосточный федеральный округ;2008;8414.7;-33658.8;-28609.98
Республика Бурятия;2008;966.6;966.6;-2029.86
Республика Саха (Якутия);2008;958.1;-958.1;-6610.89
Забайкальский край;2008;1109.2;-2218.4;-3993.12
Камчатский край;2008;325.2;-2601.6;-2861.76
Приморский край;2008;1969.6;-7878.4;-1378.72
Хабаровский край ;2008;1351.1;-4053.3;-1215.99
Амурская область;2008;838.9;-5033.4;-3523.38
Магаданская область;2008;160.9;-3057.1;-2542.22
Сахалинская область;2008;504.9;-4544.1;-3332.34
Еврейская автономная область;2008;178.1;-534.3;-302.77
Чукотский автономный округ;2008;52.1;-677.3;-812.76
Центральный федеральный округ;2009;38334.8;76669.6;245342.72
Белгородская область;2009;1531.8;6127.2;10722.6
Брянская область;2009;1286.5;-7719;-128.65
Владимирская область;2009;1449.8;-8698.8;2754.62
Воронежская область;2009;2334.9;-4669.8;10974.03
Ивановская область;2009;1067.8;-6406.8;1922.04
Калужская область;2009;1015;-1015;5582.5
Костромская область;2009;672.9;-4710.3;-1076.64
Курская область;2009;1135;-7945;-567.5
Липецкая область;2009;1177;-4708;1530.1
Московская область;2009;7024.2;70242;99743.64
Орловская область;2009;793.1;-5551.7;-634.48
Рязанская область;2009;1161.8;-5809;2788.32
Смоленская область;2009;993;-7944;496.5
Тамбовская область;2009;1099.7;-7697.9;549.85
Тверская область;2009;1365.3;-9557.1;2047.95
Тульская область;2009;1564.7;-10952.9;3442.34
Ярославская область;2009;1280.1;-6400.5;1280.1
г. Москва;2009;11382.2;102439.8;104716.24
Северо-Западный  федеральный округ;2009;13604.2;-13604.2;44893.86
Республика Карелия;2009;648.7;-5189.6;-2335.32
Республика Коми;2009;912;-10032;-9940.8
Архангельская область;2009;1237.5;-8662.5;-6063.75
Ненецкий автономный округ;2009;42.1;252.6;58.94
Архангельская область без автономного округа;2009;1195.4;-8367.8;-6216.08
Вологодская область;2009;1208.3;-6041.5;-1087.47
Калининградская область;2009;938.6;1877.2;4880.72
Ленинградская область;2009;1704.9;6819.6;18753.9
Мурманская область;2009;799.8;-5598.6;-4798.8
Новгородская область;2009;639.7;-5757.3;255.88
Псковская область;2009;681.9;-8182.8;-1091.04
г. Санкт-Петербург;2009;4832.8;33829.6;46878.16
Южный                 федеральный округ;2009;13853.7;13853.7;38790.36
Республика Адыгея;2009;439.8;439.8;1099.5
Республика Калмыкия;2009;289.7;-579.4;-1767.17
Республика Крым;2009;0;0;0
Краснодарский край;2009;5214.2;20856.8;26592.42
Астраханская область;2009;1011.1;1011.1;404.44
Волгоградская область;2009;2614.1;-2614.1;4182.56
Ростовская область;2009;4284.8;-8569.6;8569.6
г. Севастополь;2009;0;0;0
Северо-Кавказский     федеральный округ;2009;9353.2;84178.8;10288.52
Республика Дагестан;2009;2868.8;43032;8606.4
Республика Ингушетия ;2009;411.7;2470.2;-5187.42
Кабардино-Балкарская Республика;2009;859.6;1719.2;-2320.92
Карачаево-Черкесская Республика;2009;473.8;3790.4;2226.86
Республика Северная Осетия – Алания;2009;711.7;64.053;-1992.76
Чеченская Республика ;2009;1249.9;26247.9;-4499.64
Ставропольский край;2009;2777.7;11110.8;13055.19
Приволжский федеральный округ;2009;29993.2;-59986.4;14996.6
Республика Башкортостан;2009;4068.5;8137;6916.45
Республика Марий Эл;2009;699.4;-2098.2;-699.4
Республика Мордовия;2009;839.2;-5874.4;-839.2
Республика Татарстан;2009;3784.5;11353.5;12110.4
Удмуртская Республика;2009;1525.1;-3050.2;-3965.26
Чувашская Республика;2009;1255.9;-2511.8;-1004.72
Пермский край;2009;2648.7;-10594.8;-7151.49
Кировская область;2009;1352.7;-12174.3;-5004.99
Нижегородская область ;2009;3326.8;-16634;4990.2
Оренбургская область;2009;2042;-2042;-1225.2
Пензенская область;2009;1392.4;-5569.6;1810.12
Самарская область;2009;3220.9;-644.18;9984.79
Саратовская область;2009;2535.4;-10141.6;1267.7
Ульяновская область;2009;1301.7;-6508.5;-1171.53
Уральский       федеральный округ;2009;12087.7;12087.7;2417.54
Курганская область;2009;918.6;-6430.2;-3674.4
Свердловская область ;2009;4308.5;-4308.5;861.7
Тюменская область;2009;3378.8;27030.4;4392.44
Ханты-Мансийский автономный округ – Югра;2009;1521.2;16733.2;3194.52
Ямало-Ненецкий автономный округ;2009;524.1;1048.2;-4140.39
Тюменская область без автономных округов;2009;1333.5;9334.5;5200.65
Челябинская область;2009;3481.8;-3481.8;1392.72
Сибирский        федеральный округ;2009;17208.3;1720.83;6883.32
Республика Алтай;2009;205.4;616.2;-1068.08
Республика Тыва;2009;307.3;2151.1;-2581.32
Республика Хакасия;2009;532.7;1065.4;53.27
Алтайский край;2009;2430.7;-7292.1;-3159.91
Красноярский край;2009;2832.9;254.961;-283.29
Иркутская область;2009;2440.4;-7321.2;-10981.8
Кемеровская область;2009;2773;-2773;3882.2
Новосибирская область ;2009;2661.6;13308;15703.44
Омская область;2009;1984;-3968;-1984
Томская область;2009;1040.3;8322.4;8426.43
Дальневосточный федеральный округ;2009;8398.4;-16796.8;-20996
Республика Бурятия;2009;969.7;2909.1;-1163.64
Республика Саха (Якутия);2009;958.3;287.49;-6324.78
Забайкальский край;2009;1109;-221.8;-2772.5
Камчатский край;2009;323.1;-1938.6;-2035.53
Приморский край;2009;1965.2;-3930.4;-393.04
Хабаровский край ;2009;1349.2;-1349.2;-404.76
Амурская область;2009;834.9;-4174.5;-2755.17
Магаданская область;2009;159;-1908;-1717.2
Сахалинская область;2009;501.3;-3509.1;-2406.24
Еврейская автономная область;2009;177.5;-710;-355
Чукотский автономный округ;2009;51.2;-921.6;-1003.52
Центральный федеральный округ;2010;38445.7;115337.1;284498.18
Белгородская область;2010;1532.4;612.96;5976.36
Брянская область;2010;1275.3;-11477.7;-3060.72
Владимирская область;2010;1441.1;-8646.6;1873.43
Воронежская область;2010;2334.8;-93.392;15876.64
Ивановская область;2010;1060.1;-7420.7;848.08
Калужская область;2010;1009.2;-6055.2;-201.84
Костромская область;2010;666.4;-6664;-2798.88
Курская область;2010;1125.7;-9005.6;-2026.26
Липецкая область;2010;1172;-4688;1758
Московская область;2010;7106.2;85274.4;114409.82
Орловская область;2010;785.6;-7856;-2513.92
Рязанская область;2010;1151.8;-10366.2;-806.26
Смоленская область;2010;982.9;-9829;-2260.67
Тамбовская область;2010;1089.7;-9807.3;-1089.7
Тверская область;2010;1350.1;-14851.1;-2700.2
Тульская область;2010;1550.3;-13952.7;930.18
Ярославская область;2010;1271;-8897;-1525.2
г. Москва;2010;11541.1;161575.4;162729.51
Северо-Западный  федеральный округ;2010;13625.8;27251.6;69491.58
Республика Карелия;2010;642.6;-5783.4;-3470.04
Республика Коми;2010;899.2;-12588.8;-12498.88
Архангельская область;2010;1224.9;-12249;-10044.18
Ненецкий автономный округ;2010;42.1;-12.63;-210.5
Архангельская область без автономного округа;2010;1182.8;-13010.8;-9817.24
Вологодская область;2010;1201.2;-7207.2;-2042.04
Калининградская область;2010;941.8;2825.4;5839.16
Ленинградская область;2010;1718.6;13748.8;25779
Мурманская область;2010;794.1;-5558.7;-5479.29
Новгородская область;2010;632.8;-6960.8;-1328.88
Псковская область;2010;671.3;-10740.8;-3356.5
г. Санкт-Петербург;2010;4899.3;68590.2;76919.01
Южный                 федеральный округ;2010;13851.3;-2770.26;29087.73
Республика Адыгея;2010;439.9;175.96;659.85
Республика Калмыкия;2010;288.9;-866.7;-2022.3
Республика Крым;2010;0;0;0
Краснодарский край;2010;5230;15690;23012
Астраханская область;2010;1009.8;-1009.8;-2019.6
Волгоградская область;2010;2607.5;-7822.5;2086
Ростовская область;2010;4275.2;-8550.4;6840.32
г. Севастополь;2010;0;0;0
Северо-Кавказский     федеральный округ;2010;9439;84951;3775.6
Республика Дагестан;2010;2914.2;46627.2;10491.12
Республика Ингушетия ;2010;414.5;2901.5;-6549.1
Кабардино-Балкарская Республика;2010;859.8;257.94;-4299
Карачаево-Черкесская Республика;2010;477.4;3819.2;2196.04
Республика Северная Осетия – Алания;2010;712.5;712.5;-1781.25
Чеченская Республика ;2010;1275.1;25502;-5610.44
Ставропольский край;2010;2785.5;8356.5;9470.7
Приволжский федеральный округ;2010;29879.8;-119519.2;-35855.76
Республика Башкортостан;2010;4072.1;4072.1;814.42
Республика Марий Эл;2010;695.5;-4173;-2156.05
Республика Мордовия;2010;833.3;-5833.1;-749.97
Республика Татарстан;2010;3787.5;3787.5;3787.5
Удмуртская Республика;2010;1520.4;-4561.2;-5321.4
Чувашская Республика;2010;1250.5;-5002;-3376.35
Пермский край;2010;2633.5;-15801;-12114.1
Кировская область;2010;1338.8;-13388;-7229.52
Нижегородская область ;2010;3307.6;-19845.6;3638.36
Оренбургская область;2010;2031.5;-10157.5;-9548.05
Пензенская область;2010;1384;-8304;-415.2
Самарская область;2010;3215.3;-6430.6;6109.07
Саратовская область;2010;2519.3;-15115.8;-3778.95
Ульяновская область;2010;1290.5;-11614.5;-4516.75
Уральский       федеральный округ;2010;12087;-1208.7;-14504.4
Курганская область;2010;908.8;-9996.8;-6906.88
Свердловская область ;2010;4297.3;-12891.9;-7305.41
Тюменская область;2010;3405.3;27242.4;2383.71
Ханты-Мансийский автономный округ – Югра;2010;1537.2;15372;1229.76
Ямало-Ненецкий автономный округ;2010;524.9;524.9;-4619.12
Тюменская область без автономных округов;2010;1343.2;9402.4;5775.76
Челябинская область;2010;3475.6;-6951.2;-2780.48
Сибирский        федеральный округ;2010;17174.2;-34348.4;-27478.72
Республика Алтай;2010;206.5;1239;-578.2
Республика Тыва;2010;308.1;924.3;-3882.06
Республика Хакасия;2010;532.3;-532.3;-1117.83
Алтайский край;2010;2417.3;-14503.8;-7977.09
