Субъект РФ;Год;Оборот розничной торговли (млн. руб.);Объем платных услуг населению (млн. руб.)
г. Севастополь;2006;0;0
Северо-Кавказский        федеральный округ;2006;314416.4;90209.906
Республика Дагестан;2006;108644.5;25333.3742
Республика Ингушетия;2006;4271.4;2367.3348
Кабардино-Балкарская Республика;2006;28400.7;7955.2639
Карачаево-Черкесская Республика;2006;15711.9;4102.6983
Республика Северная Осетия - Алания;2006;23093.8;9079.947
Чеченская Республика;2006;10397.7;0
Ставропольский край;2006;123896.4;41371.2878
Приволжский федеральный округ;2006;1516694.4;450482.8946
Республика Башкортостан;2006;239124;75724.8938
Республика Марий Эл;2006;20304.6;7071.5009
Республика Мордовия;2006;22466;7273.5108
Республика Татарстан;2006;213946.3;69612.2413
Удмуртская Республика;2006;50247;18712.6378
Чувашская Республика;2006;37212.5;15705.7866
Пермский край;2006;178030.6;46168.2162
Кировская область;2006;43929.9;16353.1452
Нижегородская область ;2006;177635.9;43904.5977
Оренбургская область;2006;69486.9;23135.1457
Пензенская область;2006;47514.4;16099.6017
Самарская область;2006;262912.2;66003.4805
Саратовская область;2006;99901.5;27937.2568
Ульяновская область;2006;53982.6;16780.8796
Уральский         федеральный округ;2006;866635.3;234292.7699
Курганская область;2006;39879.4;9146.0385
Свердловская область ;2006;303375.7;89763.8169
Тюменская область;2006;324693.8;83320.1563
в том числе:;2006;0;0
Ханты-Мансийский автономный округ - Югра;2006;172428.3;41444.1647
Ямало-Ненецкий автономный округ;2006;61973.3;16774.7776
Тюменская область  без автономных округов;2006;0;0
Челябинская область;2006;198686.4;52062.7582
Сибирский        федеральный округ;2006;1027581.1;267166.6736
Республика Алтай;2006;5165.1;1221.9734
Республика Тыва;2006;6742.1;1746.5411
Республика Хакасия;2006;16182.4;7010.0668
Алтайский край;2006;105612.1;27858.0443
Красноярский край;2006;162543.3;52731.9248
Иркутская область;2006;128017;35353.4134
Кемеровская область;2006;178978.9;35158.0753
Новосибирская область ;2006;176559.3;52440.2187
Омская область;2006;101514.1;30716.7391
Томская область;2006;56651.2;22929.6767
Дальневосточный федеральный округ;2006;353612.5;188037
Республика Бурятия;2006;42269.5;11421.2688
Республика Саха (Якутия);2006;63640.9;25657.8357
Забайкальский край;2006;47346.1;11634.7208
Камчатский край;2006;17620.9;8656.8304
Приморский край;2006;101577.9;44410.6967
Хабаровский край ;2006;74309.7;46240.8661
Амурская область;2006;35042.4;12660.4945
Магаданская область;2006;8338.1;5151.9907
Сахалинская область;2006;42580.4;18503.1173
Еврейская автономная область;2006;8125.9;2129.927
Чукотский автономный округ;2006;2376.3;1569.7493
Центральный федеральный округ;2007;3741955.4;1261986.83
Белгородская область;2007;84140.1;22574.644
Брянская область;2007;63372.3;20629.6526
Владимирская область;2007;62525.8;22616.922
Воронежская область;2007;116768.9;32511.9879
Ивановская область;2007;37975.5;14349.7721
Калужская область;2007;63534.8;17149.3262
Костромская область;2007;29328.2;8930.196
Курская область;2007;63264;18643.9285
Липецкая область;2007;68721.1;18142.7926
Московская область;2007;660751.4;167028.071
Орловская область;2007;38569.9;10023.6761
Рязанская область;2007;59147.7;16136.3136
Смоленская область;2007;58300.8;13936.7015
Тамбовская область;2007;62610.3;16256.9083
Тверская область;2007;80116.5;24958.0927
Тульская область;2007;84233.3;25272.3331
Ярославская область;2007;68314.4;28489.4894
г. Москва;2007;2040280.4;784336.0223
Северо-Западный федеральный округ;2007;1018518.4;379684.475
Республика Карелия;2007;41343;13187.0168
Республика Коми;2007;98184.2;24379.4493
Архангельская область;2007;77510.6;32227.2114
в том числе: ;2007;0;0
Ненецкий автономный округ;2007;3332.5;784.5636
Архангельская область без автономного округа;2007;0;0
Вологодская область;2007;57104.7;24580.7542
Калининградская область;2007;57660;19684.503
Ленинградская область;2007;100218.3;21534.5366
Мурманская область;2007;65164.5;31579.6079
Новгородская область;2007;34403;11759.4761
Псковская область;2007;39002.1;10685.5304
г. Санкт-Петербург;2007;447928;190066.3893
Южный             федеральный округ;2007;923999.1;268011.8644
Республика Адыгея;2007;16370.9;4023.7024
Республика Калмыкия;2007;6125.2;2120.4745
Республика Крым;2007;0;0
Краснодарский край;2007;378338.4;115688.8614
Астраханская область;2007;55955.5;15361.0503
Волгоградская область;2007;147708.2;57988.0192
Ростовская область;2007;319500.9;72829.7566
г. Севастополь;2007;0;0
Северо-Кавказский        федеральный округ;2007;408598.6;119267.2397
Республика Дагестан;2007;146647.8;33773.7326
Республика Ингушетия;2007;5092.7;5509.6837
Кабардино-Балкарская Республика;2007;35549;8984.4699
Карачаево-Черкесская Республика;2007;18044.6;4704.7709
Республика Северная Осетия - Алания;2007;28836.1;10672.4748
Чеченская Республика;2007;15715.1;5260.1733
Ставропольский край;2007;158713.3;50361.9345
Приволжский федеральный округ;2007;1949291.9;566439.4403
Республика Башкортостан;2007;323420.5;96393.1839
Республика Марий Эл;2007;26329.5;8920.2606
Республика Мордовия;2007;29178.8;8973.8813
Республика Татарстан;2007;276459.2;93325.7718
Удмуртская Республика;2007;65900.4;22827.8896
Чувашская Республика;2007;48352.4;19586.4108
Пермский край;2007;220406.7;56287.0185
Кировская область;2007;57626.6;21370.4087
Нижегородская область ;2007;232306.1;53392.5485
Оренбургская область;2007;90265.5;30122.3538
Пензенская область;2007;73789;19517.7543
Самарская область;2007;312218.8;81728.1474
Саратовская область;2007;121826.5;33749.6945
Ульяновская область;2007;71211.9;20244.1166
Уральский         федеральный округ;2007;1128828.6;288161.0616
Курганская область;2007;54618.3;11825.4769
Свердловская область ;2007;401294.2;109753.5741
Тюменская область;2007;421225;101898.2906
в том числе:;2007;0;0
Ханты-Мансийский автономный округ - Югра;2007;223984.2;49868.5495
Ямало-Ненецкий автономный округ;2007;78193.8;20459.4405
Тюменская область  без автономных округов;2007;0;0
Челябинская область;2007;251691.1;64683.72
Сибирский        федеральный округ;2007;1275824;318093.0587
Республика Алтай;2007;7302.7;1531.3671
Республика Тыва;2007;7947.7;2207.2525
Республика Хакасия;2007;21313;8496.0193
Алтайский край;2007;132859.9;34530.1651
Красноярский край;2007;213665.2;63015.5394
Иркутская область;2007;151289.1;43338.1021
Кемеровская область;2007;223710.2;44092.0432
Новосибирская область ;2007;213552.2;55348.1113
Омская область;2007;128358.7;37733.8187
Томская область;2007;64377.9;27800.64
Дальневосточный федеральный округ;2007;421960.4;223087
Республика Бурятия;2007;54454.5;13642.5457
Республика Саха (Якутия);2007;74069;30621.0323
Забайкальский край;2007;56992.9;14064.8759
Камчатский край;2007;21616.3;10658.7578
Приморский край;2007;120837.8;52126.0419
Хабаровский край ;2007;91404.3;53844.4333
Амурская область;2007;41872;14333.0546
Магаданская область;2007;9876.7;6178.4887
Сахалинская область;2007;50352.4;23358.0804
Еврейская автономная область;2007;9181.1;2648.1858
Чукотский автономный округ;2007;2750.8;1611.3008
Центральный федеральный округ;2008;4662364.5;1460330.141
Белгородская область;2008;113627.5;30665.6693
Брянская область;2008;84392.2;24723.0718
Владимирская область;2008;83270;27065.9468
Воронежская область;2008;166557.7;39737.2938
Ивановская область;2008;57854.7;16815.327
Калужская область;2008;80730.8;20961.4601
Костромская область;2008;38142.3;10066.5801
Курская область;2008;79795.4;23828.1855
Липецкая область;2008;93375.1;22246.3513
Московская область;2008;887416.5;201490.8466
Орловская область;2008;52705.2;11527.6738
Рязанская область;2008;82794.3;19362.3627
Смоленская область;2008;77283.5;16237.7496
Тамбовская область;2008;85132.1;21579.0463
Тверская область;2008;103869.4;28600.1916
Тульская область;2008;118105.8;30845.8526
Ярославская область;2008;91729.5;27359.2916
г. Москва;2008;2365582.5;887217.2408
Северо-Западный федеральный округ;2008;1302864.1;451998.049
Республика Карелия;2008;50774.5;13993.7214
Республика Коми;2008;114568.1;28728.1557
Архангельская область;2008;100122.1;39264.7785
в том числе: ;2008;0;0
Ненецкий автономный округ;2008;3945.9;1121.6703
Архангельская область без автономного округа;2008;0;0
Вологодская область;2008;70845.4;29267.5835
Калининградская область;2008;76298.8;23914.9156
Ленинградская область;2008;130852;25616.0804
Мурманская область;2008;84266.3;35382.6618
Новгородская область;2008;48129.5;14310.3854
Псковская область;2008;50929.2;12708.9492
г. Санкт-Петербург;2008;576078.1;228810.8175
Южный             федеральный округ;2008;1220890.9;323293
Республика Адыгея;2008;25645;5254.1947
Республика Калмыкия;2008;7368.1;2611.3757
Республика Крым;2008;0;0
Краснодарский край;2008;500692.6;137867.6555
Астраханская область;2008;77665.4;18457.273
Волгоградская область;2008;186093.6;70985.1691
Ростовская область;2008;423426.2;88117.5827
г. Севастополь;2008;0;0
Северо-Кавказский        федеральный округ;2008;566002.4;142967
Республика Дагестан;2008;217344;43799.9954
Республика Ингушетия;2008;6606.3;6082.4293
Кабардино-Балкарская Республика;2008;47968.1;10795.1652
Карачаево-Черкесская Республика;2008;22575.1;6061.6062
Республика Северная Осетия - Алания;2008;38611.1;12517.3384
Чеченская Республика;2008;29340.8;6536.019
Ставропольский край;2008;203557;57174.6066
Приволжский федеральный округ;2008;2556441.1;705655.5735
Республика Башкортостан;2008;428899.6;127399.4378
Республика Марий Эл;2008;36189.2;10899.2567
Республика Мордовия;2008;39519.6;11018.6625
Республика Татарстан;2008;369299.3;118482.3272
Удмуртская Республика;2008;92480.8;26999.4502
Чувашская Республика;2008;67727.2;23699.3384
Пермский край;2008;278260.4;68629.3428
Кировская область;2008;78138.5;26691.6625
Нижегородская область ;2008;314054;67499.6904
Оренбургская область;2008;125959.2;40151.4878
Пензенская область;2008;94078.6;23626.7632
Самарская область;2008;387216.7;95585.0694
Саратовская область;2008;159113.5;40773.9957
Ульяновская область;2008;85504.5;24199.0889
Уральский         федеральный округ;2008;1494728.4;348411.7874
Курганская область;2008;73300.5;14851.4104
Свердловская область ;2008;527212;134881.3974
Тюменская область;2008;553251.8;122475.0577
в том числе:;2008;0;0
Ханты-Мансийский автономный округ - Югра;2008;288415.5;58697.206
Ямало-Ненецкий автономный округ;2008;100301.8;24643.1863
Тюменская область  без автономных округов;2008;0;0
Челябинская область;2008;340964.1;76203.9219
Сибирский        федеральный округ;2008;1616255;378958.8079
Республика Алтай;2008;10556.5;1971.9188
Республика Тыва;2008;9348;2693.7931
Республика Хакасия;2008;27587.3;9844.4479
Алтайский край;2008;171986.3;43656.8656
Красноярский край;2008;276011.9;72936.3121
Иркутская область;2008;192059.1;51016.8252
Кемеровская область;2008;273833.6;54053.6057
Новосибирская область ;2008;271532.9;66867.6905
Омская область;2008;164345.3;44037.291
Томская область;2008;75370.4;31880.058
Дальневосточный федеральный округ;2008;524636.7;267988
Республика Бурятия;2008;68253.8;16898.8083
Республика Саха (Якутия);2008;87843.1;35915.6866
Забайкальский край;2008;75369.9;17138.0119
Камчатский край;2008;26599.9;12296.5433
Приморский край;2008;150010.4;63783.0573
Хабаровский край ;2008;110977.3;62887.7636
Амурская область;2008;53929.1;17782.9752
Магаданская область;2008;11390;7944.2859
Сахалинская область;2008;68244.4;28259.1796
Еврейская автономная область;2008;11349.1;3271.815
Чукотский автономный округ;2008;4293.4;1810.1878
Центральный федеральный округ;2009;4939335.1;1583097.988
Белгородская область;2009;125594.4;37793.1121
Брянская область;2009;93790.2;26946.2779
Владимирская область;2009;88192.8;33495.4621
Воронежская область;2009;184945.7;48502.8977
Ивановская область;2009;59158.9;19680.8431
Калужская область;2009;85169.1;24134.8815
Костромская область;2009;40342.9;11102.0871
Курская область;2009;86939.2;26153.2756
Липецкая область;2009;104424.6;26091.1143
Московская область;2009;893868.2;223657.3876
Орловская область;2009;53636.2;14615.8874
Рязанская область;2009;88621.7;22363.7684
Смоленская область;2009;85314.5;17257.8619
Тамбовская область;2009;89859.4;24337.4155
Тверская область;2009;111367.7;30461.8924
Тульская область;2009;127336;34931.4559
Ярославская область;2009;93207.2;31183.6072
г. Москва;2009;2527566.4;930388.7604
Северо-Западный федеральный округ;2009;1365171.8;493287.4304
Республика Карелия;2009;53440.3;15726.4242
Республика Коми;2009;101078.2;32129.1551
Архангельская область;2009;108994.8;44018.5398
в том числе: ;2009;0;0
Ненецкий автономный округ;2009;4453.3;1634.3508
Архангельская область без автономного округа;2009;0;0
Вологодская область;2009;69621.4;31681.4279
Калининградская область;2009;85951.3;26736.2445
Ленинградская область;2009;141313.1;31178.2405
Мурманская область;2009;92058.3;39199.7534
Новгородская область;2009;54284.1;16487.6029
Псковская область;2009;52739.8;14763.2025
г. Санкт-Петербург;2009;605690.5;241366.8396
Южный             федеральный округ;2009;1274546.2;371893.0059
Республика Адыгея;2009;31445.1;6016.5632
Республика Калмыкия;2009;8487.9;2829.6611
Республика Крым;2009;0;0
Краснодарский край;2009;552354;161786.8114
Астраханская область;2009;83906;21710.0044
Волгоградская область;2009;201676.1;82645.8595
Ростовская область;2009;396677.1;96904.1063
г. Севастополь;2009;0;0
Северо-Кавказский        федеральный округ;2009;680740.5;167800.0688
Республика Дагестан;2009;275129.4;53466.7374
Республика Ингушетия;2009;7240.7;6708.9429
Кабардино-Балкарская Республика;2009;54901.4;12727.1359
Карачаево-Черкесская Республика;2009;25306.3;6801.8788
Республика Северная Осетия - Алания;2009;44690.5;14549.3697
Чеченская Республика;2009;44512.4;8411.6388
Ставропольский край;2009;228959.8;65134.3653
Приволжский федеральный округ;2009;2666624.8;797767.6297
Республика Башкортостан;2009;458949.2;143225.0142
Республика Марий Эл;2009;39924.8;12772.9194
Республика Мордовия;2009;44112.4;13261.8176
Республика Татарстан;2009;393903.6;132938.5001
Удмуртская Республика;2009;98100.7;29398.0669
Чувашская Республика;2009;72596.3;25952.9539
Пермский край;2009;290195.9;78573.6074
Кировская область;2009;79403.3;30403.6242
Нижегородская область ;2009;310266.6;78817.3882
Оренбургская область;2009;136473.4;47419.4042
Пензенская область;2009;102888.8;26375.245
Самарская область;2009;388483.9;106470.2767
Саратовская область;2009;163530.6;45949.3791
Ульяновская область;2009;87795.3;26209.4328
Уральский         федеральный округ;2009;1480465.5;382683.0006
Курганская область;2009;68309.3;18282.6979
Свердловская область ;2009;553186;154651.9067
Тюменская область;2009;510666.4;134943.1298
в том числе:;2009;0;0
Ханты-Мансийский автономный округ - Югра;2009;259453.2;62624.4996
Ямало-Ненецкий автономный округ;2009;88526.7;27815.5666
Тюменская область  без автономных округов;2009;0;0
Челябинская область;2009;348303.8;74805.2662
Сибирский        федеральный округ;2009;1598045.9;403004.9749
Республика Алтай;2009;10896.1;2347.4437
Республика Тыва;2009;10244;3088.0984
Республика Хакасия;2009;31743.7;10757.7921
Алтайский край;2009;159003.2;47317.3772
Красноярский край;2009;279179.1;77674.6796
Иркутская область;2009;191358.8;54877.6373
Кемеровская область;2009;234237.1;57872.8055
Новосибирская область ;2009;278436.8;67534.8836
Омская область;2009;167764.2;48447.182
Томская область;2009;75654.3;33087.0755
Дальневосточный федеральный округ;2009;594223.3;304921
Республика Бурятия;2009;75365.9;19082.1127
Республика Саха (Якутия);2009;100238.8;40787.7171
Забайкальский край;2009;84162.7;19754.3034
Камчатский край;2009;30602.9;14846.0858
Приморский край;2009;164582;71069.3484
Хабаровский край ;2009;128533.2;71314.5497
Амурская область;2009;59490.8;19900.6575
Магаданская область;2009;13197.6;9568.9078
Сахалинская область;2009;79158.4;32389.9391
Еврейская автономная область;2009;13423.1;3873.8854
Чукотский автономный округ;2009;4996.5;2333.2978
Центральный федеральный округ;2010;5644616.2;1701292.695
Белгородская область;2010;143302;44436.6871
Брянская область;2010;110850.2;30110.9576
Владимирская область;2010;101592.6;38779.6785
Воронежская область;2010;215519.2;59386.2323
Ивановская область;2010;71001.2;23031.8588
Калужская область;2010;98856.7;27030.4246
Костромская область;2010;49162.3;14584.0762
Курская область;2010;97694.9;28788.8136
Липецкая область;2010;117750.3;30928.3205
Московская область;2010;1016779.7;258156.1147
Орловская область;2010;62813.4;16888.3635
Рязанская область;2010;97030.4;27072.5316
Смоленская область;2010;98023.1;19828.3677
Тамбовская область;2010;98311.1;26893.7449
Тверская область;2010;126770.2;30556.1702
Тульская область;2010;151330.7;38616.1413
Ярославская область;2010;105411.2;32218.6445
г. Москва;2010;2882416.9;953985.5671
Северо-Западный федеральный округ;2010;1544705.1;555961.1383
Республика Карелия;2010;60033.4;18319.7899
Республика Коми;2010;110493.9;34825.8506
Архангельская область;2010;122992.9;46663.6532
в том числе: ;2010;0;0
Ненецкий автономный округ;2010;4929.5;1641.4231
Архангельская область без автономного округа;2010;0;0
Вологодская область;2010;85456.3;34792.5666
Калининградская область;2010;90573.2;29768.8719
Ленинградская область;2010;169587.4;36702.3817
Мурманская область;2010;102865;37794.6694
Новгородская область;2010;59787.4;19425.714
Псковская область;2010;57864.7;16329.8475
г. Санкт-Петербург;2010;685050.9;281337.7935
Южный             федеральный округ;2010;1482637.9;415198.7649
Республика Адыгея;2010;36620.7;6280.5478
Республика Калмыкия;2010;9817.2;3110.8219
Республика Крым;2010;0;0
Краснодарский край;2010;646284.1;186095.1396
Астраханская область;2010;100303.2;24509.5578
Волгоградская область;2010;225497.1;85380.2812
Ростовская область;2010;464115.5;109822.4166
г. Севастополь;2010;0;0
Северо-Кавказский        федеральный округ;2010;800289;192535.8188
Республика Дагестан;2010;317207.3;60775.8312
Республика Ингушетия;2010;8316.8;7480.8725
Кабардино-Балкарская Республика;2010;62861;14925.1821
Карачаево-Черкесская Республика;2010;27645;8451.7183
Республика Северная Осетия - Алания;2010;54371.5;16358.5244
Чеченская Республика;2010;55527.2;10555.5408
Ставропольский край;2010;274360.2;73988.1495
Приволжский федеральный округ;2010;3002552.6;878027.2494
Республика Башкортостан;2010;512128.9;143714.3929
Республика Марий Эл;2010;43625.7;14150.0976
Республика Мордовия;2010;48409.5;15662.5337
Республика Татарстан;2010;454393.5;154128.4179
Удмуртская Республика;2010;116834.2;33773.8176
Чувашская Республика;2010;82239.5;28157.7667
Пермский край;2010;316149.3;90667.6006
Кировская область;2010;95621.5;31849.3123
Нижегородская область ;2010;350747.5;88733.4602
Оренбургская область;2010;157681.8;52166.8185
Пензенская область;2010;113519.2;28951.2762
Самарская область;2010;423533.6;112061.3327
Саратовская область;2010;183984.1;53773.9278
Ульяновская область;2010;103684.2;30236.4947
Уральский         федеральный округ;2010;1611277.5;415871.4451
Курганская область;2010;72494.6;18757.3406
Свердловская область ;2010;646015.8;175515.1515
Тюменская область;2010;519347.3;139294.8393
в том числе:;2010;0;0
Ханты-Мансийский автономный округ - Югра;2010;253891.6;65275.6296
Ямало-Ненецкий автономный округ;2010;87533.5;29928.6358
Тюменская область  без автономных округов;2010;0;0
Челябинская область;2010;373419.8;82304.1137
Сибирский        федеральный округ;2010;1768915;440555.5976
Республика Алтай;2010;12097.6;2650.0819
Республика Тыва;2010;11851.3;3602.4833
Республика Хакасия;2010;36881.6;11595.0147
Алтайский край;2010;180376.9;50944.2268
Красноярский край;2010;312290.6;87785.158
Иркутская область;2010;197271.8;63253.4816
Кемеровская область;2010;258977.1;59869.5231
Новосибирская область ;2010;311987.1;76491.7703
Омская область;2010;185228.6;53534.3963
Томская область;2010;82485.3;30829.4616
Дальневосточный федеральный округ;2010;657053.7;344039
Республика Бурятия;2010;85436.4;20723.4535
Республика Саха (Якутия);2010;109117.9;46736.1772
Забайкальский край;2010;94030.6;22605.4517
Камчатский край;2010;33640.3;16646.4854
Приморский край;2010;177504.5;81418.8695
Хабаровский край ;2010;144975.1;80300.183
Амурская область;2010;66934.6;24749.6038
Магаданская область;2010;14742.8;9558.5702
Сахалинская область;2010;89488.1;34170.9051
Еврейская автономная область;2010;14897.3;4464.5191
Чукотский автономный округ;2010;5753.1;2665.2163
Центральный федеральный округ;2011;6594385.7;1872211.487
Белгородская область;2011;166558.3;49775.6812
Брянская область;2011;135800.9;34124.8574
Владимирская область;2011;122486.5;43514.457
Воронежская область;2011;264358.7;68501.8351
Ивановская область;2011;90945.1;26236.32
Калужская область;2011;119066.3;30236.682
Костромская область;2011;57601;16523.5746
Курская область;2011;115979.1;31262.8359
Липецкая область;2011;138576.7;35229.2917
Московская область;2011;1207783;285878.8098
Орловская область;2011;73854.8;20060.5188
Рязанская область;2011;112883;30230.4703
Смоленская область;2011;109596.2;22550.9812
Тамбовская область;2011;115034.6;29933.3823
Тверская область;2011;142301.7;33783.9976
Тульская область;2011;171442;45055.6538
Ярославская область;2011;128070.7;35406.3212
г. Москва;2011;3322047;1033905.817
Северо-Западный федеральный округ;2011;1743422;621213.9188
Республика Карелия;2011;69919.6;20254.6979
Республика Коми;2011;126605.2;38124.0285
Архангельская область;2011;144731.4;52494.9201
в том числе: ;2011;0;0
Ненецкий автономный округ;2011;5627.6;1739.9597
Архангельская область без автономного округа;2011;0;0
Вологодская область;2011;100024.3;39310.0867
Калининградская область;2011;100894.9;31657.7344
Ленинградская область;2011;209684.5;41773.9753
Мурманская область;2011;112750.3;40237.2655
Новгородская область;2011;67745.7;22768.6338
Псковская область;2011;68961.7;18284.6352
г. Санкт-Петербург;2011;742104.4;316307.9414
Южный             федеральный округ;2011;1702429;469853.7323
Республика Адыгея;2011;44977;7372.6293
Республика Калмыкия;2011;12361.7;3455.027
Республика Крым;2011;0;0
Краснодарский край;2011;731407.6;214282.2646
Астраханская область;2011;116786.2;26858.1009
Волгоградская область;2011;254394.2;95779.5262
Ростовская область;2011;542502.3;122106.1843
г. Севастополь;2011;0;0
Северо-Кавказский        федеральный округ;2011;948448;220309.137
Республика Дагестан;2011;358216.4;66957.0971
Республика Ингушетия;2011;13273.7;8125.8096
Кабардино-Балкарская Республика;2011;73110.7;17368.1411
Карачаево-Черкесская Республика;2011;31035.8;9285.5185
Республика Северная Осетия - Алания;2011;67363.4;19129.3648
Чеченская Республика;2011;73082.9;14158.4571
Ставропольский край;2011;332365.1;85284.7488
Приволжский федеральный округ;2011;3469159.6;988903.9165
Республика Башкортостан;2011;577987.3;160603.7881
Республика Марий Эл;2011;50282.8;15816.6763
Республика Мордовия;2011;52995.1;17408.3548
Республика Татарстан;2011;534877.3;176247.2352
Удмуртская Республика;2011;140015.1;37297.7404
Чувашская Республика;2011;97045.1;31560.3391
Пермский край;2011;365875.8;102886.5079
Кировская область;2011;116617.4;35678.2427
Нижегородская область ;2011;421498.7;100009.876
Оренбургская область;2011;187098.8;58717.0851
Пензенская область;2011;131017.3;31467.8676
Самарская область;2011;463930.4;121925.7189
Саратовская область;2011;214476;65077.8162
Ульяновская область;2011;115442.5;34206.6682
Уральский         федеральный округ;2011;1840346.2;481804.1941
Курганская область;2011;80001.5;22191.8958
Свердловская область ;2011;764558.3;199656.3275
Тюменская область;2011;574436.3;154093.02
в том числе:;2011;0;0
Ханты-Мансийский автономный округ - Югра;2011;271930.8;73073.314
Ямало-Ненецкий автономный округ;2011;98810.6;31174.3928
Тюменская область  без автономных округов;2011;0;0
Челябинская область;2011;421350.1;105862.9508
Сибирский        федеральный округ;2011;2064138.2;490098.464
Республика Алтай;2011;14312;2955.8638
Республика Тыва;2011;13741.6;4063.0806
Республика Хакасия;2011;46034;13116.6799
Алтайский край;2011;218077.2;56760.3068
Красноярский край;2011;361606.8;96364.8582
Иркутская область;2011;225845.8;68371.5004
Кемеровская область;2011;287279.5;67564.9743
Новосибирская область ;2011;368292.5;88927.6978
Омская область;2011;228594.6;59984.5841
Томская область;2011;93050.3;31988.9181
Дальневосточный федеральный округ;2011;742007.8;396259
Республика Бурятия;2011;100937.9;24130.3162
Республика Саха (Якутия);2011;119573.3;52010.9611
Забайкальский край;2011;106366;26635.0321
Камчатский край;2011;37669.6;19411.77
Приморский край;2011;195798.3;96370.9139
Хабаровский край ;2011;167132.3;90355.5055
Амурская область;2011;86004.3;29038.5834
Магаданская область;2011;17002.4;10927.7029
Сахалинская область;2011;97388.9;39275.7687
Еврейская автономная область;2011;15456.2;5180.3385
Чукотский автономный округ;2011;5982.5;2922.3386
Центральный федеральный округ;2012;7287582.4;2017121.985
Белгородская область;2012;199861.1;53115.2387
Брянская область;2012;152515.5;36157.3117
Владимирская область;2012;148174;49433.2765
Воронежская область;2012;324310;77444.688
Ивановская область;2012;115478.3;28351.1709
Калужская область;2012;134021.6;33168.278
Костромская область;2012;63254.5;18079.169
Курская область;2012;131875.5;34416.1214
Липецкая область;2012;156042.8;39463.788
Московская область;2012;1259362.1;305363.4764
Орловская область;2012;82138;22341.5083
Рязанская область;2012;129543.5;32290.7379
Смоленская область;2012;120555.9;24019.6759
Тамбовская область;2012;132277.1;33599.2046
Тверская область;2012;161705;37402.0765
Тульская область;2012;191664.4;49519.7555
Ярославская область;2012;145088;37998.1493
г. Москва;2012;3639715.1;1104958.358
Северо-Западный федеральный округ;2012;1967542.2;675510.9424
Республика Карелия;2012;78438.8;22655.5914
Республика Коми;2012;137899;40448.7764
Архангельская область;2012;163823.6;57538.5478
в том числе: ;2012;0;0
Ненецкий автономный округ;2012;6197.9;2101.5229
Архангельская область без автономного округа;2012;0;0
Вологодская область;2012;125682.7;41259.4839
Калининградская область;2012;109321.2;34252.497
Ленинградская область;2012;230530.4;46799.983
Мурманская область;2012;123492.1;43145.1882
Новгородская область;2012;76986.2;26212.7924
Псковская область;2012;76608.8;19429.1755
г. Санкт-Петербург;2012;844759.4;343768.9068
Южный             федеральный округ;2012;1919622.3;523099.6549
Республика Адыгея;2012;57368.1;8451.2506
Республика Калмыкия;2012;14591.8;3875.233
Республика Крым;2012;0;0
Краснодарский край;2012;816298;241536.0152
Астраханская область;2012;132989.6;29077.464
Волгоградская область;2012;279235.1;107892.6113
Ростовская область;2012;619139.6;132267.0808
г. Севастополь;2012;0;0
Северо-Кавказский        федеральный округ;2012;1091748.5;243396.1627
Республика Дагестан;2012;399189.5;73655.353
Республика Ингушетия;2012;14409.6;8835.9244
Кабардино-Балкарская Республика;2012;80549.5;18972.6782
Карачаево-Черкесская Республика;2012;33589.1;10174.6717
Республика Северная Осетия - Алания;2012;76490;20459.2082
Чеченская Республика;2012;90925;14449.076
Ставропольский край;2012;396595.8;96849.2512
Приволжский федеральный округ;2012;3913676;1075486.021
Республика Башкортостан;2012;633942.7;178963.5162
Республика Марий Эл;2012;56068.3;17154.8403
Республика Мордовия;2012;57692.6;18979.9255
Республика Татарстан;2012;650696.8;191119.6344
Удмуртская Республика;2012;156931.6;40843.0023
Чувашская Республика;2012;108746.6;34349.9006
Пермский край;2012;401727.1;112432.2106
Кировская область;2012;131278.2;38212.1479
Нижегородская область ;2012;482677;112624.2918
Оренбургская область;2012;214089.8;64752.9161
Пензенская область;2012;141099.8;34476.7232
Самарская область;2012;502042.2;125341.0394
Саратовская область;2012;243937.4;68355.9084
Ульяновская область;2012;132745.9;37879.9645
Уральский         федеральный округ;2012;2065036.3;518674.4743
Курганская область;2012;87381.2;23465.8595
Свердловская область ;2012;858801.4;214996.3807
Тюменская область;2012;653156.9;167741.2929
в том числе:;2012;0;0
Ханты-Мансийский автономный округ - Югра;2012;303132.9;77161.3921
Ямало-Ненецкий автономный округ;2012;108558.7;33100.7562
Тюменская область  без автономных округов;2012;0;0
Челябинская область;2012;465696.8;112470.9412
Сибирский        федеральный округ;2012;2330901.3;541122.4374
Республика Алтай;2012;15825.9;3266.0068
Республика Тыва;2012;15169.4;4549.1827
Республика Хакасия;2012;56540.9;14006.0814
Алтайский край;2012;254124.7;60409.2396
Красноярский край;2012;423839.8;106583.6273
Иркутская область;2012;249988.4;74599.9542
Кемеровская область;2012;317748.2;76632.314
Новосибирская область ;2012;398830.9;102133.8723
Омская область;2012;263914.9;64509.9692
Томская область;2012;105186.2;34432.1899
Дальневосточный федеральный округ;2012;818417.2;442427
Республика Бурятия;2012;113573.1;27054.5623
Республика Саха (Якутия);2012;129122.9;55106.992
Забайкальский край;2012;116158.9;30488.4262
Камчатский край;2012;40237.4;21759.8526
Приморский край;2012;214571.2;114686.31
Хабаровский край ;2012;184692.2;98033.5284
