Субъект РФ;Год;Оборот розничной торговли (млн. руб.);Объем платных услуг населению (млн. руб.)
Мурманская область;2001;25000.26;6269.4924
Новгородская область;2001;11447.9;2582.1682
Псковская область;2001;10799.356;2205.3751
г. Санкт-Петербург;2001;112329.963;42331.0879
Южный             федеральный округ;2001;224302.2519;59961.65
Республика Адыгея;2001;5172;978.8995
Республика Калмыкия;2001;2069.1855;412.7316
Республика Крым;2001;0;0
Краснодарский край;2001;82885.653;26895.824
Астраханская область;2001;14370.56;3917.5693
Волгоградская область;2001;39185.45;10809.4543
Ростовская область;2001;80619.4034;16947.1713
г. Севастополь;2001;0;0
Северо-Кавказский        федеральный округ;2001;80493.2908;24950.1613
Республика Дагестан;2001;17634.182;3537.7793
Республика Ингушетия;2001;2439.5191;409.1618
Кабардино-Балкарская Республика;2001;8877.696;2587.623
Карачаево-Черкесская Республика;2001;4061.4427;924.6146
Республика Северная Осетия - Алания;2001;8019.28;3385.3236
Чеченская Республика;2001;0;0
Ставропольский край;2001;39461.171;14011.329
Приволжский федеральный округ;2001;502357.5094;118470.9306
Республика Башкортостан;2001;65662.808;18276.3464
Республика Марий Эл;2001;6269.388;1761.6785
Республика Мордовия;2001;8088.402;2149.8898
Республика Татарстан;2001;61218.44;13072.0854
Удмуртская Республика;2001;18967.9998;5456.2058
Чувашская Республика;2001;13337.927;4343.3407
Пермский край;2001;54224.863;13965.7329
Кировская область;2001;16800.233;5278.2306
Нижегородская область ;2001;57512.706;12221.1515
Оренбургская область;2001;21841.6;7051.6756
Пензенская область;2001;17090.0746;4440.5649
Самарская область;2001;107058.97;16689.4822
Саратовская область;2001;36729.021;8560.7461
Ульяновская область;2001;17555.077;5203.8002
Уральский         федеральный округ;2001;231655.1894;65895.0251
Курганская область;2001;11329.375;2626.9946
Свердловская область ;2001;80787.331;25856.3135
Тюменская область;2001;86579.718;23000.5065
в том числе:;2001;0;0
Ханты-Мансийский автономный округ - Югра;2001;41555.258;11988.6716
Ямало-Ненецкий автономный округ;2001;17386.755;4069.0176
Тюменская область  без автономных округов;2001;0;0
Челябинская область;2001;52958.7654;14411.2105
Сибирский        федеральный округ;2001;339770.5254;79174.8526
Республика Алтай;2001;1779.4401;273.831
Республика Тыва;2001;2306.387;480.1509
Республика Хакасия;2001;6950.8815;2842.9761
Алтайский край;2001;32310.853;7121.0449
Красноярский край;2001;63365.312;15626.8277
Иркутская область;2001;50246.802;10811.4853
Кемеровская область;2001;54818.283;11270.1635
Новосибирская область ;2001;52248.18;16585.0506
Омская область;2001;30663.8;8214.8098
Томская область;2001;16227.037;5948.5128
Дальневосточный федеральный округ;2001;125401.6858;54914
Республика Бурятия;2001;14546.4028;2500.4726
Республика Саха (Якутия);2001;24380.426;7113.806
Забайкальский край;2001;14307.147;2945.7323
Камчатский край;2001;8486.769;3439.1564
Приморский край;2001;33837.8046;14514.3131
Хабаровский край ;2001;25795.053;14806.3702
Амурская область;2001;13562.004;2845.7963
Магаданская область;2001;3754.765;1820.9116
Сахалинская область;2001;11817.1928;4025.3999
Еврейская автономная область;2001;2519.44;526.4548
Чукотский автономный округ;2001;1248.2314;375.2396
Центральный федеральный округ;2002;1520700.977;431565.1111
Белгородская область;2002;24713.121;5903.8763
Брянская область;2002;19796.075;6504.8669
Владимирская область;2002;16801.19;5679.1208
Воронежская область;2002;43512.3297;10171.1401
Ивановская область;2002;12052.883;4498.2265
Калужская область;2002;17598.626;4661.1038
Костромская область;2002;10430.2081;2471.1996
Курская область;2002;18699.562;4225.3217
