Субъект РФ;Год;Продукция сельского хозяйства (млн. руб.)
Тюменская область  без автономных округов;2008;37585.1
Челябинская область;2008;61001.6
Сибирский        федеральный округ;2008;308986.4
Республика Алтай;2008;4831.1
Республика Тыва;2008;3897.9
Республика Хакасия;2008;6049.6
Алтайский край;2008;66992.4
Красноярский край;2008;53634.4
Иркутская область;2008;29996.7
Кемеровская область;2008;31905.7
Новосибирская область ;2008;43121.8
Омская область;2008;52795.8
Томская область;2008;15761
Дальневосточный федеральный округ;2008;90760.2
Республика Бурятия;2008;10187.8
Республика Саха (Якутия);2008;15024.7
Забайкальский край;2008;11960.7
Камчатский край;2008;2978.9
Приморский край;2008;15368.3
Хабаровский край ;2008;9655.8
Амурская область;2008;14496.1
Магаданская область;2008;1240
Сахалинская область;2008;5052
Еврейская автономная область;2008;4299.3
Чукотский автономный округ;2008;496.6
Центральный федеральный округ;2009;543707
Белгородская область;2009;88939.6
Брянская область;2009;22820.4
Владимирская область;2009;18385.6
Воронежская область;2009;73248.8
Ивановская область;2009;9117.3
Калужская область;2009;19709.6
Костромская область;2009;11382.8
Курская область;2009;39786.3
Липецкая область;2009;36932
Московская область;2009;66585.4
Орловская область;2009;24262.2
Рязанская область;2009;26351.3
Смоленская область;2009;12345.4
Тамбовская область;2009;34644.4
Тверская область;2009;16234.8
Тульская область;2009;26608.1
Ярославская область;2009;16353
г. Москва;2009;0
Северо-Западный федеральный округ;2009;113584.8
Республика Карелия;2009;3634
Республика Коми;2009;6007.9
Архангельская область;2009;8676.1
в том числе: ;2009;0
Ненецкий автономный округ;2009;549
Архангельская область без автономного округа;2009;8126.6
Вологодская область;2009;18184.2
Калининградская область;2009;15171.3
Ленинградская область;2009;41232.6
Мурманская область;2009;2532.4
Новгородская область;2009;9024
Псковская область;2009;9122.3
г. Санкт-Петербург;2009;0
Южный             федеральный округ;2009;355023.4
Республика Адыгея;2009;10475.1
Республика Калмыкия;2009;10274.2
Республика Крым;2009;0
Краснодарский край;2009;158684.9
Астраханская область;2009;18103.6
Волгоградская область;2009;62337.3
Ростовская область;2009;95148.3
г. Севастополь;2009;0
Северо-Кавказский        федеральный округ;2009;171354.3
Республика Дагестан;2009;43800.1
Республика Ингушетия;2009;2926.3
Кабардино-Балкарская Республика;2009;20116.9
Карачаево-Черкесская Республика;2009;13591.2
Республика Северная Осетия - Алания;2009;14373.1
Чеченская Республика;2009;10389.5
Ставропольский край;2009;66157.2
Приволжский федеральный округ;2009;605167.8
Республика Башкортостан;2009;100724.5
Республика Марий Эл;2009;15994
Республика Мордовия;2009;31123
Республика Татарстан;2009;112199.8
Удмуртская Республика;2009;31473.8
Чувашская Республика;2009;23072.3
Пермский край;2009;25923.7
Кировская область;2009;22102.5
Нижегородская область ;2009;38084
Оренбургская область;2009;55288.3
Пензенская область;2009;30178.1
Самарская область;2009;41709.7
Саратовская область;2009;59053
Ульяновская область;2009;18241.1
Уральский         федеральный округ;2009;172107.1
Курганская область;2009;24114.9
Свердловская область ;2009;43314.6
Тюменская область;2009;45330.7
в том числе:;2009;0
Ханты-Мансийский автономный округ - Югра;2009;5418.2
Ямало-Ненецкий автономный округ;2009;1344.5
Тюменская область  без автономных округов;2009;38568
Челябинская область;2009;59346.9
Сибирский        федеральный округ;2009;323589
Республика Алтай;2009;5192.2
Республика Тыва;2009;3979.4
Республика Хакасия;2009;6617.5
Алтайский край;2009;72625.7
Красноярский край;2009;53517.8
Иркутская область;2009;33196.1
Кемеровская область;2009;30805.3
Новосибирская область ;2009;46560.1
Омская область;2009;55822.2
Томская область;2009;15272.7
Дальневосточный федеральный округ;2009;105570.9
Республика Бурятия;2009;10184.5
Республика Саха (Якутия);2009;15899.5
Забайкальский край;2009;13003.1
Камчатский край;2009;3899.2
Приморский край;2009;19183
Хабаровский край ;2009;12609.5
Амурская область;2009;19394.7
Магаданская область;2009;1460.8
Сахалинская область;2009;5036.8
Еврейская автономная область;2009;4300.6
Чукотский автономный округ;2009;599.2
Центральный федеральный округ;2010;557811.3
Белгородская область;2010;97736
Брянская область;2010;25998.8
Владимирская область;2010;17078.3
Воронежская область;2010;67935.5
Ивановская область;2010;9939.2
Калужская область;2010;20036.4
Костромская область;2010;12366.4
Курская область;2010;39464.9
Липецкая область;2010;34774.5
Московская область;2010;72869.8
Орловская область;2010;26543.6
Рязанская область;2010;25816.7
Смоленская область;2010;13320
Тамбовская область;2010;33819.2
Тверская область;2010;17344.2
Тульская область;2010;24900.6
Ярославская область;2010;17867.2
г. Москва;2010;0
Северо-Западный федеральный округ;2010;128509
Республика Карелия;2010;3979.9
Республика Коми;2010;7046.3
Архангельская область;2010;9103.8
в том числе: ;2010;0
Ненецкий автономный округ;2010;577.8
Архангельская область без автономного округа;2010;8526
Вологодская область;2010;18892.9
Калининградская область;2010;15279
Ленинградская область;2010;47208.3
Мурманская область;2010;2731.3
Новгородская область;2010;13931.2
Псковская область;2010;10336.3
г. Санкт-Петербург;2010;0
Южный             федеральный округ;2010;395217.1
Республика Адыгея;2010;11177.4
Республика Калмыкия;2010;11171.7
Республика Крым;2010;0
Краснодарский край;2010;184082.5
Астраханская область;2010;19961.9
Волгоградская область;2010;60161.4
Ростовская область;2010;108662.2
г. Севастополь;2010;0
Северо-Кавказский        федеральный округ;2010;197873.4
Республика Дагестан;2010;47409.7
Республика Ингушетия;2010;3230.7
Кабардино-Балкарская Республика;2010;23588.3
Карачаево-Черкесская Республика;2010;15040.5
Республика Северная Осетия - Алания;2010;16910.5
Чеченская Республика;2010;10893
Ставропольский край;2010;80800.7
Приволжский федеральный округ;2010;562140.7
Республика Башкортостан;2010;86171.7
Республика Марий Эл;2010;15588.4
Республика Мордовия;2010;25880.8
Республика Татарстан;2010;98043.7
Удмуртская Республика;2010;32680.1
Чувашская Республика;2010;20912.4
Пермский край;2010;28053.6
Кировская область;2010;22088.7
Нижегородская область ;2010;36242.4
Оренбургская область;2010;47707.8
Пензенская область;2010;27017.8
Самарская область;2010;38105.1
Саратовская область;2010;67085.1
Ульяновская область;2010;16563.1
Уральский         федеральный округ;2010;169203.5
Курганская область;2010;19650.8
Свердловская область ;2010;44463.6
Тюменская область;2010;46654
в том числе:;2010;0
Ханты-Мансийский автономный округ - Югра;2010;5749.1
Ямало-Ненецкий автономный округ;2010;1474.9
Тюменская область  без автономных округов;2010;39430
Челябинская область;2010;58435.1
Сибирский        федеральный округ;2010;337212.7
Республика Алтай;2010;6080.4
Республика Тыва;2010;4183.6
Республика Хакасия;2010;7034
Алтайский край;2010;78562.6
Красноярский край;2010;56408
Иркутская область;2010;35119.9
Кемеровская область;2010;31881.3
Новосибирская область ;2010;47694.5
Омская область;2010;52962.5
Томская область;2010;17285.9
Дальневосточный федеральный округ;2010;114219.2
Республика Бурятия;2010;10219.2
Республика Саха (Якутия);2010;17064.1
Забайкальский край;2010;13527.8
Камчатский край;2010;4085.1
Приморский край;2010;20546.9
Хабаровский край ;2010;14838.8
Амурская область;2010;19851
Магаданская область;2010;1484.8
Сахалинская область;2010;6836.1
Еврейская автономная область;2010;5142.2
Чукотский автономный округ;2010;623.2
Центральный федеральный округ;2011;735751.9
Белгородская область;2011;134120.6
Брянская область;2011;32010.1
Владимирская область;2011;21889.1
Воронежская область;2011;99248.9
Ивановская область;2011;12362.2
Калужская область;2011;22572.4
Костромская область;2011;13378
Курская область;2011;54867.6
Липецкая область;2011;46508
Московская область;2011;96240.4
Орловская область;2011;35191.9
Рязанская область;2011;30131.7
Смоленская область;2011;16953.5
Тамбовская область;2011;48285.6
Тверская область;2011;22720
Тульская область;2011;28196.1
Ярославская область;2011;21075.8
г. Москва;2011;0
Северо-Западный федеральный округ;2011;146961.1
Республика Карелия;2011;4305.5
Республика Коми;2011;8246.1
Архангельская область;2011;10941.8
в том числе: ;2011;0
Ненецкий автономный округ;2011;664
Архангельская область без автономного округа;2011;10278.4
Вологодская область;2011;22196.4
Калининградская область;2011;17309.8
Ленинградская область;2011;53003.8
Мурманская область;2011;2947.6
Новгородская область;2011;16481.7
Псковская область;2011;11528.4
г. Санкт-Петербург;2011;0
Южный             федеральный округ;2011;474231.8
Республика Адыгея;2011;11828.7
Республика Калмыкия;2011;14313.9
Республика Крым;2011;0
Краснодарский край;2011;220628.6
Астраханская область;2011;20185.4
Волгоградская область;2011;72370.4
Ростовская область;2011;134904.8
г. Севастополь;2011;0
Северо-Кавказский        федеральный округ;2011;237055.5
Республика Дагестан;2011;55338.5
Республика Ингушетия;2011;4570.2
Кабардино-Балкарская Республика;2011;27133.7
Карачаево-Черкесская Республика;2011;17577.5
Республика Северная Осетия - Алания;2011;19997.2
Чеченская Республика;2011;12889
Ставропольский край;2011;99549.4
Приволжский федеральный округ;2011;766229.8
Республика Башкортостан;2011;107122.3
Республика Марий Эл;2011;20002.4
Республика Мордовия;2011;37863.2
Республика Татарстан;2011;147628
Удмуртская Республика;2011;43607.3
Чувашская Республика;2011;30531.3
Пермский край;2011;37009
Кировская область;2011;27281.2
Нижегородская область ;2011;46591.1
Оренбургская область;2011;69144.2
Пензенская область;2011;37867.1
Самарская область;2011;48616
Саратовская область;2011;84395.4
Ульяновская область;2011;28571.3
Уральский         федеральный округ;2011;224728.2
Курганская область;2011;29477.3
Свердловская область ;2011;56586.6
Тюменская область;2011;58660.2
в том числе:;2011;0
Ханты-Мансийский автономный округ - Югра;2011;8021.4
Ямало-Ненецкий автономный округ;2011;1854.7
Тюменская область  без автономных округов;2011;48784.1
Челябинская область;2011;80004.1
Сибирский        федеральный округ;2011;382371
Республика Алтай;2011;7580.7
Республика Тыва;2011;4536.1
Республика Хакасия;2011;8747.8
Алтайский край;2011;87685
Красноярский край;2011;61213.7
Иркутская область;2011;40990.2
Кемеровская область;2011;35427.7
Новосибирская область ;2011;55335.7
Омская область;2011;62820.5
Томская область;2011;18033.6
Дальневосточный федеральный округ;2011;131413.4
Республика Бурятия;2011;12458.2
Республика Саха (Якутия);2011;17464.9
Забайкальский край;2011;15189.6
Камчатский край;2011;4668.4
Приморский край;2011;24834.4
Хабаровский край ;2011;15017.8
Амурская область;2011;26487.4
Магаданская область;2011;1518.2
Сахалинская область;2011;7182.1
Еврейская автономная область;2011;5750.8
Чукотский автономный округ;2011;841.6
Центральный федеральный округ;2012;808705.6
Белгородская область;2012;148430.9
Брянская область;2012;34746.9
Владимирская область;2012;23247.9
Воронежская область;2012;123891.8
Ивановская область;2012;12372.4
Калужская область;2012;24484.4
Костромская область;2012;13650.1
Курская область;2012;65944.7
Липецкая область;2012;53945.8
Московская область;2012;79735
Орловская область;2012;38034
Рязанская область;2012;35034.7
Смоленская область;2012;16726.6
Тамбовская область;2012;55534.1
Тверская область;2012;20898.6
Тульская область;2012;30688.3
Ярославская область;2012;22474.4
г. Москва;2012;8865
Северо-Западный федеральный округ;2012;153017
Республика Карелия;2012;3897.6
Республика Коми;2012;8489.5
Архангельская область;2012;11016.3
в том числе: ;2012;0
Ненецкий автономный округ;2012;748
Архангельская область без автономного округа;2012;10267.7
Вологодская область;2012;20633.3
Калининградская область;2012;19182.7
Ленинградская область;2012;58010.5
Мурманская область;2012;3429.8
Новгородская область;2012;16137.2
Псковская область;2012;12220.1
г. Санкт-Петербург;2012;0
Южный             федеральный округ;2012;486949.6
Республика Адыгея;2012;13363.1
Республика Калмыкия;2012;17486.1
Республика Крым;2012;0
Краснодарский край;2012;213646.2
Астраханская область;2012;23755.6
Волгоградская область;2012;78663.7
Ростовская область;2012;140034.9
г. Севастополь;2012;0
Северо-Кавказский        федеральный округ;2012;247460.5
Республика Дагестан;2012;63149.8
Республика Ингушетия;2012;3883.7
Кабардино-Балкарская Республика;2012;29617.8
Карачаево-Черкесская Республика;2012;17768.3
Республика Северная Осетия - Алания;2012;22188.7
Чеченская Республика;2012;13564.7
Ставропольский край;2012;97287.5
Приволжский федеральный округ;2012;767821.2
Республика Башкортостан;2012;102932.4
Республика Марий Эл;2012;22843.5
Республика Мордовия;2012;39299
Республика Татарстан;2012;147839.9
Удмуртская Республика;2012;44229.9
Чувашская Республика;2012;30867.8
Пермский край;2012;33039.3
Кировская область;2012;26061.5
Нижегородская область ;2012;44312.1
Оренбургская область;2012;68019
Пензенская область;2012;42703.6
Самарская область;2012;55611
Саратовская область;2012;83337.1
Ульяновская область;2012;26725.1
Уральский         федеральный округ;2012;199398.6
Курганская область;2012;25553.9
Свердловская область ;2012;51373.7
Тюменская область;2012;56125.2
в том числе:;2012;0
Ханты-Мансийский автономный округ - Югра;2012;8374.2
Ямало-Ненецкий автономный округ;2012;1914.6
Тюменская область  без автономных округов;2012;45836.4
Челябинская область;2012;66345.8
Сибирский        федеральный округ;2012;362497.9
Республика Алтай;2012;8601.7
Республика Тыва;2012;4685.6
Республика Хакасия;2012;9257.1
Алтайский край;2012;85050.9
Красноярский край;2012;56614.7
Иркутская область;2012;44079.1
Кемеровская область;2012;33597.5
Новосибирская область ;2012;50352.4
Омская область;2012;52063.4
Томская область;2012;18195.5
Дальневосточный федеральный округ;2012;134455.8
Республика Бурятия;2012;12672.2
Республика Саха (Якутия);2012;18226.5
Забайкальский край;2012;17102.1
Камчатский край;2012;4749.6
Приморский край;2012;26091.7
Хабаровский край ;2012;15345.6
Амурская область;2012;26499.8
Магаданская область;2012;1694.4
Сахалинская область;2012;6825.7
Еврейская автономная область;2012;4558.4
Чукотский автономный округ;2012;689.8
Центральный федеральный округ;2013;875466.5
Белгородская область;2013;154166.2
Брянская область;2013;41579.8
Владимирская область;2013;23874
Воронежская область;2013;144942.4
Ивановская область;2013;12492.7
Калужская область;2013;24082.3
Костромская область;2013;14131.3
Курская область;2013;74279.3
Липецкая область;2013;62771.8
Московская область;2013;74610.9
Орловская область;2013;41381.9
Рязанская область;2013;37323.5
Смоленская область;2013;18061.5
Тамбовская область;2013;66552.5
Тверская область;2013;21201.7
Тульская область;2013;32900.7
Ярославская область;2013;23602.6
г. Москва;2013;7511.4
Северо-Западный федеральный округ;2013;160437.4
Республика Карелия;2013;4283.7
Республика Коми;2013;8621.5
Архангельская область;2013;10539.7
в том числе: ;2013;0
Ненецкий автономный округ;2013;645.7
Архангельская область без автономного округа;2013;9894
Вологодская область;2013;20982.3
Калининградская область;2013;20056.6
Ленинградская область;2013;64840.7
Мурманская область;2013;2734.8
Новгородская область;2013;14809.6
Псковская область;2013;13568.5
г. Санкт-Петербург;2013;0
Южный             федеральный округ;2013;517870.2
Республика Адыгея;2013;14080.5
Республика Калмыкия;2013;19877.9
Республика Крым;2013;0
Краснодарский край;2013;229951
Астраханская область;2013;26657
Волгоградская область;2013;83791
Ростовская область;2013;143512.8
г. Севастополь;2013;0
Северо-Кавказский        федеральный округ;2013;283712.6
Республика Дагестан;2013;71892.4
Республика Ингушетия;2013;4614.1
Кабардино-Балкарская Республика;2013;31774.4
Карачаево-Черкесская Республика;2013;19883.7
Республика Северная Осетия - Алания;2013;24668.4
Чеченская Республика;2013;14658.8
Ставропольский край;2013;116220.8
Приволжский федеральный округ;2013;838916.6
Республика Башкортостан;2013;119796.6
Республика Марий Эл;2013;27183.4
Республика Мордовия;2013;40285.6
Республика Татарстан;2013;157706.9
Удмуртская Республика;2013;45513.2
Чувашская Республика;2013;29086.2
Пермский край;2013;33732.8
Кировская область;2013;27151.6
Нижегородская область ;2013;50224.1
Оренбургская область;2013;77641.4
Пензенская область;2013;46384.9
Самарская область;2013;64166.9
Саратовская область;2013;92417.7
Ульяновская область;2013;27625.3
Уральский         федеральный округ;2013;226003.3
Курганская область;2013;33084.4
Свердловская область ;2013;58576.2
Тюменская область;2013;58853.2
в том числе:;2013;0
Ханты-Мансийский автономный округ - Югра;2013;8244
Ямало-Ненецкий автономный округ;2013;1962.9
Тюменская область  без автономных округов;2013;48645.8
Челябинская область;2013;75489.5
Сибирский        федеральный округ;2013;424707
Республика Алтай;2013;8007.9
Республика Тыва;2013;5185.1
Республика Хакасия;2013;10499
Алтайский край;2013;102220
Красноярский край;2013;61183.1
Иркутская область;2013;46630
Кемеровская область;2013;39378.8
Новосибирская область ;2013;59469.8
Омская область;2013;71117.2
Томская область;2013;21016.1
Дальневосточный федеральный округ;2013;131172.6
Республика Бурятия;2013;13261.4
Республика Саха (Якутия);2013;19443.4
Забайкальский край;2013;17788.9
Камчатский край;2013;5225.9
Приморский край;2013;26690.9
Хабаровский край ;2013;15264.7
Амурская область;2013;20733.3
Магаданская область;2013;1414.9
Сахалинская область;2013;7587.8
Еврейская автономная область;2013;3123.2
Чукотский автономный округ;2013;638.2
Центральный федеральный округ;2014;1043397
Белгородская область;2014;186770.7
Брянская область;2014;53867.8
Владимирская область;2014;27781.4
Воронежская область;2014;158526.2
Ивановская область;2014;13807.5
Калужская область;2014;28031.3
Костромская область;2014;15607.2
Курская область;2014;92359.4
Липецкая область;2014;78312.1
Московская область;2014;84737.5
Орловская область;2014;50564.5
Рязанская область;2014;44245.1
Смоленская область;2014;19272.4
Тамбовская область;2014;87298.7
Тверская область;2014;22855
Тульская область;2014;42214.3
Ярославская область;2014;28504.4
г. Москва;2014;8641.5
Северо-Западный федеральный округ;2014;195143.4
Республика Карелия;2014;4617.4
Республика Коми;2014;9235.4
Архангельская область;2014;12644.8
в том числе: ;2014;0
Ненецкий автономный округ;2014;717.9
Архангельская область без автономного округа;2014;11927
Вологодская область;2014;24235.3
Калининградская область;2014;24401.6
Ленинградская область;2014;78566.1
Мурманская область;2014;2304
Новгородская область;2014;18837.1
Псковская область;2014;20301.7
г. Санкт-Петербург;2014;0
Южный             федеральный округ;2014;642940.3
Республика Адыгея;2014;15262
Республика Калмыкия;2014;21479
Республика Крым;2014;35585.7
Краснодарский край;2014;266662.6
Астраханская область;2014;29070.4
Волгоградская область;2014;100672.7
Ростовская область;2014;172459.2
г. Севастополь;2014;1748.7
Северо-Кавказский        федеральный округ;2014;322987.7
Республика Дагестан;2014;83390.9
Республика Ингушетия;2014;5421.3
Кабардино-Балкарская Республика;2014;33326.2
Карачаево-Черкесская Республика;2014;20844.9
Республика Северная Осетия - Алания;2014;22831.9
Чеченская Республика;2014;15156.2
Ставропольский край;2014;142016.3
Приволжский федеральный округ;2014;958092.9
Республика Башкортостан;2014;128186.1
Республика Марий Эл;2014;35069
Республика Мордовия;2014;46301
Республика Татарстан;2014;184289
Удмуртская Республика;2014;56511.6
Чувашская Республика;2014;33925.4
Пермский край;2014;37287.6
Кировская область;2014;33947
Нижегородская область ;2014;62019.3
Оренбургская область;2014;83840.4
Пензенская область;2014;56754
Самарская область;2014;71143.6
Саратовская область;2014;100620.7
Ульяновская область;2014;28198.2
Уральский         федеральный округ;2014;253024.5
Курганская область;2014;28471.6
Свердловская область ;2014;65685.9
Тюменская область;2014;67110.7
в том числе:;2014;0
Ханты-Мансийский автономный округ - Югра;2014;7800.2
Ямало-Ненецкий автономный округ;2014;2047
Тюменская область  без автономных округов;2014;57264
Челябинская область;2014;91756.3
Сибирский        федеральный округ;2014;449792.7
Республика Алтай;2014;8674.8
Республика Тыва;2014;5178.8
Республика Хакасия;2014;11381.8
Алтайский край;2014;98774
Красноярский край;2014;66302.4
Иркутская область;2014;51765.4
Кемеровская область;2014;43163.2
Новосибирская область ;2014;63759.1
Омская область;2014;77548.3
Томская область;2014;23244.9
Дальневосточный федеральный округ;2014;165685.6
Республика Бурятия;2014;15527.9
Республика Саха (Якутия);2014;20255
Забайкальский край;2014;18705
Камчатский край;2014;6852.8
Приморский край;2014;34696.9
Хабаровский край ;2014;16709
Амурская область;2014;37047.6
Магаданская область;2014;1700.3
Сахалинская область;2014;8550.8
Еврейская автономная область;2014;4779.9
Чукотский автономный округ;2014;860.4
Центральный федеральный округ;2015;1265435.1
Белгородская область;2015;218384.9
Брянская область;2015;71058.5
Владимирская область;2015;31297.4
Воронежская область;2015;193057.8
Ивановская область;2015;14938.9
Калужская область;2015;33066.6
Костромская область;2015;17942.5
Курская область;2015;113841.2
Липецкая область;2015;98051.2
Московская область;2015;96825.6
Орловская область;2015;61977.8
Рязанская область;2015;52294.8
Смоленская область;2015;21007.2
Тамбовская область;2015;118711.5
Тверская область;2015;30420.7
Тульская область;2015;51633.5
Ярославская область;2015;32010.3
г. Москва;2015;8914.7
Северо-Западный федеральный округ;2015;225538
Республика Карелия;2015;5073.1
Республика Коми;2015;10395.2
Архангельская область;2015;11706
в том числе: ;2015;0
Ненецкий автономный округ;2015;1023.8
Архангельская область без автономного округа;2015;10682.2
Вологодская область;2015;26938.2
Калининградская область;2015;31048
Ленинградская область;2015;88610.1
Мурманская область;2015;1920.8
Новгородская область;2015;24987
Псковская область;2015;24859.6
г. Санкт-Петербург;2015;0
Южный             федеральный округ;2015;811567.9
Республика Адыгея;2015;19534.1
Республика Калмыкия;2015;22714.3
Республика Крым;2015;50111.4
Краснодарский край;2015;340566.9
Астраханская область;2015;36287.3
Волгоградская область;2015;121330
Ростовская область;2015;219008.1
г. Севастополь;2015;2015.8
Северо-Кавказский        федеральный округ;2015;384913.8
Республика Дагестан;2015;94477.9
Республика Ингушетия;2015;6885.1
Кабардино-Балкарская Республика;2015;37919.8
Карачаево-Черкесская Республика;2015;26032.4
Республика Северная Осетия - Алания;2015;23209.5
Чеченская Республика;2015;17548.8
Ставропольский край;2015;178840.3
Приволжский федеральный округ;2015;1113851.6
Республика Башкортостан;2015;149964.5
Республика Марий Эл;2015;43315.4
Республика Мордовия;2015;53540.1
Республика Татарстан;2015;211810.1
Удмуртская Республика;2015;62291.5
Чувашская Республика;2015;39604.2
Пермский край;2015;40628.3
Кировская область;2015;36231.8
Нижегородская область ;2015;67202.7
Оренбургская область;2015;99108.4
Пензенская область;2015;74486.4
Самарская область;2015;82193.1
Саратовская область;2015;119768.3
Ульяновская область;2015;33706.8
Уральский         федеральный округ;2015;292395.7
Курганская область;2015;34780.5
Свердловская область ;2015;75604.8
Тюменская область;2015;70657
в том числе:;2015;0
Ханты-Мансийский автономный округ - Югра;2015;7651
Ямало-Ненецкий автономный округ;2015;2083.7
Тюменская область  без автономных округов;2015;60921.7
Челябинская область;2015;111353.4
Сибирский        федеральный округ;2015;520458.6
Республика Алтай;2015;9521.9
Республика Тыва;2015;5422.1
Республика Хакасия;2015;12216.6
Алтайский край;2015;123740.7
Красноярский край;2015;76204.2
Иркутская область;2015;53600.8
Кемеровская область;2015;48463.6
Новосибирская область ;2015;75228.6
Омская область;2015;89527.3
Томская область;2015;26532.8
Дальневосточный федеральный округ;2015;180454.1
Республика Бурятия;2015;16034.1
Республика Саха (Якутия);2015;20722.7
Забайкальский край;2015;19519
Камчатский край;2015;6721.3
Приморский край;2015;37482.2
Хабаровский край ;2015;17439.1
Амурская область;2015;43566.6
Магаданская область;2015;1981.2
Сахалинская область;2015;10840.3
Еврейская автономная область;2015;5750.9
Чукотский автономный округ;2015;396.7
Центральный федеральный округ;2016;1307143.7
Белгородская область;2016;226058.1
Брянская область;2016;78392.9
Владимирская область;2016;30833.3
Воронежская область;2016;199308
Ивановская область;2016;14951.5
Калужская область;2016;33570.7
Костромская область;2016;16782.9
Курская область;2016;124356.6
Липецкая область;2016;106325.6
Московская область;2016;98363.8
Орловская область;2016;68598.2
Рязанская область;2016;50659
Смоленская область;2016;21248.9
Тамбовская область;2016;108896.2
Тверская область;2016;32881.1
Тульская область;2016;55431.7
Ярославская область;2016;32053.6
г. Москва;2016;8431.6
Северо-Западный федеральный округ;2016;225864.2
Республика Карелия;2016;4484
Республика Коми;2016;10613.2
Архангельская область;2016;12196.5
в том числе: ;2016;0
Ненецкий автономный округ;2016;850.8
Архангельская область без автономного округа;2016;11345.7
Вологодская область;2016;28806.6
Калининградская область;2016;29579.8
Ленинградская область;2016;82901.7
Мурманская область;2016;1551.5
Новгородская область;2016;27067.7
Псковская область;2016;28663.2
г. Санкт-Петербург;2016;0
Южный             федеральный округ;2016;899188.5
Республика Адыгея;2016;19821.7
Республика Калмыкия;2016;26735.7
Республика Крым;2016;52880.1
Краснодарский край;2016;370761.8
Астраханская область;2016;37312.5
Волгоградская область;2016;136630.6
Ростовская область;2016;252776.8
г. Севастополь;2016;2269.3
Северо-Кавказский        федеральный округ;2016;428066.5
Республика Дагестан;2016;108472.7
Республика Ингушетия;2016;8518.3
Кабардино-Балкарская Республика;2016;42423.5
Карачаево-Черкесская Республика;2016;26801.5
Республика Северная Осетия - Алания;2016;22164.9
Чеченская Республика;2016;21122.7
Ставропольский край;2016;198562.9
Приволжский федеральный округ;2016;1204825.9
Республика Башкортостан;2016;158708.8
Республика Марий Эл;2016;39217.4
Республика Мордовия;2016;58873.1
Республика Татарстан;2016;229812.8
Удмуртская Республика;2016;64544
Чувашская Республика;2016;39553.6
Пермский край;2016;40048.6
Кировская область;2016;38528.8
Нижегородская область ;2016;67368.2
Оренбургская область;2016;110727
Пензенская область;2016;83618.9
Самарская область;2016;93052.6
Саратовская область;2016;142009.9
Ульяновская область;2016;38762.2
Уральский         федеральный округ;2016;304672.2
Курганская область;2016;38094
Свердловская область ;2016;74606.5
Тюменская область;2016;74486.2
в том числе:;2016;0
Ханты-Мансийский автономный округ - Югра;2016;8748.2
Ямало-Ненецкий автономный округ;2016;2274.3
Тюменская область  без автономных округов;2016;63463.7
Челябинская область;2016;117485.5
Сибирский        федеральный округ;2016;554764.9
Республика Алтай;2016;11087.7
Республика Тыва;2016;5594.7
Республика Хакасия;2016;13986.4
Алтайский край;2016;143325.3
Красноярский край;2016;80982.7
Иркутская область;2016;58721.7
Кемеровская область;2016;48596.1
Новосибирская область ;2016;78482.8
Омская область;2016;88002.2
Томская область;2016;25985.3
Дальневосточный федеральный округ;2016;187830.5
Республика Бурятия;2016;15598.6
Республика Саха (Якутия);2016;21930
Забайкальский край;2016;21463.6
Камчатский край;2016;7378.3
Приморский край;2016;39389.8
Хабаровский край ;2016;16346.9
Амурская область;2016;47012.3
Магаданская область;2016;2259.3
Сахалинская область;2016;10388.1
Еврейская автономная область;2016;5485.9
Чукотский автономный округ;2016;577.7
Центральный федеральный округ;2017;1302579
Белгородская область;2017;227268.9
Брянская область;2017;84470
Владимирская область;2017;28911.4
Воронежская область;2017;193876.1
Ивановская область;2017;14887.4
Калужская область;2017;38538.4
Костромская область;2017;15645.2
Курская область;2017;130890.9
Липецкая область;2017;101595.7
Московская область;2017;87545.7
Орловская область;2017;60456.3
Рязанская область;2017;51871.5
Смоленская область;2017;22820.7
Тамбовская область;2017;111331.8
Тверская область;2017;34890.8
Тульская область;2017;57236.1
Ярославская область;2017;31824.7
г. Москва;2017;8517.4
Северо-Западный федеральный округ;2017;224474.7
Республика Карелия;2017;4153.4
Республика Коми;2017;9922.6
Архангельская область;2017;10825
в том числе: ;2017;0
Ненецкий автономный округ;2017;664.7
Архангельская область без автономного округа;2017;10159.8
Вологодская область;2017;26621.5
Калининградская область;2017;32396.2
Ленинградская область;2017;82678.5
Мурманская область;2017;1675
Новгородская область;2017;24725.4
Псковская область;2017;31477.7
г. Санкт-Петербург;2017;0
Южный             федеральный округ;2017;891718
Республика Адыгея;2017;21599
Республика Калмыкия;2017;27084.3
Республика Крым;2017;47289.6
Краснодарский край;2017;364025.8
Астраханская область;2017;41051
Волгоградская область;2017;133764.2
Ростовская область;2017;254430.9
г. Севастополь;2017;2474.3
Северо-Кавказский        федеральный округ;2017;436751.5
Республика Дагестан;2017;118960.3
Республика Ингушетия;2017;9031.3
Кабардино-Балкарская Республика;2017;45709.8
Карачаево-Черкесская Республика;2017;27580.3
Республика Северная Осетия - Алания;2017;22291.2
Чеченская Республика;2017;25996.9
Ставропольский край;2017;187181.7
Приволжский федеральный округ;2017;1194371.2
Республика Башкортостан;2017;157270.1
Республика Марий Эл;2017;38912.7
Республика Мордовия;2017;59702.5
Республика Татарстан;2017;235297.3
Удмуртская Республика;2017;65292.8
Чувашская Республика;2017;38615.4
