Субъект РФ;Год;Продукция сельского хозяйства (млн. руб.)
Тюменская область  без автономных округов;2001;0
Челябинская область;2001;15873.259
Сибирский        федеральный округ;2001;136201.971
Республика Алтай;2001;1835.943
Республика Тыва;2001;1555.914
Республика Хакасия;2001;3418.346
Алтайский край;2001;30758.54
Красноярский край;2001;21977.327
Иркутская область;2001;14543.877
Кемеровская область;2001;10189.251
Новосибирская область ;2001;23338.029
Омская область;2001;23051.396
Томская область;2001;5533.348
Дальневосточный федеральный округ;2001;42620.187
Республика Бурятия;2001;5164.236
Республика Саха (Якутия);2001;7209.229
Забайкальский край;2001;5846.933
Камчатский край;2001;1603.173
Приморский край;2001;6257.343
Хабаровский край ;2001;4685.58
Амурская область;2001;7509.344
Магаданская область;2001;458.767
Сахалинская область;2001;2614.942
Еврейская автономная область;2001;1176.346
Чукотский автономный округ;2001;94.294
Центральный федеральный округ;2002;213849.2
Белгородская область;2002;19612.529
Брянская область;2002;11821.108
Владимирская область;2002;9077.39
Воронежская область;2002;23226.041
Ивановская область;2002;4807.019
Калужская область;2002;7881.59
Костромская область;2002;6964.013
Курская область;2002;15224.595
Липецкая область;2002;12846.876
Московская область;2002;29488.404
Орловская область;2002;11202.298
Рязанская область;2002;10830.585
Смоленская область;2002;7034.957
Тамбовская область;2002;13181.404
Тверская область;2002;9791.961
Тульская область;2002;12311.147
Ярославская область;2002;8547.28
г. Москва;2002;0
Северо-Западный федеральный округ;2002;58074.547
Республика Карелия;2002;2129.683
Республика Коми;2002;3248.674
Архангельская область;2002;4801.464
в том числе: ;2002;0
Ненецкий автономный округ;2002;238.045
Архангельская область без автономного округа;2002;0
Вологодская область;2002;10841.02
Калининградская область;2002;4565.876
Ленинградская область;2002;20895.451
Мурманская область;2002;1282.397
Новгородская область;2002;5003.097
Псковская область;2002;5306.885
г. Санкт-Петербург;2002;0
Южный             федеральный округ;2002;132352.491
Республика Адыгея;2002;2298.446
Республика Калмыкия;2002;2188.233
Республика Крым;2002;0
Краснодарский край;2002;63363.924
Астраханская область;2002;4159.86
Волгоградская область;2002;23733.409
Ростовская область;2002;36608.619
г. Севастополь;2002;0
Северо-Кавказский        федеральный округ;2002;61823.375
Республика Дагестан;2002;13897.621
Республика Ингушетия;2002;1334.233
Кабардино-Балкарская Республика;2002;11084.478
Карачаево-Черкесская Республика;2002;4421.742
Республика Северная Осетия - Алания;2002;4466.275
Чеченская Республика;2002;0
Ставропольский край;2002;26619.026
Приволжский федеральный округ;2002;255099.886
Республика Башкортостан;2002;42880.721
Республика Марий Эл;2002;6073.981
Республика Мордовия;2002;11343.716
Республика Татарстан;2002;39010.382
Удмуртская Республика;2002;14409.98
Чувашская Республика;2002;10110.642
Пермский край;2002;15989.216
Кировская область;2002;12828.583
Нижегородская область ;2002;18083.043
Оренбургская область;2002;20949.464
Пензенская область;2002;11546.132
Самарская область;2002;19752.888
Саратовская область;2002;23603.132
Ульяновская область;2002;8518.006
Уральский         федеральный округ;2002;63052.873
Курганская область;2002;9235.767
Свердловская область ;2002;20463.393
Тюменская область;2002;15535.815
в том числе:;2002;0
Ханты-Мансийский автономный округ - Югра;2002;1603.63
Ямало-Ненецкий автономный округ;2002;402.133
Тюменская область  без автономных округов;2002;0
Челябинская область;2002;17817.898
Сибирский        федеральный округ;2002;137502.532
Республика Алтай;2002;2327.396
Республика Тыва;2002;1601.51
Республика Хакасия;2002;3304.961
Алтайский край;2002;30520.763
Красноярский край;2002;23150.625
Иркутская область;2002;14894.119
Кемеровская область;2002;11265.182
Новосибирская область ;2002;22876.344
Омская область;2002;21487.38
Томская область;2002;6074.252
Дальневосточный федеральный округ;2002;46397.727
Республика Бурятия;2002;5638.124
Республика Саха (Якутия);2002;8140.186
Забайкальский край;2002;6616.715
Камчатский край;2002;1779.844
Приморский край;2002;6217.863
Хабаровский край ;2002;5268.696
Амурская область;2002;8287.47
Магаданская область;2002;644.266
Сахалинская область;2002;2364.788
Еврейская автономная область;2002;1305.866
Чукотский автономный округ;2002;133.909
Центральный федеральный округ;2003;238949.022
Белгородская область;2003;22927.047
Брянская область;2003;11845.99
Владимирская область;2003;10722.846
Воронежская область;2003;28818.847
Ивановская область;2003;5442.087
Калужская область;2003;8755.98
Костромская область;2003;6787.661
Курская область;2003;17406.85
Липецкая область;2003;15198.391
Московская область;2003;32978.195
Орловская область;2003;12023.934
Рязанская область;2003;10851.694
Смоленская область;2003;7803.846
Тамбовская область;2003;15705.992
Тверская область;2003;9419.464
Тульская область;2003;13194.196
Ярославская область;2003;9066.002
г. Москва;2003;0
Северо-Западный федеральный округ;2003;60178.3
Республика Карелия;2003;2369.204
Республика Коми;2003;3640.985
Архангельская область;2003;4657.801
в том числе: ;2003;0
Ненецкий автономный округ;2003;265.253
Архангельская область без автономного округа;2003;0
Вологодская область;2003;11260.432
Калининградская область;2003;5234.225
Ленинградская область;2003;20801.939
Мурманская область;2003;1192.982
Новгородская область;2003;5331.653
Псковская область;2003;5689.112
г. Санкт-Петербург;2003;0
Южный             федеральный округ;2003;146153.432
Республика Адыгея;2003;2376.464
Республика Калмыкия;2003;2300.363
Республика Крым;2003;0
Краснодарский край;2003;66824.634
Астраханская область;2003;4736.179
Волгоградская область;2003;28661.884
Ростовская область;2003;41253.908
г. Севастополь;2003;0
Северо-Кавказский        федеральный округ;2003;73888.8
Республика Дагестан;2003;18967.979
Республика Ингушетия;2003;1646.869
Кабардино-Балкарская Республика;2003;12256.506
Карачаево-Черкесская Республика;2003;4629.961
Республика Северная Осетия - Алания;2003;5361.76
Чеченская Республика;2003;0
Ставропольский край;2003;30767.937
Приволжский федеральный округ;2003;281897.937
Республика Башкортостан;2003;49105.562
Республика Марий Эл;2003;7171.158
Республика Мордовия;2003;11906.895
Республика Татарстан;2003;44882.132
Удмуртская Республика;2003;15000.072
Чувашская Республика;2003;10895.956
Пермский край;2003;16137.079
Кировская область;2003;13436.594
Нижегородская область ;2003;19847.925
Оренбургская область;2003;24227.778
Пензенская область;2003;11493.721
Самарская область;2003;19818.42
Саратовская область;2003;28749.129
Ульяновская область;2003;9225.516
Уральский         федеральный округ;2003;71765.767
Курганская область;2003;9583.799
Свердловская область ;2003;21870.398
Тюменская область;2003;17913.415
в том числе:;2003;0
Ханты-Мансийский автономный округ - Югра;2003;2404.834
Ямало-Ненецкий автономный округ;2003;532.388
Тюменская область  без автономных округов;2003;0
Челябинская область;2003;22398.155
Сибирский        федеральный округ;2003;154332.969
Республика Алтай;2003;2697.013
Республика Тыва;2003;1871.856
Республика Хакасия;2003;3622.023
Алтайский край;2003;35249.429
Красноярский край;2003;24374.047
Иркутская область;2003;15568.4
Кемеровская область;2003;13161.351
Новосибирская область ;2003;25198.174
Омская область;2003;25277.031
Томская область;2003;7313.645
Дальневосточный федеральный округ;2003;49184.305
Республика Бурятия;2003;6344.72
Республика Саха (Якутия);2003;9103.105
Забайкальский край;2003;6812.639
Камчатский край;2003;1914.77
Приморский край;2003;7210.134
Хабаровский край ;2003;6042.995
Амурская область;2003;6244.086
Магаданская область;2003;812.042
